# Master Looter menu text, Traditional Chinese (繁體中文).
# Translated by dofo7777.
#
# One string per line: the English, a tab, then the translation. Lines
# starting with # are ignored, \n is a line break, and a line with nothing
# after the tab is shown in English.
# Every %d, %s and %.1f has to survive in the same order, because these are
# printed with the numbers substituted in. A line that changes them is
# ignored at load rather than risked.
#
# This copy is built into the plugin. To change it without rebuilding, put a
# file of this name next to MasterLooter.asi and it will be read instead.
#
# dofo7777 的翻譯之後新增的行，是機器翻譯，
# 尚未經過任何人校對，歡迎至 GitHub（github.com/shin2344234/master-looter）或 Nexus 頁面提出修正。

  bag full	  背包已滿
Caught creatures, live or lying around; a creature the table can name follows its class rule. Crabs, shrimp and squid are seafood under Food and drink.	已捕獲的生物，無論是活的還是倒在地上的；資料表能命名的生物依其類別規則處理。螃蟹、蝦與魷魚屬於「食物與飲品」底下的海鮮。
Class	類別
class %s	類別 %s
Classes	類別
Clear	清除
Clear overrides	清除覆寫規則
Clears what this session worked out from your bag. Nodes named by the prefab table are unaffected.	清除本次工作階段從背包中分析出的資料。由預製物品表命名的資源點不受影響。
Close	關閉
container (off)	容器 (已關閉)
Containers	容器
containers off	容器已關閉
Controller	控制器
Copper	銅幣
Copy	複製
Copy path	複製路徑
Copy to the clipboard.	複製至剪貼簿。
corpse	屍體
corpse already searched	屍體已搜刮
corpse: loot drops separately	屍體：掉落物獨立掉落
creature	生物
Creatures	生物
Crops	農作物
crops off	農作物已關閉
Damaged gear	損壞裝備
Dead zone around you	自身周圍盲區
Decision	判定
default	預設
DirectX 12 hooks	DirectX 12 Hook
does not respond	無回應
Draw water from wells	從水井取水
Engine	引擎
English	英文
English. %d line(s) seen this session.	英文。本次工作階段已出現 %d 行。
entity	實體
entity %08X	實體 %08X
entity %08X, %d items across every store	實體 %08X，所有儲存空間中共有 %d 件物品
entity %08X, bag %d of %d slots, %d items across every store	實體 %08X，背包 %d/%d 格，所有儲存空間中共有 %d 件物品
Event descriptors	事件描述符
Every rock: ore and stone chunks on the ground, veins, boulders, rubble piles and quarry stone. A vein is broken where it stands and its contents picked up off the floor, which is what your pickaxe does and what makes a better pickaxe worth carrying: the tool's Mining Yield Up applies to the drop, not to the node. Each vein is struck once and left alone until the game brings it back. Reaching for veins starts as far out as the scan can see, because they take seconds to answer where a bush takes a fraction of one.\n\nStone used to have a switch of its own and the split never held: the game files most quarry stone under mining, so turning Stone off left it arriving anyway. To keep the ore and leave the stone, refuse the class stone on the Classes tab. That covers Stone, Fine Stone, Flawless Stone and Stalactite, and every rock the game says holds nothing else is then left standing, the mine rocks and the stalactites included. A vein that also holds ore or a jewel is still broken, since refusing the stone is not refusing what sits beside it. Where the game describes a node not at all, it takes ore, jewels and stone all being refused before that one is passed over.	所有石頭：地上的礦石與石塊、礦脈、巨石、碎石堆以及採石場的石料。礦脈會在原地被打碎，內容物從地上撿起，這正是你的鎬子所做的事，也是值得帶一把更好的鎬子的理由：工具的採礦產出加成作用於掉落物，而不是資源點。每條礦脈只敲一次，之後就放著不管，直到遊戲把它恢復。對礦脈的伸手從掃描所能看到的最遠處就開始，因為灌木只要一瞬就能回應，礦脈卻要數秒。\n\n石頭曾經有過自己的開關，而這種劃分從未站得住腳：遊戲把大部分採石場石料歸在採礦之下，所以把石頭關掉，它照樣會進來。想留下礦石、把石頭丟在原地，請在類別頁籤中拒絕 stone 類別。這涵蓋石頭、優質石頭、無瑕石頭與鐘乳石，凡是遊戲說不含其他東西的岩石便會留在原處，礦洞岩石與鐘乳石也在其中。同時含有礦石或寶石的礦脈仍會被打碎，因為拒絕石頭並不等於拒絕它旁邊的東西。若遊戲對某個資源點完全沒有描述，則需要礦石、寶石與石頭全部被拒絕，才會略過那一個。
Extra ore per vein	每條礦脈額外礦石
failed	失敗
fast-travel artifact	快速旅行阿比斯神器
filter classes	篩選類別
filter tags	篩選標籤
Filters	篩選條件
Fish	魚類
fish off	魚類已關閉
Fish, and whatever else you catch in the water: crabs, shrimp, squid, starfish and seahorses.	魚類，以及其他從水中捕獲的生物：螃蟹、蝦、魷魚、海星與海馬。
Food and drink	食物與飲品
Forget	遺忘
found	已找到
Furniture	家具
Furniture and decor	家具與擺飾
furniture node (off)	家具資源點 (已關閉)
furniture off	家具已關閉
Game functions	遊戲函式
Game functions did not resolve; see Status.	遊戲函式未成功解析；詳見「狀態」。
Game-thread pump	遊戲執行緒輪詢
gather node	採集資源點
Gathering	採集
General	一般
Ground items	地面物品
Groups	群組
Herb, flower and mushroom nodes, and the same lying on the ground, seeds included. Food crops have their own switch. To keep the herbs and leave the seeds, or the other way round, refuse the class on the Classes tab: herb and seed are separate there. That sorts what is lying on the ground item by item, and it reaches the node as well wherever the game says what the node holds: refuse herb and a herb patch is left alone. Plant nodes are a mixed lot, paying grain and crafting materials too, and for the ones the game does not describe this switch is the only control.	草藥、花朵與蘑菇的資源點，以及散落在地上的同類，種子也包含在內。糧食作物有自己的開關。想留下草藥而把種子丟在原地，或者反過來，請在類別頁籤中拒絕相應類別：herb 與 seed 在那裡是分開的。這會把地上的東西逐件分揀，而且只要遊戲說明了資源點的內容，也能一併管到資源點：拒絕 herb，一叢草藥就會被原樣留下。植物資源點成分駁雜，也會產出穀物與製作材料，而對於遊戲沒有描述的那些，這個開關是唯一的控制手段。
hold two buttons (Escape cancels)	同時按住兩個按鍵（按 Escape 取消）
Household clutter and collectibles, most of it worthless.	居家雜物與收藏品，大多數不值錢。
How full the bag is is read from the bag itself, so the notice appears the moment it fills, whether or not you are looting. If those numbers ever stop making sense the mod falls back to watching what happens after a pick-up: three in a row that reach nothing raise the notice, and one landing clears it.	背包容量直接讀取自背包本身，因此無論是否正在拾取，一旦裝滿便會立即顯示提示。如果該數值出現異常，模組會退回監測拾取後的狀態：連續三次拾取未獲得任何物品將觸發滿包提示，成功獲得一件物品則清除提示。
How often the scene is read. The scan runs on its own thread; only the final take costs the game a fraction of a millisecond.	場景讀取頻率。掃描在獨立執行緒運作；僅最終拾取動作會佔用遊戲極微小的毫秒時間。
incomplete	不完整
Insects	昆蟲
insects off	昆蟲已關閉
installed	已安裝
Item	物品
Item database	物品資料庫
Item table	物品資料表
Items	物品
Items lying in the world, including drops from enemies.	散落在世界中的物品，包括敵人掉落的物品。
Items no shop will buy, across every class.	所有類別中沒有任何商店願意收購的物品。
Items on the ground	地面上的物品
Items tagged quest are left alone, so puzzles and story pickups are not auto-taken. It reads the item's own tags, so it covers anything you pick up and every node whose contents the mod can name. Two things fall outside it. A node it cannot name is decided by the switch for its kind, because there is no item there to read a tag from. And skinning a carcass pays out without the mod ever seeing what arrived.	帶有任務標籤的物品會被原樣留下，這樣解謎與劇情物品就不會被自動取走。它讀取物品自身的標籤，因此涵蓋你撿起的一切，以及模組能叫出內容物名稱的每一個資源點。有兩樣不在其列。它叫不出名字的資源點由其種類的開關決定，因為那裡沒有可供讀取標籤的物品。另外，剝取生物遺骸的產出會直接入帳，模組根本看不到來的是什麼。
Items with an unknown value are never filtered by it.	價值未知的物品絕不會依價值進行篩選。
Keep the menu on screen while you play. %s brings it back, %s closes it.	遊玩時保持選單顯示。按 %s 重新呼叫，按 %s 關閉。
Keys	按鍵
Keys and tools	鑰匙與工具
Language	語言
Language \"%s\": %d line(s) translated, %d seen this session.	語言 \"%s\"：已翻譯 %d 行，本次工作階段出現 %d 行。
learned from the game	從遊戲中習得
Load	載入
loaded	已載入
locked	已鎖定
Log	記錄檔
Log: %ls	記錄檔：%ls
Loot	拾取
Loot all	全部拾取
Loot engine	拾取引擎
Loot engine not started.	拾取引擎未啟動。
Loot everything in range now	立即拾取範圍內所有物品
Loot everything in range once	一次拾取範圍內所有物品
loot: %s	拾取：%s
Looting	拾取
MASTER LOOTER	MASTER LOOTER
Master Looter v%s for game build %s	Master Looter v%s (遊戲版本 %s)
Materials	材料
mechanism part	機關零件
Memory chips and puzzle parts	記憶碎片與解謎物品
Mine ore veins for you	自動為你挖礦
Minimum value (copper)	最低價值（銅幣）
missing	未解析
missing MasterLooter.items.tsv	缺少 MasterLooter.items.tsv
mission object	任務目標物品
Mounts and vehicles	坐騎與載具
name a new preset	為新預設集命名
Nearby	附近
never	從不
no	否
no interaction node	無互動資源點
Nodes the prefab table does not name and that have not yielded anything yet this session. Off (the default) leaves them alone. On makes the mod gather them to find out, which means a plant can be taken while Plants is off.	預製物品表無法命名、且本次工作階段尚未產出任何物品的資源點。關閉（預設）時會略過它們。開啟則會讓模組採集它們以查明內容，這代表即使「植物」開關已關閉，仍可能拾取到植物。
none	無
not found yet	尚未找到
not in item database	不在物品資料庫中
not ready (node empty)	未就緒 (資源點為空)
not resolved yet	尚未解析
not started	尚未啟動
not yet	尚未
Nothing else is drawn while the menu is closed.	選單關閉期間不會繪製任何其他內容。
nothing taken yet this session	本次工作階段尚未拾取任何物品
Object	物品
object	物品
Objects are listed nearest first, with the rule that decided each one. Empty nodes read as not ready until the game or arming fills them. What you are wearing and carrying is left out.	物品依距離由近至遠列出，並顯示判定該物品的規則。空資源點在遊戲或預載機制填入資料前會顯示為未就緒。自身穿戴與攜帶的物品已被排除。
Objects closer than this are treated as your own equipment. A safety net; your gear is also recognised by other means.	距離小於此值的物品將被視為自身的裝備。這是一道安全機制；你的裝備也會透過其他方式被識別。
Objects per burst press	單次快捷拾取物品數
Objects per scan	單次掃描物品數
on the player	在玩家身上
On, a vein is harvested where it stands and you never swing a pickaxe. Off, veins are left alone and only the chunks you knock loose are picked up. Needs arming, since asking the vein to open is the whole trick.	開啟時，礦脈會直接在原地被開採，你完全不需要揮動鎬子。關閉時，礦脈會被略過，只會拾取你自己敲落的礦石碎塊。這項功能需要預載，因為要求礦脈開啟正是其中的關鍵。
On, the overlay draws under DLSS frame generation, which needs this mod to hand the game a wrapped swapchain.\n\nOff, the overlay draws through the present hook instead. Everything looks the same unless frame generation is on, and the mod stays off a path other overlay mods patch as well. Try this if the game will not start alongside another overlay mod; it can be set as WrapSwapChain in MasterLooter.ini without launching the game.	開啟時，覆蓋層會在 DLSS 影格生成（Frame Generation）之下繪製，這需要此模組為遊戲提供包裝後的交換鏈（Swapchain）。\n\n關閉時，覆蓋層改由 Present Hook 繪製。除非啟用了影格生成，否則視覺效果完全相同，且此模組能避開與其他覆蓋層模組衝突的 Hook 路徑。若遊戲在與其他覆蓋層模組共存時無法啟動，可嘗試關閉此項；亦可無須啟動遊戲，直接在 MasterLooter.ini 中設定 WrapSwapChain。
One backup is written each time the game starts and the last twelve are kept, in MasterLooter.backups next to the plugin. Presets sit in MasterLooter.presets. Copy either folder to keep it across a reinstall.	每次啟動遊戲都會寫入一份備份，最多保留最近 12 份，儲存於外掛程式同目錄下的 MasterLooter.backups 中。預設集儲存於 MasterLooter.presets 中。重新安裝遊戲前可複製任一資料夾予以保留。
One click per family. The table below still sets single classes; a group shows a dash when only some of it is on.	一鍵切換整個群組。下方表格仍可單獨設定個別類別；當群組內僅部分啟用時，群組會顯示破折號（-）。
Open and close this menu	開啟與關閉此選單
Open folder	開啟資料夾
Opens the folder in Explorer. The log is rewritten every launch and is what to attach to a report.	在檔案總管中開啟該資料夾。記錄檔每次啟動時都會重新寫入，回報問題時請檢附此檔案。
Ore and stone	礦石與石頭
ore off	礦石已關閉
Ore, gems, stone, timber, hides, herbs, trade goods and other crafting input.	礦石、寶石、石材、木材、皮革、藥草、貿易商品及其他製作素材。
out of range	超出範圍
Overlay	覆蓋層
Override	覆寫規則
owned by someone (theft)	歸他人所有 (偷竊)
Ownership	所有權
Ownership oracle	所有權 Oracle
Pace	掃描節奏
part of a creature or a mechanism	生物或機關的一部分
paused: %s	已暫停：%s
pick up off	拾取已關閉
Plants	植物
plants off	植物已關閉
Player	玩家
Player equipment.	玩家裝備。
Player not found in the scene yet.	場景中尚未找到玩家。
Presets	預設集
press a key (Escape cancels)	請按任意鍵（按 Escape 取消）
Protected by default: a memory chip starts a memory scene when taken, and a puzzle part breaks its puzzle. Turn on only if you want them auto-taken.	預設受保護：拾取記憶碎片會觸發回憶場景，拿走解謎構件會破壞解謎機關。僅在確實需要自動拾取它們時才開啟。
protected item name	受保護的物品名稱
Puts every setting and rule back to what it was at that moment.	將所有設定與規則還原至當時的狀態。
puzzle or protected mechanism	解謎或受保護機關
Quest items	任務物品
quest or memory trigger	任務或記憶碎片物品
Ranges (metres)	範圍（公尺）
Rats, squirrels, birds, lizards, frogs and salamanders: anything else the game puts in the bag whole.	老鼠、松鼠、鳥類、蜥蜴、青蛙與蠑螈：遊戲會整隻放進背包的其他所有生物。
Reaching nodes	資源點預載
Read from the file beside the plugin, not the copy inside it.	從外掛程式旁的檔案讀取，而非其內建的副本。
Rebind	重新綁定
Recent loot	近期拾取
Refresh	重新整理
Reload now	立即重新載入
Replaces every setting and every class, tag and item rule with what the preset holds, and writes it to MasterLooter.ini. Nothing of the current settings is kept, so back them up first if you want them.	將所有設定以及每個類別、標籤和物品規則全部取代為該預設集中的內容，並寫入 MasterLooter.ini。目前的設定將不會保留，如有需要請先進行備份。
Reset all tags	重設所有標籤
resolved	已解析
Retry the same object after (ms)	重試同一物品的間隔 (毫秒)
Route id	路線 ID
Rule	規則
Save now	立即儲存
Saved as \"%s\": a preset name keeps letters, digits, spaces, dashes and underscores.	已儲存為 \"%s\"：預設集名稱僅保留英文字母、數字、空格、破折號與底線。
Say so on screen when the bag stops taking things	背包無法再裝入物品時在螢幕上提示
scan %.1f ms	掃描耗時 %.1f 毫秒
Scan radius	掃描半徑
Scans %ld, events sent %ld, pump ticks %ld, guarded faults %ld, node kinds learned %d	掃描 %ld 次，已發送事件 %ld 個，輪詢 Tick %ld 次，防護例外 %ld 次，已學習資源點類型 %d 種
Scans per second	每秒掃描次數
search item name or key (3+ letters)	搜尋物品名稱或鍵值 (至少 3 個字元)
Sending events	傳送事件
Set	設定
Settings: %ls	設定：%ls
Show a brief notice when auto-loot is toggled	切換自動拾取開關時顯示簡短提示
Showing current overrides. Type to search all %d items.	正在顯示目前的覆寫規則。輸入文字可搜尋全部 %d 件物品。
Showing the nearest %d of %d. The rest are further away.	正在顯示最近的 %d 個（共 %d 個）。其餘物品距離更遠。
Skip all	全部略過
Skip quest equipment	跳過任務裝備
Quest equipment	任務裝備
Gear marked important that no shop will buy, across every class. Off leaves quest tools where they lie.	遊戲標記為重要且沒有商店收購的裝備，涵蓋所有分類。關閉後，任務用的工具會留在原地。
Tools and gear the game marks important that no shop will buy: the fertilizer and lubricant sprayers, the Kuku spears, the scout rings and necklaces. 180 items, nearly all worth a single copper, and taking one off the floor early can put a quest step out of order.\n\nIt reads the two marks together, so an item carrying only one of them is not covered. The Field Sprayer is unsellable and not marked important, and still comes in.	遊戲標記為重要且沒有商店收購的工具和裝備：施肥噴霧器和潤滑噴霧器、庫庫長槍、斥候戒指和項鍊，共180件，幾乎全都只值一枚銅幣。太早從地上撿起其中一件，可能讓任務步驟亂了順序。\n\n它是把兩個標記合起來看的，所以只帶其中一個的物品不在此列。田野噴霧器無法出售，但沒有重要標記，仍然會被撿走。
Skip items shops refuse to buy	略過商店拒收的物品
Skip quest items	略過任務物品
skip: %s	略過：%s
Small animals	小型動物
small animals off	小型動物已關閉
Some world objects carry no readable item name. On: take them anyway. Off: leave them alone.\n\nThis covers loose items only. A pick-up the node table vouches for, such as a coin pile or a stack of gold bars, is taken whichever way this is set: the table naming the prefab is what identifies it, and the item inside it having no name is a separate question. Its own category switch still applies.	部分世界物品不包含可讀的物品名稱。開啟：照常拾取。關閉：保留所有未識別物品。\n\n這只適用於散落在地上的物品。節點表背書的可拾取物，例如一堆硬幣或一疊金條，無論此項如何設定都會被拾取：表中寫有該預製件的名稱，這本身就是識別，而裡面的物品有沒有名稱是另一回事。它自己的類別開關仍然有效。
someone is wearing this; taking it would copy it	有人正穿戴著這件；取走會複製它
stack at one point (storage contents)	堆疊於單點 (儲存空間內容物)
Status	狀態
Stop pets looting	阻止寵物拾取
Stop pets looting at all	完全阻止寵物拾取
Tables, chairs, beds, carpets, lamps, candles, paintings, pots and the rest of a furnished room, whether you pick one up off the floor or take it from its own interaction node. Most of it is worth a copper or two, but the carpets and the luxury beds run to thousands, so turn this on before furnishing a house. Chests and the other things that hold something answer to Containers instead. Off by default.	桌子、椅子、床、地毯、燈具、蠟燭、畫作、盆栽等佈置房間用的物品，無論是從地上拾取還是透過其自身的互動資源點取得。大多數只值一兩枚銅幣，但地毯與高級床鋪可能高達數千，所以在佈置房屋前請先開啟此項。箱子及其他能容納物品的東西則歸「容器」管理。預設為關閉。
Tag	標籤
Tags	標籤
tags, any of which can be set to never in the Tags tab:	標籤，皆可於「標籤」分頁中個別設為「從不」：
Take goods that belong to someone	拾取歸他人所有的物品
Take goods that belong to someone, on / off	拾取歸他人所有的物品 開/關
Take items the database cannot name	拾取資料庫中無名稱的物品
Pets and companions follow the filters	寵物與同伴遵守過濾規則
Take owned goods on / off	拾取有主物品 開/關
take this one by hand, looting it can lock the quest	請手動拿取這一件，自動拾取可能會卡住任務
takes effect next launch	下次啟動時生效
The engine scans around you and takes what the rules allow. Off means nothing is taken automatically; the burst key still works.	拾取引擎會掃描周圍環境，並拾取符合規則的物品。關閉表示不自動拾取；手動快捷拾取按鍵仍可正常生效。
The game asks two questions before a pet loots, one for a loose item on the ground and one for a body, and this answers both with no. A pet reaches for nothing, so nothing of yours is ever deleted afterwards and your own pick-ups are never in question. The cleaner of the two answers if you simply do not want a pet looting. Whether it reaches a mercenary has not been tested. The game carries one looting rule of this kind and both of its questions are answered no, so it may; Pets and companions follow the filters is the switch that certainly does.	寵物拾取之前，遊戲會問兩個問題，一個針對地上的散落物品，一個針對屍體，而這一項對兩個都回答否。寵物不會伸手去拿任何東西，所以事後不會有你的東西被刪除，你自己撿的東西也永遠不會被牽連。如果你只是不想讓寵物拾取，這是兩種做法中比較乾淨的一種。它是否管得到傭兵尚未測試。遊戲中這一類的拾取規則只有一條，而它的兩個問題都被回答為否，所以有可能管得到；寵物與同伴遵守過濾規則才是確定管得到的那個開關。
The game fills a node's data only when it thinks you can reach it. Arming asks it to do that from a distance, which is also what lets an ore vein be harvested where it stands. Veins take several seconds to answer where a bush takes a fraction of one.	遊戲只有在判定你能夠觸及資源點時，才會填入其資料。「預載」機制會要求遊戲在遠距離就先做到這件事，這也正是能讓礦脈在原地被開採的原因。礦脈需要數秒才會回應，而灌木叢只需要一瞬間。
The game removes taken objects with a delay. This stops the same object being sent twice while it fades.	遊戲在移除已被拾取的物品時存在延遲。此機制可避免物品在淡出消失期間被重複提交拾取。
The game treats this as stealing and will put a bounty on you.	遊戲會將此視為偷竊行為，並對你發布懸賞金。
The mod never swings a pickaxe. It drives the vein's own break sequence, and the game walks one drop row for that where a real swing walks two, so your mining tool's bonus pays nothing when the mod does the mining. This adds the missing ore back through the same drop path the game uses, so it is real ore spilled on the ground, not an item copied into your bag. Set it to what your tool pays by hand minus one: a drill that gives three by hand wants 2 here. It only applies to a vein this mod broke, so mining by hand is untouched and the two cannot stack.	模組本身從不揮動鎬子，而是驅動礦脈自身的碎裂流程；遊戲在這種情況下只會走一列掉落資料，而實際揮擊則會走兩列，所以模組挖礦時，你的採礦工具加成完全發揮不了作用。這項設定會透過遊戲原本的掉落途徑，把少掉的礦石補回去，因此補回的是真正灑落在地上的礦石，而不是直接複製進背包的物品。請把它設為你手動挖礦時獲得的數量減一：例如手動能給三個的鑽頭，這裡就設為 2。它只會套用在模組打破的礦脈上，因此手動挖礦不受影響，兩者也不會疊加。
Skinning the animals you kill, once per carcass. People go under Bodies. What skinning pays out is not checked against your filters. The mod never sees it before it lands, so this switch is all or nothing.	剝取你擊殺的動物的皮，每具屍骸一次。人歸在「屍體」下。剝皮所得不會依你的篩選器檢查。模組在它到手之前看不到它，所以這個開關要麼全有要麼全無。
Searching the people you kill, once per body. Animals go under Carcasses. What a search pays out is not checked against your filters, so this switch is all or nothing too.	搜刮你擊殺的人，每具屍體一次。動物歸在「屍骸」下。搜刮所得不會依你的篩選器檢查，所以這個開關同樣要麼全有要麼全無。
This session: %ld picked up, %ld gathered, %ld caught, %ld carcasses	本次工作階段：已拾取 %ld 個，已採集 %ld 個，已捕獲 %ld 個，已搜刮 %ld 具遺骸
Timber and branches on the ground, and the nodes that yield them. What most of these hold is read out of the game data itself, so refusing the class wood on the Classes tab leaves the trees standing as well as the timber under them. Where the game says nothing about a node, this switch is the only control it has.	地上的木料與樹枝，以及產出它們的資源點。其中大多數含有什麼，是直接從遊戲資料裡讀出來的，所以在類別頁籤中拒絕 wood 類別，會讓樹木留在原地，樹下的木料也一樣。若遊戲對某個資源點隻字未提，這個開關就是它唯一的控制手段。
To leave one species alone, set what it becomes to never on the Items tab: Item_Tench, Item_Ricefish, Item_Iguana. The mod reads the creature's own row in the game's character table, so it knows which species it is looking at before it catches anything. A few unusual creatures still fall back to guessing from their model name and are caught by category only.	若要放過特定物種，請在「物品」分頁把牠變成的物品設為「從不」，例如 Item_Tench、Item_Ricefish、Item_Iguana。模組會讀取遊戲角色資料表中該生物自身的欄位，因此在捕捉之前就已經知道自己看到的是哪個物種。少數特殊生物仍會退而求其次，改用其模型名稱來猜測，並僅依類別來捕捉。
Treasure and keepsakes	寶物與紀念品
Two buttons at once, never one: every single button already does something in this game. The mod only reads the pad, so the game still sees both buttons. Pick a pair that does nothing together, like the two shoulder buttons, or Back and a face button.	必須同時按下兩個按鍵，不可單鍵設定：因為本遊戲中每個單鍵皆已有對應功能。此模組僅讀取控制器輸入，遊戲仍能識別這兩個按鍵。請選擇一組同時按下時無衝突的組合鍵，例如兩個肩鍵（LB+RB），或是 Back 鍵搭配任一動作鍵。
