# Текст меню Master Looter українською (uk). Це машинний переклад; жоден носій
# мови ще його не перевіряв. Виправлення вітаються на GitHub
# (github.com/shin2344234/master-looter) або на сторінці мода на Nexus.
#
# Один рядок на один текст: оригінал англійською, символ табуляції,
# потім переклад. Рядки, що починаються з #, ігноруються. \n означає
# розрив рядка. Якщо після табуляції нічого немає, рядок і далі
# показується англійською. Кожен %d, %s, %.1f та інший заповнювач має
# лишатися на тому самому місці і в тому самому порядку: під час
# виконання в нього підставляються числа та назви, і рядок, що змінює
# порядок заповнювачів, під час завантаження ігнорується.
#
# Файл із такою назвою поруч із MasterLooter.asi замінює вбудовану
# копію цього тексту.

  bag full	  сумка повна
Breaking drives the game's own state machine at the vein, the swing landing and then the break, so the node spills its contents on the ground and disappears exactly as it does under a pickaxe. Emptying instead lifts the ore straight out and skips the drop entirely. Neither route pays your tool's Mining Yield Up, which the game only grants to a swing it counts as yours, so set the extra below to make up the difference. Each vein is struck once and then left alone until the game respawns it.	Розбиття запускає власну систему станів гри на жилі: спершу удар, потім розкол, тож точка розсипає вміст на землю і зникає точнісінько так само, як під кайлом. Спустошення натомість дістає руду напряму і повністю пропускає випадання. Жоден зі шляхів не враховує бонус «Підвищена видобувна віддача» вашого інструмента, який гра нараховує лише за удар, визнаний вашим власним, тож встановіть додаток нижче, щоб компенсувати різницю. Кожна жила б'ється один раз, а потім залишається в спокої, доки гра не відродить її.
Butterflies, beetles, dragonflies, bees, spiders, scorpions, snails and the other small things the game files as insects. Species come from the creature table; a creature the table cannot name is only caught when every category it could belong to is on (a flyer could be a fish, an insect or a bird).	Метелики, жуки, бабки, бджоли, павуки, скорпіони, равлики та інша дрібнота, яку гра записує як комах. Види беруться з таблиці істот; істоту, яку таблиця не може назвати, ловлять лише тоді, коли увімкнено кожну категорію, до якої вона могла б належати (летюче може бути рибою, комахою або птахом).
captured	спіймано
Carcasses	Туші
Carcasses and bodies	Туші та тіла
Bodies	Тіла
carcasses off	туші вимкнено
bodies off	тіла вимк.
Catching	Лов
Caught creatures, live or lying around; a creature the table can name follows its class rule. Crabs, shrimp and squid are seafood under Food and drink.	Спіймані істоти, живі чи ті, що лежать поруч; істота, яку таблиця може назвати, підпорядковується правилу свого класу. Краби, креветки та кальмари — морепродукти в розділі «Їжа та напої».
Class	Клас
class %s	клас %s
Classes	Класи
Clear	Очистити
Clear overrides	Очистити перевизначення
Clears what this session worked out from your bag. Nodes named by the prefab table are unaffected.	Очищає те, що ця сесія визначила з вашої сумки. Точки, названі за таблицею префабів, це не зачіпає.
Close	Закрити
container (off)	контейнер (вимкнено)
Containers	Контейнери
containers off	контейнери вимкнено
Controller	Геймпад
Copper	Мідь
Copy	Копіювати
Copy path	Копіювати шлях
Copy to the clipboard.	Копіювати в буфер обміну.
corpse	труп
corpse already searched	труп вже обшукано
corpse: loot drops separately	труп: лут випадає окремо
creature	істота
Creatures	Істоти
Crops	Культури
crops off	культури вимкнено
Damaged gear	Пошкоджене спорядження
Dead zone around you	Мертва зона навколо вас
Decision	Рішення
default	за замовчуванням
DirectX 12 hooks	DirectX 12 hooks
does not respond	не відповідає
Draw water from wells	Набирати воду з колодязів
Engine	Рушій
English	Англійська
English. %d line(s) seen this session.	Англійська. %d рядок(и) побачено цієї сесії.
entity	entity
entity %08X	entity %08X
entity %08X, %d items across every store	entity %08X, %d предметів у всіх сховищах
entity %08X, bag %d of %d slots, %d items across every store	entity %08X, сумка %d з %d слотів, %d предметів у всіх сховищах
Event descriptors	Дескриптори подій
Every rock: ore and stone chunks on the ground, veins, boulders, rubble piles and quarry stone. A vein is broken where it stands and its contents picked up off the floor, which is what your pickaxe does and what makes a better pickaxe worth carrying: the tool's Mining Yield Up applies to the drop, not to the node. Each vein is struck once and left alone until the game brings it back. Reaching for veins starts as far out as the scan can see, because they take seconds to answer where a bush takes a fraction of one.\n\nStone used to have a switch of its own and the split never held: the game files most quarry stone under mining, so turning Stone off left it arriving anyway. To keep the ore and leave the stone, refuse the class stone on the Classes tab. That covers Stone, Fine Stone, Flawless Stone and Stalactite, and every rock the game says holds nothing else is then left standing, the mine rocks and the stalactites included. A vein that also holds ore or a jewel is still broken, since refusing the stone is not refusing what sits beside it. Where the game describes a node not at all, it takes ore, jewels and stone all being refused before that one is passed over.	Будь-який камінь: шматки руди та каменю на землі, жили, брили, купи щебеню та кар'єрний камінь. Жила розбивається там, де стоїть, а її вміст підбирається з землі, саме те, що робить твоє кайло, і те, заради чого варто носити краще: бонус інструмента до видобутку застосовується до того, що випало, а не до точки. Кожну жилу б'ють один раз і залишають у спокої, доки гра її не поверне. Звертання до жил починається так далеко, як бачить сканування, бо вони відповідають секундами там, де кущ відповідає часткою секунди.\n\nУ каменю колись був власний перемикач, і цей поділ так і не втримався: гра відносить більшість кар'єрного каменю до гірничої справи, тож вимкнення Каменю все одно пропускало його. Щоб залишити руду й не чіпати камінь, відхили клас stone у вкладці Класи. Це охоплює Камінь, Добрий камінь, Бездоганний камінь і Сталактит, і кожна порода, про яку гра каже, що більше в ній нічого немає, тоді лишається на місці, разом із шахтними каменями та сталактитами. Жила, в якій є також руда або самоцвіт, і далі розбивається, бо відхилити камінь не означає відхилити те, що лежить поруч. Там, де гра зовсім не описує точку, потрібно, щоб руда, самоцвіти й камінь були відхилені всі, перш ніж цю точку буде пропущено.
Extra ore per vein	Додаткова руда за жилу
failed	помилка
fast-travel artifact	артефакт швидкої подорожі
filter classes	фільтр класів
filter tags	фільтр тегів
Filters	Фільтри
Fish	Риба
fish off	риба вимкнена
Fish, and whatever else you catch in the water: crabs, shrimp, squid, starfish and seahorses.	Риба та все інше, що можна впіймати у воді: краби, креветки, кальмари, морські зірки й морські коники.
Food and drink	Їжа та напої
Forget	Забути
found	знайдено
Furniture	Меблі
Furniture and decor	Меблі та декор
furniture node (off)	точка меблів (вимкнено)
furniture off	меблі вимкнено
Game functions	Функції гри
Game functions did not resolve; see Status.	Функції гри не вдалося визначити; дивіться Статус.
Game-thread pump	Помпа ігрового потоку
gather node	точка збору
Gathering	Збір
General	Загальні
Ground items	Предмети на землі
Groups	Групи
Herb, flower and mushroom nodes, and the same lying on the ground, seeds included. Food crops have their own switch. To keep the herbs and leave the seeds, or the other way round, refuse the class on the Classes tab: herb and seed are separate there. That sorts what is lying on the ground item by item, and it reaches the node as well wherever the game says what the node holds: refuse herb and a herb patch is left alone. Plant nodes are a mixed lot, paying grain and crafting materials too, and for the ones the game does not describe this switch is the only control.	Точки трав, квітів і грибів, і те саме, що лежить на землі, разом із насінням. Харчові культури мають власний перемикач. Щоб залишити трави й не чіпати насіння, або навпаки, відхили клас у вкладці Класи: herb і seed стоять там окремо. Це розбирає предмет за предметом те, що лежить на землі, і сягає точки скрізь, де гра каже, що точка містить: відхили herb, і грядка трав лишиться недоторканою. Точки рослин — строката компанія, вони дають також зерно та ремісничі матеріали, а для тих, яких гра не описує, цей перемикач є єдиним керуванням.
hold two buttons (Escape cancels)	утримуйте дві кнопки (Escape скасовує)
Household clutter and collectibles, most of it worthless.	Побутове барахло та колекційні предмети, здебільшого нічого не варті.
How full the bag is is read from the bag itself, so the notice appears the moment it fills, whether or not you are looting. If those numbers ever stop making sense the mod falls back to watching what happens after a pick-up: three in a row that reach nothing raise the notice, and one landing clears it.	Заповненість сумки зчитується безпосередньо з неї самої, тож повідомлення з'являється в момент, коли вона заповнюється, незалежно від того, лутаєте ви чи ні. Якщо ці цифри коли-небудь перестануть мати сенс, мод переходить до спостереження за тим, що відбувається після підбирання: три поспіль спроби, що нічого не дають, показують повідомлення, а одна вдала його прибирає.
How often the scene is read. The scan runs on its own thread; only the final take costs the game a fraction of a millisecond.	Як часто зчитується сцена. Сканування виконується у власному потоці; грі коштує лише частку мілісекунди на фінальне зчитування.
incomplete	незавершено
Insects	Комахи
insects off	комахи вимкнено
installed	встановлено
Item	Предмет
Item database	База даних предметів
Item table	Таблиця предметів
Items	Предмети
Items lying in the world, including drops from enemies.	Предмети, що лежать у світі, включно з тими, що випадають з ворогів.
Items no shop will buy, in every class but currency.	Предмети, які не купить жоден магазин, у будь-якому класі, крім валюти.
Items on the ground	Предмети на землі
Items tagged quest are left alone, so puzzles and story pickups are not auto-taken. It reads the item's own tags, so it covers anything you pick up and every node whose contents the mod can name. Two things fall outside it. A node it cannot name is decided by the switch for its kind, because there is no item there to read a tag from. And skinning a carcass pays out without the mod ever seeing what arrived.	Предмети з міткою завдання лишаються недоторканими, щоб предмети головоломок і сюжету не забиралися автоматично. Читаються власні мітки предмета, тож охоплюється все, що ти підбираєш, і кожна точка, вміст якої мод здатен назвати. Дві речі лишаються поза цим. Точку, яку він назвати не може, вирішує перемикач її різновиду, бо там немає предмета, з якого можна прочитати мітку. А білування туші виплачує здобич так, що мод узагалі не бачить, що надійшло.
Items with an unknown value are never filtered by it.	Предмети з невідомою вартістю ним ніколи не фільтруються.
Keep the menu on screen while you play. %s brings it back, %s closes it.	Тримати меню на екрані під час гри. %s повертає його, %s закриває.
Keys	Клавіші
Keys and tools	Ключі та інструменти
Language	Мова
Language \"%s\": %d line(s) translated, %d seen this session.	Мова \"%s\": %d рядок(и) перекладено, %d побачено цієї сесії.
learned from the game	вивчено з гри
Load	Завантажити
loaded	завантажено
locked	заблоковано
Log	Журнал
Log: %ls	Журнал: %ls
Loot	Лут
Loot all	Забрати все
Loot engine	Рушій лутання
Loot engine not started.	Рушій лутання не запущено.
Loot everything in range now	Забрати все в радіусі зараз
Loot everything in range once	Забрати все в радіусі один раз
loot: %s	лут: %s
Looting	Лут
MASTER LOOTER	MASTER LOOTER
Master Looter v%s for game build %s	Master Looter v%s для збірки гри %s
Materials	Матеріали
mechanism part	частина механізму
Memory chips and puzzle parts	Чипи пам'яті та частини головоломок
Mine ore veins for you	Видобувати рудні жили за вас
Minimum value (copper)	Мінімальна вартість (мідь)
missing	відсутньо
missing MasterLooter.items.tsv	відсутній MasterLooter.items.tsv
mission object	об'єкт місії
Mounts and vehicles	Верхові тварини та транспорт
name a new preset	назвіть новий пресет
Nearby	Поруч
never	ніколи
no	ні
no interaction node	немає точки взаємодії
Nodes the prefab table does not name and that have not yielded anything yet this session. Off (the default) leaves them alone. On makes the mod gather them to find out, which means a plant can be taken while Plants is off.	Точки, яких немає в таблиці префабів і які ще нічого не дали цієї сесії. Вимкнено (за замовчуванням) залишає їх у спокої. Увімкнено змушує мод зібрати їх, щоб з'ясувати, що це означає, що рослину можуть забрати, навіть коли «Рослини» вимкнено.
none	немає
not found yet	ще не знайдено
not in item database	немає в базі даних предметів
not ready (node empty)	не готово (точка порожня)
not resolved yet	ще не визначено
not started	не запущено
not yet	ще ні
Nothing else is drawn while the menu is closed.	Коли меню закрито, більше нічого не малюється.
nothing taken yet this session	цієї сесії ще нічого не забрано
Object	Об'єкт
object	об'єкт
Objects are listed nearest first, with the rule that decided each one. Empty nodes read as not ready until the game or arming fills them. What you are wearing and carrying is left out.	Об'єкти перелічені від найближчого, з правилом, що визначило кожен. Порожні точки показуються як не готові, доки гра або активація їх не заповнить. Те, що на вас надягнено чи що ви несете, до списку не входить.
Objects closer than this are treated as your own equipment. A safety net; your gear is also recognised by other means.	Об'єкти ближче цієї відстані вважаються вашим власним спорядженням. Це запобіжник; ваше спорядження також розпізнається іншими способами.
Objects per burst press	Об'єктів за одне натискання
Objects per scan	Об'єктів за сканування
on the player	на гравцеві
On, a vein is harvested where it stands and you never swing a pickaxe. Off, veins are left alone and only the chunks you knock loose are picked up. Needs arming, since asking the vein to open is the whole trick.	Увімкнено — жила видобувається там, де стоїть, і ви жодного разу не змахуєте кайлом. Вимкнено — жили залишаються в спокої, і забираються лише шматки, які ви самі відбили. Потребує активації, бо весь фокус саме в тому, щоб попросити жилу відкритися.
On, the overlay draws under DLSS frame generation, which needs this mod to hand the game a wrapped swapchain.\n\nOff, the overlay draws through the present hook instead. Everything looks the same unless frame generation is on, and the mod stays off a path other overlay mods patch as well. Try this if the game will not start alongside another overlay mod; it can be set as WrapSwapChain in MasterLooter.ini without launching the game.	Увімкнено — оверлей малюється під генерацією кадрів DLSS, для чого мод має передати грі обгорнутий swapchain.\n\nВимкнено — натомість оверлей малюється через hook present. Усе виглядає так само, якщо генерацію кадрів не увімкнено, а мод не займає шлях, який патчать й інші оверлей-моди. Спробуйте це, якщо гра не запускається разом з іншим оверлей-модом; це можна встановити як WrapSwapChain у MasterLooter.ini без запуску гри.
One click per family. The table below still sets single classes; a group shows a dash when only some of it is on.	Одне натискання на сім'ю. Таблиця нижче й далі керує окремими класами; група показує риску, коли увімкнено лише частину її складу.
Open and close this menu	Відкрити та закрити це меню
Open folder	Відкрити папку
Opens the folder in Explorer. The log is rewritten every launch and is what to attach to a report.	Відкриває папку в Провіднику. Журнал перезаписується під час кожного запуску, і саме його треба додавати до звіту.
Ore and stone	Руда та камінь
ore off	руда вимкнена
Ore, gems, stone, timber, hides, herbs, trade goods and other crafting input.	Руда, коштовне каміння, камінь, деревина, шкури, трави, торгові товари та інша сировина для крафту.
out of range	поза межами досяжності
Overlay	Оверлей
Override	Перевизначення
owned by someone (theft)	належить комусь (крадіжка)
Ownership	Власність
Ownership oracle	Оракул власності
Pace	Темп
part of a creature or a mechanism	частина істоти або механізму
paused: %s	на паузі: %s
pick up off	підбирання вимкнено
Plants	Рослини
plants off	рослини вимкнено
Player	Гравець
Player equipment.	Спорядження гравця.
Player not found in the scene yet.	Гравця ще не знайдено на сцені.
Presets	Пресети
press a key (Escape cancels)	натисніть клавішу (Escape скасовує)
Protected by default: a memory chip starts a memory scene when taken, and a puzzle part breaks its puzzle. Turn on only if you want them auto-taken.	Захищено за замовчуванням: чип пам'яті запускає сцену спогаду, коли його беруть, а частина головоломки ламає свою головоломку. Вмикайте, лише якщо хочете, щоб їх забирали автоматично.
protected item name	назва захищеного предмета
Puts every setting and rule back to what it was at that moment.	Повертає всі налаштування та правила до стану на той момент.
puzzle or protected mechanism	головоломка або захищений механізм
Quest items	Предмети завдань
quest or memory trigger	тригер завдання або спогаду
Ranges (metres)	Радіуси (метри)
Rats, squirrels, birds, lizards, frogs and salamanders: anything else the game puts in the bag whole.	Щури, білки, птахи, ящірки, жаби та саламандри: усе інше, що гра кладе в сумку цілим.
Reaching nodes	Досяжність точок
Read from the file beside the plugin, not the copy inside it.	Зчитується з файлу поруч із плагіном, а не з копії всередині нього.
Rebind	Перепризначити
Recent loot	Недавній лут
Refresh	Оновити
Reload now	Перезавантажити зараз
Replaces every setting and every class, tag and item rule with what the preset holds, and writes it to MasterLooter.ini. Nothing of the current settings is kept, so back them up first if you want them.	Замінює всі налаштування та всі правила класів, тегів і предметів вмістом пресету й записує це в MasterLooter.ini. Нічого з поточних налаштувань не зберігається, тож зробіть резервну копію заздалегідь, якщо хочете їх зберегти.
Reset all tags	Скинути всі теги
resolved	визначено
Retry the same object after (ms)	Повторити той самий об'єкт через (мс)
Route id	ID маршруту
Rule	Правило
Save now	Зберегти зараз
Saved as \"%s\": a preset name keeps letters, digits, spaces, dashes and underscores.	Збережено як \"%s\": назва пресету може містити літери, цифри, пробіли, дефіси та підкреслення.
Say so on screen when the bag stops taking things	Повідомляти на екрані, коли сумка перестає приймати речі
scan %.1f ms	сканування %.1f мс
Scan radius	Радіус сканування
Scans %ld, events sent %ld, pump ticks %ld, guarded faults %ld, node kinds learned %d	Сканувань %ld, подій надіслано %ld, тактів помпи %ld, захищених збоїв %ld, типів точок вивчено %d
Scans per second	Сканувань за секунду
search item name or key (3+ letters)	пошук назви чи ключа предмета (3+ літери)
Sending events	Надсилання подій
Set	Встановити
Settings: %ls	Налаштування: %ls
Show a brief notice when auto-loot is toggled	Показувати коротке повідомлення при перемиканні автолуту
Showing current overrides. Type to search all %d items.	Показано поточні перевизначення. Введіть текст, щоб шукати серед усіх %d предметів.
Showing the nearest %d of %d. The rest are further away.	Показано %d найближчих із %d. Решта — далі.
Skip all	Пропускати все
Skip quest equipment	Пропускати квестове спорядження
Quest equipment	Квестове спорядження
Gear marked important that no shop will buy, across every class. Off leaves quest tools where they lie.	Спорядження, яке гра позначає як важливе і якого не купить жодна крамниця, у всіх класах. Вимкнено: квестові інструменти лишаються на місці.
Tools and gear the game marks important that no shop will buy: the fertilizer and lubricant sprayers, the Kuku spears, the scout rings and necklaces. 180 items, nearly all worth a single copper, and taking one off the floor early can put a quest step out of order.\n\nIt reads the two marks together, so an item carrying only one of them is not covered. The Field Sprayer is unsellable and not marked important, and still comes in.	Інструменти та спорядження, які гра позначає як важливі і яких не купить жодна крамниця: обприскувачі добрива та мастила, списи Куку, розвідницькі персні та намиста. 180 предметів, майже всі вартістю в одну мідь, і підняти такий із землі зарано означає збити крок завдання.\n\nОбидві позначки читаються разом, тож предмет лише з однією з них сюди не потрапляє. Польовий обприскувач не продається, але не позначений як важливий, і його й далі підбирають.
Skip items shops refuse to buy	Пропускати предмети, які магазини відмовляються купувати
Skip quest items	Пропускати предмети завдань
skip: %s	пропуск: %s
Small animals	Дрібні тварини
small animals off	дрібні тварини вимкнено
Some world objects carry no readable item name. On: take them anyway. Off: leave them alone.\n\nThis covers loose items only. A pick-up the node table vouches for, such as a coin pile or a stack of gold bars, is taken whichever way this is set: the table naming the prefab is what identifies it, and the item inside it having no name is a separate question. Its own category switch still applies.	Деякі об'єкти світу не мають назви предмета, яку можна прочитати. Увімкнено: забирати їх попри це. Вимкнено: залишати все невизначене.\n\nЦе стосується лише окремих предметів. Підбираний об'єкт, за який ручається таблиця точок, наприклад купка монет або стос золотих злитків, береться за будь-якого стану цього перемикача: його розпізнає те, що таблиця називає префаб, а чи має ім'я предмет усередині — окреме питання. Власний перемикач його категорії діє й далі.
someone is wearing this; taking it would copy it	це на комусь надіте; узяти це означало б його скопіювати
stack at one point (storage contents)	стос в одній точці (вміст сховища)
Status	Стан
Stop pets looting	Заборонити улюбленцям підбирати
Tables, chairs, beds, carpets, lamps, candles, paintings, pots and the rest of a furnished room, whether you pick one up off the floor or take it from its own interaction node. Most of it is worth a copper or two, but the carpets and the luxury beds run to thousands, so turn this on before furnishing a house. Chests and the other things that hold something answer to Containers instead. Off by default.	Столи, стільці, ліжка, килими, лампи, свічки, картини, горщики та решта умеблювання кімнати — байдуже, підбираєте ви це з підлоги чи берете з власної точки взаємодії. Більшість цього варта мідяк-два, але килими та розкішні ліжка сягають тисяч, тож увімкніть це перед умеблюванням будинку. Скрині та інші речі, що щось у собі тримають, підпорядковуються натомість «Контейнерам». Вимкнено за замовчуванням.
Tag	Тег
Tags	Теги
tags, any of which can be set to never in the Tags tab:	теги, кожен з яких на вкладці «Теги» можна встановити на «ніколи»:
Take goods that belong to someone	Забирати речі, що належать комусь
Take goods that belong to someone, on / off	Забирати чужі речі, увімкнено/вимкнено
Take items the database cannot name	Забирати предмети, яких база даних не може назвати
Pets and companions follow the filters	Улюбленці та супутники дотримуються фільтрів
Take owned goods on / off	Забирати чуже майно, увімкнено/вимкнено
take this one by hand, looting it can lock the quest	візьми цей вручну, підбирання може заблокувати завдання
takes effect next launch	набуде чинності після наступного запуску
The engine scans around you and takes what the rules allow. Off means nothing is taken automatically; the burst key still works.	Рушій сканує простір навколо вас і забирає те, що дозволяють правила. Вимкнено означає, що нічого не забирається автоматично; клавіша миттєвого забору й далі працює.
The game fills a node's data only when it thinks you can reach it. Arming asks it to do that from a distance, which is also what lets an ore vein be harvested where it stands. Veins take several seconds to answer where a bush takes a fraction of one.	Гра заповнює дані точки лише тоді, коли вважає, що ви можете до неї дотягнутися. Активація просить її зробити це на відстані, що також дозволяє видобувати рудну жилу там, де вона стоїть. Жили відповідають кілька секунд там, де кущ відповідає за частку секунди.
The game removes taken objects with a delay. This stops the same object being sent twice while it fades.	Гра прибирає забрані об'єкти із затримкою. Це запобігає повторному надсиланню того самого об'єкта, поки він зникає.
The game treats this as stealing and will put a bounty on you.	Гра вважає це крадіжкою і призначить за вас нагороду.
The mod never swings a pickaxe. It drives the vein's own break sequence, and the game walks one drop row for that where a real swing walks two, so your mining tool's bonus pays nothing when the mod does the mining. This adds the missing ore back through the same drop path the game uses, so it is real ore spilled on the ground, not an item copied into your bag. Set it to what your tool pays by hand minus one: a drill that gives three by hand wants 2 here. It only applies to a vein this mod broke, so mining by hand is untouched and the two cannot stack.	Мод ніколи не змахує кайлом. Він запускає власну послідовність розколу жили, і в цьому разі гра проходить один рядок випадання там, де справжній удар проходить два, тож бонус вашого гірничого інструмента нічого не дає, коли видобуває мод. Це додає відсутню руду назад через той самий шлях випадання, який використовує гра, тож це справжня руда, розсипана на землі, а не предмет, скопійований у вашу сумку. Встановіть значення, яке ваш інструмент дає вручну, мінус один: дриль, що дає три вручну, тут потребує 2. Це стосується лише жили, яку розбив цей мод, тож видобуток вручну лишається незмінним, і два бонуси не можуть підсумовуватися.
This session: %ld picked up, %ld gathered, %ld caught, %ld carcasses	Цієї сесії: %ld підібрано, %ld зібрано, %ld спіймано, %ld туш
Timber and branches on the ground, and the nodes that yield them. What most of these hold is read out of the game data itself, so refusing the class wood on the Classes tab leaves the trees standing as well as the timber under them. Where the game says nothing about a node, this switch is the only control it has.	Деревина й гілки на землі, і точки, що їх дають. Те, що містить більшість із них, читається з самих ігрових даних, тож відхилення класу wood у вкладці Класи лишає дерева стояти, а разом із ними й деревину під ними. Там, де гра нічого не каже про точку, цей перемикач — єдине керування, яке вона має.
To leave one species alone, set what it becomes to never on the Items tab: Item_Tench, Item_Ricefish, Item_Iguana. The mod reads the creature's own row in the game's character table, so it knows which species it is looking at before it catches anything. A few unusual creatures still fall back to guessing from their model name and are caught by category only.	Щоб залишити один вид у спокої, встановіть на «ніколи» те, чим він стає, на вкладці «Предмети»: Item_Tench, Item_Ricefish, Item_Iguana. Мод зчитує власний рядок істоти в таблиці персонажів гри, тож знає, на який вид дивиться, ще до того, як щось спіймає. Кілька незвичайних істот усе ще визначаються здогадно за назвою моделі й ловляться лише за категорією.
Treasure and keepsakes	Скарби та пам'ятні речі
Two buttons at once, never one: every single button already does something in this game. The mod only reads the pad, so the game still sees both buttons. Pick a pair that does nothing together, like the two shoulder buttons, or Back and a face button.	Дві кнопки одночасно, ніколи одна: кожна окрема кнопка вже щось робить у цій грі. Мод лише зчитує геймпад, тож гра все одно бачить обидві кнопки. Оберіть пару, яка разом не робить нічого, наприклад обидва бампери або Back і одну з кнопок обличчя.
Two things that hold things. The chests, crates and drop-set nodes you open, which rarely answer the loot event. And anything on the ground whose job is to hold something: bottles, jars, clay pots, waterskins, vases and the storage boxes you place. Off by default, and off means a shelf of pottery is left where it stands. Reward boxes are not covered, since those are loot in their own right and belong to Treasure and keepsakes on the Classes tab.\n\nWhat comes out of a chest is not checked against your filters. The game hands the contents over in one go and the mod never sees them as objects, so for those this switch is all or nothing.	Дві речі, що вміщують речі. Скрині, ящики й точки здобичі, які ти відкриваєш і які рідко відповідають на подію підбирання. І все на землі, чиє завдання — щось умістити: пляшки, банки, глиняні горщики, бурдюки, вази та скрині для зберігання, які ти ставиш сам. Типово вимкнено, і вимкнено означає, що полиця з керамікою лишається там, де стоїть. Нагородні скрині сюди не входять, бо це здобич сама собою і належить до Скарби та пам'ятні речі у вкладці Класи.\n\nТе, що виходить зі скрині, з твоїми фільтрами не звіряється. Гра передає вміст одним заходом, і мод ніколи не бачить його як об'єкти, тож для них цей перемикач працює за принципом усе або нічого.
Unbound until you set it. The game calls taking owned goods stealing and puts a bounty on you for it, so this is the switch you want on for a moment and off again, which is a poor fit for a menu.	Не призначено, доки ви це не налаштуєте. Гра називає забирання чужого майна крадіжкою і призначає за це нагороду, тож це перемикач, який ви захочете увімкнути на мить і одразу вимкнути, а це погано пасує до меню.
Unidentified nodes	Невизначені точки
unidentified nodes off	невизначені точки вимкнено
unidentified: could be a fish, a flying insect or a bird	невизначено: може бути рибою, летючою комахою або птахом
unidentified: could be an insect or a small animal	невизначено: може бути комахою або дрібною твариною
unnamed item	предмет без назви
Unsellable items	Непродавані предмети
Use this language	Використовувати цю мову
