# Master Looter menu text, Simplified Chinese (简体中文).
# Translated by dofo7777.
#
# dofo7777 翻译完成后新增的行是机器翻译而成，
# 尚未经过母语者校对。欢迎通过 GitHub（github.com/shin2344234/master-looter）
# 或 Nexus 页面提出更正。
#
# One string per line: the English, a tab, then the translation. Lines
# starting with # are ignored, \n is a line break, and a line with nothing
# after the tab is shown in English.
# Every %d, %s and %.1f has to survive in the same order, because these are
# printed with the numbers substituted in. A line that changes them is
# ignored at load rather than risked.
#
# This copy is built into the plugin. To change it without rebuilding, put a
# file of this name next to MasterLooter.asi and it will be read instead.

  bag full	  背包已满
Books and papers	书籍与文件
Boss rewards, artifacts, memory items, coin pouches and reward chests.	首领奖励、阿比斯神器、记忆碎片、钱袋和奖励宝箱。
Break veins open rather than emptying them	击碎矿脉而非直接清空
Breaking drives the game's own state machine at the vein, the swing landing and then the break, so the node spills its contents on the ground and disappears exactly as it does under a pickaxe. Emptying instead lifts the ore straight out and skips the drop entirely. Neither route pays your tool's Mining Yield Up, which the game only grants to a swing it counts as yours, so set the extra below to make up the difference. Each vein is struck once and then left alone until the game respawns it.	击碎会驱动矿脉自身的游戏状态机：先是挥击命中，再是击碎，因此资源点会将内容物洒落在地面上并消失，与被镐子击碎时完全一样。直接清空则会将矿石直接取出，完全跳过掉落过程。两种方式都不会触发你工具的“挖矿产出提升”，因为游戏只会将其判定为算你自己的挥击才给予加成，所以请用下方的“额外”选项来补足这部分差额。每条矿脉只会被击中一次，随后保持不变，直到游戏将其重新生成。
Butterflies, beetles, dragonflies, bees, spiders, scorpions, snails and the other small things the game files as insects. Species come from the creature table; a creature the table cannot name is only caught when every category it could belong to is on (a flyer could be a fish, an insect or a bird).	蝴蝶、甲虫、蜻蜓、蜜蜂、蜘蛛、蝎子、蜗牛，以及游戏归类为昆虫的其他小型生物。物种信息来自生物数据表；若数据表无法命名某个生物，则只有在它可能归属的每个类别都已开启时才会被捕捉（例如一个会飞的生物可能是鱼、昆虫或鸟类）。
captured	已捕获
Carcasses	动物尸体
Carcasses and bodies	动物尸体与尸体
Bodies	尸体
carcasses off	尸体已关闭
bodies off	尸体关闭
Catching	捕捉
Caught creatures, live or lying around; a creature the table can name follows its class rule. Crabs, shrimp and squid are seafood under Food and drink.	已捕获的生物，无论是活的还是散落在地上的；数据表能够命名的生物遵循其自身的类别规则。螃蟹、虾和鱿鱼属于“食物与饮品”下的海鲜。
Class	类别
class %s	类别 %s
Classes	类别
Clear	清除
Clear overrides	清除覆盖规则
Clears what this session worked out from your bag. Nodes named by the prefab table are unaffected.	清除本次会话从背包中分析出的数据。由预制体表命名的资源点不受影响。
Close	关闭
container (off)	容器 (已关闭)
Containers	容器
containers off	容器已关闭
Controller	手柄
Copper	铜币
Copy	复制
Copy path	复制路径
Copy to the clipboard.	复制到剪贴板。
corpse	尸体
corpse already searched	尸体已搜刮
corpse: loot drops separately	尸体：掉落物独立掉落
creature	生物
Creatures	生物
Crops	农作物
crops off	农作物已关闭
Damaged gear	损坏的装备
Dead zone around you	自身周围盲区
Decision	判定
default	默认
DirectX 12 hooks	DirectX 12 钩子
does not respond	无响应
Draw water from wells	自动为你从水井打水
Engine	引擎
English	英文
English. %d line(s) seen this session.	英文。本次会话已出现 %d 行。
entity	实体
entity %08X	实体 %08X
entity %08X, %d items across every store	实体 %08X，所有存储中共有 %d 件物品
entity %08X, bag %d of %d slots, %d items across every store	实体 %08X，背包 %d/%d 格，所有存储中共有 %d 件物品
Event descriptors	事件描述符
Every rock: ore and stone chunks on the ground, veins, boulders, rubble piles and quarry stone. A vein is broken where it stands and its contents picked up off the floor, which is what your pickaxe does and what makes a better pickaxe worth carrying: the tool's Mining Yield Up applies to the drop, not to the node. Each vein is struck once and left alone until the game brings it back. Reaching for veins starts as far out as the scan can see, because they take seconds to answer where a bush takes a fraction of one.\n\nStone used to have a switch of its own and the split never held: the game files most quarry stone under mining, so turning Stone off left it arriving anyway. To keep the ore and leave the stone, refuse the class stone on the Classes tab. That covers Stone, Fine Stone, Flawless Stone and Stalactite, and every rock the game says holds nothing else is then left standing, the mine rocks and the stalactites included. A vein that also holds ore or a jewel is still broken, since refusing the stone is not refusing what sits beside it. Where the game describes a node not at all, it takes ore, jewels and stone all being refused before that one is passed over.	所有石头：地上的矿石与石块、矿脉、巨石、碎石堆以及采石场的石料。矿脉会在原地被打碎，内容物从地上捡起，这正是你的镐子所做的事，也是值得带一把更好的镐子的原因：工具的采矿产出加成作用于掉落物，而不是资源点。每条矿脉只敲一次，之后就放着不管，直到游戏把它恢复。对矿脉的伸手从扫描所能看到的最远处就开始，因为灌木只要一瞬就能回应，矿脉却要数秒。\n\n石头曾经有过自己的开关，而这种划分从未站得住脚：游戏把大部分采石场石料归在采矿之下，所以把石头关掉，它照样会进来。想留下矿石、把石头丢在原地，请在类别页签中拒绝 stone 类别。这涵盖石头、优质石头、无瑕石头和钟乳石，凡是游戏说不含其他东西的岩石便会留在原处，矿洞岩石和钟乳石也在其中。同时含有矿石或宝石的矿脉仍会被打碎，因为拒绝石头并不等于拒绝它旁边的东西。若游戏对某个资源点完全没有描述，则需要矿石、宝石和石头全部被拒绝，才会略过那一个。
Extra ore per vein	每条矿脉的额外矿石
failed	失败
fast-travel artifact	快速旅行阿比斯神器
filter classes	过滤类别
filter tags	过滤标签
Filters	过滤规则
Fish	鱼类
fish off	鱼类已关闭
Fish, and whatever else you catch in the water: crabs, shrimp, squid, starfish and seahorses.	鱼类，以及你在水中捕获的其他生物：螃蟹、虾、鱿鱼、海星和海马。
Food and drink	食物与饮品
Forget	遗忘
found	已找到
Furniture	家具
Furniture and decor	家具与装饰
furniture node (off)	家具资源点 (已关闭)
furniture off	家具已关闭
Game functions	游戏函数
Game functions did not resolve; see Status.	游戏函数未成功解析；详见“状态”。
Game-thread pump	游戏线程轮询
gather node	采集资源点
Gathering	采集
General	常规
Ground items	地面物品
Groups	分组
Herb, flower and mushroom nodes, and the same lying on the ground, seeds included. Food crops have their own switch. To keep the herbs and leave the seeds, or the other way round, refuse the class on the Classes tab: herb and seed are separate there. That sorts what is lying on the ground item by item, and it reaches the node as well wherever the game says what the node holds: refuse herb and a herb patch is left alone. Plant nodes are a mixed lot, paying grain and crafting materials too, and for the ones the game does not describe this switch is the only control.	草药、花朵与蘑菇的资源点，以及散落在地上的同类，种子也包含在内。粮食作物有自己的开关。想留下草药而把种子丢在原地，或者反过来，请在类别页签中拒绝相应类别：herb 与 seed 在那里是分开的。这会把地上的东西逐件分拣，并且只要游戏说明了资源点的内容，也能一并管到资源点：拒绝 herb，一丛草药就会被原样留下。植物资源点成分驳杂，也会产出谷物和制作材料，而对于游戏没有描述的那些，这个开关是唯一的控制手段。
hold two buttons (Escape cancels)	同时按住两个按键（按 Escape 取消）
Household clutter and collectibles, most of it worthless.	家居杂物与收藏品，大多不值钱。
How full the bag is is read from the bag itself, so the notice appears the moment it fills, whether or not you are looting. If those numbers ever stop making sense the mod falls back to watching what happens after a pick-up: three in a row that reach nothing raise the notice, and one landing clears it.	背包容量直接读取自背包本身，因此无论是否正在拾取，一旦装满就会立即提示。如果该数值出现异常，Mod 会回退为监测拾取后的状态：连续三次拾取未获得任何物品将触发满包提示，成功获得一件物品则清除提示。
How often the scene is read. The scan runs on its own thread; only the final take costs the game a fraction of a millisecond.	场景读取频率。扫描在独立线程运行；仅最终拾取动作会占用游戏极微小的毫秒时间。
incomplete	不完整
Insects	昆虫
insects off	昆虫已关闭
installed	已安装
Item	物品
Item database	物品数据库
Item table	物品表
Items	物品
Items lying in the world, including drops from enemies.	散落在世界各处的物品，包括敌人掉落的物品。
Items no shop will buy, across every class.	所有类别中没有任何商店愿意收购的物品。
Items on the ground	地面上的物品
Items tagged quest are left alone, so puzzles and story pickups are not auto-taken. It reads the item's own tags, so it covers anything you pick up and every node whose contents the mod can name. Two things fall outside it. A node it cannot name is decided by the switch for its kind, because there is no item there to read a tag from. And skinning a carcass pays out without the mod ever seeing what arrived.	带有任务标签的物品会被原样留下，这样解谜和剧情物品就不会被自动取走。它读取物品自身的标签，因此涵盖你捡起的一切，以及模组能叫出内容物名字的每一个资源点。有两样不在其列。它叫不出名字的资源点由其种类的开关决定，因为那里没有可供读取标签的物品。另外，剥取动物尸体的产出会直接入账，模组根本看不到来的是什么。
Items with an unknown value are never filtered by it.	价值未知的物品绝不会按价值进行过滤。
Keep the menu on screen while you play. %s brings it back, %s closes it.	游玩时保持菜单显示。按 %s 重新呼出，按 %s 关闭。
Keys	按键
Keys and tools	钥匙与工具
Language	语言
Language \"%s\": %d line(s) translated, %d seen this session.	语言 \"%s\"：已翻译 %d 行，本次会话出现 %d 行。
learned from the game	已从游戏中获知
Load	加载
loaded	已加载
locked	已锁定
Log	日志
Log: %ls	日志：%ls
Loot	拾取
Loot all	全部拾取
Loot engine	拾取引擎
Loot engine not started.	拾取引擎未启动。
Loot everything in range now	立即拾取范围内所有物品
Loot everything in range once	一次性拾取范围内所有物品
loot: %s	拾取：%s
Looting	拾取
MASTER LOOTER	MASTER LOOTER
Master Looter v%s for game build %s	Master Looter v%s (游戏版本 %s)
Materials	材料
mechanism part	机关零件
Memory chips and puzzle parts	记忆碎片与解谜构件
Mine ore veins for you	自动为你开采矿脉
Minimum value (copper)	最低价值（铜币）
missing	缺失
missing MasterLooter.items.tsv	缺失 MasterLooter.items.tsv
mission object	任务目标对象
Mounts and vehicles	坐骑与载具
name a new preset	为新预设命名
Nearby	附近
never	从不
no	否
no interaction node	无交互资源点
Nodes the prefab table does not name and that have not yielded anything yet this session. Off (the default) leaves them alone. On makes the mod gather them to find out, which means a plant can be taken while Plants is off.	预制体表无法命名、且本次会话中尚未产出过任何物品的资源点。关闭（默认）时不予理会。开启后 Mod 会尝试采集以查明其内容，这意味着即使“植物”已关闭，未识别的植物也可能被采集。
none	无
not found yet	尚未找到
not in item database	不在物品数据库中
not ready (node empty)	未就绪 (资源点为空)
not resolved yet	尚未解析
not started	未启动
not yet	尚未
Nothing else is drawn while the menu is closed.	菜单关闭期间不会绘制任何其他内容。
nothing taken yet this session	本次会话尚未拾取任何物品
Object	对象
object	对象
Objects are listed nearest first, with the rule that decided each one. Empty nodes read as not ready until the game or arming fills them. What you are wearing and carrying is left out.	对象按距离由近到远列出，并显示判定该对象的规则。空资源点在游戏或激活机制填充数据之前显示为未就绪。自身穿戴和携带的物品已被排除。
Objects closer than this are treated as your own equipment. A safety net; your gear is also recognised by other means.	距离小于此值的对象将被视作自身的装备。这是一道安全防线；你的装备也会通过其他方式被识别。
Objects per burst press	单次速拾对象数
Objects per scan	单次扫描对象数
on the player	在玩家身上
On, a vein is harvested where it stands and you never swing a pickaxe. Off, veins are left alone and only the chunks you knock loose are picked up. Needs arming, since asking the vein to open is the whole trick.	开启时，矿脉会原地被采集，你无需挥动镐子。关闭时，矿脉不受理会，仅拾取你自己敲落的矿石碎块。此功能需要激活机制配合，因为让矿脉开口正是其中的关键所在。
On, the overlay draws under DLSS frame generation, which needs this mod to hand the game a wrapped swapchain.\n\nOff, the overlay draws through the present hook instead. Everything looks the same unless frame generation is on, and the mod stays off a path other overlay mods patch as well. Try this if the game will not start alongside another overlay mod; it can be set as WrapSwapChain in MasterLooter.ini without launching the game.	开启时，覆盖层会在 DLSS 帧生成（Frame Generation）之下绘制，这需要此 Mod 为游戏提供一个封装后的交换链（Swapchain）。\n\n关闭时，覆盖层改由 Present Hook 绘制。除非开启了帧生成，否则视觉效果完全相同，且此 Mod 可以避开与其他覆盖层 Mod 重叠的 Hook 路径。如果游戏在与其他覆盖层 Mod 共存时无法启动，可尝试关闭此项；也可以无需启动游戏，直接在 MasterLooter.ini 中设置 WrapSwapChain。
One backup is written each time the game starts and the last twelve are kept, in MasterLooter.backups next to the plugin. Presets sit in MasterLooter.presets. Copy either folder to keep it across a reinstall.	每次启动游戏都会写入一份备份，最多保留最近 12 份，存放在插件同目录下的 MasterLooter.backups 中。预设保存在 MasterLooter.presets 中。重装前可复制任一文件夹进行保留。
One click per family. The table below still sets single classes; a group shows a dash when only some of it is on.	一键切换整个分组。下方表格仍可单独设置单个类别；当分组内仅部分启用时，分组会显示短横线（-）。
Open and close this menu	打开或关闭此菜单
Open folder	打开文件夹
Opens the folder in Explorer. The log is rewritten every launch and is what to attach to a report.	在资源管理器中打开该文件夹。日志在每次启动时都会重写，提交反馈时请附带此日志。
Ore and stone	矿石与石头
ore off	矿石已关闭
Ore, gems, stone, timber, hides, herbs, trade goods and other crafting input.	矿石、宝石、石料、木材、兽皮、草药、贸易货物及其他制作材料。
out of range	超出范围
Overlay	覆盖层
Override	覆盖规则
owned by someone (theft)	归他人所有 (盗窃)
Ownership	归属权
Ownership oracle	归属权探测
Pace	扫描速率
part of a creature or a mechanism	生物或机关的一部分
paused: %s	已暂停：%s
pick up off	地面拾取已关闭
Plants	植物
plants off	植物已关闭
Player	玩家
Player equipment.	玩家装备。
Player not found in the scene yet.	场景中尚未找到玩家。
Presets	预设
press a key (Escape cancels)	请按键（按 Escape 取消）
Protected by default: a memory chip starts a memory scene when taken, and a puzzle part breaks its puzzle. Turn on only if you want them auto-taken.	默认受保护：拾取记忆碎片会触发回忆场景，拿走解谜物品会破坏解谜机关。仅在确实需要自动拾取它们时才开启。
protected item name	受保护的物品名称
Puts every setting and rule back to what it was at that moment.	将所有设置和规则恢复至当时的状态。
puzzle or protected mechanism	解谜或受保护的机关
Quest items	任务物品
quest or memory trigger	任务或记忆碎片物品
Ranges (metres)	范围（米）
Rats, squirrels, birds, lizards, frogs and salamanders: anything else the game puts in the bag whole.	老鼠、松鼠、鸟类、蜥蜴、青蛙和蝾螈：游戏中其余会被整只放入背包的小动物。
Reaching nodes	资源点预载
Read from the file beside the plugin, not the copy inside it.	从插件旁边的文件读取，而非内置的副本。
Rebind	重新绑定
Recent loot	近期拾取
Refresh	刷新
Reload now	立即重载
Replaces every setting and every class, tag and item rule with what the preset holds, and writes it to MasterLooter.ini. Nothing of the current settings is kept, so back them up first if you want them.	将所有设置以及每个类别、标签和物品规则全部替换为该预设中的内容，并写入 MasterLooter.ini。当前设置将不会保留，如有需要请先进行备份。
Reset all tags	重置所有标签
resolved	已解析
Retry the same object after (ms)	重试同一对象的间隔 (毫秒)
Route id	路由 ID
Rule	规则
Save now	立即保存
Saved as \"%s\": a preset name keeps letters, digits, spaces, dashes and underscores.	已保存为 \"%s\"：预设名称仅保留字母、数字、空格、短横线和下划线。
Say so on screen when the bag stops taking things	背包无法再装入物品时在屏幕上提示
scan %.1f ms	扫描耗时 %.1f 毫秒
Scan radius	扫描半径
Scans %ld, events sent %ld, pump ticks %ld, guarded faults %ld, node kinds learned %d	扫描 %ld 次，已发送事件 %ld 个，轮询 Tick %ld 次，防护异常 %ld 次，已学习资源点类型 %d 种
Scans per second	每秒扫描次数
search item name or key (3+ letters)	搜索物品名称或键值 (至少 3 个字符)
Sending events	事件发送
Set	设置
Settings: %ls	设置：%ls
Show a brief notice when auto-loot is toggled	切换自动拾取开关时显示简短提示
Showing current overrides. Type to search all %d items.	正在显示当前覆盖规则。输入可搜索全部 %d 件物品。
Showing the nearest %d of %d. The rest are further away.	正在显示最近的 %d 个（共 %d 个）。其余对象距离更远。
Skip all	全部跳过
Skip quest equipment	跳过任务装备
Quest equipment	任务装备
Gear marked important that no shop will buy, across every class. Off leaves quest tools where they lie.	游戏标记为重要且没有商店收购的装备，涵盖所有分类。关闭后，任务用的工具会留在原地。
Tools and gear the game marks important that no shop will buy: the fertilizer and lubricant sprayers, the Kuku spears, the scout rings and necklaces. 180 items, nearly all worth a single copper, and taking one off the floor early can put a quest step out of order.\n\nIt reads the two marks together, so an item carrying only one of them is not covered. The Field Sprayer is unsellable and not marked important, and still comes in.	游戏标记为重要且没有商店收购的工具和装备：施肥喷雾器和润滑喷雾器、库库长枪、斥候戒指和项链，共180件，几乎全都只值一枚铜币。过早从地上捡起其中一件，可能让任务步骤乱了顺序。\n\n它是把两个标记合起来看的，所以只带其中一个的物品不在此列。田野喷雾器无法出售，但没有重要标记，仍然会被捡走。
Skip items shops refuse to buy	跳过商店拒收的物品
Skip quest items	跳过任务物品
skip: %s	跳过：%s
Small animals	小型动物
small animals off	小型动物已关闭
Some world objects carry no readable item name. On: take them anyway. Off: leave them alone.\n\nThis covers loose items only. A pick-up the node table vouches for, such as a coin pile or a stack of gold bars, is taken whichever way this is set: the table naming the prefab is what identifies it, and the item inside it having no name is a separate question. Its own category switch still applies.	部分世界对象不含可读的物品名称。开启：照样拾取。关闭：保留所有未识别对象。\n\n这只适用于散落在地上的物品。节点表背书的可拾取物，例如一堆硬币或一摞金条，无论此项如何设置都会被拾取：表中写有该预制件的名称，这本身就是识别，而里面的物品有没有名称是另一回事。它自己的类别开关仍然生效。
someone is wearing this; taking it would copy it	有人正穿戴着这件；取走会复制它
stack at one point (storage contents)	堆叠在单点 (容器内容物)
Status	状态
Stop pets looting	阻止宠物拾取
Stop pets looting at all	完全阻止宠物拾取
Tables, chairs, beds, carpets, lamps, candles, paintings, pots and the rest of a furnished room, whether you pick one up off the floor or take it from its own interaction node. Most of it is worth a copper or two, but the carpets and the luxury beds run to thousands, so turn this on before furnishing a house. Chests and the other things that hold something answer to Containers instead. Off by default.	桌子、椅子、床、地毯、灯具、蜡烛、油画、花盆等布置在房间中的物品，无论是从地面拾取还是通过其自身的交互资源点获取。大多数只值一两枚铜币，但地毯和豪华床铺能卖到数千铜币，所以在布置房屋之前请先开启此项。箱子等能装东西的物品则归“容器”管理。默认关闭。
Tag	标签
Tags	标签
tags, any of which can be set to never in the Tags tab:	标签，均可在“标签”页中设为“从不”：
Take goods that belong to someone	拾取归他人所有的物品
Take goods that belong to someone, on / off	拾取归他人所有的物品（开/关）
Take items the database cannot name	拾取数据库中无名称的物品
Pets and companions follow the filters	宠物和同伴遵守过滤规则
Take owned goods on / off	拾取有主物品（开/关）
take this one by hand, looting it can lock the quest	请手动拿取这一件，自动拾取可能会卡住任务
takes effect next launch	下次启动时生效
The engine scans around you and takes what the rules allow. Off means nothing is taken automatically; the burst key still works.	拾取引擎会扫描周围环境，并拾取符合规则的物品。关闭表示不自动拾取；手动速拾键仍可正常生效。
The game asks two questions before a pet loots, one for a loose item on the ground and one for a body, and this answers both with no. A pet reaches for nothing, so nothing of yours is ever deleted afterwards and your own pick-ups are never in question. The cleaner of the two answers if you simply do not want a pet looting. Whether it reaches a mercenary has not been tested. The game carries one looting rule of this kind and both of its questions are answered no, so it may; Pets and companions follow the filters is the switch that certainly does.	宠物拾取之前，游戏会问两个问题，一个针对地上的散落物品，一个针对尸体，而这一项对两个都回答否。宠物不会伸手去拿任何东西，所以事后不会有你的东西被删除，你自己捡的东西也永远不会被牵连。如果你只是不想让宠物拾取，这是两种做法中更干净的一种。它是否管得到雇佣兵尚未测试。游戏中这一类的拾取规则只有一条，而它的两个问题都被回答为否，所以有可能管得到；宠物和同伴遵守过滤规则才是确定管得到的那个开关。
The game fills a node's data only when it thinks you can reach it. Arming asks it to do that from a distance, which is also what lets an ore vein be harvested where it stands. Veins take several seconds to answer where a bush takes a fraction of one.	游戏仅在判定能够触及资源点时才会填充其数据。“激活”机制会要求游戏从远距离预先完成这一填充，这也正是矿脉能够原地被采集的原因。矿脉需要数秒才能响应，而灌木丛只需一瞬间。
The game removes taken objects with a delay. This stops the same object being sent twice while it fades.	游戏在移除已被拾取的对象时存在延迟。该机制可防止对象在淡出消失期间被重复提交拾取。
The game treats this as stealing and will put a bounty on you.	游戏会将此判定为盗窃，并会对你进行通缉/增加赏金。
The mod never swings a pickaxe. It drives the vein's own break sequence, and the game walks one drop row for that where a real swing walks two, so your mining tool's bonus pays nothing when the mod does the mining. This adds the missing ore back through the same drop path the game uses, so it is real ore spilled on the ground, not an item copied into your bag. Set it to what your tool pays by hand minus one: a drill that gives three by hand wants 2 here. It only applies to a vein this mod broke, so mining by hand is untouched and the two cannot stack.	Mod 从不会挥动镐子，而是直接驱动矿脉自身的击碎流程；对此游戏只会走一行掉落逻辑，而真正的挥击会走两行，所以当 Mod 代为采矿时，你的采矿工具加成不会生效。此选项会通过游戏自身的掉落路径把缺少的那部分矿石补回来，因此这是真正洒落在地面上的矿石，而不是直接复制进背包的物品。请将其设置为你手动挖矿时工具加成减一的数值：手动能给 3 个的钻头，这里应填 2。它只作用于被本 Mod 击碎的矿脉，因此手动挖矿不受影响，两者也不会叠加。
Skinning the animals you kill, once per carcass. People go under Bodies. What skinning pays out is not checked against your filters. The mod never sees it before it lands, so this switch is all or nothing.	剥取你击杀的动物的皮，每具尸骸一次。人归在“尸体”下。剥皮所得不会按你的筛选器检查。模组在它到手之前看不到它，所以这个开关要么全有要么全无。
Searching the people you kill, once per body. Animals go under Carcasses. What a search pays out is not checked against your filters, so this switch is all or nothing too.	搜刮你击杀的人，每具尸体一次。动物归在“尸骸”下。搜刮所得不会按你的筛选器检查，所以这个开关同样要么全有要么全无。
This session: %ld picked up, %ld gathered, %ld caught, %ld carcasses	本次会话：已拾取 %ld 个，已采集 %ld 个，已捕获 %ld 个，已搜刮 %ld 具尸体
Timber and branches on the ground, and the nodes that yield them. What most of these hold is read out of the game data itself, so refusing the class wood on the Classes tab leaves the trees standing as well as the timber under them. Where the game says nothing about a node, this switch is the only control it has.	地上的木料与树枝，以及产出它们的资源点。其中大多数含有什么，是直接从游戏数据里读出来的，所以在类别页签中拒绝 wood 类别，会让树木留在原地，树下的木料也一样。若游戏对某个资源点只字未提，这个开关就是它唯一的控制手段。
To leave one species alone, set what it becomes to never on the Items tab: Item_Tench, Item_Ricefish, Item_Iguana. The mod reads the creature's own row in the game's character table, so it knows which species it is looking at before it catches anything. A few unusual creatures still fall back to guessing from their model name and are caught by category only.	要单独放过某个物种，可在“物品”页中将其对应项设为“从不”，例如 Item_Tench、Item_Ricefish、Item_Iguana。Mod 会读取该生物在游戏角色数据表中的自身条目，因此在捕捉之前就已经知道面对的是哪个物种。少数特殊生物仍会退而依据模型名称进行猜测，此时只能按类别捕捉。
Treasure and keepsakes	宝藏与纪念品
Two buttons at once, never one: every single button already does something in this game. The mod only reads the pad, so the game still sees both buttons. Pick a pair that does nothing together, like the two shoulder buttons, or Back and a face button.	必须同时按下两个按键，不可单个设置：因为本游戏中每个单键都已有对应功能。此 Mod 仅读取手柄输入，游戏依然能识别这两个按键。请选择一对同时按下时无冲突的组合键，例如两个肩键（LB+RB），或者 Back 键加任意动作键。
Two things that hold things. The chests, crates and drop-set nodes you open, which rarely answer the loot event. And anything on the ground whose job is to hold something: bottles, jars, clay pots, waterskins, vases and the storage boxes you place. Off by default, and off means a shelf of pottery is left where it stands. Reward boxes are not covered, since those are loot in their own right and belong to Treasure and keepsakes on the Classes tab.\n\nWhat comes out of a chest is not checked against your filters. The game hands the contents over in one go and the mod never sees them as objects, so for those this switch is all or nothing.	两种装东西的东西。一种是你会打开的箱子、板条箱和掉落组资源点，它们很少会回应拾取事件。另一种是地上那些本职就是盛装东西的物件：瓶子、罐子、陶盆、水袋、花瓶，以及你自己摆放的储物箱。默认关闭，关闭意味着一整架陶器会原封不动地留在那里。奖励箱不在此列，因为那本身就是战利品，归类别页签中的宝藏与纪念品管。\n\n从箱子里出来的东西不会拿去和你的过滤规则比对。游戏会一次性把内容物交出来，模组从来看不到它们作为独立对象的样子，所以对这些东西而言，这个开关是要么全收、要么全不收。
Unbound until you set it. The game calls taking owned goods stealing and puts a bounty on you for it, so this is the switch you want on for a moment and off again, which is a poor fit for a menu.	设置之前不会绑定任何按键。游戏会将拾取有主物品判定为盗窃并对你悬赏通缉，所以这是一个你只想临时打开再立刻关闭的开关，并不适合放进菜单里。
Unidentified nodes	未识别资源点
unidentified nodes off	未识别资源点已关闭
unidentified: could be a fish, a flying insect or a bird	未识别：可能是鱼类、飞虫或鸟类
unidentified: could be an insect or a small animal	未识别：可能是昆虫或小型动物
unnamed item	未命名物品
Unsellable items	不可出售物品
