# Master Looter-menyteksten på norsk bokmål (nb). Dette er en
# maskinoversettelse. Ingen som har norsk som morsmål har korrekturlest den
# ennå. Rettelser mottas gjerne på GitHub
# (github.com/shin2344234/master-looter) eller på moddens Nexus-side.
#
# Én linje per tekst: originalen på engelsk, en tabulator, så
# oversettelsen. \n er et linjeskift: behold samme antall som i
# originalen. En linje uten oversettelse etter tabulatoren vises
# fortsatt på engelsk, så en delvis ferdig fil fungerer fint.
# Behold hver %d, %s, %.1f og lignende plassholder nøyaktig som den
# står og i samme rekkefølge: de erstattes med tall og navn når
# spillet kjører, og en linje som endrer dem blir ignorert.
#
# Lagre filen som MasterLooter.<språk>.txt ved siden av
# MasterLooter.asi, for eksempel MasterLooter.nb.txt, og sett
# Language=nb i MasterLooter.ini, eller skriv inn språket under
# Generelt, Språk. En fil med dette navnet der overstyrer den
# innebygde kopien i pluginen.

  bag full	  sekken full
Herb, flower and mushroom nodes, and the same lying on the ground, seeds included. Food crops have their own switch. To keep the herbs and leave the seeds, or the other way round, refuse the class on the Classes tab: herb and seed are separate there. That sorts what is lying on the ground item by item, and it reaches the node as well wherever the game says what the node holds: refuse herb and a herb patch is left alone. Plant nodes are a mixed lot, paying grain and crafting materials too, and for the ones the game does not describe this switch is the only control.	Urte-, blomster- og sopppunkter, og de samme liggende på bakken, frø medregnet. Matvekster har sin egen bryter. For å beholde urtene og la frøene ligge, eller omvendt, avvis klassen under fanen Klasser: herb og seed står hver for seg der. Det sorterer gjenstand for gjenstand hva som ligger på bakken, og det når også punktet overalt hvor spillet sier hva punktet inneholder: avvis herb, og en urteflekk lates i fred. Plantepunkter er en blandet gjeng og gir også korn og håndverksmateriale, og for dem spillet ikke beskriver er denne bryteren den eneste kontrollen.
hold two buttons (Escape cancels)	hold inne to knapper (Escape avbryter)
Household clutter and collectibles, most of it worthless.	Husholdningsrot og samleobjekter, det meste uten verdi.
How full the bag is is read from the bag itself, so the notice appears the moment it fills, whether or not you are looting. If those numbers ever stop making sense the mod falls back to watching what happens after a pick-up: three in a row that reach nothing raise the notice, and one landing clears it.	Hvor full sekken er leses fra selve sekken, så varselet dukker opp i det øyeblikket den fylles, uansett om du looter eller ikke. Hvis disse tallene noen gang slutter å gi mening, faller modden tilbake på å observere hva som skjer etter en oppplukking: tre på rad som ikke havner noe sted utløser varselet, og én som lander fjerner det.
How often the scene is read. The scan runs on its own thread; only the final take costs the game a fraction of a millisecond.	Hvor ofte scenen leses. Skanningen kjører på sin egen tråd; bare selve resultatet koster spillet en brøkdel av et millisekund.
incomplete	ufullstendig
Insects	Insekter
insects off	insekter av
installed	installert
Item	Gjenstand
Item database	Gjenstandsdatabase
Item table	Gjenstandstabell
Items	Gjenstander
Items lying in the world, including drops from enemies.	Gjenstander som ligger i verden, inkludert drops fra fiender.
Items no shop will buy, in every class but currency.	Gjenstander ingen butikk vil kjøpe, i alle klasser unntatt valuta.
Items on the ground	Gjenstander på bakken
Items tagged quest are left alone, so puzzles and story pickups are not auto-taken. It reads the item's own tags, so it covers anything you pick up and every node whose contents the mod can name. Two things fall outside it. A node it cannot name is decided by the switch for its kind, because there is no item there to read a tag from. And skinning a carcass pays out without the mod ever seeing what arrived.	Gjenstander merket quest lates i fred, slik at gåte- og historiegjenstander ikke tas automatisk. Den leser gjenstandens egne merkelapper, så den dekker alt du plukker opp og hvert punkt hvis innhold modden kan navngi. To ting faller utenfor. Et punkt den ikke kan navngi avgjøres av bryteren for sitt slag, for der finnes ingen gjenstand å lese en merkelapp av. Og å flå et kadaver betaler ut uten at modden noen gang ser hva som kom inn.
Items with an unknown value are never filtered by it.	Gjenstander med ukjent verdi blir aldri filtrert av den.
Keep the menu on screen while you play. %s brings it back, %s closes it.	Hold menyen på skjermen mens du spiller. %s henter den tilbake, %s lukker den.
Keys	Nøkler
Keys and tools	Nøkler og verktøy
Language	Språk
Language \"%s\": %d line(s) translated, %d seen this session.	Språk \"%s\": %d linje(r) oversatt, %d sett denne økten.
learned from the game	lært fra spillet
Load	Last inn
loaded	lastet inn
locked	låst
Log	Logg
Log: %ls	Logg: %ls
Loot	Loot
Loot all	Loot alt
Loot engine	Lootmotor
Loot engine not started.	Lootmotoren er ikke startet.
Loot everything in range now	Loot alt innenfor rekkevidde nå
Loot everything in range once	Loot alt innenfor rekkevidde én gang
loot: %s	loot: %s
Looting	Loot
MASTER LOOTER	MASTER LOOTER
Master Looter v%s for game build %s	Master Looter v%s for spillversjon %s
Materials	Materialer
mechanism part	mekanismedel
Memory chips and puzzle parts	Minnebrikker og puslespilldeler
Mine ore veins for you	Bryt malmårer for deg
Minimum value (copper)	Minimumsverdi (kobber)
missing	mangler
missing MasterLooter.items.tsv	MasterLooter.items.tsv mangler
mission object	oppdragsobjekt
Mounts and vehicles	Ridedyr og kjøretøy
name a new preset	navngi en ny forhåndsinnstilling
Nearby	I nærheten
never	aldri
no	nei
no interaction node	intet interaksjonspunkt
Nodes the prefab table does not name and that have not yielded anything yet this session. Off (the default) leaves them alone. On makes the mod gather them to find out, which means a plant can be taken while Plants is off.	Punkter prefab-tabellen ikke navngir og som ikke har gitt noe ennå denne økten. Av (standard) lar dem være i fred. På får modden til å sanke dem for å finne ut, noe som betyr at en plante kan bli tatt mens Planter er av.
none	ingen
not found yet	ikke funnet ennå
not in item database	ikke i gjenstandsdatabasen
not ready (node empty)	ikke klar (punktet er tomt)
not resolved yet	ikke løst ennå
not started	ikke startet
not yet	ikke ennå
Nothing else is drawn while the menu is closed.	Ingenting annet tegnes mens menyen er lukket.
nothing taken yet this session	ingenting tatt ennå denne økten
Object	Objekt
object	objekt
Objects are listed nearest first, with the rule that decided each one. Empty nodes read as not ready until the game or arming fills them. What you are wearing and carrying is left out.	Objekter listes nærmest først, med regelen som avgjorde hvert av dem. Tomme punkter vises som ikke klare til spillet eller klargjøring fyller dem. Det du har på deg og bærer er utelatt.
Objects closer than this are treated as your own equipment. A safety net; your gear is also recognised by other means.	Objekter nærmere enn dette behandles som ditt eget utstyr. Et sikkerhetsnett; utstyret ditt gjenkjennes også på andre måter.
Objects per burst press	Objekter per trykk
Objects per scan	Objekter per skanning
on the player	på spilleren
On, a vein is harvested where it stands and you never swing a pickaxe. Off, veins are left alone and only the chunks you knock loose are picked up. Needs arming, since asking the vein to open is the whole trick.	På blir en åre høstet der den står, og du svinger aldri en hakke. Av blir årer latt i fred, og bare bitene du slår løs plukkes opp. Krever klargjøring, siden det er selve trikset å be åren åpne seg.
On, the overlay draws under DLSS frame generation, which needs this mod to hand the game a wrapped swapchain.\n\nOff, the overlay draws through the present hook instead. Everything looks the same unless frame generation is on, and the mod stays off a path other overlay mods patch as well. Try this if the game will not start alongside another overlay mod; it can be set as WrapSwapChain in MasterLooter.ini without launching the game.	På tegnes overlayet under DLSS frame generation, noe som krever at modden gir spillet en innpakket swapchain.\n\nAv tegnes overlayet gjennom present-hooken i stedet. Alt ser likt ut med mindre frame generation er på, og modden holder seg unna en sti andre overlay-mods også patcher. Prøv dette hvis spillet ikke vil starte sammen med en annen overlay-mod; det kan settes som WrapSwapChain i MasterLooter.ini uten å starte spillet.
One click per family. The table below still sets single classes; a group shows a dash when only some of it is on.	Ett klikk per familie. Tabellen under setter fortsatt enkeltklasser; en gruppe viser en strek når bare deler av den er på.
Open and close this menu	Åpne og lukk denne menyen
Open folder	Åpne mappe
Opens the folder in Explorer. The log is rewritten every launch and is what to attach to a report.	Åpner mappen i Utforsker. Loggen skrives på nytt ved hver oppstart, og er det du skal legge ved en rapport.
Ore and stone	Malm og stein
ore off	malm av
Ore, gems, stone, timber, hides, herbs, trade goods and other crafting input.	Malm, edelstener, stein, tømmer, skinn, urter, handelsvarer og annet håndverksmateriale.
out of range	utenfor rekkevidde
Overlay	Overlay
Override	Overstyring
owned by someone (theft)	eid av noen (tyveri)
Ownership	Eierskap
Ownership oracle	Eierskapsorakel
Pace	Tempo
part of a creature or a mechanism	del av en skapning eller en mekanisme
paused: %s	pauset: %s
pick up off	plukking av
Plants	Planter
plants off	planter av
Player	Spiller
Player equipment.	Spillerens utstyr.
Player not found in the scene yet.	Spilleren er ikke funnet i scenen ennå.
Presets	Forhåndsinnstillinger
press a key (Escape cancels)	trykk en tast (Escape avbryter)
Protected by default: a memory chip starts a memory scene when taken, and a puzzle part breaks its puzzle. Turn on only if you want them auto-taken.	Beskyttet som standard: en minnebrikke starter en minnescene når den tas, og en puslespilldel ødelegger puslespillet sitt. Slå på bare hvis du vil at de skal tas automatisk.
protected item name	navn på beskyttet gjenstand
Puts every setting and rule back to what it was at that moment.	Setter alle innstillinger og regler tilbake til slik de var i det øyeblikket.
puzzle or protected mechanism	puslespill eller beskyttet mekanisme
Quest items	Questgjenstander
quest or memory trigger	quest- eller minneutløser
Ranges (metres)	Avstander (meter)
Rats, squirrels, birds, lizards, frogs and salamanders: anything else the game puts in the bag whole.	Rotter, ekorn, fugler, øgler, frosker og salamandere: alt annet spillet legger helt i sekken.
Reaching nodes	Å nå punkter
Read from the file beside the plugin, not the copy inside it.	Leses fra filen ved siden av pluginen, ikke kopien inni den.
Rebind	Bytt binding
Recent loot	Nylig loot
Refresh	Oppdater
Reload now	Last inn på nytt nå
Replaces every setting and every class, tag and item rule with what the preset holds, and writes it to MasterLooter.ini. Nothing of the current settings is kept, so back them up first if you want them.	Erstatter alle innstillinger og alle klasse-, tag- og gjenstandsregler med det forhåndsinnstillingen inneholder, og skriver det til MasterLooter.ini. Ingenting av de nåværende innstillingene beholdes, så sikkerhetskopier dem først hvis du vil ha dem.
Reset all tags	Tilbakestill alle tagger
resolved	løst
Retry the same object after (ms)	Prøv samme objekt på nytt etter (ms)
Route id	Rute-ID
Rule	Regel
Save now	Lagre nå
Saved as \"%s\": a preset name keeps letters, digits, spaces, dashes and underscores.	Lagret som \"%s\": et navn på en forhåndsinnstilling beholder bokstaver, tall, mellomrom, bindestreker og understreker.
Say so on screen when the bag stops taking things	Vis det på skjermen når sekken slutter å ta imot ting
scan %.1f ms	skanning %.1f ms
Scan radius	Skanneradius
Scans %ld, events sent %ld, pump ticks %ld, guarded faults %ld, node kinds learned %d	Skanninger %ld, hendelser sendt %ld, pumpetikk %ld, fangede feil %ld, punkttyper lært %d
Scans per second	Skanninger per sekund
search item name or key (3+ letters)	søk etter gjenstandsnavn eller nøkkel (3+ bokstaver)
Sending events	Sender hendelser
Set	Sett
Settings: %ls	Innstillinger: %ls
Show a brief notice when auto-loot is toggled	Vis et kort varsel når autoloot slås av eller på
Showing current overrides. Type to search all %d items.	Viser nåværende overstyringer. Skriv for å søke blant alle %d gjenstander.
Showing the nearest %d of %d. The rest are further away.	Viser de %d nærmeste av %d. Resten er lenger unna.
Skip all	Hopp over alt
Skip quest equipment	Hopp over oppdragsutstyr
Quest equipment	Oppdragsutstyr
Gear marked important that no shop will buy, across every class. Off leaves quest tools where they lie.	Utstyr spillet merker som viktig og som ingen butikk kjøper, på tvers av alle klasser. Av: oppdragsverktøy blir liggende.
Tools and gear the game marks important that no shop will buy: the fertilizer and lubricant sprayers, the Kuku spears, the scout rings and necklaces. 180 items, nearly all worth a single copper, and taking one off the floor early can put a quest step out of order.\n\nIt reads the two marks together, so an item carrying only one of them is not covered. The Field Sprayer is unsellable and not marked important, and still comes in.	Verktøy og utstyr spillet merker som viktig og som ingen butikk kjøper: gjødsel- og smøresprøytene, Kuku-spydene, speiderringene og -halskjedene. 180 gjenstander, nesten alle verdt en enkelt kobber, og å plukke opp en for tidlig kan bringe et oppdragstrinn ut av rekkefølge.\n\nDen leser de to merkene sammen, så en gjenstand med bare det ene er ikke dekket. Feltsprøyten kan ikke selges og er ikke merket som viktig, og kommer fortsatt inn.
Skip items shops refuse to buy	Hopp over gjenstander butikker nekter å kjøpe
Skip quest items	Hopp over questgjenstander
skip: %s	hopp over: %s
Small animals	Små dyr
small animals off	små dyr av
Some world objects carry no readable item name. On: take them anyway. Off: leave them alone.\n\nThis covers loose items only. A pick-up the node table vouches for, such as a coin pile or a stack of gold bars, is taken whichever way this is set: the table naming the prefab is what identifies it, and the item inside it having no name is a separate question. Its own category switch still applies.	Noen objekter i verden har ikke noe lesbart gjenstandsnavn. På: ta dem likevel. Av: la alt uidentifisert være i fred.\n\nDette gjelder bare løse gjenstander. En oppsamling som punkttabellen går god for, som en haug med mynter eller en stabel gullbarrer, blir tatt uansett hvordan dette er satt: at tabellen navngir prefaben er det som identifiserer den, og om gjenstanden inni har et navn er et eget spørsmål. Dens egen kategoribryter gjelder fortsatt.
someone is wearing this; taking it would copy it	noen har dette på seg; å ta det ville kopiere det
stack at one point (storage contents)	stables på ett sted (lagerinnhold)
Status	Status
Stop pets looting	Hindre kjæledyr i å plyndre
Tables, chairs, beds, carpets, lamps, candles, paintings, pots and the rest of a furnished room, whether you pick one up off the floor or take it from its own interaction node. Most of it is worth a copper or two, but the carpets and the luxury beds run to thousands, so turn this on before furnishing a house. Chests and the other things that hold something answer to Containers instead. Off by default.	Bord, stoler, senger, tepper, lamper, lys, malerier, krukker og resten av et møblert rom, enten du plukker det opp fra gulvet eller tar det fra sitt eget interaksjonspunkt. Det meste er verdt en kobber eller to, men teppene og luksussengene går opp i tusener, så slå dette på før du møblerer et hus. Kister og andre ting som inneholder noe hører til Beholdere i stedet. Av som standard.
Tag	Tagg
Tags	Tagger
tags, any of which can be set to never in the Tags tab:	tagger, som hver kan settes til aldri i Tagger-fanen:
Take goods that belong to someone	Ta varer som tilhører noen
Take goods that belong to someone, on / off	Ta varer som tilhører noen, på/av
Take items the database cannot name	Ta gjenstander databasen ikke kan navngi
Pets and companions follow the filters	Kjæledyr og følgesvenner følger filtrene
Take owned goods on / off	Ta eide varer på/av
take this one by hand, looting it can lock the quest	ta denne for hånd, å plyndre den kan låse questen
takes effect next launch	trer i kraft ved neste oppstart
The engine scans around you and takes what the rules allow. Off means nothing is taken automatically; the burst key still works.	Motoren skanner rundt deg og tar det reglene tillater. Av betyr at ingenting tas automatisk; trykk-tasten fungerer fortsatt.
The game fills a node's data only when it thinks you can reach it. Arming asks it to do that from a distance, which is also what lets an ore vein be harvested where it stands. Veins take several seconds to answer where a bush takes a fraction of one.	Spillet fyller et punkts data bare når det tror du kan nå det. Klargjøring ber det gjøre det på avstand, noe som også er det som lar en malmåre bli høstet der den står. Årer bruker flere sekunder på å svare der en busk bruker en brøkdel av ett.
The game removes taken objects with a delay. This stops the same object being sent twice while it fades.	Spillet fjerner tatte objekter med en forsinkelse. Dette hindrer at det samme objektet sendes to ganger mens det forsvinner.
The game treats this as stealing and will put a bounty on you.	Spillet regner dette som tyveri og setter en dusør på deg.
The mod never swings a pickaxe. It drives the vein's own break sequence, and the game walks one drop row for that where a real swing walks two, so your mining tool's bonus pays nothing when the mod does the mining. This adds the missing ore back through the same drop path the game uses, so it is real ore spilled on the ground, not an item copied into your bag. Set it to what your tool pays by hand minus one: a drill that gives three by hand wants 2 here. It only applies to a vein this mod broke, so mining by hand is untouched and the two cannot stack.	Modden svinger aldri en hakke. Den kjører årens egen bruddsekvens, og spillet går gjennom én droprad for det der et ekte slag går gjennom to, så bonusen fra gruveverktøyet ditt gir ingenting når modden gjør gravingen. Dette legger den manglende malmen tilbake gjennom samme droppsti spillet bruker, så det er ekte malm som spruter ut på bakken, ikke en gjenstand kopiert inn i sekken din. Sett den til det verktøyet ditt gir for hånd minus én: en drill som gir tre for hånd vil ha 2 her. Det gjelder bare en åre denne modden brøt, så graving for hånd er upåvirket, og de to kan ikke stables.
This session: %ld picked up, %ld gathered, %ld caught, %ld carcasses	Denne økten: %ld plukket opp, %ld sanket, %ld fanget, %ld kadavre
Timber and branches on the ground, and the nodes that yield them. What most of these hold is read out of the game data itself, so refusing the class wood on the Classes tab leaves the trees standing as well as the timber under them. Where the game says nothing about a node, this switch is the only control it has.	Tømmer og greiner på bakken, og punktene som gir dem. Hva de fleste av dem inneholder leses ut av spillets egne data, så å avvise klassen wood under fanen Klasser lar trærne stå og likeså tømmeret under dem. Der spillet ikke sier noe om et punkt, er denne bryteren den eneste kontrollen det har.
To leave one species alone, set what it becomes to never on the Items tab: Item_Tench, Item_Ricefish, Item_Iguana. The mod reads the creature's own row in the game's character table, so it knows which species it is looking at before it catches anything. A few unusual creatures still fall back to guessing from their model name and are caught by category only.	For å la én art være i fred, sett det den blir til til aldri i Gjenstander-fanen: Item_Tench, Item_Ricefish, Item_Iguana. Modden leser skapningens egen rad i spillets karaktertabell, så den vet hvilken art den ser på før den fanger noe. Noen få uvanlige skapninger faller fortsatt tilbake på å gjette ut fra modellnavnet og fanges bare etter kategori.
Treasure and keepsakes	Skatter og minner
Two buttons at once, never one: every single button already does something in this game. The mod only reads the pad, so the game still sees both buttons. Pick a pair that does nothing together, like the two shoulder buttons, or Back and a face button.	To knapper samtidig, aldri én: hver eneste knapp gjør allerede noe i dette spillet. Modden bare leser paden, så spillet ser fortsatt begge knappene. Velg et par som ikke gjør noe sammen, som de to skulderknappene, eller Back og en frontknapp.
Two things that hold things. The chests, crates and drop-set nodes you open, which rarely answer the loot event. And anything on the ground whose job is to hold something: bottles, jars, clay pots, waterskins, vases and the storage boxes you place. Off by default, and off means a shelf of pottery is left where it stands. Reward boxes are not covered, since those are loot in their own right and belong to Treasure and keepsakes on the Classes tab.\n\nWhat comes out of a chest is not checked against your filters. The game hands the contents over in one go and the mod never sees them as objects, so for those this switch is all or nothing.	To ting som inneholder ting. Kistene, kassene og byttepunktene du åpner, som sjelden svarer på plyndringshendelsen. Og alt på bakken hvis oppgave er å inneholde noe: flasker, krukker, leirpotter, vannsekker, vaser og oppbevaringskassene du setter ut. Av som standard, og av betyr at en hylle med keramikk blir stående der den står. Belønningskister omfattes ikke, for de er bytte i seg selv og hører til Skatter og minner under fanen Klasser.\n\nDet som kommer ut av en kiste, holdes ikke opp mot filtrene dine. Spillet gir fra seg innholdet i én omgang, og modden ser det aldri som objekter, så for dem er denne bryteren alt eller ingenting.
Unbound until you set it. The game calls taking owned goods stealing and puts a bounty on you for it, so this is the switch you want on for a moment and off again, which is a poor fit for a menu.	Ubundet til du setter den. Spillet kaller det å ta eide varer for tyveri og setter en dusør på deg for det, så dette er bryteren du vil ha på et øyeblikk og av igjen, noe som passer dårlig i en meny.
Unidentified nodes	Uidentifiserte punkter
unidentified nodes off	uidentifiserte punkter av
unidentified: could be a fish, a flying insect or a bird	uidentifisert: kan være en fisk, et flygende insekt eller en fugl
unidentified: could be an insect or a small animal	uidentifisert: kan være et insekt eller et lite dyr
unnamed item	navnløs gjenstand
Unsellable items	Gjenstander som ikke kan selges
