prefab	kind	item_key	name	src	breaks	yields	driven	pickup	statepick
cd_ex_dpf_flowerpot_12	container	Collection_Prop_FlowerPot_0009	Violet Flower Pot	tag	0		0	0	0
cd_ex_dpf_flowerpot_13	container	Collection_Prop_FlowerPot_0010	Purple Gerbera Flower Pot	tag	0		0	0	0
cd_ex_dpf_flowerpot_14	container	Collection_Prop_FlowerPot_0011	Dark Brown Gerbera Flower Pot	tag	0		0	0	0
cd_ex_dpf_flowerpot_15	container	Collection_Prop_FlowerPot_0012	Light Brown Gerbera Flower Pot	tag	0		0	0	0
cd_ex_dpf_flowerpot_16_housing	plant		Cd ex dpf flowerpot 16 housing	name	0		0	0	0
cd_ex_dpf_flowerpot_21_housing	plant		Cd ex dpf flowerpot 21 housing	name	0		0	0	0
cd_ex_dpf_flowerpot_23_housing	plant		Cd ex dpf flowerpot 23 housing	name	0		0	0	0
cd_ex_dpf_flowerpot_23_index02	container	Collection_Prop_FlowerPot_0032	Red Flower Pot	tag	0		0	0	0
cd_ex_dpf_flowerpot_24_housing	plant		Cd ex dpf flowerpot 24 housing	name	0		0	0	0
cd_ex_dpf_flowerpot_26	container	Collection_Prop_FlowerPot_0013	Flower-Shaped Marigold Pot	tag	0		0	0	0
cd_ex_dpf_flowerpot_27	container	Collection_Prop_FlowerPot_0014	Chalice Flower Pot	tag	0		0	0	0
cd_ex_dpf_flowerpot_29	container	Collection_Prop_FlowerPot_0015	White Flower-Shaped Marigold Pot	tag	0		0	0	0
cd_ex_dpf_flowerpot_35	container	Collection_Prop_FlowerPot_0020	Leafy Pot	tag	0		0	0	0
cd_ex_dpf_flowerpot_37_housing	plant		Cd ex dpf flowerpot 37 housing	name	0		0	0	0
cd_ex_dpf_flowerpot_38	container	Collection_Prop_FlowerPot_0023	Purple Cactus Pot	tag	0		0	0	0
cd_ex_dpf_flowerpot_40	container	Collection_Prop_FlowerPot_0025	Purple Flower-Shaped Cactus Pot	tag	0		0	0	0
cd_ex_dpf_flowerpot_42	container	Collection_Prop_FlowerPot_0027	Chalice Bush Pot	tag	0		0	0	0
cd_ex_dpf_flowerpot_44	container	Collection_Prop_FlowerPot_0029	Flower-Decorated Cactus Pot	tag	0		0	0	0
cd_ex_dpf_flowerpot_57	container	Collection_Prop_FlowerPot_0031	Small Plant Pot	tag	0		0	0	0
cd_ex_dpf_flowerpot_61_housing	plant		Cd ex dpf flowerpot 61 housing	name	0		0	0	0
cd_gimmick_ct_mushroom_hericium_wood_brokentree_01_parts01	plant		Plant	tag	0	Ssari_Mushroom	0	0	0
cd_gimmick_ct_mushroom_phellinus_wood_brokentree_01_parts01	plant		Plant	tag	0	Songyi_Mushroom	0	0	0
cd_gimmick_ct_mushroom_shiitake_wood_brokentree_01_parts01	plant		Plant	tag	0	Pyogo_Mushroom	0	0	0
cd_gimmick_ct_poisonmushroom_wood_brokentree_01_parts01	plant		Plant	tag	0	Umbrella_Mushroom	0	0	0
cd_gimmick_item_flowers_01	plant		Item flowers	name	0		0	0	0
cd_gimmick_puzzle_kweiden_tombstone_part_01	stone		Kwe tombstone part	name	0		0	0	0
cd_gimmick_puzzle_kweiden_tombstone_part_02	stone		Kwe tombstone part	name	0		0	0	0
cd_gimmick_puzzle_kweiden_tombstone_part_03	stone		Kwe tombstone part	name	0		0	0	0
cd_in_dpfo_cup_legendanimal_0001	pickup		Cd in dpfo cup legendanimal	tag	0		0	0	0
cd_in_dpfo_goldbar_01	pickup		Cd in dpfo goldbar	tag	0	GoldBar_Fake	0	0	0
cd_in_dpfo_meat_chicken_01	pickup		Item collect hang meat	folder	0	Roast_Chicken	0	1	0
cd_in_dpfo_meat_pork_01	pickup		Item collect hang meat	folder	0	Freshly_Grilled_Bird	0	1	0
cd_in_dpfo_meat_pork_03	pickup		Item collect hang meat	folder	0	Grilled_Meat	0	1	0
cd_in_dpfo_steak_01	pickup		Item collect hang meat	folder	0	Grilled_Meat_Fish	0	1	0
cd_in_dpfo_steak_01a	pickup		Item collect hang meat	folder	0	Meat_Sanjeok	0	1	0
cd_in_dpfo_steak_01a_01	pickup		Item collect hang meat	folder	0	Grilled_Meat	0	1	0
cd_in_dpfo_steak_01b	pickup		Item collect hang meat	folder	0	Meat_Fish_Sanjeok	0	1	0
cd_in_dpfo_steak_01c	pickup		Item collect hang meat	folder	0	Meat_Fish_Sanjeok	0	1	0
cd_in_dpfo_steak_01c_01	pickup		Item collect hang meat	folder	0	Freshly_Grilled_Bird	0	1	0
cd_in_food_chicken_01	pickup		Item collect hang meat	folder	0	Roast_Chicken	0	1	0
cd_in_food_meat_01	pickup		Item collect hang meat	folder	0	Freshly_Grilled_Crab	0	1	0
cd_nature_wood_broken_tree_11	wood		Cd nature wood broken tree	name	0		0	0	0
cd_nature_wood_broken_tree_11_burn	wood		Wood	name	0		0	0	0
cd_nature_wood_broken_tree_11_hexe	wood		Wood	name	0		0	0	0
cd_nature_wood_broken_tree_11_i1	wood		Cd nature wood broken tree 11 i1	name	0		0	0	0
cd_nature_wood_broken_tree_11_i10	wood		Wood	name	0		0	0	0
cd_nature_wood_broken_tree_11_i11	wood		Wood	name	0		0	0	0
cd_nature_wood_broken_tree_11_i3	wood		Cd nature wood broken tree 11 i3	name	0		0	0	0
cd_nature_wood_broken_tree_11_i6	wood		Cd nature wood broken tree 11 i6	name	0		0	0	0
cd_nature_wood_broken_tree_11_index01	wood		Wood	name	0		0	0	0
cd_nature_wood_broken_tree_11_pine	wood		Wood	name	0		0	0	0
cd_nature_wood_broken_tree_12_burn_parts01	wood		Wood	name	0		0	0	0
cd_nature_wood_broken_tree_12_i1_parts01	wood		Wood	name	0		0	0	0
cd_nature_wood_broken_tree_12_oak_parts01	wood		Wood	name	0		0	0	0
cd_nature_wood_broken_tree_12_pai_parts01	wood		Wood	name	0		0	0	0
cd_nature_wood_broken_tree_12_parts01	wood		Wood	name	0		0	0	0
cd_nature_wood_oldtree_01_01	wood		Cd nature wood oldtree 01	name	1		0	0	0
cd_nature_wood_oldtree_01_01_index01	wood		Wood	name	1		0	0	0
cd_nature_wood_oldtree_01_01_pine	wood		Wood	name	1		0	0	0
cd_preset_shop_npctable_stonestore_01	stone		Shop npctable stonestore	name	0		0	0	0
gimmick_abyss_artifact_0001	pickup		Abyss artifact	tag	0		0	0	0
gimmick_abyss_ator_dungeon_blackstone_01	stone		Abyss ator dungeon blackstone	name	0		0	0	0
gimmick_abyss_ator_dungeon_blackstone_02	stone		Abyss ator dungeon blackstone	name	0		0	0	0
gimmick_abyss_effect_umbra_floatingstone_01	stone		Abyss effect umbra floatingstone	name	0		0	0	0
gimmick_abyss_fit_height_pillar_0001_standstone_parts01	stone		Stone	name	0		0	0	0
gimmick_abyss_standstone_01	stone		Abyss standstone	name	0		0	0	0
gimmick_abyss_standstone_01_part_02	stone		Abyss standstone 01 part	name	0		0	0	0
gimmick_abyss_standstone_01_part_02_index01	stone		Stone	name	0		0	0	0
gimmick_abyss_standstone_02	stone		Abyss standstone	name	0		0	0	0
gimmick_abyss_standstone_03	stone		Abyss standstone	name	0		0	0	0
gimmick_abyss_stone_01	stone	Stone_Quarry	Stone	name	1		0	0	0
gimmick_abyss_stone_01_parts_0003	stone		Abyss stone 01 parts	name	0		0	0	0
gimmick_abyss_stone_01a	stone		Abyss stone 01a	name	0		0	0	0
gimmick_abyss_stone_01a_parts_0001	stone		Abyss stone 01a part	name	0		0	0	0
gimmick_abyss_stone_01a_parts_0002	stone		Abyss stone 01a part	name	0		0	0	0
gimmick_abyss_tree_0001	wood		Abyss tree	name	0		0	0	0
gimmick_abyss_umbra_stone_0001	stone	Stone_Quarry	Stone	name	1		0	0	0
gimmick_abyss_umbra_stone_0001_index01	stone	Stone_Quarry	Stone	name	1		0	0	0
gimmick_abyss_umbra_stone_0002	stone	Stone_Quarry	Stone	name	1		0	0	0
gimmick_abyss_umbra_stone_0002_index01	stone	Stone_Quarry	Stone	name	1		0	0	0
gimmick_abyss_umbra_stone_0003	stone	Stone_Quarry	Stone	name	1		0	0	0
gimmick_abyss_umbra_stone_0003_index01	stone	Stone_Quarry	Stone	name	1		0	0	0
gimmick_abyss_umbra_stone_0004	stone	Stone_Quarry	Stone	name	1		0	0	0
gimmick_abyss_umbra_stone_0004_index01	stone	Stone_Quarry	Stone	name	1		0	0	0
gimmick_abyss_umbra_stone_0005	stone	Stone_Quarry	Stone	name	1		0	0	0
gimmick_abyss_umbra_stone_0005_index01	stone	Stone_Quarry	Stone	name	1		0	0	0
gimmick_abyss_umbra_stone_0006	stone	Stone_Quarry	Stone	name	1		0	0	0
gimmick_abyss_umbra_stone_0006_index01	stone	Stone_Quarry	Stone	name	1		0	0	0
gimmick_abyss_umbra_stone_0007	stone	Stone_Quarry	Stone	name	1		0	0	0
gimmick_abyss_umbra_stone_0007_index01	stone	Stone_Quarry	Stone	name	1		0	0	0
gimmick_abyss_umbra_stone_0008	stone	Stone_Quarry	Stone	name	1		0	0	0
gimmick_abyss_umbra_stone_0008_index01	stone	Stone_Quarry	Stone	name	1		0	0	0
gimmick_abyss_umbra_stone_0009	stone	Stone_Quarry	Stone	name	1		0	0	0
gimmick_abyss_umbra_stone_0009_index01	stone	Stone_Quarry	Stone	name	1		0	0	0
gimmick_abyss_umbra_stone_0010	stone	Stone_Quarry	Stone	name	1		0	0	0
gimmick_abyss_umbra_stone_0010_index01	stone	Stone_Quarry	Stone	name	1		0	0	0
gimmick_abyss_umbra_stone_0011	stone	Stone_Quarry	Stone	name	1		0	0	0
gimmick_abyss_umbra_stone_0011_index01	stone	Stone_Quarry	Stone	name	1		0	0	0
gimmick_abyss_umbra_stoneset_0001	stone		Abyss umbra stoneset	name	1		0	0	0
gimmick_abyss_umbra_stoneset_0001_index01	stone		Stone	name	1		0	0	0
gimmick_abyss_umbra_stoneset_0002	stone		Abyss umbra stoneset	name	1		0	0	0
gimmick_abyss_umbra_stoneset_0002_index01	stone		Stone	name	1		0	0	0
gimmick_abyss_umbra_stoneset_0003	stone		Abyss umbra stoneset	name	1		0	0	0
gimmick_abyss_umbra_stoneset_0003_index01	stone		Stone	name	1		0	0	0
gimmick_abyss_umbra_stoneset_0004	stone		Abyss umbra stoneset	name	1		0	0	0
gimmick_abyss_umbra_stoneset_0004_index01	stone		Stone	name	1		0	0	0
gimmick_abyss_umbra_stoneset_0005	stone		Abyss umbra stoneset	name	1		0	0	0
gimmick_abyss_umbra_stoneset_0005_index01	stone		Stone	name	1		0	0	0
gimmick_abyss_umbra_stoneset_0006	stone		Abyss umbra stoneset	name	1		0	0	0
gimmick_abyss_umbra_stoneset_0006_index01	stone		Stone	name	1		0	0	0
gimmick_abyss_umbra_stoneset_0007	stone		Abyss umbra stoneset	name	1		0	0	0
gimmick_abyss_umbra_stoneset_0007_index01	stone		Stone	name	1		0	0	0
gimmick_abyss_umbra_stoneset_0008	stone		Abyss umbra stoneset	name	1		0	0	0
gimmick_abyss_umbra_stoneset_0008_index01	stone		Stone	name	1		0	0	0
gimmick_abyss_umbra_stoneset_0009	stone		Abyss umbra stoneset	name	1		0	0	0
gimmick_abyss_umbra_stoneset_0009_index01	stone		Stone	name	1		0	0	0
gimmick_abyss_umbra_stoneset_0010	stone		Abyss umbra stoneset	name	1		0	0	0
gimmick_abyss_umbra_stoneset_0010_index01	stone		Stone	name	1		0	0	0
gimmick_abyss_umbra_stoneset_0011	stone		Abyss umbra stoneset	name	1		0	0	0
gimmick_abyss_umbra_stoneset_0011_index01	stone		Stone	name	1		0	0	0
gimmick_abyss_umbra_stoneset_0012	stone		Abyss umbra stoneset	name	1		0	0	0
gimmick_abyss_umbra_stoneset_0012_index01	stone		Stone	name	1		0	0	0
gimmick_abyss_umbra_stoneset_square_0001	stone		Abyss umbra stoneset square	name	1		0	0	0
gimmick_abyss_umbra_stoneset_square_0002	stone		Abyss umbra stoneset square	name	1		0	0	0
gimmick_abyss_umbra_stoneset_square_0003	stone		Abyss umbra stoneset square	name	1		0	0	0
gimmick_abyss_umbra_stoneset_square_0004	stone		Abyss umbra stoneset square	name	1		0	0	0
gimmick_abyss_umbra_stoneset_square_0005	stone		Abyss umbra stoneset square	name	1		0	0	0
gimmick_abyss_umbra_stoneset_square_0006	stone		Abyss umbra stoneset square	name	1		0	0	0
gimmick_abyssgrass_01	plant		Abyssgrass	name	0		0	0	0
gimmick_abyssgrass_02	plant		Abyssgrass	name	0		0	0	0
gimmick_abyssgrass_03	plant		Abyssgrass	name	0		0	0	0
gimmick_abyssgrass_04	plant		Abyssgrass	name	0		0	0	0
gimmick_abyssgrass_legendarywolf	plant		Abyssgrass legendarywolf	name	0		0	0	0
gimmick_abyssone_catch_box_01	container		Abyssone catch box	tag	0		0	0	0
gimmick_aka_quarry_bigstone_01	ore		Aka quarry bigstone	tag	0		0	0	0
gimmick_aka_quarry_bigstone_02	ore		Aka quarry bigstone	tag	0		0	0	0
gimmick_ancient_stone_soldier_01_b_gmk_05	stone		Ancient stone soldier 01 b gmk	name	0		0	0	0
gimmick_ancient_stone_warrior_01_b_gmk_05	stone		Ancient stone warrior 01 b gmk	name	0		0	0	0
gimmick_attach_mine_bismuth_place_01	ore		Mine bismuth attach	tag	1		0	0	0
gimmick_attach_mine_diamond_place_01	ore		Mine diamond attach	tag	1	Diamond	0	0	0
gimmick_attach_mine_ironstone_place_01	ore		Mine iron attach	tag	1	IronStone	0	0	0
gimmick_attach_mine_redstone_place_01	ore		Mine redstone attach	tag	1	RedStone	0	0	0
gimmick_attach_spot_tower_bismuth_01_break	ore		Ore	tag	1		0	0	0
gimmick_attach_spot_tower_bismuth_06_break	ore		Ore	tag	1		0	0	0
gimmick_barrel_electric_01	container		Barrel electric	tag	1		0	0	0
gimmick_barrel_fire_01	container		Barrel fire	tag	1		0	0	0
gimmick_barrel_fire_02	container		Barrel fire	tag	1		0	0	0
gimmick_barrel_ice_01	container		Barrel ice	tag	1		0	0	0
gimmick_barrel_nofire_01	container		Barrel nofire	tag	1		0	0	0
gimmick_barrel_poison_01	container		Barrel poison	tag	1		0	0	0
gimmick_beacon_firewood_0001	wood		Beacon firewood	name	0	Recipe_Grilled_Meat_Fish Ciburn_Leather_Gloves	0	0	0
gimmick_beacon_firewood_01	wood		Beacon firewood	name	0		0	0	0
gimmick_beacon_firewood_03	wood		Beacon firewood	name	0		0	0	0
gimmick_bigtree_01	wood		Bigtree	name	0		0	0	0
gimmick_bigtree_01_fire	wood		Bigtree 01 fire	name	0		0	0	0
gimmick_bigtree_01_remote	wood		Bigtree 01 log	name	0		0	0	0
gimmick_bigtree_01_thunder	wood		Bigtree 01 thunder	name	0		0	0	0
gimmick_bigtree_02_fire	wood		Bigtree 02 fire	name	0		0	0	0
gimmick_bigtree_02_fire_part	wood		Bigtree 02 fire part	name	0		0	0	0
gimmick_blue_bomb_01	pickup		Battle blue bomb	tag	1	BountyHunter_Fabric_Boots_I	0	0	0
gimmick_boss_landspider_bismuth_pillar_0001	ore		Landspider bismuth pillar	tag	1		0	0	0
gimmick_boss_landspider_bismuth_pillar_0002	ore		Landspider bismuth pillar	tag	1		0	0	0
gimmick_boss_reeddevil_totem_01	plant		Boss reeddevil totem	name	1		0	0	0
gimmick_boss_titan_stone_01	stone	Stone_Quarry	Stone	name	0		0	0	0
gimmick_box_barrel_01	container		Box barrel	tag	1		0	0	0
gimmick_box_barrel_01_hellhound	container		Box barrel 01 hellhound	tag	1		0	0	0
gimmick_box_barrel_01_index01	container		Box barrel 01 index01	tag	1		0	0	0
gimmick_box_barrel_01_index02	container		Box barrel 01 index02	tag	1		0	0	0
gimmick_box_barrel_01_kwe	container		Box barrel 01 kwe	tag	1		0	0	0
gimmick_box_barrel_01_pail	container		Box barrel 01 pail	tag	1		0	0	0
gimmick_box_barrel_01_snow	container		Box barrel 01 snow	tag	1		0	0	0
gimmick_box_barrel_broken_01_hellhound	container		Box barrel broken 01 hellhound	tag	1		0	0	0
gimmick_box_barrel_broken_01_kwe	container		Box barrel broken 01 kwe	tag	1		0	0	0
gimmick_box_barrel_close_01_break	container		Box barrel close 01 break	tag	1		0	0	0
gimmick_box_barrel_close_01_i2	container		Box barrel close 01 i2	tag	1		0	0	0
gimmick_box_barrel_close_02	container		Box barrel	tag	1		0	0	0
gimmick_box_barrel_close_02_hellhound	container		Box barrel 02 hellhound	tag	1		0	0	0
gimmick_box_barrel_close_02_i3	container		Box barrel close 02 i3	tag	1		0	0	0
gimmick_box_barrel_close_02_i4	container		Box barrel close 02 i4	tag	1		0	0	0
gimmick_box_barrel_close_02_kwe	container		Box barrel 02 kwe	tag	1		0	0	0
gimmick_box_barrel_close_02_pail	container		Box barrel 02 pail	tag	1		0	0	0
gimmick_box_barrel_close_03	container		Box barrel	tag	1		0	0	0
gimmick_box_barrel_close_03_hellhound	container		Box barrel 03 hellhound	tag	1		0	0	0
gimmick_box_barrel_close_05	container		Box barrel	tag	1		0	0	0
gimmick_box_barrel_close_05_i4	container		Box barrel close 05 i4	tag	1		0	0	0
gimmick_box_barrel_close_06	container		Box barrel	tag	1		0	0	0
gimmick_box_barrel_close_06_hellhound	container		Box barrel 06 hellhound	tag	1		0	0	0
gimmick_box_barrel_close_06_i1	container		Box barrel close 06 i1	tag	1		0	0	0
gimmick_box_barrel_close_07	container		Box barrel close	tag	1		0	0	0
gimmick_box_barrel_close_09	container		Box barrel close	tag	1		0	0	0
gimmick_box_barrel_close_10	container		Box barrel	tag	1		0	0	0
gimmick_box_barrel_close_10_break	container		Box barrel close 10 break	tag	1		0	0	0
gimmick_box_barrel_close_10_hellhound	container		Box barrel close 10 hellhound	tag	1		0	0	0
gimmick_box_barrel_close_10_kwe	container		Box barrel close 10 kwe	tag	1		0	0	0
gimmick_box_barrel_close_11	container		Box barrel	tag	1		0	0	0
gimmick_box_barrel_close_11_hellhound	container		Box barrel close 11 hellhound	tag	1		0	0	0
gimmick_box_barrel_close_12	container		Box barrel	tag	1		0	0	0
gimmick_box_barrel_close_12_index01	container		Box barrel 12 index01	tag	1		0	0	0
gimmick_box_barrel_open_01	container		Box barrel open	tag	1		0	0	0
gimmick_box_barrel_open_01_kwe	container		Box barrel open 01 kwe	tag	1		0	0	0
gimmick_box_barrel_open_02	container		Box barrel open	tag	1		0	0	0
gimmick_box_barrel_open_03	container		Box barrel open	tag	1		0	0	0
gimmick_box_barrel_open_04	container		Box barrel open	tag	1		0	0	0
gimmick_box_barrel_open_04_hellhound	container		Box barrel open 04 hellhound	tag	1		0	0	0
gimmick_box_bucket_01	container		Box bucket	tag	1		0	0	0
gimmick_box_bucket_02	container		Box bucket	tag	1		0	0	0
gimmick_box_bucket_02a	container		Box bucket 02a	tag	1		0	0	0
gimmick_box_bucket_02a_unbreak	container		Bucket 02a unbreak	tag	1		0	0	0
gimmick_box_bucket_07_kwe	container		Box bucket 07 kwe	tag	1		0	0	0
gimmick_box_bucket_08	container		Box bucket	tag	1		0	0	0
gimmick_box_bucket_08_index01	container		Box bucket 08 index01	tag	1		0	0	0
gimmick_box_bucket_09	container		Box bucket	tag	1		0	0	0
gimmick_box_bucket_10	container		Box bucket	tag	1		0	0	0
gimmick_box_catch_01	container		Box catch	tag	1		0	0	0
gimmick_box_catch_02	container		Box catch	tag	1		0	0	0
gimmick_box_catch_03	container		Box catch	tag	1		0	0	0
gimmick_box_catch_04	container		Box catch	tag	1		0	0	0
gimmick_box_close_01	container		Box close	tag	1		0	0	0
gimmick_box_close_01_hellhound	container		Box close 01 hellhound	tag	1		0	0	0
gimmick_box_close_01_index01	container		Box close 01 index01	tag	1		0	0	0
gimmick_box_close_01_index02	container		Box close 01 index02	tag	1		0	0	0
gimmick_box_close_01_index03	container		Box close 01 index03	tag	1		0	0	0
gimmick_box_close_01_index04	container		Box close 01 index04	tag	1		0	0	0
gimmick_box_close_01_kwe	container		Box close 01 kwe	tag	1		0	0	0
gimmick_box_close_01_snow	container		Box close 01 snow	tag	1		0	0	0
gimmick_box_close_02	container		Box close	tag	1		0	0	0
gimmick_box_close_02_index01	container		Box close 02 index01	tag	1		0	0	0
gimmick_box_close_02_kwe	container		Box close 02 kwe	tag	1		0	0	0
gimmick_box_close_03	container		Box close	tag	1		0	0	0
gimmick_box_close_03_hellhound	container		Box close 03 hellhound	tag	1		0	0	0
gimmick_box_close_03_kwe	container		Box close 03 kwe	tag	1		0	0	0
gimmick_box_close_03_snow	container		Box close 03 snow	tag	1		0	0	0
gimmick_box_close_04	container		Box close	tag	1		0	0	0
gimmick_box_close_04_hellhound	container		Box close 04 hellhound	tag	1		0	0	0
gimmick_box_close_04_kwe	container		Box close 04 kwe	tag	1		0	0	0
gimmick_box_close_04a	container		Box close 04a	tag	1		0	0	0
gimmick_box_close_04a_kwe	container		Box close 04a kwe	tag	1		0	0	0
gimmick_box_close_05	container		Box close	tag	1		0	0	0
gimmick_box_close_05_hellhound	container		Box close 05 hellhound	tag	1		0	0	0
gimmick_box_donation_reward_coin_01	container		Box donation reward coin	tag	1		0	0	0
gimmick_box_donation_reward_coin_02	container		Box donation reward coin	tag	1		0	0	0
gimmick_box_donation_reward_coin_03	container		Box donation reward coin	tag	1		0	0	0
gimmick_box_donation_reward_stone_01	container		Box donation reward stone	tag	1	Stone_Quarry	0	0	0
gimmick_box_donation_reward_stone_02	container		Box donation reward stone	tag	1	Fine_Stone	0	0	0
gimmick_box_donation_reward_stone_03	container		Box donation reward stone	tag	1	Premium_Stone	0	0	0
gimmick_box_donation_reward_weapon_01	container		Box donation reward weapon	tag	0	MultiArrow	0	0	0
gimmick_box_donation_reward_wood_01	container		Box donation reward wood	tag	1	Wood	0	0	0
gimmick_box_donation_reward_wood_02	container		Box donation reward wood	tag	1	Fine_Wood	0	0	0
gimmick_box_donation_reward_wood_03	container		Box donation reward wood	tag	1	Premium_Wood	0	0	0
gimmick_box_electric_01	container		Box electric	tag	1		0	0	0
gimmick_box_fire_01	container		Box fire	tag	1		0	0	0
gimmick_box_leather_01_i1	container		Leather 01 i1	tag	1		0	0	0
gimmick_box_oil_barrel_01	container		Box oil barrel	tag	1		0	0	0
gimmick_box_oil_barrel_02	container		Box oil barrel	tag	0		0	0	0
gimmick_box_open_01	container		Box open	tag	1		0	0	0
gimmick_box_open_01_index01	container		Box open 01 index01	tag	1		0	0	0
gimmick_box_open_04	container		Box open	tag	1		0	0	0
gimmick_box_open_04_hellhound	container		Box open 04 hellhound	tag	1		0	0	0
gimmick_box_open_04_kwe	container		Box open 04 kwe	tag	1		0	0	0
gimmick_box_open_05	container		Box open	tag	1		0	0	0
gimmick_box_open_06	container		Box open	tag	1		0	0	0
gimmick_box_open_06_hellhound	container		Box open 06 hellhound	tag	1		0	0	0
gimmick_box_stonecarrier_01	container		Box stonecarrier	tag	1		0	0	0
gimmick_break_step_stone_02	stone	Stone_Quarry	Stone	name	1		0	0	0
gimmick_break_woodbranch_01	wood		Break woodbranch	name	1		0	0	0
gimmick_breakable_baggage_01	container		Breakable baggage	tag	0		0	0	0
gimmick_breakable_baggage_02	container		Breakable baggage	tag	0		0	0	0
gimmick_breakable_baggage_03	container		Breakable baggage	tag	0		0	0	0
gimmick_breakable_box_barrel_broken_01	container		Background breakable wood	tag	1		0	0	0
gimmick_breakable_box_barrel_broken_01_index01	container		Container	tag	1		0	0	0
gimmick_breakable_box_barrel_broken_01_kwe	container		Container	tag	1		0	0	0
gimmick_breakable_box_close_04a_broken	container		Background breakable wood	tag	1		0	0	0
gimmick_breakable_box_close_04a_broken_index01	container		Container	tag	1		0	0	0
gimmick_breakable_box_close_04a_broken_index02	container		Container	tag	1		0	0	0
gimmick_breakable_box_close_04a_broken_index03	container		Container	tag	1		0	0	0
gimmick_breakable_box_leather_01	container		Background breakable wood	tag	1		0	0	0
gimmick_breakable_box_open_03	container		Background breakable wood	tag	1		0	0	0
gimmick_breakable_box_open_03_index01	container		Container	tag	1		0	0	0
gimmick_breakable_box_open_03_index02	container		Container	tag	1		0	0	0
gimmick_breakable_box_tub_01c	container		Background breakable wood	tag	1		0	0	0
gimmick_breakable_box_tub_01e	container		Background breakable wood	tag	1		0	0	0
gimmick_breakable_cd_spot_silverwolves_part_02a_part_01_p20	stone	Stone_Quarry	Stone	name	0		0	0	0
gimmick_breakable_cd_spot_silverwolves_part_02a_part_01_p20_muskan	stone	Stone_Quarry	Stone	name	0		0	0	0
gimmick_breakable_cd_spot_silverwolves_part_02a_part_02_p20	stone	Stone_Quarry	Stone	name	0		0	0	0
gimmick_breakable_cd_spot_silverwolves_part_02a_part_02_p20_muskan	stone	Stone_Quarry	Stone	name	0		0	0	0
gimmick_breakable_ex_dpf_herbsack_01	container		Breakable sack	tag	1	Parsley	0	0	0
gimmick_breakable_ex_dpf_potatosack_01	container		Breakable ex dpf potatosack	tag	1	Potato	0	0	0
gimmick_breakable_ex_dpf_sack_03	container		Background breakable	tag	0		0	0	0
gimmick_breakable_ex_dpf_sweetpotatosack_01	container		Breakable ex dpf sweetpotatosack	tag	1	SweetPotato	0	0	0
gimmick_breakable_hernand_abby_str_abbey_01_03	stone	Stone_Quarry	Stone	name	0		0	0	0
gimmick_breakable_pillar_temple_three_brothers_01a_boss	stone	Stone_Quarry	Stone	name	0		0	0	0
gimmick_breakable_pillar_temple_three_brothers_01a_boss_body	stone	Stone_Quarry	Stone	name	0		0	0	0
gimmick_breakable_pot_01	pickup		Breakable pot	tag	1		0	0	0
