row	key	string_key	name	class	tags	tier	value_copper
74	1001798	NoticePaper_Finale_LeeburtheShadowWolf	News of the Black Fang's Defeat	poster	document poster quest tier-0 wild	0	27
75	1001319	Quest_Paper_Her_Rhett	Rhett's Poster	poster	document poster quest tier-0 wild	0	27
76	1002188	Quest_Paper_Her_Delkin	Delkin's Poster	poster	document poster quest tier-0 wild	0	27
77	1002189	Quest_Paper_Her_Tina	Tina's Poster	poster	document poster quest tier-0 wild	0	27
78	1002190	Quest_Paper_Her_Bran	Bran's Poster	poster	document poster quest tier-0 wild	0	27
79	1001887	Quest_Paper_Her_Raine	Renee's Poster	poster	document poster quest tier-0 wild	0	27
80	1001888	Quest_Paper_Her_Alfred	Alfred's Poster	poster	document poster quest tier-0 wild	0	27
81	1001889	Quest_Paper_Her_Dahlia	Dahlia's Poster	poster	document poster quest tier-0 wild	0	27
82	1001890	Quest_Paper_Her_Anbella	Annabella's Poster	poster	document poster quest tier-0 wild	0	27
83	1002219	Quest_Paper_Her_Turnuli	Turnali's Poster	poster	document poster quest tier-0 wild	0	27
84	1002220	Quest_Paper_Her_Aldun	Alden's Poster	poster	document poster quest tier-0 wild	0	27
85	1002221	Quest_Paper_Her_Bruna	Bruna's Poster	poster	document poster quest tier-0 wild	0	27
86	1002222	Quest_Paper_Her_Grana	Grania's Poster	poster	document poster quest tier-0 wild	0	27
87	1002223	Quest_Paper_Her_Yjork	Nork's Poster	poster	document poster quest tier-0 wild	0	27
88	1002224	Quest_Paper_Her_Berdo	Berto's Poster	poster	document poster quest tier-0 wild	0	27
89	1002225	Quest_Paper_Her_Shirg	Serge's Poster	poster	document poster quest tier-0 wild	0	27
90	1002226	Quest_Paper_Her_Ugmum	Ugmon's Poster	poster	document poster quest tier-0 wild	0	27
91	1002227	Quest_Paper_Her_Frox	Prox's Poster	poster	document poster quest tier-0 wild	0	27
92	1002191	Quest_Paper_Her_Timmyr	Temir's Poster	poster	document poster quest tier-0 wild	0	27
93	1002228	Quest_Paper_Her_Peregrine	Peregrine's Poster	poster	document poster quest tier-0 wild	0	27
94	1002229	Quest_Paper_Her_Harveston	Haverson's Poster	poster	document poster quest tier-0 wild	0	27
95	1002230	Quest_Paper_Her_Drianna	Driana's Poster	poster	document poster quest tier-0 wild	0	27
96	1002231	Quest_Paper_Her_Gloin	Galen's Poster	poster	document poster quest tier-0 wild	0	27
97	1002232	Quest_Paper_Her_Matilda	Matilda's Poster	poster	document poster quest tier-0 wild	0	27
98	1002233	Quest_Paper_Her_Adelina	Adrina's Poster	poster	document poster quest tier-0 wild	0	27
99	1001894	Quest_Paper_Dem_Mariana	Mariana's Poster	poster	document poster quest tier-0 wild	0	27
100	1002192	Quest_Paper_Dem_Trollmag	Trolmagg's Poster	poster	document poster quest tier-0 wild	0	27
101	1002193	Quest_Paper_Dem_Orlonel	Olanelle's Poster	poster	document poster quest tier-0 wild	0	27
102	1002194	Quest_Paper_Dem_Kike	Kiki's Poster	poster	document poster quest tier-0 wild	0	27
103	1002214	Quest_Paper_Dem_Fiona	Fiona's Poster	poster	document poster quest tier-0 wild	0	27
104	1002215	Quest_Paper_Dem_Zarkon	Zargon's Poster	poster	document poster quest tier-0 wild	0	27
105	1002216	Quest_Paper_Dem_Eliza	Elise's Poster	poster	document poster quest tier-0 wild	0	27
106	1002217	Quest_Paper_Dem_Flint	Flint's Poster	poster	document poster quest tier-0 wild	0	27
107	1002131	Quest_Paper_Dem_Linda	Linda's Poster	poster	document poster quest tier-0 wild	0	27
108	1002186	Quest_Paper_Dem_Geoffroi	Jofroy's Poster	poster	document poster quest tier-0 wild	0	27
109	1002187	Quest_Paper_Dem_Mariel	Marielle's Poster	poster	document poster quest tier-0 wild	0	27
110	1002195	Quest_Paper_Dem_Khorn	Khron's Poster	poster	document poster quest tier-0 wild	0	27
111	1002196	Quest_Paper_Dem_GrainHart	Grannard's Poster	poster	document poster quest tier-0 wild	0	27
112	1001895	Quest_Paper_Dem_Palga	Palgar's Poster	poster	document poster quest tier-0 wild	0	27
113	1001896	Quest_Paper_Dem_Eldmor	Eldon's Poster	poster	document poster quest tier-0 wild	0	27
114	1001897	Quest_Paper_Dem_Kata	Kathor's Poster	poster	document poster quest tier-0 wild	0	27
115	1001908	Quest_Paper_Del_Inn	Anne's Poster	poster	document poster quest tier-0 wild	0	27
116	1002234	Quest_Paper_Del_Lior	Leore's Poster	poster	document poster quest tier-0 wild	0	27
117	1002235	Quest_Paper_Del_Rainier	Renier's Poster	poster	document poster quest tier-0 wild	0	27
118	1002236	Quest_Paper_Del_Merrigrain	Merrigan's Poster	poster	document poster quest tier-0 wild	0	27
119	1002237	Quest_Paper_Del_Skaldar	Skaldar's Poster	poster	document poster quest tier-0 wild	0	27
120	1002238	Quest_Paper_Del_Maiden	Maidon's Poster	poster	document poster quest tier-0 wild	0	27
121	1002239	Quest_Paper_Del_Martina	Martina's Poster	poster	document poster quest tier-0 wild	0	27
122	1002240	Quest_Paper_Del_Doni	Donny's Poster	poster	document poster quest tier-0 wild	0	27
123	1002241	Quest_Paper_Del_Randel	Randelle's Poster	poster	document poster quest tier-0 wild	0	27
124	1002242	Quest_Paper_Del_Forex	Forrex's Poster	poster	document poster quest tier-0 wild	0	27
125	1001909	Quest_Paper_Del_Marin	Marin's Poster	poster	document poster quest tier-0 wild	0	27
126	1001910	Quest_Paper_Del_Grundak	Grond's Poster	poster	document poster quest tier-0 wild	0	27
127	1001911	Quest_Paper_Del_Herbert	Herbert's Poster	poster	document poster quest tier-0 wild	0	27
128	1001912	Quest_Paper_Del_Nancy	Nancy's Poster	poster	document poster quest tier-0 wild	0	27
129	1001898	Quest_Paper_Kwe_RonHardt	Ronnard's Poster	poster	document poster quest tier-0 wild	0	27
130	1001899	Quest_Paper_Kwe_Terinand	Terianne's Poster	poster	document poster quest tier-0 wild	0	27
131	1003212	Quest_Paper_Kwe_Gorio	Gorio's Poster	poster	document poster quest tier-0 wild	0	27
132	1003213	Quest_Paper_Kwe_Henri	Harry's Poster	poster	document poster quest tier-0 wild	0	27
133	1003214	Quest_Paper_Kwe_Bargul	Bargul's Poster	poster	document poster quest tier-0 wild	0	27
134	1003215	Quest_Paper_Kwe_Gonthyr	Gunter's Poster	poster	document poster quest tier-0 wild	0	27
135	1003216	Quest_Paper_Kwe_Lora	Lola's Poster	poster	document poster quest tier-0 wild	0	27
136	1003217	Quest_Paper_Kwe_Richart	Richart's Poster	poster	document poster quest tier-0 wild	0	27
137	1003218	Quest_Paper_Kwe_Aldred	Eldred's Poster	poster	document poster quest tier-0 wild	0	27
138	1003219	Quest_Paper_Kwe_Ratko	Rocco's Poster	poster	document poster quest tier-0 wild	0	27
139	1001900	Quest_Paper_Kwe_Aeba	Ava's Poster	poster	document poster quest tier-0 wild	0	27
140	1001901	Quest_Paper_Kwe_Baris	Varis's Poster	poster	document poster quest tier-0 wild	0	27
141	1001902	Quest_Paper_Kwe_Lenard	Leonard's Poster	poster	document poster quest tier-0 wild	0	27
142	1001907	Quest_Paper_Crim_Thibault	Tibo's Poster	poster	document poster quest tier-0 wild	0	27
143	1002243	Quest_Paper_Crim_Khadija	Hadiza's Poster	poster	document poster quest tier-0 wild	0	27
144	1001903	Quest_Paper_Crim_Khadin	Caden's Poster	poster	document poster quest tier-0 wild	0	27
145	1001904	Quest_Paper_Crim_Gwendolyn	Gwendolyn's Poster	poster	document poster quest tier-0 wild	0	27
146	1001906	Quest_Paper_Crim_Bruknar	Brookner's Poster	poster	document poster quest tier-0 wild	0	27
147	1002244	Quest_Paper_Crim_Arinna	Alina's Poster	poster	document poster quest tier-0 wild	0	27
148	1002245	Quest_Paper_Crim_Samir	Samir's Poster	poster	document poster quest tier-0 wild	0	27
149	1002246	Quest_Paper_Crim_Zara	Zara's Poster	poster	document poster quest tier-0 wild	0	27
150	1002247	Quest_Paper_Crim_Fatima	Fatima's Poster	poster	document poster quest tier-0 wild	0	27
151	1002248	Quest_Paper_Crim_Noor	Nora's Poster	poster	document poster quest tier-0 wild	0	27
152	1002249	Quest_Paper_Crim_Esperd	Esford's Poster	poster	document poster quest tier-0 wild	0	27
153	1002305	Quest_Paper_Crim_Khalid	Khalid's Poster	poster	document poster quest tier-0 wild	0	27
154	1002307	Quest_Paper_Crim_Thomas	Thomas's Poster	poster	document poster quest tier-0 wild	0	27
155	1001905	Quest_Paper_Crim_Elowen	Rowan's Poster	poster	document poster quest tier-0 wild	0	27
156	1002308	Quest_Paper_Crim_Sniks	Nix's Poster	poster	document poster quest tier-0 wild	0	27
157	1002309	Quest_Paper_Crim_Beatrice	Bea's Poster	poster	document poster quest tier-0 wild	0	27
158	1002310	Quest_Paper_Crim_Omar	Omar's Poster	poster	document poster quest tier-0 wild	0	27
159	1004051	Quest_Paper_Military_Notice	Soldier Recruitment Post	poster	document poster quest tier-0 wild	0	27
160	1004052	Quest_Paper_Askelund_Judgment	Fort Askelund Written Judgment	poster	document poster quest tier-0 wild	0	27
161	1004053	Quest_Paper_Child_Notice	Missing Child Poster	poster	document poster quest tier-0 wild	0	27
162	1004212	Quest_Paper_Child_Notice_02	Missing Child Poster	poster	document poster quest tier-0 wild	0	27
163	1004213	Quest_Paper_Child_Notice_03	Missing Child Poster	poster	document poster quest tier-0 wild	0	27
164	1004214	Quest_Paper_Child_Notice_04	Missing Child Poster	poster	document poster quest tier-0 wild	0	27
165	1004054	Quest_Paper_Beighen_Notice	Beighen Poster	poster	document poster quest tier-0 wild	0	27
166	1004374	Quest_Paper_Hyena_Cave_Recapture	Hyena Den Reclamation Report	poster	document poster quest tier-0 wild	0	27
167	1001604	NoticePaper_Village_Muiquun	Request to Punish Outlaws in Muiquun	bounty-notice	bounty-notice document tier-0 wild	0	27
168	1000157	NoticePaper_Hyenamolar	Bounty Notice - Skevald, the Carrion King	bounty-notice	bounty-notice document tier-0 wild	0	27
169	1000811	NoticePaper_MudWalkerLutemir	Bounty on the Mud Monster	bounty-notice	bounty-notice document tier-0 wild	0	27
170	1001924	NoticePaper_BloodWalkerCrussis	Bounty on the Bloodied Monster	bounty-notice	bounty-notice document tier-0 wild	0	27
171	1001017	Quest_WantedPaper_0008	Bounty Notice - Dante	bounty-notice	bounty-notice document quest tier-0 wild	0	27
172	1001016	Quest_WantedPaper_0007	Bounty Notice - Salvatore	bounty-notice	bounty-notice document quest tier-0 wild	0	27
173	1001010	Quest_WantedPaper_0001	Bounty Notice - Simon de Montfort	bounty-notice	bounty-notice document quest tier-0 wild	0	27
174	1001232	Quest_WantedPaper_0059	Bounty Notice - Jeffrey	bounty-notice	bounty-notice document quest tier-0 wild	0	27
175	1001018	Quest_WantedPaper_0009	Bounty Notice - Warren	bounty-notice	bounty-notice document quest tier-0 wild	0	27
176	1001015	Quest_WantedPaper_0006	Bounty Notice - Bianca	bounty-notice	bounty-notice document quest tier-0 wild	0	27
177	1001014	Quest_WantedPaper_0005	Bounty Notice - Blix	bounty-notice	bounty-notice document quest tier-0 wild	0	27
178	1001011	Quest_WantedPaper_0002	Bounty Notice - Ulzok	bounty-notice	bounty-notice document quest tier-0 wild	0	27
179	1001013	Quest_WantedPaper_0004	Bounty Notice - Alessio	bounty-notice	bounty-notice document quest tier-0 wild	0	27
180	1001012	Quest_WantedPaper_0003	Bounty Notice - Haldin	bounty-notice	bounty-notice document quest tier-0 wild	0	27
181	1000599	Quest_WantedPaper_0101	Bounty Notice - Billy	bounty-notice	bounty-notice document quest tier-0 wild	0	27
182	1001047	Quest_WantedPaper_0038	Bounty Notice - Ivar	bounty-notice	bounty-notice document quest tier-0 wild	0	27
183	1001043	Quest_WantedPaper_0034	Bounty Notice - Rolf	bounty-notice	bounty-notice document quest tier-0 wild	0	27
184	1001040	Quest_WantedPaper_0031	Bounty Notice - Torfinn	bounty-notice	bounty-notice document quest tier-0 wild	0	27
185	1001044	Quest_WantedPaper_0035	Bounty Notice - Wolfe	bounty-notice	bounty-notice document quest tier-0 wild	0	27
186	1001041	Quest_WantedPaper_0032	Bounty Notice - Sigrid	bounty-notice	bounty-notice document quest tier-0 wild	0	27
187	1001045	Quest_WantedPaper_0036	Bounty Notice - Aera	bounty-notice	bounty-notice document quest tier-0 wild	0	27
188	1001048	Quest_WantedPaper_0039	Bounty Notice - Snaggle	bounty-notice	bounty-notice document quest tier-0 wild	0	27
189	1001046	Quest_WantedPaper_0037	Bounty Notice - Kronk	bounty-notice	bounty-notice document quest tier-0 wild	0	27
190	1001049	Quest_WantedPaper_0040	Bounty Notice - Sienna	bounty-notice	bounty-notice document quest tier-0 wild	0	27
191	1001042	Quest_WantedPaper_0033	Bounty Notice - Throk	bounty-notice	bounty-notice document quest tier-0 wild	0	27
192	1000613	Quest_WantedPaper_0107	Bounty Notice - Patrick	bounty-notice	bounty-notice document quest tier-0 wild	0	27
193	1000614	Quest_WantedPaper_0108	Bounty Notice - Jonathan	bounty-notice	bounty-notice document quest tier-0 wild	0	27
194	1001138	Quest_WantedPaper_0052	Bounty Notice - Rinaldo	bounty-notice	bounty-notice document quest tier-0 wild	0	27
195	1001021	Quest_WantedPaper_0012	Bounty Notice - Fabrizio	bounty-notice	bounty-notice document quest tier-0 wild	0	27
196	1001023	Quest_WantedPaper_0014	Bounty Notice - Selene	bounty-notice	bounty-notice document quest tier-0 wild	0	27
197	1001026	Quest_WantedPaper_0017	Bounty Notice - Bo	bounty-notice	bounty-notice document quest tier-0 wild	0	27
198	1001024	Quest_WantedPaper_0015	Bounty Notice - Cecil	bounty-notice	bounty-notice document quest tier-0 wild	0	27
199	1001025	Quest_WantedPaper_0016	Bounty Notice - Blair	bounty-notice	bounty-notice document quest tier-0 wild	0	27
200	1001020	Quest_WantedPaper_0011	Bounty Notice - Grull	bounty-notice	bounty-notice document quest tier-0 wild	0	27
201	1001022	Quest_WantedPaper_0013	Bounty Notice - Garth	bounty-notice	bounty-notice document quest tier-0 wild	0	27
202	1001028	Quest_WantedPaper_0019	Bounty Notice - Ursula	bounty-notice	bounty-notice document quest tier-0 wild	0	27
203	1001029	Quest_WantedPaper_0020	Bounty Notice - Helia	bounty-notice	bounty-notice document quest tier-0 wild	0	27
204	1000601	Quest_WantedPaper_0102	Bounty Notice - Gunder	bounty-notice	bounty-notice document quest tier-0 wild	0	27
205	1000604	Quest_WantedPaper_0103	Bounty Notice - Henrik	bounty-notice	bounty-notice document quest tier-0 wild	0	27
206	1000605	Quest_WantedPaper_0104	Bounty Notice - Aksel	bounty-notice	bounty-notice document quest tier-0 wild	0	27
207	1001034	Quest_WantedPaper_0025	Bounty Notice - Giovanni	bounty-notice	bounty-notice document quest tier-0 wild	0	27
208	1001030	Quest_WantedPaper_0021	Bounty Notice - Elara	bounty-notice	bounty-notice document quest tier-0 wild	0	27
209	1001037	Quest_WantedPaper_0028	Bounty Notice - Zelia	bounty-notice	bounty-notice document quest tier-0 wild	0	27
210	1001033	Quest_WantedPaper_0024	Bounty Notice - Borzak	bounty-notice	bounty-notice document quest tier-0 wild	0	27
211	1001031	Quest_WantedPaper_0022	Bounty Notice - Sigor	bounty-notice	bounty-notice document quest tier-0 wild	0	27
212	1001035	Quest_WantedPaper_0026	Bounty Notice - Morga	bounty-notice	bounty-notice document quest tier-0 wild	0	27
213	1001032	Quest_WantedPaper_0023	Bounty Notice - Duran	bounty-notice	bounty-notice document quest tier-0 wild	0	27
214	1001038	Quest_WantedPaper_0029	Bounty Notice - Talgrim	bounty-notice	bounty-notice document quest tier-0 wild	0	27
215	1001036	Quest_WantedPaper_0027	Bounty Notice - Lilith	bounty-notice	bounty-notice document quest tier-0 wild	0	27
216	1000525	Quest_WantedPaper_0105	Bounty Notice - Brooks	bounty-notice	bounty-notice document quest tier-0 wild	0	27
217	1000526	Quest_WantedPaper_0106	Bounty Notice - Obyss	bounty-notice	bounty-notice document quest tier-0 wild	0	27
218	1001053	Quest_WantedPaper_0044	Bounty Notice - Tarik	bounty-notice	bounty-notice document quest tier-0 wild	0	27
219	1001054	Quest_WantedPaper_0045	Bounty Notice - Zahir	bounty-notice	bounty-notice document quest tier-0 wild	0	27
220	1001059	Quest_WantedPaper_0050	Bounty Notice - Hakim	bounty-notice	bounty-notice document quest tier-0 wild	0	27
221	1001056	Quest_WantedPaper_0047	Bounty Notice - Nabila	bounty-notice	bounty-notice document quest tier-0 wild	0	27
222	1001050	Quest_WantedPaper_0041	Bounty Notice - Caesar	bounty-notice	bounty-notice document quest tier-0 wild	0	27
223	1001057	Quest_WantedPaper_0048	Bounty Notice - Brogar	bounty-notice	bounty-notice document quest tier-0 wild	0	27
224	1001058	Quest_WantedPaper_0049	Bounty Notice - Varka	bounty-notice	bounty-notice document quest tier-0 wild	0	27
225	1001051	Quest_WantedPaper_0042	Bounty Notice - Barrick	bounty-notice	bounty-notice document quest tier-0 wild	0	27
226	1001052	Quest_WantedPaper_0043	Bounty Notice - Sigrun	bounty-notice	bounty-notice document quest tier-0 wild	0	27
227	1000606	Quest_WantedPaper_0109	Bounty Notice - Frank	bounty-notice	bounty-notice document quest tier-0 wild	0	27
228	1000609	Quest_WantedPaper_0110	Bounty Notice - Broll	bounty-notice	bounty-notice document quest tier-0 wild	0	27
229	1003224	Lucky_Letter	Letter of Fortune	note	goods note stackable tier-0 wild	0	27
230	1003292	UnknownDiary_Bernor	Unknown Adventurer's Log	note	goods note tier-0 wild	0	27
231	1003293	UnknownDiary_Rainier	Unknown Adventurer's Log	note	goods note tier-0 wild	0	27
232	1003294	UnknownDiary_Contribution_5001	Unknown Adventurer's Log	note	goods note tier-0 wild	0	27
233	1003295	UnknownDiary_Faisal	Unknown Adventurer's Log	note	goods note tier-0 wild	0	27
234	1003296	UnknownDiary_Orlonel	Unknown Adventurer's Log	note	goods note tier-0 wild	0	27
235	1003297	UnknownDiary_Richart	Unknown Adventurer's Log	note	goods note tier-0 wild	0	27
236	1003298	UnknownDiary_Nolpix	Unknown Adventurer's Log	note	goods note tier-0 wild	0	27
237	1003299	UnknownDiary_Shay_Research	Unknown Adventurer's Log	note	goods note tier-0 wild	0	27
238	1003300	UnknownDiary_Provost_2	Unknown Adventurer's Log	note	goods note tier-0 wild	0	27
239	1003301	UnknownDiary_Khadin	Unknown Adventurer's Log	note	goods note tier-0 wild	0	27
240	1003302	UnknownDiary_Retonic	Unknown Adventurer's Log	note	goods note tier-0 wild	0	27
241	1003303	UnknownDiary_RonHardt	Unknown Adventurer's Log	note	goods note tier-0 wild	0	27
242	1003304	UnknownDiary_Aldun	Unknown Adventurer's Log	note	goods note tier-0 wild	0	27
243	1003305	LostLetter_Berdo	Letter to a Comrade	note	goods note tier-0 wild	0	27
244	1003306	LostLetter_Khadija	News for a Nephew	note	goods note tier-0 wild	0	27
245	1003307	LostLetter_Goorba	Unsealed Secret Letter	note	goods note tier-0 wild	0	27
246	1003308	LostLetter_Food_Trader_1	Periodic Report	note	goods note tier-0 wild	0	27
247	1003309	LostLetter_Mineral_Trader_1	Letter to Croft	note	goods note tier-0 wild	0	27
248	1003310	LostLetter_Sniks	Letter with a Torn Corner	note	goods note tier-0 wild	0	27
249	1003311	LostLetter_Provost_1	Scented Letter	note	goods note tier-0 wild	0	27
250	1003312	LostLetter_Provost_4	Scented Letter	note	goods note tier-0 wild	0	27
251	1003313	LostLetter_Burk	Letter from Mom	note	goods note tier-0 wild	0	27
252	1003314	LostLetter_Slywick	Unknown Duke's Order	note	goods note tier-0 wild	0	27
253	1003315	LostLetter_Skint	Crumpled Letter	note	goods note tier-0 wild	0	27
254	1003316	LostLetter_Montpellier	Demeniss Orphanage Registration Form	note	goods note tier-0 wild	0	27
255	1003317	LostLetter_Castiel	Letter with Smudged Words	note	goods note tier-0 wild	0	27
256	1003318	LostLetter_Eirik	Sawdust-Stained Letter	note	goods note tier-0 wild	0	27
