# Texte du menu de Master Looter en français. Traduction automatique. Aucun
# locuteur natif ne l'a encore relue. Les corrections sont bienvenues sur
# GitHub (github.com/shin2344234/master-looter) ou sur la page Nexus du mod.
#
# Une ligne par texte : l'anglais d'origine, une tabulation, puis la
# traduction. \n représente un saut de ligne à conserver. Les lignes qui
# commencent par # sont ignorées. Une ligne sans traduction après la
# tabulation reste affichée en anglais, donc un fichier partiellement traduit
# reste utilisable.
# Tous les marqueurs %d, %s, %.1f et autres doivent rester exactement comme
# dans l'anglais et dans le même ordre : le jeu y insère des nombres et des
# noms au moment de l'affichage, et une ligne qui les modifie est ignorée au
# chargement plutôt que risquée.
# Un fichier de ce nom placé à côté de MasterLooter.asi remplace la copie
# intégrée au plugin.

  bag full	  sac plein
Caught creatures, live or lying around; a creature the table can name follows its class rule. Crabs, shrimp and squid are seafood under Food and drink.	Créatures capturables, vivantes ou gisant au sol ; une créature que la table peut nommer suit la règle de sa classe. Crabes, crevettes et calmars sont des fruits de mer sous Nourriture et boisson.
Class	Classe
class %s	classe %s
Classes	Classes
Clear	Effacer
Clear overrides	Effacer les substitutions
Clears what this session worked out from your bag. Nodes named by the prefab table are unaffected.	Efface ce que cette session a déduit à partir de votre sac. Les points nommés par la table des prefabs ne sont pas affectés.
Close	Fermer
container (off)	conteneur (désactivé)
Containers	Conteneurs
containers off	conteneurs désactivés
Controller	Manette
Copper	Cuivre
Copy	Copier
Copy path	Copier le chemin
Copy to the clipboard.	Copier dans le presse-papiers.
corpse	cadavre
corpse already searched	cadavre déjà fouillé
corpse: loot drops separately	cadavre : le butin tombe séparément
creature	créature
Creatures	Créatures
Crops	Cultures
crops off	cultures désactivées
Damaged gear	Équipement endommagé
Dead zone around you	Zone morte autour de vous
Decision	Décision
default	par défaut
DirectX 12 hooks	Hooks DirectX 12
does not respond	ne répond pas
Draw water from wells	Tirer de l'eau des puits
Engine	Moteur
English	Anglais
English. %d line(s) seen this session.	Anglais. %d ligne(s) vue(s) pendant cette session.
entity	entité
entity %08X	entité %08X
entity %08X, %d items across every store	entité %08X, %d objets dans tous les stockages
entity %08X, bag %d of %d slots, %d items across every store	entité %08X, sac %d de %d emplacements, %d objets dans tous les stockages
Event descriptors	Descripteurs d'événements
Every rock: ore and stone chunks on the ground, veins, boulders, rubble piles and quarry stone. A vein is broken where it stands and its contents picked up off the floor, which is what your pickaxe does and what makes a better pickaxe worth carrying: the tool's Mining Yield Up applies to the drop, not to the node. Each vein is struck once and left alone until the game brings it back. Reaching for veins starts as far out as the scan can see, because they take seconds to answer where a bush takes a fraction of one.\n\nStone used to have a switch of its own and the split never held: the game files most quarry stone under mining, so turning Stone off left it arriving anyway. To keep the ore and leave the stone, refuse the class stone on the Classes tab. That covers Stone, Fine Stone, Flawless Stone and Stalactite, and every rock the game says holds nothing else is then left standing, the mine rocks and the stalactites included. A vein that also holds ore or a jewel is still broken, since refusing the stone is not refusing what sits beside it. Where the game describes a node not at all, it takes ore, jewels and stone all being refused before that one is passed over.	Toute roche : morceaux de minerai et de pierre au sol, filons, blocs rocheux, tas de gravats et pierre de carrière. Un filon est brisé là où il se trouve et son contenu ramassé par terre, exactement ce que fait ta pioche et ce qui rend une meilleure pioche utile : le bonus de rendement minier de l'outil s'applique à ce qui tombe, pas au point. Chaque filon est frappé une fois puis laissé tranquille jusqu'à ce que le jeu le fasse revenir. La sollicitation des filons commence aussi loin que le balayage peut voir, car ils mettent des secondes à répondre là où un buisson met une fraction de seconde.\n\nLa pierre avait autrefois son propre réglage et la séparation n'a jamais tenu : le jeu classe la plupart de la pierre de carrière sous l'exploitation minière, si bien que désactiver Pierre la laissait arriver quand même. Pour garder le minerai et laisser la pierre, refuse la classe stone dans l'onglet Classes. Cela couvre Pierre, Pierre fine, Pierre parfaite et Stalactite, et toute roche dont le jeu dit qu'elle ne contient rien d'autre reste alors en place, les rochers de mine et les stalactites compris. Un filon qui contient aussi du minerai ou une gemme est quand même brisé, car refuser la pierre ne revient pas à refuser ce qui se trouve à côté. Là où le jeu ne décrit pas du tout un point, il faut que le minerai, les gemmes et la pierre soient tous refusés avant que celui-là soit ignoré.
Extra ore per vein	Minerai supplémentaire par filon
failed	échoué
fast-travel artifact	artefact de voyage rapide
filter classes	filtrer les classes
filter tags	filtrer les étiquettes
Filters	Filtres
Fish	Poissons
fish off	poissons désactivés
Fish, and whatever else you catch in the water: crabs, shrimp, squid, starfish and seahorses.	Poissons, et tout ce que vous pêchez d'autre dans l'eau : crabes, crevettes, calmars, étoiles de mer et hippocampes.
Food and drink	Nourriture et boisson
Forget	Oublier
found	trouvé
Furniture	Mobilier
Furniture and decor	Mobilier et décoration
furniture node (off)	point de mobilier (désactivé)
furniture off	mobilier désactivé
Game functions	Fonctions du jeu
Game functions did not resolve; see Status.	Les fonctions du jeu n'ont pas été résolues ; voir Statut.
Game-thread pump	Traitement sur le thread du jeu
gather node	point de récolte
Gathering	Récolte
General	Général
Ground items	Objets au sol
Groups	Groupes
Herb, flower and mushroom nodes, and the same lying on the ground, seeds included. Food crops have their own switch. To keep the herbs and leave the seeds, or the other way round, refuse the class on the Classes tab: herb and seed are separate there. That sorts what is lying on the ground item by item, and it reaches the node as well wherever the game says what the node holds: refuse herb and a herb patch is left alone. Plant nodes are a mixed lot, paying grain and crafting materials too, and for the ones the game does not describe this switch is the only control.	Points d'herbes, de fleurs et de champignons, et les mêmes gisant au sol, graines comprises. Les cultures vivrières ont leur propre réglage. Pour garder les herbes et laisser les graines, ou l'inverse, refuse la classe dans l'onglet Classes : herb et seed y sont séparées. Cela trie objet par objet ce qui est au sol, et cela atteint aussi le point partout où le jeu dit ce que le point contient : refuse herb et un carré d'herbes est laissé tranquille. Les points de plantes sont un ensemble hétéroclite, qui donne aussi des céréales et des matériaux d'artisanat, et pour ceux que le jeu ne décrit pas, ce réglage est le seul contrôle.
hold two buttons (Escape cancels)	maintenez deux boutons (Échap annule)
Household clutter and collectibles, most of it worthless.	Bric-à-brac domestique et objets à collectionner, la plupart sans valeur.
How full the bag is is read from the bag itself, so the notice appears the moment it fills, whether or not you are looting. If those numbers ever stop making sense the mod falls back to watching what happens after a pick-up: three in a row that reach nothing raise the notice, and one landing clears it.	Le taux de remplissage du sac est lu directement depuis le sac, donc l'avis apparaît dès qu'il se remplit, que vous soyez en train de ramasser ou non. Si ces chiffres cessent un jour d'avoir un sens, le mod se rabat sur l'observation de ce qui se passe après un ramassage : trois échecs d'affilée déclenchent l'avis, et un ramassage réussi le supprime.
How often the scene is read. The scan runs on its own thread; only the final take costs the game a fraction of a millisecond.	La fréquence à laquelle la scène est lue. Le balayage tourne sur son propre thread ; seule la collecte finale coûte au jeu une fraction de milliseconde.
incomplete	incomplet
Insects	Insectes
insects off	insectes désactivés
installed	installé
Item	Objet
Item database	Base de données des objets
Item table	Table des objets
Items	Objets
Items lying in the world, including drops from enemies.	Objets qui traînent dans le monde, y compris ceux lâchés par les ennemis.
Items no shop will buy, across every class.	Objets qu'aucune boutique n'achète, dans toutes les classes.
Items on the ground	Objets au sol
Items tagged quest are left alone, so puzzles and story pickups are not auto-taken. It reads the item's own tags, so it covers anything you pick up and every node whose contents the mod can name. Two things fall outside it. A node it cannot name is decided by the switch for its kind, because there is no item there to read a tag from. And skinning a carcass pays out without the mod ever seeing what arrived.	Les objets étiquetés quête sont laissés tranquilles, afin que les objets d'énigme et d'histoire ne soient pas pris automatiquement. Cela lit les étiquettes propres à l'objet, donc cela couvre tout ce que tu ramasses et tout point dont le mod peut nommer le contenu. Deux choses échappent à cela. Un point qu'il ne peut pas nommer est décidé par le réglage de son type, car il n'y a là aucun objet dont lire une étiquette. Et dépecer une carcasse rapporte sans que le mod voie jamais ce qui est arrivé.
Items with an unknown value are never filtered by it.	Les objets de valeur inconnue ne sont jamais filtrés par ce critère.
Keep the menu on screen while you play. %s brings it back, %s closes it.	Garder le menu à l'écran pendant que vous jouez. %s le fait réapparaître, %s le ferme.
Keys	Touches
Keys and tools	Clés et outils
Language	Langue
Language \"%s\": %d line(s) translated, %d seen this session.	Langue \"%s\" : %d ligne(s) traduite(s), %d vue(s) pendant cette session.
learned from the game	appris du jeu
Load	Charger
loaded	chargé
locked	verrouillé
Log	Journal
Log: %ls	Journal : %ls
Loot	Butin
Loot all	Tout ramasser
Loot engine	Moteur de ramassage
Loot engine not started.	Le moteur de ramassage n'a pas démarré.
Loot everything in range now	Ramasser tout ce qui est à portée maintenant
Loot everything in range once	Ramasser une fois tout ce qui est à portée
loot: %s	butin : %s
Looting	Ramassage
MASTER LOOTER	MASTER LOOTER
Master Looter v%s for game build %s	Master Looter v%s pour la version %s du jeu
Materials	Matériaux
mechanism part	pièce de mécanisme
Memory chips and puzzle parts	Puces de mémoire et pièces d'énigme
Mine ore veins for you	Miner les filons de minerai pour vous
Minimum value (copper)	Valeur minimale (cuivre)
missing	manquant
missing MasterLooter.items.tsv	MasterLooter.items.tsv manquant
mission object	élément de mission
Mounts and vehicles	Montures et véhicules
name a new preset	nommer une nouvelle prédéfinition
Nearby	À proximité
never	jamais
no	non
no interaction node	aucun point d'interaction
Nodes the prefab table does not name and that have not yielded anything yet this session. Off (the default) leaves them alone. On makes the mod gather them to find out, which means a plant can be taken while Plants is off.	Points que la table des prefabs ne nomme pas et qui n'ont encore rien produit pendant cette session. Désactivé (par défaut) les laisse tranquilles. Activé fait récolter au mod pour le découvrir, ce qui signifie qu'une plante peut être prise même si Plantes est désactivé.
none	aucun
not found yet	pas encore trouvé
not in item database	absent de la base de données des objets
not ready (node empty)	pas prêt (point vide)
not resolved yet	pas encore résolu
not started	non démarré
not yet	pas encore
Nothing else is drawn while the menu is closed.	Rien d'autre n'est dessiné tant que le menu est fermé.
nothing taken yet this session	rien pris pendant cette session pour l'instant
Object	Élément
object	élément
Objects are listed nearest first, with the rule that decided each one. Empty nodes read as not ready until the game or arming fills them. What you are wearing and carrying is left out.	Les éléments sont listés du plus proche au plus loin, avec la règle qui a décidé pour chacun. Les points vides sont lus comme pas prêts jusqu'à ce que le jeu ou l'activation les remplisse. Ce que vous portez et transportez est laissé de côté.
Objects closer than this are treated as your own equipment. A safety net; your gear is also recognised by other means.	Les éléments plus proches que cette distance sont traités comme votre propre équipement. C'est un filet de sécurité ; votre équipement est aussi reconnu par d'autres moyens.
Objects per burst press	Éléments par pression rapide
Objects per scan	Éléments par balayage
on the player	sur le joueur
On, a vein is harvested where it stands and you never swing a pickaxe. Off, veins are left alone and only the chunks you knock loose are picked up. Needs arming, since asking the vein to open is the whole trick.	Activé, un filon est récolté là où il se trouve et vous ne balancez jamais de pioche. Désactivé, les filons sont laissés tranquilles et seuls les morceaux que vous détachez sont ramassés. Nécessite l'activation, puisque demander au filon de s'ouvrir est tout le principe.
On, the overlay draws under DLSS frame generation, which needs this mod to hand the game a wrapped swapchain.\n\nOff, the overlay draws through the present hook instead. Everything looks the same unless frame generation is on, and the mod stays off a path other overlay mods patch as well. Try this if the game will not start alongside another overlay mod; it can be set as WrapSwapChain in MasterLooter.ini without launching the game.	Activé, la superposition se dessine sous la génération d'images DLSS, ce qui demande que ce mod fournisse au jeu un swapchain encapsulé.\n\nDésactivé, la superposition se dessine plutôt via le hook de présentation. Tout se ressemble sauf quand la génération d'images est active, et le mod évite ainsi un chemin que d'autres mods de superposition modifient aussi. Essayez ceci si le jeu ne démarre pas en même temps qu'un autre mod de superposition ; cela peut être réglé comme WrapSwapChain dans MasterLooter.ini sans lancer le jeu.
One click per family. The table below still sets single classes; a group shows a dash when only some of it is on.	Un clic par famille. Le tableau ci-dessous règle toujours les classes individuelles ; un groupe affiche un tiret quand seule une partie de lui est activée.
Open and close this menu	Ouvrir et fermer ce menu
Open folder	Ouvrir le dossier
Opens the folder in Explorer. The log is rewritten every launch and is what to attach to a report.	Ouvre le dossier dans l'Explorateur. Le journal est réécrit à chaque lancement et c'est ce qu'il faut joindre à un rapport.
Ore and stone	Minerai et pierre
ore off	minerai désactivé
Ore, gems, stone, timber, hides, herbs, trade goods and other crafting input.	Minerai, gemmes, pierre, bois, peaux, herbes, marchandises et autres matières premières d'artisanat.
out of range	hors de portée
Overlay	Superposition
Override	Substitution
owned by someone (theft)	appartient à quelqu'un (vol)
Ownership	Propriété
Ownership oracle	Vérificateur de propriété
Pace	Rythme
part of a creature or a mechanism	partie d'une créature ou d'un mécanisme
paused: %s	en pause : %s
pick up off	ramassage désactivé
Plants	Plantes
plants off	plantes désactivées
Player	Joueur
Player equipment.	Équipement du joueur.
Player not found in the scene yet.	Joueur pas encore trouvé dans la scène.
Presets	Prédéfinitions
press a key (Escape cancels)	appuyez sur une touche (Échap annule)
Protected by default: a memory chip starts a memory scene when taken, and a puzzle part breaks its puzzle. Turn on only if you want them auto-taken.	Protégé par défaut : une puce de mémoire déclenche une scène de mémoire lorsqu'elle est prise, et une pièce d'énigme casse son énigme. N'activez ceci que si vous voulez qu'ils soient ramassés automatiquement.
protected item name	nom d'objet protégé
Puts every setting and rule back to what it was at that moment.	Remet chaque réglage et chaque règle à ce qu'ils étaient à ce moment-là.
puzzle or protected mechanism	énigme ou mécanisme protégé
Quest items	Objets de quête
quest or memory trigger	déclencheur de quête ou de mémoire
Ranges (metres)	Portées (mètres)
Rats, squirrels, birds, lizards, frogs and salamanders: anything else the game puts in the bag whole.	Rats, écureuils, oiseaux, lézards, grenouilles et salamandres : tout ce que le jeu met par ailleurs entier dans le sac.
Reaching nodes	Atteindre les points
Read from the file beside the plugin, not the copy inside it.	Lu depuis le fichier à côté du plugin, pas la copie qu'il contient.
Rebind	Réattribuer
Recent loot	Butin récent
Refresh	Actualiser
Reload now	Recharger maintenant
Replaces every setting and every class, tag and item rule with what the preset holds, and writes it to MasterLooter.ini. Nothing of the current settings is kept, so back them up first if you want them.	Remplace chaque réglage et chaque règle de classe, d'étiquette et d'objet par le contenu de la prédéfinition, et l'écrit dans MasterLooter.ini. Rien des réglages actuels n'est conservé, alors sauvegardez-les d'abord si vous voulez les garder.
Reset all tags	Réinitialiser toutes les étiquettes
resolved	résolu
Retry the same object after (ms)	Réessayer le même élément après (ms)
Route id	ID de route
Rule	Règle
Save now	Enregistrer maintenant
Saved as \"%s\": a preset name keeps letters, digits, spaces, dashes and underscores.	Enregistré sous \"%s\" : le nom d'une prédéfinition ne garde que lettres, chiffres, espaces, tirets et tirets bas.
Say so on screen when the bag stops taking things	Le signaler à l'écran quand le sac cesse d'accepter des objets
scan %.1f ms	balayage %.1f ms
Scan radius	Rayon de balayage
Scans %ld, events sent %ld, pump ticks %ld, guarded faults %ld, node kinds learned %d	Balayages : %ld ; événements envoyés : %ld ; cycles de traitement : %ld ; erreurs protégées : %ld ; types de points appris : %d
Scans per second	Balayages par seconde
search item name or key (3+ letters)	chercher un nom ou une clé d'objet (3 lettres ou plus)
Sending events	Envoi des événements
Set	Définir
Settings: %ls	Réglages : %ls
Show a brief notice when auto-loot is toggled	Afficher un bref avis quand le ramassage automatique est activé ou désactivé
Showing current overrides. Type to search all %d items.	Affichage des substitutions actuelles. Tapez pour chercher parmi les %d objets.
Showing the nearest %d of %d. The rest are further away.	Affichage des %d plus proches sur %d. Les autres sont plus loin.
Skip all	Tout ignorer
Skip quest equipment	Ignorer l'équipement de quête
Quest equipment	Équipement de quête
Gear marked important that no shop will buy, across every class. Off leaves quest tools where they lie.	L'équipement que le jeu marque comme important et qu'aucune boutique n'achète, toutes classes confondues. Désactivé : les outils de quête restent au sol.
Tools and gear the game marks important that no shop will buy: the fertilizer and lubricant sprayers, the Kuku spears, the scout rings and necklaces. 180 items, nearly all worth a single copper, and taking one off the floor early can put a quest step out of order.\n\nIt reads the two marks together, so an item carrying only one of them is not covered. The Field Sprayer is unsellable and not marked important, and still comes in.	Les outils et l'équipement que le jeu marque comme importants et qu'aucune boutique n'achète : les pulvérisateurs d'engrais et de lubrifiant, les lances Kuku, les bagues et colliers d'éclaireur. 180 objets, presque tous valant un seul cuivre, et en ramasser un trop tôt peut décaler une étape de quête.\n\nLes deux marques sont lues ensemble, donc un objet qui n'en porte qu'une seule n'est pas couvert. Le pulvérisateur de campagne est invendable et n'est pas marqué comme important, et il est toujours ramassé.
Skip items shops refuse to buy	Ignorer les objets que les boutiques refusent d'acheter
Skip quest items	Ignorer les objets de quête
skip: %s	ignorer : %s
Small animals	Petits animaux
small animals off	petits animaux désactivés
Some world objects carry no readable item name. On: take them anyway. Off: leave them alone.\n\nThis covers loose items only. A pick-up the node table vouches for, such as a coin pile or a stack of gold bars, is taken whichever way this is set: the table naming the prefab is what identifies it, and the item inside it having no name is a separate question. Its own category switch still applies.	Certains éléments du monde ne portent aucun nom d'objet lisible. Activé : les prendre quand même. Désactivé : laisser tout ce qui est non identifié.\n\nCela ne concerne que les objets au sol. Un ramassage dont la table des points se porte garante, comme un tas de pièces ou une pile de lingots d'or, est pris quel que soit ce réglage : c'est le fait que la table nomme le prefab qui l'identifie, et que l'objet qu'il contient n'ait pas de nom est une autre question. Son propre interrupteur de catégorie s'applique toujours.
someone is wearing this; taking it would copy it	quelqu'un porte ceci ; le prendre en ferait une copie
stack at one point (storage contents)	empilé en un point (contenu de stockage)
Status	État
Stop pets looting	Empêcher les animaux de ramasser
Tables, chairs, beds, carpets, lamps, candles, paintings, pots and the rest of a furnished room, whether you pick one up off the floor or take it from its own interaction node. Most of it is worth a copper or two, but the carpets and the luxury beds run to thousands, so turn this on before furnishing a house. Chests and the other things that hold something answer to Containers instead. Off by default.	Tables, chaises, lits, tapis, lampes, bougies, tableaux, pots et le reste d'une pièce meublée, que vous le ramassiez au sol ou que vous le preniez depuis son propre point d'interaction. La plupart valent une pièce de cuivre ou deux, mais les tapis et les lits de luxe montent à des milliers, alors activez ceci avant de meubler une maison. Les coffres et les autres objets qui en contiennent d'autres relèvent plutôt de Conteneurs. Désactivé par défaut.
Tag	Étiquette
Tags	Étiquettes
tags, any of which can be set to never in the Tags tab:	étiquettes, dont chacune peut être réglée sur « jamais » dans l'onglet Étiquettes :
Take goods that belong to someone	Prendre les biens qui appartiennent à quelqu'un
Take goods that belong to someone, on / off	Activer/désactiver la prise des biens qui appartiennent à quelqu'un
Take items the database cannot name	Prendre les objets que la base de données ne peut pas nommer
Pets and companions follow the filters	Les animaux et les compagnons respectent les filtres
Take owned goods on / off	Activer/désactiver la prise des biens appartenant à autrui
take this one by hand, looting it can lock the quest	prends celui-ci à la main, le ramasser peut bloquer la quête
takes effect next launch	prend effet au prochain lancement
The engine scans around you and takes what the rules allow. Off means nothing is taken automatically; the burst key still works.	Le moteur balaie autour de vous et prend ce que les règles autorisent. Désactivé signifie que rien n'est pris automatiquement ; la touche de ramassage rapide fonctionne toujours.
The game fills a node's data only when it thinks you can reach it. Arming asks it to do that from a distance, which is also what lets an ore vein be harvested where it stands. Veins take several seconds to answer where a bush takes a fraction of one.	Le jeu ne remplit les données d'un point que lorsqu'il estime que vous pouvez l'atteindre. L'activation lui demande de le faire à distance, ce qui permet aussi de récolter un filon de minerai là où il se trouve. Les filons mettent plusieurs secondes à répondre là où un buisson n'en prend qu'une fraction.
The game removes taken objects with a delay. This stops the same object being sent twice while it fades.	Le jeu retire les éléments pris avec un délai. Cela évite que le même élément soit envoyé deux fois pendant qu'il s'efface.
The game treats this as stealing and will put a bounty on you.	Le jeu considère cela comme du vol et mettra une prime sur votre tête.
The mod never swings a pickaxe. It drives the vein's own break sequence, and the game walks one drop row for that where a real swing walks two, so your mining tool's bonus pays nothing when the mod does the mining. This adds the missing ore back through the same drop path the game uses, so it is real ore spilled on the ground, not an item copied into your bag. Set it to what your tool pays by hand minus one: a drill that gives three by hand wants 2 here. It only applies to a vein this mod broke, so mining by hand is untouched and the two cannot stack.	Le mod ne balance jamais de pioche. Il déclenche la propre séquence de rupture du filon, et le jeu ne parcourt qu'une ligne de chute pour cela là où un vrai coup en parcourt deux, si bien que le bonus de votre outil de minage ne rapporte rien quand c'est le mod qui mine. Ceci rajoute le minerai manquant par le même circuit de chute que celui utilisé par le jeu, donc c'est du minerai réel déversé au sol, pas un objet copié dans votre sac. Réglez-le sur ce que votre outil rapporte à la main moins un : une foreuse qui donne trois à la main en veut 2 ici. Cela ne s'applique qu'à un filon cassé par ce mod, donc le minage à la main n'est pas touché et les deux ne peuvent pas se cumuler.
This session: %ld picked up, %ld gathered, %ld caught, %ld carcasses	Cette session : %ld ramassés, %ld récoltés, %ld capturés, %ld carcasses
Timber and branches on the ground, and the nodes that yield them. What most of these hold is read out of the game data itself, so refusing the class wood on the Classes tab leaves the trees standing as well as the timber under them. Where the game says nothing about a node, this switch is the only control it has.	Bois et branches au sol, et les points qui en donnent. Ce que la plupart d'entre eux contiennent est lu dans les données du jeu elles-mêmes, donc refuser la classe wood dans l'onglet Classes laisse les arbres debout ainsi que le bois à leur pied. Là où le jeu ne dit rien d'un point, ce réglage est le seul contrôle dont il dispose.
To leave one species alone, set what it becomes to never on the Items tab: Item_Tench, Item_Ricefish, Item_Iguana. The mod reads the creature's own row in the game's character table, so it knows which species it is looking at before it catches anything. A few unusual creatures still fall back to guessing from their model name and are caught by category only.	Pour laisser une espèce tranquille, réglez sur « jamais » ce qu'elle devient dans l'onglet Objets : Item_Tench, Item_Ricefish, Item_Iguana. Le mod lit la propre ligne de la créature dans la table des personnages du jeu, il sait donc quelle espèce il regarde avant même d'attraper quoi que ce soit. Quelques créatures inhabituelles se rabattent encore sur une estimation d'après le nom de leur modèle et ne sont capturées que par catégorie.
Treasure and keepsakes	Trésors et souvenirs
Two buttons at once, never one: every single button already does something in this game. The mod only reads the pad, so the game still sees both buttons. Pick a pair that does nothing together, like the two shoulder buttons, or Back and a face button.	Deux boutons à la fois, jamais un seul : chaque bouton fait déjà quelque chose dans ce jeu. Le mod ne fait que lire la manette, donc le jeu voit toujours les deux boutons. Choisissez une paire qui ne fait rien ensemble, comme les deux boutons d'épaule, ou Retour et un bouton de face.
