# Texto del menú de Master Looter en español de España (es). Traducción
# automática. Todavía no la ha revisado ningún hablante nativo.
#
# Las correcciones son bienvenidas en GitHub
# (github.com/shin2344234/master-looter) o en la página del mod en Nexus.
#
# Una línea por texto: el original en inglés, una tabulación y la
# traducción. Las líneas que empiezan por # se ignoran. \n representa un
# salto de línea: mantén el mismo número de ellos. Una línea sin
# traducción tras la tabulación se queda en inglés, así que un archivo a
# medio hacer sigue siendo perfectamente utilizable.
#
# Todo %d, %s, %.1f y los demás marcadores deben aparecer en la
# traducción tal cual y en el mismo orden que en el inglés: sus valores se
# insertan en tiempo de ejecución, y una línea que los altere se ignora al
# cargar para no imprimir valores incorrectos.
#
# Guarda este archivo como MasterLooter.es.txt junto a MasterLooter.asi
# para que sustituya a la copia incorporada en el plugin.

  bag full	  bolsa llena
Auto-loot on / off	Saqueo automático activado/desactivado
Backups	Copias de seguridad
blank for English	en blanco para inglés
Books and papers	Libros y papeles
Boss rewards, artifacts, memory items, coin pouches and reward chests.	Recompensas de jefes, artefactos, objetos de memoria, bolsas de monedas y cofres de recompensa.
Break veins open rather than emptying them	Romper las vetas en vez de vaciarlas
Breaking drives the game's own state machine at the vein, the swing landing and then the break, so the node spills its contents on the ground and disappears exactly as it does under a pickaxe. Emptying instead lifts the ore straight out and skips the drop entirely. Neither route pays your tool's Mining Yield Up, which the game only grants to a swing it counts as yours, so set the extra below to make up the difference. Each vein is struck once and then left alone until the game respawns it.	Romperla activa la propia máquina de estados del juego en la veta: primero el golpe acierta y después llega la rotura, así que el punto derrama su contenido en el suelo y desaparece igual que bajo un pico. Vaciarla en cambio saca el mineral directamente y se salta la caída por completo. Ninguna de las dos rutas paga el Rendimiento de minería mejorado de tu herramienta, que el juego solo concede a un golpe que cuenta como tuyo, así que ajusta el extra de abajo para compensar la diferencia. Cada veta se golpea una vez y luego se deja en paz hasta que el juego la reponga.
Butterflies, beetles, dragonflies, bees, spiders, scorpions, snails and the other small things the game files as insects. Species come from the creature table; a creature the table cannot name is only caught when every category it could belong to is on (a flyer could be a fish, an insect or a bird).	Mariposas, escarabajos, libélulas, abejas, arañas, escorpiones, caracoles y las demás cosas pequeñas que el juego clasifica como insectos. Las especies vienen de la tabla de criaturas; una criatura que la tabla no puede nombrar solo se captura cuando todas las categorías a las que podría pertenecer están activadas (algo volador podría ser un pez, un insecto o un ave).
captured	capturado
Carcasses	Cadáveres
Carcasses and bodies	Cadáveres y cuerpos
Bodies	Cuerpos
carcasses off	cadáveres desactivados
bodies off	cuerpos desactivado
Catching	Captura
Caught creatures, live or lying around; a creature the table can name follows its class rule. Crabs, shrimp and squid are seafood under Food and drink.	Criaturas capturables, vivas o tendidas en el suelo; una criatura que la tabla puede nombrar sigue la regla de su clase. Los cangrejos, las gambas y los calamares son marisco dentro de Comida y bebida.
Class	Clase
class %s	clase %s
Classes	Clases
Clear	Borrar
Clear overrides	Borrar anulaciones
Clears what this session worked out from your bag. Nodes named by the prefab table are unaffected.	Borra lo que esta sesión ha deducido a partir de tu bolsa. Los puntos que nombra la tabla de prefabs no se ven afectados.
Close	Cerrar
container (off)	contenedor (desactivado)
Containers	Contenedores
containers off	contenedores desactivados
Controller	Mando
Copper	Cobre
Copy	Copiar
Copy path	Copiar ruta
Copy to the clipboard.	Copiar al portapapeles.
corpse	cadáver
corpse already searched	cadáver ya registrado
corpse: loot drops separately	cadáver: el botín cae por separado
creature	criatura
Creatures	Criaturas
Crops	Cultivos
crops off	cultivos desactivados
Damaged gear	Equipo dañado
Dead zone around you	Zona muerta a tu alrededor
Decision	Decisión
default	predeterminado
DirectX 12 hooks	Ganchos de DirectX 12
does not respond	no responde
Draw water from wells	Sacar agua de los pozos
Engine	Motor
English	Inglés
English. %d line(s) seen this session.	Inglés. %d línea(s) vista(s) en esta sesión.
entity	entidad
entity %08X	entidad %08X
entity %08X, %d items across every store	entidad %08X, %d objetos en todos los almacenes
entity %08X, bag %d of %d slots, %d items across every store	entidad %08X, bolsa con %d de %d huecos, %d objetos en todos los almacenes
Event descriptors	Descriptores de eventos
Every rock: ore and stone chunks on the ground, veins, boulders, rubble piles and quarry stone. A vein is broken where it stands and its contents picked up off the floor, which is what your pickaxe does and what makes a better pickaxe worth carrying: the tool's Mining Yield Up applies to the drop, not to the node. Each vein is struck once and left alone until the game brings it back. Reaching for veins starts as far out as the scan can see, because they take seconds to answer where a bush takes a fraction of one.\n\nStone used to have a switch of its own and the split never held: the game files most quarry stone under mining, so turning Stone off left it arriving anyway. To keep the ore and leave the stone, refuse the class stone on the Classes tab. That covers Stone, Fine Stone, Flawless Stone and Stalactite, and every rock the game says holds nothing else is then left standing, the mine rocks and the stalactites included. A vein that also holds ore or a jewel is still broken, since refusing the stone is not refusing what sits beside it. Where the game describes a node not at all, it takes ore, jewels and stone all being refused before that one is passed over.	Toda roca: trozos de mineral y de piedra en el suelo, vetas, peñascos, montones de escombros y piedra de cantera. Una veta se rompe donde está y su contenido se recoge del suelo, que es lo que hace tu pico y lo que hace que valga la pena llevar uno mejor: la bonificación de rendimiento minero de la herramienta se aplica a lo que cae, no al punto. Cada veta se golpea una vez y se deja en paz hasta que el juego la devuelve. El alcance para las vetas empieza tan lejos como llega el barrido, porque tardan segundos en responder donde un arbusto tarda una fracción.\n\nLa piedra tuvo su propio interruptor y la división nunca se sostuvo: el juego archiva la mayor parte de la piedra de cantera bajo minería, así que desactivar Piedra la dejaba llegar igualmente. Para quedarte con el mineral y dejar la piedra, rechaza la clase stone en la pestaña Clases. Eso cubre Piedra, Piedra fina, Piedra perfecta y Estalactita, y toda roca de la que el juego dice que no contiene nada más queda entonces en pie, incluidas las rocas de mina y las estalactitas. Una veta que además contiene mineral o una gema se sigue rompiendo, porque rechazar la piedra no es rechazar lo que hay a su lado. Donde el juego no describe un punto en absoluto, hace falta que el mineral, las gemas y la piedra estén todos rechazados antes de que ese se pase por alto.
Extra ore per vein	Mineral extra por veta
failed	fallido
fast-travel artifact	artefacto de viaje rápido
filter classes	filtrar clases
filter tags	filtrar etiquetas
Filters	Filtros
Fish	Peces
fish off	peces desactivados
Fish, and whatever else you catch in the water: crabs, shrimp, squid, starfish and seahorses.	Peces, y todo lo demás que pesques en el agua: cangrejos, gambas, calamares, estrellas de mar y caballitos de mar.
Food and drink	Comida y bebida
Forget	Olvidar
found	encontrado
Furniture	Mobiliario
Furniture and decor	Mobiliario y decoración
furniture node (off)	punto de mobiliario (desactivado)
furniture off	mobiliario desactivado
Game functions	Funciones del juego
Game functions did not resolve; see Status.	Las funciones del juego no se resolvieron; consulta Estado.
Game-thread pump	Bombeo del hilo del juego
gather node	punto de recolección
Gathering	Recolección
General	General
Ground items	Objetos en el suelo
Groups	Grupos
Herb, flower and mushroom nodes, and the same lying on the ground, seeds included. Food crops have their own switch. To keep the herbs and leave the seeds, or the other way round, refuse the class on the Classes tab: herb and seed are separate there. That sorts what is lying on the ground item by item, and it reaches the node as well wherever the game says what the node holds: refuse herb and a herb patch is left alone. Plant nodes are a mixed lot, paying grain and crafting materials too, and for the ones the game does not describe this switch is the only control.	Puntos de hierbas, flores y setas, y lo mismo tirado por el suelo, semillas incluidas. Los cultivos alimentarios tienen su propio interruptor. Para quedarte con las hierbas y dejar las semillas, o al revés, rechaza la clase en la pestaña Clases: herb y seed están separadas allí. Eso ordena objeto por objeto lo que hay en el suelo, y también alcanza al punto siempre que el juego diga qué contiene: rechaza herb y un macizo de hierbas queda intacto. Los puntos de planta son un conjunto variado y también dan cereal y materiales de artesanía, y para los que el juego no describe este interruptor es el único control.
hold two buttons (Escape cancels)	mantén pulsados dos botones (Escape cancela)
Household clutter and collectibles, most of it worthless.	Trastos domésticos y coleccionables, la mayoría sin valor.
How full the bag is is read from the bag itself, so the notice appears the moment it fills, whether or not you are looting. If those numbers ever stop making sense the mod falls back to watching what happens after a pick-up: three in a row that reach nothing raise the notice, and one landing clears it.	Lo llena que está la bolsa se lee de la propia bolsa, así que el aviso aparece en cuanto se llena, estés saqueando o no. Si esos números dejan de tener sentido, el mod pasa a vigilar lo que ocurre tras cada recogida: tres seguidas que no consiguen nada muestran el aviso, y una que llegue lo quita.
How often the scene is read. The scan runs on its own thread; only the final take costs the game a fraction of a millisecond.	Con qué frecuencia se lee la escena. La exploración se ejecuta en su propio hilo; solo el resultado final le cuesta al juego una fracción de milisegundo.
incomplete	incompleto
Insects	Insectos
insects off	insectos desactivados
installed	instalado
Item	Objeto
Item database	Base de datos de objetos
Item table	Tabla de objetos
Items	Objetos
Items lying in the world, including drops from enemies.	Objetos tirados por el mundo, incluidos los que sueltan los enemigos.
Items no shop will buy, across every class.	Objetos que ninguna tienda compra, en todas las clases.
Items on the ground	Objetos en el suelo
Items tagged quest are left alone, so puzzles and story pickups are not auto-taken. It reads the item's own tags, so it covers anything you pick up and every node whose contents the mod can name. Two things fall outside it. A node it cannot name is decided by the switch for its kind, because there is no item there to read a tag from. And skinning a carcass pays out without the mod ever seeing what arrived.	Los objetos etiquetados como misión se dejan en paz, para que los objetos de rompecabezas y de historia no se tomen automáticamente. Lee las etiquetas propias del objeto, así que cubre todo lo que recojas y todo punto cuyo contenido el mod pueda nombrar. Dos cosas quedan fuera. Un punto que no puede nombrar lo decide el interruptor de su tipo, porque allí no hay ningún objeto del que leer una etiqueta. Y despellejar un cadáver paga sin que el mod llegue a ver qué ha llegado.
Items with an unknown value are never filtered by it.	Los objetos con valor desconocido nunca se filtran por este criterio.
Keep the menu on screen while you play. %s brings it back, %s closes it.	Mantén el menú en pantalla mientras juegas. %s lo trae de vuelta, %s lo cierra.
Keys	Teclas
Keys and tools	Llaves y herramientas
Language	Idioma
Language \"%s\": %d line(s) translated, %d seen this session.	Idioma \"%s\": %d línea(s) traducida(s), %d vista(s) en esta sesión.
learned from the game	aprendido del juego
Load	Cargar
loaded	cargado
locked	bloqueado
Log	Registro
Log: %ls	Registro: %ls
Loot	Botín
Loot all	Saquear todo
Loot engine	Motor de saqueo
Loot engine not started.	El motor de saqueo no se ha iniciado.
Loot everything in range now	Saquear todo lo que esté al alcance ahora
Loot everything in range once	Saquear todo lo que esté al alcance una vez
loot: %s	botín: %s
Looting	Saqueo
MASTER LOOTER	MASTER LOOTER
Master Looter v%s for game build %s	Master Looter v%s para la compilación %s del juego
Materials	Materiales
mechanism part	pieza de mecanismo
Memory chips and puzzle parts	Chips de memoria y piezas de puzle
Mine ore veins for you	Minar las vetas de mineral por ti
Minimum value (copper)	Valor mínimo (cobre)
missing	falta
missing MasterLooter.items.tsv	falta MasterLooter.items.tsv
mission object	objeto de misión
Mounts and vehicles	Monturas y vehículos
name a new preset	pon nombre a un preajuste nuevo
Nearby	Cercanos
never	nunca
no	no
no interaction node	sin punto de interacción
Nodes the prefab table does not name and that have not yielded anything yet this session. Off (the default) leaves them alone. On makes the mod gather them to find out, which means a plant can be taken while Plants is off.	Puntos que la tabla de prefabs no nombra y que todavía no han dado nada en esta sesión. Desactivado (lo predeterminado) los deja en paz. Activado hace que el mod los recolecte para averiguarlo, lo que significa que se puede coger una planta aunque Plantas esté desactivado.
none	ninguno
not found yet	todavía no encontrado
not in item database	no está en la base de datos de objetos
not ready (node empty)	no listo (punto vacío)
not resolved yet	todavía no resuelto
not started	no iniciado
not yet	todavía no
Nothing else is drawn while the menu is closed.	No se dibuja nada más mientras el menú está cerrado.
nothing taken yet this session	nada cogido todavía en esta sesión
Object	Objeto
object	objeto
Objects are listed nearest first, with the rule that decided each one. Empty nodes read as not ready until the game or arming fills them. What you are wearing and carrying is left out.	Los objetos se listan del más cercano al más lejano, con la regla que decidió cada uno. Los puntos vacíos aparecen como no listos hasta que el juego o la activación los rellenan. Lo que llevas puesto y encima queda fuera.
Objects closer than this are treated as your own equipment. A safety net; your gear is also recognised by other means.	Los objetos más cerca que esto se tratan como tu propio equipo. Es una red de seguridad; tu equipo también se reconoce por otros medios.
Objects per burst press	Objetos por pulsación rápida
Objects per scan	Objetos por exploración
on the player	en el jugador
On, a vein is harvested where it stands and you never swing a pickaxe. Off, veins are left alone and only the chunks you knock loose are picked up. Needs arming, since asking the vein to open is the whole trick.	Activado, una veta se extrae donde está y nunca blandes un pico. Desactivado, las vetas se dejan en paz y solo se recogen los trozos que sueltas tú. Necesita activación, porque pedirle a la veta que se abra es todo el truco.
On, the overlay draws under DLSS frame generation, which needs this mod to hand the game a wrapped swapchain.\n\nOff, the overlay draws through the present hook instead. Everything looks the same unless frame generation is on, and the mod stays off a path other overlay mods patch as well. Try this if the game will not start alongside another overlay mod; it can be set as WrapSwapChain in MasterLooter.ini without launching the game.	Activado, la superposición se dibuja bajo la generación de fotogramas de DLSS, lo que exige que este mod le entregue al juego un swapchain envuelto.\n\nDesactivado, la superposición se dibuja a través del gancho de Present en su lugar. Todo se ve igual salvo que la generación de fotogramas esté activada, y el mod se mantiene fuera de una ruta que otros mods de superposición también parchean. Prueba esto si el juego no arranca junto a otro mod de superposición; se puede ajustar como WrapSwapChain en MasterLooter.ini sin abrir el juego.
One click per family. The table below still sets single classes; a group shows a dash when only some of it is on.	Un clic por familia. La tabla de abajo sigue ajustando clases individuales; un grupo muestra un guion cuando solo parte de él está activada.
Open and close this menu	Abrir y cerrar este menú
Open folder	Abrir carpeta
Opens the folder in Explorer. The log is rewritten every launch and is what to attach to a report.	Abre la carpeta en el Explorador. El registro se reescribe en cada inicio y es lo que hay que adjuntar a un informe.
Ore and stone	Mineral y piedra
ore off	mineral desactivado
Ore, gems, stone, timber, hides, herbs, trade goods and other crafting input.	Mineral, gemas, piedra, madera, pieles, hierbas, mercancías y otros materiales de fabricación.
out of range	fuera de alcance
Overlay	Superposición
Override	Anulación
owned by someone (theft)	pertenece a alguien (robo)
Ownership	Propiedad
Ownership oracle	Oráculo de propiedad
Pace	Ritmo
part of a creature or a mechanism	parte de una criatura o de un mecanismo
paused: %s	en pausa: %s
pick up off	recogida desactivada
Plants	Plantas
plants off	plantas desactivadas
Player	Jugador
Player equipment.	Equipo del jugador.
Player not found in the scene yet.	El jugador todavía no se ha encontrado en la escena.
Presets	Preajustes
press a key (Escape cancels)	pulsa una tecla (Escape cancela)
Protected by default: a memory chip starts a memory scene when taken, and a puzzle part breaks its puzzle. Turn on only if you want them auto-taken.	Protegido de forma predeterminada: un chip de memoria inicia una escena de memoria al cogerlo, y una pieza de puzle rompe su puzle. Actívalo solo si quieres que se cojan automáticamente.
protected item name	nombre del objeto protegido
Puts every setting and rule back to what it was at that moment.	Devuelve todos los ajustes y reglas a como estaban en ese momento.
puzzle or protected mechanism	puzle o mecanismo protegido
Quest items	Objetos de misión
quest or memory trigger	disparador de misión o de memoria
Ranges (metres)	Alcances (metros)
Rats, squirrels, birds, lizards, frogs and salamanders: anything else the game puts in the bag whole.	Ratas, ardillas, aves, lagartos, ranas y salamandras: todo lo demás que el juego mete entero en la bolsa.
Reaching nodes	Alcance de los puntos
Read from the file beside the plugin, not the copy inside it.	Se lee del archivo situado junto al plugin, no de la copia que lleva dentro.
Rebind	Reasignar
Recent loot	Botín reciente
Refresh	Actualizar
Reload now	Recargar ahora
Replaces every setting and every class, tag and item rule with what the preset holds, and writes it to MasterLooter.ini. Nothing of the current settings is kept, so back them up first if you want them.	Sustituye todos los ajustes y todas las reglas de clase, etiqueta y objeto por lo que contiene el preajuste, y lo escribe en MasterLooter.ini. No se conserva nada de los ajustes actuales, así que haz una copia de seguridad antes si quieres conservarlos.
Reset all tags	Restablecer todas las etiquetas
resolved	resuelto
Retry the same object after (ms)	Reintentar el mismo objeto tras (ms)
Route id	ID de ruta
Rule	Regla
Save now	Guardar ahora
Saved as \"%s\": a preset name keeps letters, digits, spaces, dashes and underscores.	Guardado como \"%s\": el nombre de un preajuste conserva letras, dígitos, espacios, guiones y guiones bajos.
Say so on screen when the bag stops taking things	Avisar en pantalla cuando la bolsa deje de aceptar cosas
scan %.1f ms	exploración %.1f ms
Scan radius	Radio de exploración
Scans %ld, events sent %ld, pump ticks %ld, guarded faults %ld, node kinds learned %d	Exploraciones %ld, eventos enviados %ld, ciclos de bombeo %ld, fallos protegidos %ld, tipos de punto identificados %d
Scans per second	Exploraciones por segundo
search item name or key (3+ letters)	buscar nombre o clave de objeto (3 letras o más)
Sending events	Enviando eventos
Set	Asignar
Settings: %ls	Ajustes: %ls
Show a brief notice when auto-loot is toggled	Mostrar un aviso breve al alternar el saqueo automático
Showing current overrides. Type to search all %d items.	Mostrando las anulaciones actuales. Escribe para buscar entre los %d objetos.
Showing the nearest %d of %d. The rest are further away.	Mostrando los %d más cercanos de %d. El resto están más lejos.
Skip all	Omitir todo
Skip quest equipment	Omitir equipo de misión
Quest equipment	Equipo de misión
Gear marked important that no shop will buy, across every class. Off leaves quest tools where they lie.	Equipo marcado como importante que ninguna tienda compra, en todas las clases. Desactivado: las herramientas de misión se quedan donde están.
Tools and gear the game marks important that no shop will buy: the fertilizer and lubricant sprayers, the Kuku spears, the scout rings and necklaces. 180 items, nearly all worth a single copper, and taking one off the floor early can put a quest step out of order.\n\nIt reads the two marks together, so an item carrying only one of them is not covered. The Field Sprayer is unsellable and not marked important, and still comes in.	Herramientas y equipo que el juego marca como importantes y que ninguna tienda compra: los pulverizadores de fertilizante y lubricante, las lanzas Kuku, los anillos y collares de explorador. 180 objetos, casi todos de un solo cobre, y recoger uno del suelo antes de tiempo puede desordenar un paso de misión.\n\nLee las dos marcas juntas, así que un objeto con solo una de ellas no queda cubierto. El pulverizador de campo no se puede vender y no está marcado como importante, y sigue entrando.
Skip items shops refuse to buy	Omitir objetos que las tiendas no compran
Skip quest items	Omitir objetos de misión
skip: %s	omitir: %s
Small animals	Animales pequeños
small animals off	animales pequeños desactivados
Some world objects carry no readable item name. On: take them anyway. Off: leave them alone.\n\nThis covers loose items only. A pick-up the node table vouches for, such as a coin pile or a stack of gold bars, is taken whichever way this is set: the table naming the prefab is what identifies it, and the item inside it having no name is a separate question. Its own category switch still applies.	Algunos objetos del mundo no llevan un nombre de objeto legible. Activado: cógelos de todas formas. Desactivado: deja en paz todo lo no identificado.\n\nEsto solo afecta a los objetos sueltos. Una recogida avalada por la tabla de puntos, como un montón de monedas o una pila de lingotes de oro, se toma sea cual sea este ajuste: que la tabla nombre el prefab es lo que lo identifica, y que el objeto que contiene no tenga nombre es una cuestión aparte. Su propio interruptor de categoría sigue aplicándose.
someone is wearing this; taking it would copy it	alguien lleva esto puesto; cogerlo lo duplicaría
stack at one point (storage contents)	pila en un solo punto (contenido de almacenamiento)
Status	Estado
Stop pets looting	Impedir que las mascotas saqueen
Tables, chairs, beds, carpets, lamps, candles, paintings, pots and the rest of a furnished room, whether you pick one up off the floor or take it from its own interaction node. Most of it is worth a copper or two, but the carpets and the luxury beds run to thousands, so turn this on before furnishing a house. Chests and the other things that hold something answer to Containers instead. Off by default.	Mesas, sillas, camas, alfombras, lámparas, velas, cuadros, macetas y el resto de una habitación amueblada, ya la cojas del suelo o de su propio punto de interacción. La mayoría vale una o dos monedas de cobre, pero las alfombras y las camas de lujo llegan a miles, así que activa esto antes de amueblar una casa. Los cofres y demás cosas que guardan algo dependen de Contenedores en su lugar. Desactivado de forma predeterminada.
Tag	Etiqueta
Tags	Etiquetas
tags, any of which can be set to never in the Tags tab:	etiquetas, cualquiera de las cuales se puede poner en «nunca» en la pestaña Etiquetas:
Take goods that belong to someone	Coger bienes que pertenecen a alguien
Take goods that belong to someone, on / off	Coger bienes que pertenecen a alguien, activado/desactivado
Take items the database cannot name	Coger objetos que la base de datos no puede nombrar
Pets and companions follow the filters	Las mascotas y los acompañantes siguen los filtros
Take owned goods on / off	Coger bienes ajenos, activado/desactivado
take this one by hand, looting it can lock the quest	coge este a mano, saquearlo puede bloquear la misión
takes effect next launch	surte efecto en el próximo inicio
The engine scans around you and takes what the rules allow. Off means nothing is taken automatically; the burst key still works.	El motor explora a tu alrededor y coge lo que las reglas permiten. Desactivado significa que no se coge nada automáticamente; la tecla de saqueo rápido sigue funcionando.
The game fills a node's data only when it thinks you can reach it. Arming asks it to do that from a distance, which is also what lets an ore vein be harvested where it stands. Veins take several seconds to answer where a bush takes a fraction of one.	El juego rellena los datos de un punto solo cuando cree que puedes alcanzarlo. La activación le pide que lo haga desde lejos, que es también lo que permite extraer una veta de mineral donde está. Las vetas tardan varios segundos en responder donde un arbusto tarda una fracción de eso.
The game removes taken objects with a delay. This stops the same object being sent twice while it fades.	El juego elimina los objetos cogidos con un retraso. Esto evita que el mismo objeto se envíe dos veces mientras se desvanece.
The game treats this as stealing and will put a bounty on you.	El juego considera esto un robo y te pondrá una recompensa.
The mod never swings a pickaxe. It drives the vein's own break sequence, and the game walks one drop row for that where a real swing walks two, so your mining tool's bonus pays nothing when the mod does the mining. This adds the missing ore back through the same drop path the game uses, so it is real ore spilled on the ground, not an item copied into your bag. Set it to what your tool pays by hand minus one: a drill that gives three by hand wants 2 here. It only applies to a vein this mod broke, so mining by hand is untouched and the two cannot stack.	El mod nunca blande un pico. Activa la propia secuencia de rotura de la veta, y para eso el juego recorre una fila de caída donde un golpe real recorre dos, así que el bonus de tu herramienta de minería no paga nada cuando es el mod quien mina. Esto añade de vuelta el mineral que falta por la misma vía de caída que usa el juego, así que es mineral real derramado en el suelo, no un objeto copiado en tu bolsa. Ponlo en lo que tu herramienta paga a mano menos uno: un taladro que da tres a mano quiere un 2 aquí. Solo se aplica a una veta que este mod haya roto, así que minar a mano queda intacto y los dos no se pueden acumular.
This session: %ld picked up, %ld gathered, %ld caught, %ld carcasses	Esta sesión: %ld recogidos, %ld recolectados, %ld capturados, %ld cadáveres
Timber and branches on the ground, and the nodes that yield them. What most of these hold is read out of the game data itself, so refusing the class wood on the Classes tab leaves the trees standing as well as the timber under them. Where the game says nothing about a node, this switch is the only control it has.	Madera y ramas en el suelo, y los puntos que las dan. Lo que la mayoría de ellos contiene se lee de los propios datos del juego, así que rechazar la clase wood en la pestaña Clases deja los árboles en pie y también la madera que hay debajo. Donde el juego no dice nada de un punto, este interruptor es el único control que tiene.
To leave one species alone, set what it becomes to never on the Items tab: Item_Tench, Item_Ricefish, Item_Iguana. The mod reads the creature's own row in the game's character table, so it knows which species it is looking at before it catches anything. A few unusual creatures still fall back to guessing from their model name and are caught by category only.	Para dejar una especie en paz, pon en «nunca» en qué se convierte en la pestaña Objetos: Item_Tench, Item_Ricefish, Item_Iguana. El mod lee la propia fila de la criatura en la tabla de personajes del juego, así que sabe qué especie está viendo antes de capturar nada. Unas pocas criaturas poco comunes todavía recurren a adivinar por el nombre de su modelo y se capturan solo por categoría.
Treasure and keepsakes	Tesoros y recuerdos
Two buttons at once, never one: every single button already does something in this game. The mod only reads the pad, so the game still sees both buttons. Pick a pair that does nothing together, like the two shoulder buttons, or Back and a face button.	Dos botones a la vez, nunca uno: cada botón ya hace algo en este juego. El mod solo lee el mando, así que el juego sigue viendo los dos botones. Elige una pareja que no haga nada junta, como los dos gatillos superiores, o Atrás y un botón frontal.
Two things that hold things. The chests, crates and drop-set nodes you open, which rarely answer the loot event. And anything on the ground whose job is to hold something: bottles, jars, clay pots, waterskins, vases and the storage boxes you place. Off by default, and off means a shelf of pottery is left where it stands. Reward boxes are not covered, since those are loot in their own right and belong to Treasure and keepsakes on the Classes tab.\n\nWhat comes out of a chest is not checked against your filters. The game hands the contents over in one go and the mod never sees them as objects, so for those this switch is all or nothing.	Dos cosas que contienen cosas. Los cofres, cajas y puntos de botín que abres, que rara vez responden al evento de saqueo. Y cualquier cosa en el suelo cuya función es contener algo: botellas, tarros, ollas de barro, odres, jarrones y las cajas de almacenaje que colocas. Desactivado por defecto, y desactivado quiere decir que un estante de cerámica se queda donde está. Las cajas de recompensa no entran, porque esas son botín por derecho propio y pertenecen a Tesoros y recuerdos en la pestaña Clases.\n\nLo que sale de un cofre no se comprueba contra tus filtros. El juego entrega el contenido de una sola vez y el mod nunca lo ve como objetos, así que para eso este interruptor es todo o nada.
Unbound until you set it. The game calls taking owned goods stealing and puts a bounty on you for it, so this is the switch you want on for a moment and off again, which is a poor fit for a menu.	Sin asignar hasta que lo configures. El juego llama robo a coger bienes ajenos y te pone una recompensa por ello, así que este es un interruptor que querrás activar un momento y volver a desactivar, algo que encaja mal en un menú.
Unidentified nodes	Puntos no identificados
unidentified nodes off	puntos no identificados desactivados
