# Master Looter 메뉴 텍스트, 한국어.
# 이 번역은 기계 번역이며,
# 아직 원어민의 검수를 거치지 않았습니다. 수정 제안은 GitHub
# (github.com/shin2344234/master-looter)나 Nexus 모드 페이지에서 환영합니다.
#
# 한 줄에 한 문자열: 영어 원문, 탭, 번역문 순서입니다. #으로 시작하는
# 줄은 무시되며, \n은 줄바꿈을 나타내고, 탭 뒤에 아무것도 없는 줄은
# 영어 그대로 표시됩니다.
# %d, %s, %.1f 등 모든 자리표시자는 순서와 형태를 그대로 유지해야
# 합니다. 실행 중 그 자리에 값이 대입되기 때문이며, 자리표시자가
# 달라진 줄은 잘못된 값을 표시하지 않도록 불러오기 단계에서 무시됩니다.
#
# 이 파일은 MasterLooter.ko.txt로 저장하여 MasterLooter.asi 옆에 두면
# 내장된 번역 대신 읽힙니다.

  bag full	  가방 가득 참
A well bucket and the like are never looted, but arming one makes the game offer its interaction so you can use it by hand.	두레박 같은 것은 절대 자동으로 루팅되지 않지만, 활성화하면 게임이 상호작용을 제공하여 직접 손으로 사용할 수 있습니다.
Abyss and Kuku	Abyss와 Kuku
Abyss gear, Kuku pots and their parts.	Abyss 장비, Kuku 단지 및 그 부품.
Accessories	장신구
allowed	허용
always	항상
always beats the class rule; never beats always	"항상"은 분류 규칙보다 우선하고, "절대 안 함"은 "항상"보다 우선합니다
Ammunition	탄약
Anything tagged quest, across every class. Off keeps story pickups and puzzle pieces for your own hands.	모든 분류에서 "퀘스트" 태그가 붙은 모든 것. 끄면 스토리 습득물과 퍼즐 조각을 직접 손으로 줍도록 남겨 둡니다.
Arm mechanism containers too	기계 장치 용기도 활성화
Arm nodes ourselves	노드 직접 활성화
Arming ignores walls. Keep it short or you will gather through the wall of the next room. Ore is the exception and is always reached for at up to 25 m, because a vein takes seconds to answer and asking only once you are on top of it means it opens too late to be any use.	활성화는 벽을 무시합니다. 거리를 짧게 두지 않으면 옆방 벽 너머까지 채집하게 됩니다. 광맥은 예외로, 항상 최대 25m까지 활성화를 시도합니다. 광맥은 반응하는 데 몇 초가 걸리므로 바로 위에 서서야 요청하면 너무 늦게 열려 쓸모가 없기 때문입니다.
Arming range	활성화 범위
Auto-loot enabled	자동 루팅 활성화됨
Auto-loot on / off	자동 루팅 켜기/끄기
Backups	백업
blank for English	비워 두면 영어
Books and papers	책과 문서
Boss rewards, artifacts, memory items, coin pouches and reward chests.	보스 보상, 유물, 기억 아이템, 동전 주머니, 보상 상자.
Break veins open rather than emptying them	광맥을 비우는 대신 깨뜨려 엽니다
Breaking drives the game's own state machine at the vein, the swing landing and then the break, so the node spills its contents on the ground and disappears exactly as it does under a pickaxe. Emptying instead lifts the ore straight out and skips the drop entirely. Neither route pays your tool's Mining Yield Up, which the game only grants to a swing it counts as yours, so set the extra below to make up the difference. Each vein is struck once and then left alone until the game respawns it.	깨뜨리기는 광맥의 상태 기계를 그대로 구동합니다. 타격이 명중하고 이어서 파괴되어, 곡괭이로 캤을 때와 똑같이 내용물이 바닥에 쏟아지고 노드가 사라집니다. 반면 비우기는 광석을 그대로 들어내며 드롭 과정을 아예 건너뜁니다. 어느 쪽도 채광량 증가(Mining Yield Up) 효과는 적용받지 못합니다. 이 효과는 게임이 직접 인정한 타격에만 주어지기 때문이며, 그 차이는 아래의 추가 광석 설정으로 보충합니다. 각 광맥은 한 번만 타격되며 게임이 다시 생성할 때까지 그대로 둡니다.
Butterflies, beetles, dragonflies, bees, spiders, scorpions, snails and the other small things the game files as insects. Species come from the creature table; a creature the table cannot name is only caught when every category it could belong to is on (a flyer could be a fish, an insect or a bird).	나비, 딱정벌레, 잠자리, 벌, 거미, 전갈, 달팽이 등 게임이 곤충으로 분류하는 작은 생물들. 종은 생물 표에서 가져오며, 표가 이름을 알 수 없는 생물은 해당할 수 있는 모든 분류가 켜져 있을 때만 포획됩니다 (날아다니는 것은 물고기, 곤충, 새 중 무엇이든 될 수 있습니다).
captured	확보됨
Carcasses	사체
Carcasses and bodies	사체와 시신
Bodies	시신
carcasses off	사체 끄기
bodies off	시신 끔
Catching	포획
Caught creatures, live or lying around; a creature the table can name follows its class rule. Crabs, shrimp and squid are seafood under Food and drink.	포획한 생물, 살아 있거나 주변에 놓인 것 모두 포함. 표에서 이름을 알 수 있는 생물은 해당 분류 규칙을 따릅니다. 게, 새우, 오징어는 "음식과 음료" 아래의 해산물로 분류됩니다.
Class	분류
class %s	분류 %s
Classes	분류
Clear	지우기
Clear overrides	재정의 지우기
Clears what this session worked out from your bag. Nodes named by the prefab table are unaffected.	이번 세션에서 가방을 통해 파악한 내용을 지웁니다. 프리팹 표로 이름 붙은 노드는 영향받지 않습니다.
Close	닫기
container (off)	용기 (꺼짐)
Containers	용기
containers off	용기 끄기
Controller	컨트롤러
Copper	구리
Copy	복사
Copy path	경로 복사
Copy to the clipboard.	클립보드에 복사합니다.
corpse	시체
corpse already searched	이미 수색한 시체
corpse: loot drops separately	시체: 전리품이 따로 떨어짐
creature	생물
Creatures	생물
Crops	농작물
crops off	농작물 끄기
Damaged gear	손상된 장비
Dead zone around you	주변 무시 범위
Decision	결정
default	기본값
DirectX 12 hooks	DirectX 12 후킹
does not respond	응답 없음
Draw water from wells	우물에서 물 긷기
Engine	엔진
English	영어
English. %d line(s) seen this session.	영어. 이번 세션에서 %d줄 확인됨.
entity	엔티티
entity %08X	엔티티 %08X
entity %08X, %d items across every store	엔티티 %08X, 모든 저장소에 걸쳐 아이템 %d개
entity %08X, bag %d of %d slots, %d items across every store	엔티티 %08X, 가방 %d/%d 칸, 모든 저장소에 걸쳐 아이템 %d개
Event descriptors	이벤트 디스크립터
Every rock: ore and stone chunks on the ground, veins, boulders, rubble piles and quarry stone. A vein is broken where it stands and its contents picked up off the floor, which is what your pickaxe does and what makes a better pickaxe worth carrying: the tool's Mining Yield Up applies to the drop, not to the node. Each vein is struck once and left alone until the game brings it back. Reaching for veins starts as far out as the scan can see, because they take seconds to answer where a bush takes a fraction of one.\n\nStone used to have a switch of its own and the split never held: the game files most quarry stone under mining, so turning Stone off left it arriving anyway. To keep the ore and leave the stone, refuse the class stone on the Classes tab. That covers Stone, Fine Stone, Flawless Stone and Stalactite, and every rock the game says holds nothing else is then left standing, the mine rocks and the stalactites included. A vein that also holds ore or a jewel is still broken, since refusing the stone is not refusing what sits beside it. Where the game describes a node not at all, it takes ore, jewels and stone all being refused before that one is passed over.	모든 돌. 땅에 있는 광석과 돌 조각, 광맥, 바위덩이, 자갈 더미, 채석장 돌입니다. 광맥은 서 있는 자리에서 부서지고 그 내용물은 바닥에서 주워 올립니다. 곡괭이가 하는 일이 바로 이것이고, 더 좋은 곡괭이를 들고 다닐 만한 이유도 여기에 있습니다. 도구의 채굴량 증가는 떨어진 것에 적용되지 노드에는 적용되지 않습니다. 광맥은 한 번 내리친 뒤 게임이 되돌려 놓을 때까지 그대로 둡니다. 광맥에 손을 뻗는 거리는 탐색이 볼 수 있는 가장 먼 곳에서부터 시작합니다. 덤불은 순식간에 응답하지만 광맥은 응답에 몇 초가 걸리기 때문입니다.\n\n돌에는 한때 별도의 설정이 있었으나 그 구분은 끝내 유지되지 않았습니다. 게임이 채석장 돌 대부분을 채굴로 분류하는 탓에 돌을 꺼도 그대로 들어왔기 때문입니다. 광석은 챙기고 돌은 두고 가려면 분류 탭에서 stone 분류를 거부하십시오. 여기에는 돌, 질 좋은 돌, 완벽한 돌, 종유석이 들어가며, 게임이 그 밖에 아무것도 들어 있지 않다고 말하는 바위는 광산 바위와 종유석을 포함해 모두 그 자리에 남습니다. 광석이나 보석도 함께 든 광맥은 여전히 부숩니다. 돌을 거부하는 것이 그 옆에 있는 것까지 거부하는 것은 아니기 때문입니다. 게임이 노드를 전혀 설명하지 않는 경우에는 광석과 보석과 돌이 모두 거부되어야 비로소 그 노드를 지나칩니다.
Extra ore per vein	광맥당 추가 광석
failed	실패
fast-travel artifact	빠른 이동 유물
filter classes	분류 필터
filter tags	태그 필터
Filters	필터
Fish	물고기
fish off	물고기 끄기
Fish, and whatever else you catch in the water: crabs, shrimp, squid, starfish and seahorses.	물고기, 그리고 물에서 잡히는 그 밖의 것들: 게, 새우, 오징어, 불가사리, 해마.
Food and drink	음식과 음료
Forget	잊기
found	발견됨
Furniture	가구
Furniture and decor	가구와 장식품
furniture node (off)	가구 노드 (꺼짐)
furniture off	가구 끄기
Game functions	게임 함수
Game functions did not resolve; see Status.	게임 함수를 확인하지 못했습니다. "상태" 탭을 확인하세요.
Game-thread pump	게임 스레드 펌프
gather node	채집 노드
Gathering	채집
General	일반
Ground items	바닥 아이템
Groups	그룹
Herb, flower and mushroom nodes, and the same lying on the ground, seeds included. Food crops have their own switch. To keep the herbs and leave the seeds, or the other way round, refuse the class on the Classes tab: herb and seed are separate there. That sorts what is lying on the ground item by item, and it reaches the node as well wherever the game says what the node holds: refuse herb and a herb patch is left alone. Plant nodes are a mixed lot, paying grain and crafting materials too, and for the ones the game does not describe this switch is the only control.	약초와 꽃, 버섯 노드, 그리고 땅에 떨어진 같은 것들로 씨앗도 포함합니다. 식용 작물에는 별도의 설정이 있습니다. 약초는 챙기고 씨앗은 두고 가려면, 또는 그 반대로 하려면 분류 탭에서 분류를 거부하십시오. herb와 seed는 그곳에서 따로 나뉘어 있습니다. 이는 땅에 떨어진 것을 하나씩 가려내며, 게임이 노드의 내용물을 밝히는 곳에서는 노드에도 미칩니다. herb를 거부하면 약초 무더기는 그대로 남습니다. 식물 노드는 여러 가지가 섞여 있어 곡물과 제작 재료도 내놓으며, 게임이 설명하지 않는 노드에 대해서는 이 설정이 유일한 통제 수단입니다.
hold two buttons (Escape cancels)	버튼 두 개를 누른 채로 (Escape로 취소)
Household clutter and collectibles, most of it worthless.	생활 잡동사니와 수집품, 대부분 가치 없음.
How full the bag is is read from the bag itself, so the notice appears the moment it fills, whether or not you are looting. If those numbers ever stop making sense the mod falls back to watching what happens after a pick-up: three in a row that reach nothing raise the notice, and one landing clears it.	가방이 얼마나 찼는지는 가방 자체에서 읽어오므로, 루팅 중이든 아니든 가방이 가득 차는 순간 알림이 나타납니다. 이 수치가 더 이상 맞지 않게 되면 모드는 습득 이후를 지켜보는 방식으로 대체합니다: 연속 세 번 아무것도 얻지 못하면 알림이 뜨고, 한 번이라도 성공하면 알림이 사라집니다.
How often the scene is read. The scan runs on its own thread; only the final take costs the game a fraction of a millisecond.	장면을 얼마나 자주 읽는지. 스캔은 별도 스레드에서 실행되며, 게임에 부담을 주는 것은 마지막 처리 단계뿐으로 1밀리초의 일부에 불과합니다.
incomplete	미완료
Insects	곤충
insects off	곤충 끄기
installed	설치됨
Item	아이템
Item database	아이템 데이터베이스
Item table	아이템 표
Items	아이템
Items lying in the world, including drops from enemies.	적의 드롭을 포함해 세상에 놓여 있는 아이템.
Items no shop will buy, across every class.	모든 분류에서 어떤 상점도 사들이지 않는 아이템.
Items on the ground	바닥에 있는 아이템
Items tagged quest are left alone, so puzzles and story pickups are not auto-taken. It reads the item's own tags, so it covers anything you pick up and every node whose contents the mod can name. Two things fall outside it. A node it cannot name is decided by the switch for its kind, because there is no item there to read a tag from. And skinning a carcass pays out without the mod ever seeing what arrived.	퀘스트 태그가 붙은 아이템은 그대로 두므로 수수께끼와 이야기용 아이템이 자동으로 수거되지 않습니다. 아이템 자체의 태그를 읽기 때문에 당신이 줍는 모든 것과, 내용물을 모드가 이름 지을 수 있는 모든 노드를 포함합니다. 두 가지는 여기서 벗어납니다. 이름을 알 수 없는 노드는 그 종류의 설정이 결정합니다. 거기에는 태그를 읽어 낼 아이템이 없기 때문입니다. 그리고 사체 가죽 벗기기는 모드가 무엇이 들어왔는지 한 번도 보지 못한 채 보상을 지급합니다.
Items with an unknown value are never filtered by it.	가치를 알 수 없는 아이템은 이 기준으로 걸러지지 않습니다.
Keep the menu on screen while you play. %s brings it back, %s closes it.	플레이 중에도 메뉴를 화면에 유지합니다. %s로 다시 불러오고, %s로 닫습니다.
Keys	키
Keys and tools	열쇠와 도구
Language	언어
Language \"%s\": %d line(s) translated, %d seen this session.	언어 \"%s\": %d줄 번역됨, 이번 세션에서 %d줄 확인됨.
learned from the game	게임에서 학습됨
Load	불러오기
loaded	불러옴
locked	잠김
Log	로그
Log: %ls	로그: %ls
Loot	루팅
Loot all	전부 루팅
Loot engine	루팅 엔진
Loot engine not started.	루팅 엔진이 시작되지 않았습니다.
Loot everything in range now	지금 범위 내 전부 루팅
Loot everything in range once	범위 내 전부 한 번 루팅
loot: %s	루팅: %s
Looting	루팅
MASTER LOOTER	MASTER LOOTER
Master Looter v%s for game build %s	Master Looter v%s (게임 빌드 %s용)
Materials	재료
mechanism part	기계 부품
Memory chips and puzzle parts	기억 칩과 퍼즐 조각
Mine ore veins for you	광맥을 대신 채굴
Minimum value (copper)	최소 가치 (구리)
missing	누락
missing MasterLooter.items.tsv	MasterLooter.items.tsv 누락
mission object	임무 대상물
Mounts and vehicles	탈것과 차량
name a new preset	새 프리셋 이름 입력
Nearby	주변
never	절대 안 함
no	아니요
no interaction node	상호작용 없는 노드
Nodes the prefab table does not name and that have not yielded anything yet this session. Off (the default) leaves them alone. On makes the mod gather them to find out, which means a plant can be taken while Plants is off.	프리팹 표에 이름이 없고 이번 세션에서 아직 아무것도 산출하지 않은 노드. 끄면 (기본값) 건드리지 않습니다. 켜면 모드가 정체를 확인하려고 채집하므로, "식물"이 꺼져 있어도 식물이 채취될 수 있습니다.
none	없음
not found yet	아직 찾지 못함
not in item database	아이템 데이터베이스에 없음
not ready (node empty)	준비 안 됨 (노드 비어 있음)
not resolved yet	아직 확인되지 않음
not started	시작 안 됨
not yet	아직
Nothing else is drawn while the menu is closed.	메뉴가 닫혀 있는 동안에는 다른 것이 그려지지 않습니다.
nothing taken yet this session	이번 세션에서 아직 아무것도 획득하지 않음
Object	오브젝트
object	오브젝트
Objects are listed nearest first, with the rule that decided each one. Empty nodes read as not ready until the game or arming fills them. What you are wearing and carrying is left out.	오브젝트는 가까운 순서로 나열되며, 각각을 판정한 규칙도 함께 표시됩니다. 빈 노드는 게임이나 활성화로 채워지기 전까지 "준비 안 됨"으로 표시됩니다. 착용 중이거나 들고 있는 것은 제외됩니다.
Objects closer than this are treated as your own equipment. A safety net; your gear is also recognised by other means.	이 거리보다 가까운 오브젝트는 본인 장비로 취급됩니다. 일종의 안전장치이며, 장비는 다른 방식으로도 인식됩니다.
Objects per burst press	속성 루팅 1회당 오브젝트 수
Objects per scan	스캔당 오브젝트 수
on the player	플레이어에게 있음
On, a vein is harvested where it stands and you never swing a pickaxe. Off, veins are left alone and only the chunks you knock loose are picked up. Needs arming, since asking the vein to open is the whole trick.	켜면 광맥이 그 자리에서 채굴되어 곡괭이를 휘두를 일이 없습니다. 끄면 광맥은 그대로 두고 직접 떼어낸 조각만 줍습니다. 활성화가 필요합니다. 광맥을 열도록 요청하는 것이 핵심이기 때문입니다.
On, the overlay draws under DLSS frame generation, which needs this mod to hand the game a wrapped swapchain.\n\nOff, the overlay draws through the present hook instead. Everything looks the same unless frame generation is on, and the mod stays off a path other overlay mods patch as well. Try this if the game will not start alongside another overlay mod; it can be set as WrapSwapChain in MasterLooter.ini without launching the game.	켜면 오버레이가 DLSS 프레임 생성 아래에서 그려지며, 이를 위해 이 모드가 게임에 래핑된 스왑체인을 전달해야 합니다.\n\n끄면 오버레이는 대신 Present 훅을 통해 그려집니다. 프레임 생성을 켜지 않는 한 겉보기는 동일하며, 이 모드는 다른 오버레이 모드도 패치하는 경로를 건드리지 않습니다. 다른 오버레이 모드와 함께 게임이 시작되지 않을 때 시도해 보세요. 게임을 실행하지 않고도 MasterLooter.ini에서 WrapSwapChain으로 설정할 수 있습니다.
One click per family. The table below still sets single classes; a group shows a dash when only some of it is on.	클릭 한 번으로 그룹 전체를 설정합니다. 아래 표에서는 여전히 개별 분류를 설정할 수 있으며, 그룹 중 일부만 켜져 있으면 대시(-)로 표시됩니다.
Open and close this menu	이 메뉴 열기/닫기
Open folder	폴더 열기
Opens the folder in Explorer. The log is rewritten every launch and is what to attach to a report.	탐색기에서 폴더를 엽니다. 로그는 실행할 때마다 새로 기록되며, 문제 보고 시 첨부할 파일입니다.
Ore and stone	광석과 돌
ore off	광석 끄기
Ore, gems, stone, timber, hides, herbs, trade goods and other crafting input.	광석, 보석, 돌, 목재, 가죽, 약초, 교역품 등 그 밖의 제작 재료.
out of range	범위 밖
Overlay	오버레이
Override	재정의
owned by someone (theft)	소유자 있음 (절도)
Ownership	소유권
Ownership oracle	소유권 판정기
Pace	속도
part of a creature or a mechanism	생물 또는 기계 장치의 일부
paused: %s	일시정지: %s
pick up off	줍기 끄기
Plants	식물
plants off	식물 끄기
Player	플레이어
Player equipment.	플레이어 장비.
Player not found in the scene yet.	아직 장면에서 플레이어를 찾지 못했습니다.
Presets	프리셋
press a key (Escape cancels)	키를 누르세요 (Escape로 취소)
Protected by default: a memory chip starts a memory scene when taken, and a puzzle part breaks its puzzle. Turn on only if you want them auto-taken.	기본적으로 보호됨: 기억 칩을 획득하면 기억 장면이 시작되고, 퍼즐 조각을 획득하면 해당 퍼즐이 깨집니다. 자동으로 획득하고 싶을 때만 켜세요.
protected item name	보호된 아이템 이름
Puts every setting and rule back to what it was at that moment.	모든 설정과 규칙을 그 시점 상태로 되돌립니다.
puzzle or protected mechanism	퍼즐 또는 보호된 기계 장치
Quest items	퀘스트 아이템
quest or memory trigger	퀘스트 또는 기억 트리거
Ranges (metres)	범위 (미터)
Rats, squirrels, birds, lizards, frogs and salamanders: anything else the game puts in the bag whole.	쥐, 다람쥐, 새, 도마뱀, 개구리, 도롱뇽: 게임이 통째로 가방에 넣는 그 밖의 모든 것.
Reaching nodes	노드 도달
Read from the file beside the plugin, not the copy inside it.	플러그인 안의 내장 사본이 아니라 플러그인 옆의 파일에서 읽습니다.
Rebind	재할당
Recent loot	최근 루팅
Refresh	새로고침
Reload now	지금 다시 불러오기
Replaces every setting and every class, tag and item rule with what the preset holds, and writes it to MasterLooter.ini. Nothing of the current settings is kept, so back them up first if you want them.	모든 설정과 모든 분류, 태그, 아이템 규칙을 프리셋이 담고 있는 내용으로 교체하고 MasterLooter.ini에 기록합니다. 현재 설정은 전혀 유지되지 않으므로, 보존하고 싶다면 먼저 백업하세요.
Reset all tags	모든 태그 초기화
resolved	확인됨
Retry the same object after (ms)	동일 오브젝트 재시도 간격 (ms)
Route id	경로 ID
Rule	규칙
Save now	지금 저장
Saved as \"%s\": a preset name keeps letters, digits, spaces, dashes and underscores.	\"%s\"(으)로 저장됨: 프리셋 이름은 문자, 숫자, 공백, 하이픈, 밑줄만 사용할 수 있습니다.
Say so on screen when the bag stops taking things	가방이 더 이상 담지 못할 때 화면에 표시
scan %.1f ms	스캔 %.1f ms
Scan radius	스캔 반경
Scans %ld, events sent %ld, pump ticks %ld, guarded faults %ld, node kinds learned %d	스캔 %ld회, 이벤트 전송 %ld건, 펌프 틱 %ld회, 보호된 오류 %ld건, 학습된 노드 유형 %d종
Scans per second	초당 스캔 횟수
search item name or key (3+ letters)	아이템 이름 또는 키 검색 (3자 이상)
Sending events	이벤트 전송
Set	설정
Settings: %ls	설정: %ls
Show a brief notice when auto-loot is toggled	자동 루팅 전환 시 짧은 알림 표시
Showing current overrides. Type to search all %d items.	현재 재정의를 표시 중입니다. 입력하여 전체 %d개 아이템을 검색하세요.
Showing the nearest %d of %d. The rest are further away.	가장 가까운 %d개(전체 %d개 중)를 표시 중입니다. 나머지는 더 멀리 있습니다.
Skip all	전부 건너뛰기
Skip quest equipment	퀘스트 장비 줍지 않기
Quest equipment	퀘스트 장비
Gear marked important that no shop will buy, across every class. Off leaves quest tools where they lie.	게임이 중요 표시를 하고 어느 상점도 사지 않는 장비를 모든 분류에서 대상으로 합니다. 끄면 퀘스트 도구는 그 자리에 남습니다.
Tools and gear the game marks important that no shop will buy: the fertilizer and lubricant sprayers, the Kuku spears, the scout rings and necklaces. 180 items, nearly all worth a single copper, and taking one off the floor early can put a quest step out of order.\n\nIt reads the two marks together, so an item carrying only one of them is not covered. The Field Sprayer is unsellable and not marked important, and still comes in.	게임이 중요하다고 표시하고 어느 상점도 사지 않는 도구와 장비입니다. 비료 살포기와 윤활제 살포기, 쿠쿠 창, 정찰 반지와 목걸이 등 180개이며 거의 전부 동전 한 닢 값입니다. 바닥에서 미리 주워버리면 퀘스트 단계가 어긋날 수 있습니다.\n\n두 표시를 함께 읽기 때문에 한쪽만 가진 물건은 해당되지 않습니다. 필드 살포기는 팔 수 없지만 중요 표시가 없어 계속 들어옵니다.
Skip items shops refuse to buy	상점이 사들이지 않는 아이템 건너뛰기
Skip quest items	퀘스트 아이템 건너뛰기
skip: %s	건너뜀: %s
Small animals	작은 동물
small animals off	작은 동물 끄기
Some world objects carry no readable item name. On: take them anyway. Off: leave them alone.\n\nThis covers loose items only. A pick-up the node table vouches for, such as a coin pile or a stack of gold bars, is taken whichever way this is set: the table naming the prefab is what identifies it, and the item inside it having no name is a separate question. Its own category switch still applies.	일부 세계 오브젝트는 읽을 수 있는 아이템 이름이 없습니다. 켜면: 그래도 획득. 끄면: 식별되지 않은 것은 그대로 둠.\n\n이것은 바닥에 놓인 아이템에만 적용됩니다. 노드 표가 보증하는 습득물, 예를 들어 동전 더미나 금괴 더미는 이 설정과 관계없이 주워집니다. 표가 프리팹 이름을 가지고 있다는 것 자체가 식별이며, 안에 든 아이템에 이름이 없는지는 별개의 문제입니다. 해당 분류 스위치는 그대로 적용됩니다.
someone is wearing this; taking it would copy it	누군가 착용 중입니다. 가져가면 복제됩니다
stack at one point (storage contents)	한 지점에 쌓임 (보관함 내용물)
Status	상태
Stop pets looting	펫이 줍지 못하게 하기
Tables, chairs, beds, carpets, lamps, candles, paintings, pots and the rest of a furnished room, whether you pick one up off the floor or take it from its own interaction node. Most of it is worth a copper or two, but the carpets and the luxury beds run to thousands, so turn this on before furnishing a house. Chests and the other things that hold something answer to Containers instead. Off by default.	탁자, 의자, 침대, 카펫, 램프, 초, 그림, 단지 등 가구가 갖춰진 방을 이루는 나머지 것들로, 바닥에서 줍든 고유의 상호작용 노드에서 획득하든 마찬가지입니다. 대부분 구리 한두 닢 가치이지만 카펫과 고급 침대는 수천에 이르므로, 집을 꾸미기 전에 이 항목을 켜 두세요. 무언가를 담고 있는 상자 등은 대신 "용기"에 해당합니다. 기본값은 끔.
Tag	태그
Tags	태그
tags, any of which can be set to never in the Tags tab:	태그, 각각을 "태그" 탭에서 "절대 안 함"으로 설정할 수 있습니다:
Take goods that belong to someone	타인 소유물 가져가기
Take goods that belong to someone, on / off	타인 소유물 가져가기 켜기/끄기
Take items the database cannot name	데이터베이스가 이름을 알 수 없는 아이템 가져가기
Pets and companions follow the filters	펫과 동료가 필터를 따름
Take owned goods on / off	소유물 가져가기 켜기/끄기
take this one by hand, looting it can lock the quest	이것은 직접 손으로 집으십시오. 자동으로 주우면 퀘스트가 막힐 수 있습니다
takes effect next launch	다음 실행 시 적용됨
The engine scans around you and takes what the rules allow. Off means nothing is taken automatically; the burst key still works.	엔진이 주변을 스캔하여 규칙이 허용하는 것을 가져갑니다. 끄면 아무것도 자동으로 가져가지 않으며, 속성 루팅 키는 여전히 작동합니다.
The game fills a node's data only when it thinks you can reach it. Arming asks it to do that from a distance, which is also what lets an ore vein be harvested where it stands. Veins take several seconds to answer where a bush takes a fraction of one.	게임은 손이 닿는다고 판단할 때만 노드의 데이터를 채웁니다. 활성화는 멀리서도 그렇게 하도록 요청하는 것으로, 이 덕분에 광맥도 그 자리에서 채굴할 수 있습니다. 덤불은 순식간에 반응하지만 광맥은 반응하는 데 몇 초가 걸립니다.
The game removes taken objects with a delay. This stops the same object being sent twice while it fades.	게임은 딜레이를 두고 획득한 오브젝트를 제거합니다. 이는 오브젝트가 사라지는 동안 같은 것이 두 번 전송되는 것을 막습니다.
The game treats this as stealing and will put a bounty on you.	게임은 이를 절도로 취급하며 현상금을 부과합니다.
The mod never swings a pickaxe. It drives the vein's own break sequence, and the game walks one drop row for that where a real swing walks two, so your mining tool's bonus pays nothing when the mod does the mining. This adds the missing ore back through the same drop path the game uses, so it is real ore spilled on the ground, not an item copied into your bag. Set it to what your tool pays by hand minus one: a drill that gives three by hand wants 2 here. It only applies to a vein this mod broke, so mining by hand is untouched and the two cannot stack.	이 모드는 곡괭이를 휘두르지 않습니다. 광맥 자체의 파괴 시퀀스를 그대로 구동하며, 이때 게임은 드롭 목록을 한 줄만 처리합니다. 실제 타격은 두 줄을 처리하므로, 모드가 채굴할 때는 채광 도구의 보너스가 전혀 적용되지 않습니다. 이 설정은 게임이 사용하는 동일한 드롭 경로를 통해 빠진 광석을 다시 채워 넣으므로, 가방에 복사되어 들어오는 아이템이 아니라 실제로 바닥에 쏟아지는 광석입니다. 손으로 캤을 때 도구가 주는 양에서 1을 뺀 값으로 설정하세요: 손으로 캤을 때 3을 주는 드릴이라면 여기서는 2가 필요합니다. 이 모드가 깨뜨린 광맥에만 적용되므로 손으로 캐는 것은 영향받지 않으며 둘은 중첩되지 않습니다.
This session: %ld picked up, %ld gathered, %ld caught, %ld carcasses	이번 세션: 습득 %ld개, 채집 %ld개, 포획 %ld개, 박피 %ld구
