# Master Looterin valikkoteksti suomeksi. Tämä on konekäännös, jota kukaan
# äidinkielinen puhuja ei ole vielä tarkistanut. Korjaukset ovat tervetulleita
# GitHubissa (github.com/shin2344234/master-looter) tai modin Nexus-sivulla.
#
# Yksi teksti per rivi: englanninkielinen alkuperäinen, sarkainmerkki, sitten
# käännös. \n tarkoittaa rivinvaihtoa. #-merkillä alkavat rivit ohitetaan, ja
# rivi, jolla ei ole käännöstä sarkaimen jälkeen, näkyy edelleen englanniksi,
# joten keskeneräinenkin tiedosto toimii. Jokainen %d, %s, %.1f ja muu
# paikkamerkki on säilytettävä täsmälleen samassa muodossa ja järjestyksessä:
# ne korvataan ajon aikana numeroilla ja nimillä, ja rivi, joka muuttaa niitä,
# ohitetaan latauksen yhteydessä, jotta vääriä arvoja ei tulostu.
#
# Tallenna tiedostona MasterLooter.<kieli>.txt liitännäisen viereen; tämän
# nimisenä tiedosto ohittaa liitännäiseen sisäänrakennetun kopion. Aseta
# sitten Language=fi tiedostoon MasterLooter.ini, tai kirjoita kieli valikon
# General-välilehden Language-kenttään.

  bag full	  laukku täynnä
Butterflies, beetles, dragonflies, bees, spiders, scorpions, snails and the other small things the game files as insects. Species come from the creature table; a creature the table cannot name is only caught when every category it could belong to is on (a flyer could be a fish, an insect or a bird).	Perhoset, kovakuoriaiset, sudenkorennot, mehiläiset, hämähäkit, skorpionit, etanat ja muut pienet otukset, jotka peli luokittelee hyönteisiksi. Lajit tulevat olentotaulukosta; olentoa, jota taulukko ei osaa nimetä, saadaan kiinni vain, kun jokainen luokka, johon se voisi kuulua, on päällä (lentävä olento voi olla kala, hyönteinen tai lintu).
captured	kiinni saatu
Carcasses	Raadot
Carcasses and bodies	Raadot ja ruumiit
Bodies	Ruumiit
carcasses off	raadot pois päältä
bodies off	ruumiit pois
Catching	Pyydystys
Caught creatures, live or lying around; a creature the table can name follows its class rule. Crabs, shrimp and squid are seafood under Food and drink.	Kiinni saadut olennot, elävät tai maassa makaavat; olento, jonka taulukko osaa nimetä, noudattaa oman luokkansa sääntöä. Ravut, katkaravut ja mustekalat ovat äyriäisiä ja simpukoita kohdassa Ruoka ja juoma.
Class	Luokka
class %s	luokka %s
Classes	Luokat
Clear	Tyhjennä
Clear overrides	Tyhjennä poikkeukset
Clears what this session worked out from your bag. Nodes named by the prefab table are unaffected.	Tyhjentää sen, mitä tämä pelikerta on päätellyt laukustasi. Prefab-taulukon nimeämiin pisteisiin tämä ei vaikuta.
Close	Sulje
container (off)	säiliö (pois päältä)
Containers	Säiliöt
containers off	säiliöt pois päältä
Controller	Ohjain
Copper	Kupari
Copy	Kopioi
Copy path	Kopioi polku
Copy to the clipboard.	Kopioi leikepöydälle.
corpse	ruumis
corpse already searched	ruumis jo tutkittu
corpse: loot drops separately	ruumis: lootti pudotetaan erikseen
creature	olento
Creatures	Olennot
Crops	Viljelykasvit
crops off	viljelykasvit pois päältä
Damaged gear	Vaurioituneet varusteet
Dead zone around you	Kuollut alue ympärilläsi
Decision	Päätös
default	oletus
DirectX 12 hooks	DirectX 12 -hookit
does not respond	ei vastaa
Draw water from wells	Nosta vettä kaivoista
Engine	Moottori
English	Englanti
English. %d line(s) seen this session.	Englanti. %d riviä nähty tällä pelikerralla.
entity	entity
entity %08X	entity %08X
entity %08X, %d items across every store	entity %08X, %d esinettä kaikissa varastoissa
entity %08X, bag %d of %d slots, %d items across every store	entity %08X, laukku %d/%d paikkaa, %d esinettä kaikissa varastoissa
Event descriptors	Tapahtumakuvaajat
Every rock: ore and stone chunks on the ground, veins, boulders, rubble piles and quarry stone. A vein is broken where it stands and its contents picked up off the floor, which is what your pickaxe does and what makes a better pickaxe worth carrying: the tool's Mining Yield Up applies to the drop, not to the node. Each vein is struck once and left alone until the game brings it back. Reaching for veins starts as far out as the scan can see, because they take seconds to answer where a bush takes a fraction of one.\n\nStone used to have a switch of its own and the split never held: the game files most quarry stone under mining, so turning Stone off left it arriving anyway. To keep the ore and leave the stone, refuse the class stone on the Classes tab. That covers Stone, Fine Stone, Flawless Stone and Stalactite, and every rock the game says holds nothing else is then left standing, the mine rocks and the stalactites included. A vein that also holds ore or a jewel is still broken, since refusing the stone is not refusing what sits beside it. Where the game describes a node not at all, it takes ore, jewels and stone all being refused before that one is passed over.	Jokainen kivi: maassa olevat malmi- ja kivenkappaleet, suonet, järkäleet, soraläjät ja louhoskivi. Suoni rikotaan siinä missä se seisoo ja sisältö poimitaan maasta, juuri se mitä hakkusi tekee ja mikä tekee paremmasta hakusta kantamisen arvoisen: työkalun louhintatuoton lisäys koskee pudonnutta, ei pistettä. Jokaista suonta lyödään kerran ja se jätetään sitten rauhaan, kunnes peli tuo sen takaisin. Suonten tavoittelu alkaa niin kaukaa kuin haku näkee, sillä ne vastaavat sekunneissa siinä missä pensas vastaa murto-osassa.\n\nKivellä oli ennen oma kytkimensä, eikä jako pitänyt koskaan: peli kirjaa suurimman osan louhoskivestä kaivostoiminnan alle, joten Kiven pois kytkeminen päästi sen silti sisään. Jos haluat pitää malmin ja jättää kiven, hylkää luokka stone Luokat-välilehdellä. Se kattaa Kiven, Hienon kiven, Virheettömän kiven ja Tippukiven, ja jokainen kallio, josta peli sanoo ettei se sisällä muuta, jää silloin pystyyn, kaivoskivet ja tippukivet mukaan luettuina. Suoni, joka sisältää myös malmia tai jalokiven, rikotaan yhä, sillä kiven hylkääminen ei ole sen hylkäämistä mikä on sen vieressä. Siellä missä peli ei kuvaa pistettä lainkaan, vaaditaan että malmi, jalokivet ja kivi on kaikki hylätty ennen kuin se ohitetaan.
Extra ore per vein	Lisämalmia per suoni
failed	epäonnistui
fast-travel artifact	pikamatka-artefakti
filter classes	suodata luokkia
filter tags	suodata tunnisteita
Filters	Suodattimet
Fish	Kalat
fish off	kalat pois päältä
Fish, and whatever else you catch in the water: crabs, shrimp, squid, starfish and seahorses.	Kalat ja mitä tahansa muuta saat vedestä: ravut, katkaravut, mustekalat, meritähdet ja merihevoset.
Food and drink	Ruoka ja juoma
Forget	Unohda
found	löydetty
Furniture	Huonekalut
Furniture and decor	Huonekalut ja sisustus
furniture node (off)	huonekalupiste (pois päältä)
furniture off	huonekalut pois päältä
Game functions	Pelin toiminnot
Game functions did not resolve; see Status.	Pelin toimintoja ei saatu selvitettyä; katso Tila.
Game-thread pump	Pelisäikeen pumppu
gather node	keräyspiste
Gathering	Keräys
General	Yleiset
Ground items	Maassa olevat esineet
Groups	Ryhmät
Herb, flower and mushroom nodes, and the same lying on the ground, seeds included. Food crops have their own switch. To keep the herbs and leave the seeds, or the other way round, refuse the class on the Classes tab: herb and seed are separate there. That sorts what is lying on the ground item by item, and it reaches the node as well wherever the game says what the node holds: refuse herb and a herb patch is left alone. Plant nodes are a mixed lot, paying grain and crafting materials too, and for the ones the game does not describe this switch is the only control.	Yrtti-, kukka- ja sienipisteet sekä samat maassa makaavat, siemenet mukaan luettuina. Ruokakasveilla on oma kytkimensä. Jos haluat pitää yrtit ja jättää siemenet, tai päinvastoin, hylkää luokka Luokat-välilehdellä: herb ja seed ovat siellä erikseen. Se lajittelee esine kerrallaan sen mikä maassa on, ja se yltää myös pisteeseen kaikkialla missä peli kertoo mitä piste sisältää: hylkää herb, ja yrttilaikku jää rauhaan. Kasvipisteet ovat sekalainen joukko ja tuottavat myös viljaa ja käsityömateriaalia, ja niiden osalta joita peli ei kuvaa tämä kytkin on ainoa hallintakeino.
hold two buttons (Escape cancels)	pidä kahta näppäintä pohjassa (Escape peruuttaa)
Household clutter and collectibles, most of it worthless.	Kodin sekalaista tavaraa ja keräilyesineitä, suurin osa arvottomia.
How full the bag is is read from the bag itself, so the notice appears the moment it fills, whether or not you are looting. If those numbers ever stop making sense the mod falls back to watching what happens after a pick-up: three in a row that reach nothing raise the notice, and one landing clears it.	Laukun täyttöaste luetaan suoraan laukusta, joten ilmoitus ilmestyy heti, kun se täyttyy, lootasitpa juuri sillä hetkellä tai et. Jos nuo luvut joskus lakkaavat olemasta järkeviä, modi turvautuu sen sijaan seuraamaan, mitä poiminnan jälkeen tapahtuu: kolme peräkkäistä, jotka eivät tuota mitään, nostavat ilmoituksen, ja yksi onnistunut poistaa sen.
How often the scene is read. The scan runs on its own thread; only the final take costs the game a fraction of a millisecond.	Miten usein näkymä luetaan. Haku ajetaan omassa säikeessään; ainoastaan lopullinen tulosten käsittely maksaa pelille murto-osan millisekunnista.
incomplete	kesken
Insects	Hyönteiset
insects off	hyönteiset pois päältä
installed	asennettu
Item	Esine
Item database	Esinetietokanta
Item table	Esinetaulukko
Items	Esineet
Items lying in the world, including drops from enemies.	Maailmassa lojuvat esineet, mukaan lukien vihollisten pudottamat.
Items no shop will buy, across every class.	Esineet, joita mikään kauppa ei osta, kaikissa luokissa.
Items on the ground	Maassa olevat esineet
Items tagged quest are left alone, so puzzles and story pickups are not auto-taken. It reads the item's own tags, so it covers anything you pick up and every node whose contents the mod can name. Two things fall outside it. A node it cannot name is decided by the switch for its kind, because there is no item there to read a tag from. And skinning a carcass pays out without the mod ever seeing what arrived.	Tehtäväksi merkityt esineet jätetään rauhaan, jotta pulma- ja tarinaesineitä ei oteta automaattisesti. Se lukee esineen omat tunnisteet, joten se kattaa kaiken minkä poimit ja jokaisen pisteen, jonka sisällön modi osaa nimetä. Kaksi asiaa jää ulkopuolelle. Pisteestä, jota se ei osaa nimetä, päättää sen lajin kytkin, sillä siellä ei ole esinettä, josta tunniste luettaisiin. Ja raadon nylkeminen maksaa ilman että modi näkee koskaan, mitä saapui.
Items with an unknown value are never filtered by it.	Esineitä, joiden arvo on tuntematon, ei koskaan suodateta tällä.
Keep the menu on screen while you play. %s brings it back, %s closes it.	Pidä valikko näytöllä pelin aikana. %s tuo sen takaisin, %s sulkee sen.
Keys	Avaimet
Keys and tools	Avaimet ja työkalut
Language	Kieli
Language \"%s\": %d line(s) translated, %d seen this session.	Kieli \"%s\": %d riviä käännetty, %d nähty tällä pelikerralla.
learned from the game	opittu pelistä
Load	Lataa
loaded	ladattu
locked	lukittu
Log	Loki
Log: %ls	Loki: %ls
Loot	Lootti
Loot all	Lootaa kaikki
Loot engine	Lootausmoottori
Loot engine not started.	Lootausmoottoria ei ole käynnistetty.
Loot everything in range now	Lootaa kaikki kantaman sisällä nyt
Loot everything in range once	Lootaa kaikki kantaman sisällä kerran
loot: %s	lootaa: %s
Looting	Lootti
MASTER LOOTER	MASTER LOOTER
Master Looter v%s for game build %s	Master Looter v%s, pelin versio %s
Materials	Materiaalit
mechanism part	mekanismin osa
Memory chips and puzzle parts	Muistisirut ja pulmapelin osat
Mine ore veins for you	Louhi malmisuonet puolestasi
Minimum value (copper)	Vähimmäisarvo (kupari)
missing	puuttuu
missing MasterLooter.items.tsv	MasterLooter.items.tsv puuttuu
mission object	tehtäväkohde
Mounts and vehicles	Ratsut ja ajoneuvot
name a new preset	nimeä uusi esiasetus
Nearby	Lähellä
never	ei koskaan
no	ei
no interaction node	ei vuorovaikutuspistettä
Nodes the prefab table does not name and that have not yielded anything yet this session. Off (the default) leaves them alone. On makes the mod gather them to find out, which means a plant can be taken while Plants is off.	Pisteet, joita prefab-taulukko ei nimeä ja jotka eivät ole vielä tuottaneet mitään tällä pelikerralla. Pois päältä (oletus) jättää ne rauhaan. Päällä saa modin keräämään ne selvittääkseen, mitä ne ovat, mikä tarkoittaa, että kasvi voidaan ottaa, vaikka Kasvit olisi pois päältä.
none	ei mitään
not found yet	ei vielä löytynyt
not in item database	ei esinetietokannassa
not ready (node empty)	ei valmis (piste tyhjä)
not resolved yet	ei vielä selvitetty
not started	ei käynnistetty
not yet	ei vielä
Nothing else is drawn while the menu is closed.	Mitään muuta ei piirretä, kun valikko on suljettu.
nothing taken yet this session	ei mitään otettu vielä tällä pelikerralla
Object	Kohde
object	kohde
Objects are listed nearest first, with the rule that decided each one. Empty nodes read as not ready until the game or arming fills them. What you are wearing and carrying is left out.	Kohteet luetellaan lähimmästä alkaen, ja mukana on sääntö, joka ratkaisi kunkin kohdan. Tyhjät pisteet näkyvät ei valmis -tilassa, kunnes peli tai aktivointi täyttää ne. Se, mitä sinulla on yllä tai mukanasi, jätetään pois.
Objects closer than this are treated as your own equipment. A safety net; your gear is also recognised by other means.	Tätä lähempänä olevat kohteet käsitellään omina varusteinasi. Tämä on varmuuden vuoksi; varusteesi tunnistetaan myös muilla keinoin.
Objects per burst press	Kohteita per pikalootin painallus
Objects per scan	Kohteita per haku
on the player	pelaajan päällä
On, a vein is harvested where it stands and you never swing a pickaxe. Off, veins are left alone and only the chunks you knock loose are picked up. Needs arming, since asking the vein to open is the whole trick.	Päällä ollessaan suoni louhitaan siinä missä se on, etkä koskaan heiluta hakkua. Pois päältä ollessaan suonet jätetään rauhaan, ja vain irti lyömäsi palaset poimitaan. Vaatii aktivoinnin, sillä koko temppu on pyytää suonta aukeamaan.
On, the overlay draws under DLSS frame generation, which needs this mod to hand the game a wrapped swapchain.\n\nOff, the overlay draws through the present hook instead. Everything looks the same unless frame generation is on, and the mod stays off a path other overlay mods patch as well. Try this if the game will not start alongside another overlay mod; it can be set as WrapSwapChain in MasterLooter.ini without launching the game.	Päällä ollessaan overlay piirtyy DLSS-kehystenluonnin alle, mikä vaatii tämän modin antavan pelille käärityn swapchainin.\n\nPois päältä ollessaan overlay piirtyy sen sijaan present-hookin kautta. Kaikki näyttää samalta, ellei kehystenluonti ole päällä, ja modi pysyy pois poluilta, joita muutkin overlay-modit muokkaavat. Kokeile tätä, jos peli ei käynnisty toisen overlay-modin kanssa; sen voi asettaa WrapSwapChain-arvona MasterLooter.ini-tiedostossa käynnistämättä peliä.
One click per family. The table below still sets single classes; a group shows a dash when only some of it is on.	Yksi klikkaus per perhe. Alla oleva taulukko asettaa silti yksittäisiä luokkia; ryhmä näyttää viivan, kun vain osa siitä on päällä.
Open and close this menu	Avaa ja sulje tämä valikko
Open folder	Avaa kansio
Opens the folder in Explorer. The log is rewritten every launch and is what to attach to a report.	Avaa kansion Resurssienhallinnassa. Loki kirjoitetaan uudelleen joka käynnistyksellä, ja se on se, mikä liitetään vikailmoitukseen.
Ore and stone	Malmi ja kivi
ore off	malmi pois päältä
Ore, gems, stone, timber, hides, herbs, trade goods and other crafting input.	Malmi, jalokivet, kivi, puutavara, nahat, yrtit, kauppatavarat ja muut valmistuksen raaka-aineet.
out of range	kantaman ulkopuolella
Overlay	Overlay
Override	Poikkeus
owned by someone (theft)	jonkun omistuksessa (varkaus)
Ownership	Omistajuus
Ownership oracle	Omistajuustarkistin
Pace	Tahti
part of a creature or a mechanism	osa olentoa tai mekanismia
paused: %s	tauolla: %s
pick up off	poiminta pois päältä
Plants	Kasvit
plants off	kasvit pois päältä
Player	Pelaaja
Player equipment.	Pelaajan varusteet.
Player not found in the scene yet.	Pelaajaa ei löytynyt näkymästä vielä.
Presets	Esiasetukset
press a key (Escape cancels)	paina näppäintä (Escape peruuttaa)
Protected by default: a memory chip starts a memory scene when taken, and a puzzle part breaks its puzzle. Turn on only if you want them auto-taken.	Suojattu oletuksena: muistisiru käynnistää muistokohtauksen, kun se otetaan, ja pulmapelin osa rikkoo pulman. Kytke päälle vain, jos haluat ne otettavan automaattisesti.
protected item name	suojatun esineen nimi
Puts every setting and rule back to what it was at that moment.	Palauttaa jokaisen asetuksen ja säännön siihen, mitä se oli sillä hetkellä.
puzzle or protected mechanism	pulma tai suojattu mekanismi
Quest items	Tehtäväesineet
quest or memory trigger	tehtävä- tai muistolaukaisin
Ranges (metres)	Kantamat (metriä)
Rats, squirrels, birds, lizards, frogs and salamanders: anything else the game puts in the bag whole.	Rotat, oravat, linnut, liskot, sammakot ja salamanterit: kaikki muu, minkä peli laittaa laukkuun kokonaisena.
Reaching nodes	Pisteisiin ulottuminen
Read from the file beside the plugin, not the copy inside it.	Luetaan liitännäisen vieressä olevasta tiedostosta, ei sen sisällä olevasta kopiosta.
Rebind	Sido uudelleen
Recent loot	Viimeisin saalis
Refresh	Päivitä
Reload now	Lataa uudelleen nyt
Replaces every setting and every class, tag and item rule with what the preset holds, and writes it to MasterLooter.ini. Nothing of the current settings is kept, so back them up first if you want them.	Korvaa jokaisen asetuksen sekä jokaisen luokka-, tunniste- ja esinesäännön sillä, mitä esiasetus sisältää, ja kirjoittaa sen MasterLooter.ini-tiedostoon. Mitään nykyisistä asetuksista ei säilytetä, joten varmuuskopioi ne ensin, jos haluat säilyttää ne.
Reset all tags	Nollaa kaikki tunnisteet
resolved	selvitetty
Retry the same object after (ms)	Yritä samaa kohdetta uudelleen (ms)
Route id	Reitin tunnus
Rule	Sääntö
Save now	Tallenna nyt
Saved as \"%s\": a preset name keeps letters, digits, spaces, dashes and underscores.	Tallennettu nimellä \"%s\": esiasetuksen nimi säilyttää kirjaimet, numerot, välilyönnit, väliviivat ja alaviivat.
Say so on screen when the bag stops taking things	Näytä ilmoitus, kun laukku lakkaa ottamasta tavaraa
scan %.1f ms	haku %.1f ms
Scan radius	Hakusäde
Scans %ld, events sent %ld, pump ticks %ld, guarded faults %ld, node kinds learned %d	Hakuja %ld, tapahtumia lähetetty %ld, pumpputikkejä %ld, suojattuja virheitä %ld, pistetyyppejä opittu %d
Scans per second	Hakuja sekunnissa
search item name or key (3+ letters)	hae esineen nimeä tai avainta (3+ kirjainta)
Sending events	Tapahtumien lähetys
Set	Aseta
Settings: %ls	Asetukset: %ls
Show a brief notice when auto-loot is toggled	Näytä lyhyt ilmoitus, kun automaattilootti kytketään
Showing current overrides. Type to search all %d items.	Näytetään nykyiset poikkeukset. Kirjoita hakeaksesi kaikista %d esineestä.
Showing the nearest %d of %d. The rest are further away.	Näytetään lähimmät %d/%d. Loput ovat kauempana.
Skip all	Ohita kaikki
Skip quest equipment	Ohita tehtävävarusteet
Quest equipment	Tehtävävarusteet
Gear marked important that no shop will buy, across every class. Off leaves quest tools where they lie.	Varusteet, jotka peli merkitsee tärkeiksi ja joita mikään kauppa ei osta, kaikissa luokissa. Pois: tehtävätyökalut jäävät paikoilleen.
Tools and gear the game marks important that no shop will buy: the fertilizer and lubricant sprayers, the Kuku spears, the scout rings and necklaces. 180 items, nearly all worth a single copper, and taking one off the floor early can put a quest step out of order.\n\nIt reads the two marks together, so an item carrying only one of them is not covered. The Field Sprayer is unsellable and not marked important, and still comes in.	Työkalut ja varusteet, jotka peli merkitsee tärkeiksi ja joita mikään kauppa ei osta: lannoite- ja voiteluruiskut, Kuku-keihäät, tiedustelijan sormukset ja kaulakorut. 180 esinettä, lähes kaikki yhden kuparin arvoisia, ja yhden poimiminen maasta liian aikaisin voi sotkea tehtävän vaiheen.\n\nSe lukee molemmat merkinnät yhdessä, joten esine jossa on vain toinen niistä ei kuulu tähän. Peltoruisku on myyntikelvoton eikä merkitty tärkeäksi, ja tulee edelleen mukaan.
Skip items shops refuse to buy	Ohita esineet, joita kaupat eivät osta
Skip quest items	Ohita tehtäväesineet
skip: %s	ohita: %s
Small animals	Pienet eläimet
small animals off	pienet eläimet pois päältä
Some world objects carry no readable item name. On: take them anyway. Off: leave them alone.\n\nThis covers loose items only. A pick-up the node table vouches for, such as a coin pile or a stack of gold bars, is taken whichever way this is set: the table naming the prefab is what identifies it, and the item inside it having no name is a separate question. Its own category switch still applies.	Joillakin maailman kohteilla ei ole luettavaa esineen nimeä. Päällä: ota ne silti. Pois päältä: jätä kaikki tunnistamaton rauhaan.\n\nTämä koskee vain irrallisia esineitä. Poimittava kohde, jonka pistetaulukko vahvistaa, kuten kolikkokasa tai pino kultaharkkoja, otetaan tästä asetuksesta riippumatta: se, että taulukko nimeää prefabin, on se mikä sen tunnistaa, ja onko sisällä olevalla esineellä nimeä on eri kysymys. Sen oma luokkakytkin pätee edelleen.
someone is wearing this; taking it would copy it	joku pitää tätä yllään; sen ottaminen loisi siitä kopion
stack at one point (storage contents)	pino yhdessä pisteessä (varaston sisältö)
Status	Tila
Stop pets looting	Estä lemmikkejä ryöstämästä
Tables, chairs, beds, carpets, lamps, candles, paintings, pots and the rest of a furnished room, whether you pick one up off the floor or take it from its own interaction node. Most of it is worth a copper or two, but the carpets and the luxury beds run to thousands, so turn this on before furnishing a house. Chests and the other things that hold something answer to Containers instead. Off by default.	Pöydät, tuolit, sängyt, matot, lamput, kynttilät, taulut, ruukut ja loput sisustetun huoneen tavarasta, poiminetpa sen lattialta tai otat sen omasta vuorovaikutuspisteestään. Suurin osa on arvoltaan kupari tai pari, mutta matot ja luksussängyt nousevat tuhansiin, joten kytke tämä päälle ennen talon sisustamista. Arkut ja muut jotain säilyttävät esineet kuuluvat sen sijaan kohtaan Säiliöt. Oletuksena pois päältä.
Tag	Tunniste
Tags	Tunnisteet
tags, any of which can be set to never in the Tags tab:	tunnisteet, joista minkä tahansa voi asettaa arvoon ei koskaan Tunnisteet-välilehdellä:
Take goods that belong to someone	Ota tavaraa, joka kuuluu jollekulle
Take goods that belong to someone, on / off	Ota jollekulle kuuluvaa tavaraa, päälle / pois
Take items the database cannot name	Ota esineet, joita tietokanta ei osaa nimetä
Pets and companions follow the filters	Lemmikit ja kumppanit noudattavat suodattimia
Take owned goods on / off	Ota omistettua tavaraa, päälle / pois
take this one by hand, looting it can lock the quest	ota tämä käsin, sen ryöstäminen voi lukita tehtävän
takes effect next launch	astuu voimaan seuraavalla käynnistyksellä
The engine scans around you and takes what the rules allow. Off means nothing is taken automatically; the burst key still works.	Moottori hakee ympäriltäsi ja ottaa sen, minkä säännöt sallivat. Pois päältä tarkoittaa, ettei mitään oteta automaattisesti; pikalootin näppäin toimii silti.
The game fills a node's data only when it thinks you can reach it. Arming asks it to do that from a distance, which is also what lets an ore vein be harvested where it stands. Veins take several seconds to answer where a bush takes a fraction of one.	Peli täyttää pisteen tiedot vain, kun se arvioi sinun ulottuvan siihen. Aktivointi pyytää sitä tekemään niin etäältä, mikä myös mahdollistaa malmisuonen louhimisen siinä missä se on. Suonet vastaavat vasta useiden sekuntien kuluttua, kun pensas vastaa murto-osassa siitä.
The game removes taken objects with a delay. This stops the same object being sent twice while it fades.	Peli poistaa otetut kohteet viiveellä. Tämä estää saman kohteen lähettämisen kahdesti, kun se on häviämässä.
The game treats this as stealing and will put a bounty on you.	Peli käsittelee tätä varkautena ja asettaa sinulle etsintäkuulutuksen.
