# ข้อความเมนูของ Master Looter ภาษาไทย
# นี่คือคำแปลด้วยเครื่อง ยังไม่มี
# เจ้าของภาษาตรวจทานเลย ยินดีรับคำแก้ไขที่ GitHub
# (github.com/shin2344234/master-looter) หรือที่หน้า Nexus ของม็อด
#
# หนึ่งบรรทัดต่อหนึ่งข้อความ: ภาษาอังกฤษต้นฉบับ ตามด้วยแท็บ แล้วตามด้วยคำแปล
# บรรทัดที่ขึ้นต้นด้วย # จะถูกข้าม \n หมายถึงการขึ้นบรรทัดใหม่ และบรรทัดที่ไม่มี
# คำแปลต่อจากแท็บจะยังคงแสดงเป็นภาษาอังกฤษ ซึ่งใช้งานได้ตามปกติแม้แปลไม่ครบ
# ต้องคงสัญลักษณ์ %d, %s, %.1f และอื่น ๆ ไว้ตามลำดับเดิมเสมอ เพราะค่าตัวเลขและ
# ชื่อจะถูกแทนที่ลงไปตอนเกมทำงาน บรรทัดที่เปลี่ยนสัญลักษณ์เหล่านี้จะถูกข้ามไป
#
# ไฟล์นี้เมื่อวางไว้ชื่อ MasterLooter.th.txt ข้างปลั๊กอิน จะแทนที่ชุดคำแปลที่
# มากับตัวปลั๊กอินโดยอัตโนมัติ

  bag full	  กระเป๋าเต็ม
Auto-loot on / off	ลูทอัตโนมัติ เปิด / ปิด
Backups	ข้อมูลสำรอง
blank for English	เว้นว่างไว้สำหรับภาษาอังกฤษ
Books and papers	หนังสือและเอกสาร
Boss rewards, artifacts, memory items, coin pouches and reward chests.	รางวัลจากบอส, สิ่งประดิษฐ์, ไอเทมความทรงจำ, ถุงเหรียญ และหีบรางวัล
Break veins open rather than emptying them	ทุบสายแร่ให้แตกแทนการดูดของออกจากมัน
Breaking drives the game's own state machine at the vein, the swing landing and then the break, so the node spills its contents on the ground and disappears exactly as it does under a pickaxe. Emptying instead lifts the ore straight out and skips the drop entirely. Neither route pays your tool's Mining Yield Up, which the game only grants to a swing it counts as yours, so set the extra below to make up the difference. Each vein is struck once and then left alone until the game respawns it.	การทุบจะขับเคลื่อนกลไกสถานะของเกมเองที่สายแร่ ทั้งจังหวะเหวี่ยงและการแตก ทำให้จุดเก็บของกระจายของออกมาบนพื้นและหายไปเหมือนโดนอีเต้าจริง ๆ ส่วนการดูดออกจะดึงแร่ออกมาตรง ๆ และข้ามการหล่นไปเลย ทั้งสองวิธีไม่ได้รับโบนัส Mining Yield Up ของเครื่องมือ เพราะเกมมอบโบนัสนี้ให้เฉพาะการเหวี่ยงที่นับว่าเป็นของคุณเท่านั้น จึงต้องตั้งค่าส่วนเสริมด้านล่างเพื่อชดเชยส่วนต่าง สายแร่แต่ละเส้นจะถูกทุบครั้งเดียวแล้วปล่อยไว้จนกว่าเกมจะรีสปอว์นมันใหม่
Butterflies, beetles, dragonflies, bees, spiders, scorpions, snails and the other small things the game files as insects. Species come from the creature table; a creature the table cannot name is only caught when every category it could belong to is on (a flyer could be a fish, an insect or a bird).	ผีเสื้อ, ด้วง, แมลงปอ, ผึ้ง, แมงมุม, แมงป่อง, หอยทาก และสิ่งเล็ก ๆ อื่นที่เกมจัดเป็นแมลง ชนิดพันธุ์มาจากตารางสิ่งมีชีวิต สิ่งมีชีวิตที่ตารางระบุชื่อไม่ได้จะถูกจับก็ต่อเมื่อทุกหมวดที่มันอาจเป็นเปิดอยู่ทั้งหมด (สัตว์บินได้อาจเป็นปลา, แมลง หรือ นก)
captured	จับสัญญาณได้แล้ว
Carcasses	ซากสัตว์
Carcasses and bodies	ซากสัตว์และศพ
Bodies	ศพ
carcasses off	ซากสัตว์: ปิด
bodies off	ศพ ปิด
Catching	การจับสัตว์
Caught creatures, live or lying around; a creature the table can name follows its class rule. Crabs, shrimp and squid are seafood under Food and drink.	สัตว์ที่จับได้ ทั้งมีชีวิตและที่วางอยู่ สิ่งมีชีวิตที่ตารางระบุชื่อได้จะทำตามกฎของประเภทมัน ปู, กุ้ง และปลาหมึกจัดเป็นอาหารทะเลอยู่ในหมวดอาหารและเครื่องดื่ม
Class	ประเภท
class %s	ประเภท %s
Classes	ประเภท
Clear	ล้าง
Clear overrides	ล้างการแทนที่
Clears what this session worked out from your bag. Nodes named by the prefab table are unaffected.	ล้างสิ่งที่เซสชันนี้สรุปได้จากกระเป๋าของคุณ จุดเก็บของที่ตั้งชื่อโดยตาราง prefab จะไม่ได้รับผลกระทบ
Close	ปิด
container (off)	กล่อง (ปิด)
Containers	กล่อง
containers off	กล่อง: ปิด
Controller	คอนโทรลเลอร์
Copper	ทองแดง
Copy	คัดลอก
Copy path	คัดลอกพาธ
Copy to the clipboard.	คัดลอกไปยังคลิปบอร์ด
corpse	ศพ
corpse already searched	ศพถูกค้นแล้ว
corpse: loot drops separately	ศพ: ของหล่นแยกต่างหาก
creature	สิ่งมีชีวิต
Creatures	สิ่งมีชีวิต
Crops	พืชผล
crops off	พืชผล: ปิด
Damaged gear	อุปกรณ์ชำรุด
Dead zone around you	เขตปลอดภัยรอบตัวคุณ
Decision	การตัดสิน
default	ค่าเริ่มต้น
DirectX 12 hooks	ฮุก DirectX 12
does not respond	ไม่ตอบสนอง
Draw water from wells	ตักน้ำจากบ่อ
Engine	เอนจิน
English	อังกฤษ
English. %d line(s) seen this session.	อังกฤษ พบ %d บรรทัดในเซสชันนี้
entity	entity
entity %08X	entity %08X
entity %08X, %d items across every store	entity %08X, %d ไอเทมในทุกที่เก็บ
entity %08X, bag %d of %d slots, %d items across every store	entity %08X, กระเป๋า %d จาก %d ช่อง, %d ไอเทมในทุกที่เก็บ
Event descriptors	descriptor เหตุการณ์
Every rock: ore and stone chunks on the ground, veins, boulders, rubble piles and quarry stone. A vein is broken where it stands and its contents picked up off the floor, which is what your pickaxe does and what makes a better pickaxe worth carrying: the tool's Mining Yield Up applies to the drop, not to the node. Each vein is struck once and left alone until the game brings it back. Reaching for veins starts as far out as the scan can see, because they take seconds to answer where a bush takes a fraction of one.\n\nStone used to have a switch of its own and the split never held: the game files most quarry stone under mining, so turning Stone off left it arriving anyway. To keep the ore and leave the stone, refuse the class stone on the Classes tab. That covers Stone, Fine Stone, Flawless Stone and Stalactite, and every rock the game says holds nothing else is then left standing, the mine rocks and the stalactites included. A vein that also holds ore or a jewel is still broken, since refusing the stone is not refusing what sits beside it. Where the game describes a node not at all, it takes ore, jewels and stone all being refused before that one is passed over.	หินทุกชนิด: เศษแร่และเศษหินบนพื้น สายแร่ ก้อนหินใหญ่ กองเศษหิน และหินจากเหมืองหิน สายแร่จะถูกทุบแตกตรงที่มันตั้งอยู่ แล้วเก็บของข้างในขึ้นจากพื้น ซึ่งก็คือสิ่งที่พลั่วขุดของคุณทำ และเป็นเหตุผลที่พลั่วขุดที่ดีกว่าคุ้มค่าแก่การพกติดตัว: โบนัสผลผลิตการทำเหมืองของเครื่องมือมีผลกับของที่ร่วงออกมา ไม่ใช่กับจุดเก็บของ สายแร่แต่ละจุดจะถูกตีครั้งเดียวแล้วปล่อยไว้จนกว่าเกมจะนำมันกลับมา การเอื้อมไปยังสายแร่จะเริ่มไกลเท่าที่การสแกนมองเห็น เพราะสายแร่ใช้เวลาหลายวินาทีกว่าจะตอบสนอง ในขณะที่พุ่มไม้ใช้เพียงเสี้ยววินาที\n\nหินเคยมีสวิตช์ของตัวเอง และการแยกแบบนั้นไม่เคยอยู่ตัว: เกมจัดหินจากเหมืองหินส่วนใหญ่ไว้ใต้หมวดการทำเหมือง การปิดหินจึงยังปล่อยให้มันเข้ามาอยู่ดี หากต้องการเก็บแร่แล้วทิ้งหินไว้ ให้ปฏิเสธประเภท stone ในแท็บประเภท ซึ่งครอบคลุมหิน หินคุณภาพดี หินไร้ตำหนิ และหินย้อย และหินทุกก้อนที่เกมบอกว่าไม่มีอย่างอื่นอยู่ข้างในจะถูกทิ้งไว้ที่เดิม รวมถึงหินในเหมืองและหินย้อยด้วย สายแร่ที่มีแร่หรืออัญมณีอยู่ด้วยจะยังถูกทุบต่อไป เพราะการปฏิเสธหินไม่ใช่การปฏิเสธสิ่งที่อยู่ข้าง ๆ มัน ในที่ที่เกมไม่ได้อธิบายจุดเก็บของไว้เลย ต้องปฏิเสธทั้งแร่ อัญมณี และหิน ทั้งหมด จุดนั้นจึงจะถูกข้ามไป
Extra ore per vein	แร่ส่วนเสริมต่อสายแร่
failed	ล้มเหลว
fast-travel artifact	สิ่งประดิษฐ์เดินทางด่วน
filter classes	กรองตามประเภท
filter tags	กรองตามแท็ก
Filters	ตัวกรอง
Fish	ปลา
fish off	ปลา: ปิด
Fish, and whatever else you catch in the water: crabs, shrimp, squid, starfish and seahorses.	ปลาและสิ่งอื่นที่จับได้ในน้ำ: ปู, กุ้ง, ปลาหมึก, ปลาดาว และม้าน้ำ
Food and drink	อาหารและเครื่องดื่ม
Forget	ลืม
found	พบแล้ว
Furniture	เฟอร์นิเจอร์
Furniture and decor	เฟอร์นิเจอร์และของตกแต่ง
furniture node (off)	จุดเฟอร์นิเจอร์ (ปิด)
furniture off	เฟอร์นิเจอร์: ปิด
Game functions	ฟังก์ชันของเกม
Game functions did not resolve; see Status.	ฟังก์ชันของเกมยังไม่พบ ดูที่แท็บสถานะ
Game-thread pump	Game-thread pump
gather node	จุดเก็บของ
Gathering	การเก็บเกี่ยว
General	ทั่วไป
Ground items	ไอเทมบนพื้น
Groups	กลุ่ม
Herb, flower and mushroom nodes, and the same lying on the ground, seeds included. Food crops have their own switch. To keep the herbs and leave the seeds, or the other way round, refuse the class on the Classes tab: herb and seed are separate there. That sorts what is lying on the ground item by item, and it reaches the node as well wherever the game says what the node holds: refuse herb and a herb patch is left alone. Plant nodes are a mixed lot, paying grain and crafting materials too, and for the ones the game does not describe this switch is the only control.	จุดเก็บสมุนไพร ดอกไม้ และเห็ด รวมถึงของแบบเดียวกันที่ตกอยู่บนพื้น เมล็ดพันธุ์ด้วย พืชอาหารมีสวิตช์ของตัวเอง หากต้องการเก็บสมุนไพรแล้วทิ้งเมล็ดไว้ หรือสลับกัน ให้ปฏิเสธประเภทในแท็บประเภท: herb กับ seed แยกกันอยู่ที่นั่น วิธีนี้จะคัดของที่ตกอยู่บนพื้นทีละชิ้น และยังไปถึงจุดเก็บของด้วยในทุกที่ที่เกมบอกว่าจุดนั้นมีอะไรอยู่: ปฏิเสธ herb แล้วกอสมุนไพรจะถูกปล่อยไว้ จุดเก็บพืชเป็นของคละกันหลายอย่าง ให้ทั้งธัญพืชและวัสดุงานฝีมือด้วย และสำหรับจุดที่เกมไม่ได้อธิบายไว้ สวิตช์นี้คือการควบคุมเพียงอย่างเดียว
hold two buttons (Escape cancels)	กดสองปุ่มค้างไว้ (Escape ยกเลิก)
Household clutter and collectibles, most of it worthless.	ของกระจุกกระจิกในบ้านและของสะสม ส่วนใหญ่ไม่มีค่าอะไร
How full the bag is is read from the bag itself, so the notice appears the moment it fills, whether or not you are looting. If those numbers ever stop making sense the mod falls back to watching what happens after a pick-up: three in a row that reach nothing raise the notice, and one landing clears it.	ความเต็มของกระเป๋าอ่านค่ามาจากกระเป๋าโดยตรง ดังนั้นข้อความแจ้งเตือนจะขึ้นทันทีที่กระเป๋าเต็ม ไม่ว่าคุณกำลังลูทอยู่หรือไม่ก็ตาม หากค่าตัวเลขเหล่านั้นผิดปกติ มอดจะย้อนกลับไปสังเกตสิ่งที่เกิดขึ้นหลังการเก็บของแทน: การเก็บของสามครั้งติดต่อกันที่ไม่ได้อะไรเลยจะแสดงข้อความแจ้งเตือน และเมื่อเก็บได้สำเร็จหนึ่งครั้งก็จะล้างข้อความนั้น
How often the scene is read. The scan runs on its own thread; only the final take costs the game a fraction of a millisecond.	ความถี่ในการอ่านฉาก การสแกนทำงานบนเธรดของตัวเอง มีเพียงการดึงข้อมูลครั้งสุดท้ายเท่านั้นที่กินเวลาของเกมเสี้ยวมิลลิวินาที
incomplete	ไม่ครบ
Insects	แมลง
insects off	แมลง: ปิด
installed	ติดตั้งแล้ว
Item	ไอเทม
Item database	ฐานข้อมูลไอเทม
Item table	ตารางไอเทม
Items	ไอเทม
Items lying in the world, including drops from enemies.	ไอเทมที่วางอยู่ในโลกเกม รวมถึงของที่ดรอปจากศัตรู
Items no shop will buy, across every class.	ไอเทมที่ไม่มีร้านค้าใดรับซื้อ ทุกประเภท
Items on the ground	ไอเทมบนพื้น
Items tagged quest are left alone, so puzzles and story pickups are not auto-taken. It reads the item's own tags, so it covers anything you pick up and every node whose contents the mod can name. Two things fall outside it. A node it cannot name is decided by the switch for its kind, because there is no item there to read a tag from. And skinning a carcass pays out without the mod ever seeing what arrived.	ไอเทมที่ติดแท็กเควสต์จะถูกปล่อยไว้ เพื่อไม่ให้ไอเทมปริศนาและไอเทมเนื้อเรื่องถูกเก็บอัตโนมัติ มันอ่านแท็กของตัวไอเทมเอง จึงครอบคลุมทุกอย่างที่คุณเก็บ และทุกจุดเก็บของที่ม็อดเรียกชื่อของข้างในได้ มีสองอย่างที่อยู่นอกเหนือจากนี้ จุดเก็บของที่มันเรียกชื่อไม่ได้จะถูกตัดสินโดยสวิตช์ของชนิดนั้น เพราะตรงนั้นไม่มีไอเทมให้อ่านแท็ก และการชำแหละซากสัตว์จะจ่ายผลผลิตโดยที่ม็อดไม่เคยเห็นเลยว่าอะไรเข้ามา
Items with an unknown value are never filtered by it.	ไอเทมที่ไม่ทราบมูลค่าจะไม่ถูกกรองด้วยเงื่อนไขนี้เลย
Keep the menu on screen while you play. %s brings it back, %s closes it.	เปิดเมนูค้างไว้ขณะเล่น กด %s เพื่อเรียกกลับมา กด %s เพื่อปิด
Keys	ปุ่ม
Keys and tools	ปุ่มและเครื่องมือ
Language	ภาษา
Language \"%s\": %d line(s) translated, %d seen this session.	ภาษา \"%s\": แปลแล้ว %d บรรทัด, พบในเซสชันนี้ %d บรรทัด
learned from the game	เรียนรู้จากเกม
Load	โหลด
loaded	โหลดแล้ว
locked	ล็อกอยู่
Log	บันทึก
Log: %ls	บันทึก: %ls
Loot	ลูท
Loot all	ลูททั้งหมด
Loot engine	เอนจินลูท
Loot engine not started.	เอนจินลูทยังไม่เริ่มทำงาน
Loot everything in range now	ลูททุกอย่างในระยะทันที
Loot everything in range once	ลูททุกอย่างในระยะครั้งเดียว
loot: %s	ลูท: %s
Looting	ลูท
MASTER LOOTER	MASTER LOOTER
Master Looter v%s for game build %s	Master Looter v%s สำหรับเกมบิลด์ %s
Materials	วัตถุดิบ
mechanism part	ชิ้นส่วนกลไก
Memory chips and puzzle parts	ชิปความทรงจำและชิ้นส่วนปริศนา
Mine ore veins for you	ทุบสายแร่ให้คุณ
Minimum value (copper)	มูลค่าต่ำสุด (ทองแดง)
missing	ขาดหาย
missing MasterLooter.items.tsv	ไม่พบ MasterLooter.items.tsv
mission object	วัตถุภารกิจ
Mounts and vehicles	พาหนะและยานพาหนะ
name a new preset	ตั้งชื่อพรีเซ็ตใหม่
Nearby	ใกล้เคียง
never	ไม่เลย
no	ไม่
no interaction node	ไม่มีจุดโต้ตอบ
Nodes the prefab table does not name and that have not yielded anything yet this session. Off (the default) leaves them alone. On makes the mod gather them to find out, which means a plant can be taken while Plants is off.	จุดเก็บของที่ตาราง prefab ไม่มีชื่อ และยังไม่ให้ผลผลิตอะไรในเซสชันนี้ ปิด (ค่าเริ่มต้น) จะเว้นไว้เฉย ๆ เปิด จะทำให้มอดเก็บมันเพื่อดูว่าคืออะไร ซึ่งหมายความว่าต้นไม้อาจถูกเก็บได้แม้ปิดสวิตช์พืชอยู่
none	ไม่มี
not found yet	ยังไม่พบ
not in item database	ไม่อยู่ในฐานข้อมูลไอเทม
not ready (node empty)	ยังไม่พร้อม (จุดเก็บของว่างเปล่า)
not resolved yet	ยังไม่พบ
not started	ยังไม่เริ่ม
not yet	ยังไม่
Nothing else is drawn while the menu is closed.	ไม่มีการวาดสิ่งอื่นขณะปิดเมนู
nothing taken yet this session	ยังไม่ได้เก็บอะไรในเซสชันนี้
Object	วัตถุ
object	วัตถุ
Objects are listed nearest first, with the rule that decided each one. Empty nodes read as not ready until the game or arming fills them. What you are wearing and carrying is left out.	วัตถุถูกเรียงจากใกล้ไปไกล พร้อมกฎที่ตัดสินแต่ละชิ้น จุดเก็บของที่ว่างเปล่าจะแสดงว่ายังไม่พร้อมจนกว่าเกมหรือการกระตุ้นจะเติมข้อมูลให้ สิ่งที่คุณสวมใส่และถืออยู่จะไม่แสดงในรายการ
Objects closer than this are treated as your own equipment. A safety net; your gear is also recognised by other means.	วัตถุที่อยู่ใกล้กว่านี้จะถือว่าเป็นอุปกรณ์ของคุณเอง เป็นตาข่ายนิรภัย เพราะอุปกรณ์ของคุณจะถูกจดจำด้วยวิธีอื่นด้วยเช่นกัน
Objects per burst press	จำนวนวัตถุต่อการกดเก็บรวด
Objects per scan	จำนวนวัตถุต่อการสแกน
on the player	อยู่บนตัวผู้เล่น
On, a vein is harvested where it stands and you never swing a pickaxe. Off, veins are left alone and only the chunks you knock loose are picked up. Needs arming, since asking the vein to open is the whole trick.	เปิด สายแร่จะถูกเก็บเกี่ยวตรงที่มันอยู่ คุณจะไม่ต้องเหวี่ยงอีเต้าเลย ปิด สายแร่จะถูกปล่อยไว้ มีแค่เศษที่แตกออกมาเท่านั้นที่จะถูกเก็บ ต้องเปิดการกระตุ้นด้วย เพราะการขอให้สายแร่เปิดคือกลไกหลักทั้งหมด
On, the overlay draws under DLSS frame generation, which needs this mod to hand the game a wrapped swapchain.\n\nOff, the overlay draws through the present hook instead. Everything looks the same unless frame generation is on, and the mod stays off a path other overlay mods patch as well. Try this if the game will not start alongside another overlay mod; it can be set as WrapSwapChain in MasterLooter.ini without launching the game.	เปิด โอเวอร์เลย์จะวาดภาพอยู่ใต้ DLSS frame generation ซึ่งต้องให้มอดนี้ส่งมอบ swapchain ที่ห่อไว้ให้เกม\n\nปิด โอเวอร์เลย์จะวาดภาพผ่าน present hook แทน ทุกอย่างจะดูเหมือนกันตราบใดที่ยังไม่ได้เปิด frame generation และมอดจะเลี่ยงเส้นทางที่มอดโอเวอร์เลย์ตัวอื่นก็แพตช์ด้วยเช่นกัน ลองปิดตัวนี้ดูหากเกมไม่ยอมเปิดพร้อมกับมอดโอเวอร์เลย์ตัวอื่น ตั้งค่าเป็น WrapSwapChain ใน MasterLooter.ini ได้โดยไม่ต้องเปิดเกม
One click per family. The table below still sets single classes; a group shows a dash when only some of it is on.	คลิกเดียวต่อหนึ่งตระกูล ตารางด้านล่างยังตั้งค่าแต่ละประเภทแยกได้อยู่ กลุ่มจะแสดงขีดกลางเมื่อมีเพียงบางส่วนเปิดอยู่
Open and close this menu	เปิดและปิดเมนูนี้
Open folder	เปิดโฟลเดอร์
Opens the folder in Explorer. The log is rewritten every launch and is what to attach to a report.	เปิดโฟลเดอร์ใน Explorer บันทึกจะถูกเขียนใหม่ทุกครั้งที่เปิดเกม และเป็นสิ่งที่ควรแนบไปกับรายงานปัญหา
Ore and stone	แร่และหิน
ore off	แร่: ปิด
Ore, gems, stone, timber, hides, herbs, trade goods and other crafting input.	แร่, อัญมณี, หิน, ไม้ซุง, หนังสัตว์, สมุนไพร, สินค้าค้าขาย และวัตถุดิบงานฝีมืออื่น ๆ
out of range	นอกระยะ
Overlay	โอเวอร์เลย์
Override	การแทนที่
owned by someone (theft)	มีเจ้าของ (การขโมย)
Ownership	ความเป็นเจ้าของ
Ownership oracle	ระบบตรวจสอบเจ้าของ
Pace	จังหวะการทำงาน
part of a creature or a mechanism	ชิ้นส่วนของสิ่งมีชีวิตหรือกลไก
paused: %s	หยุดชั่วคราว: %s
pick up off	การเก็บของพื้น: ปิด
Plants	พืช
plants off	พืช: ปิด
Player	ผู้เล่น
Player equipment.	อุปกรณ์ของผู้เล่น
Player not found in the scene yet.	ยังไม่พบผู้เล่นในฉาก
Presets	พรีเซ็ต
press a key (Escape cancels)	กดปุ่ม (Escape ยกเลิก)
Protected by default: a memory chip starts a memory scene when taken, and a puzzle part breaks its puzzle. Turn on only if you want them auto-taken.	ป้องกันไว้เป็นค่าเริ่มต้น: ชิปความทรงจำจะเริ่มฉากความทรงจำเมื่อถูกเก็บ และชิ้นส่วนปริศนาจะทำลายปริศนาของมัน เปิดเฉพาะเมื่อต้องการให้เก็บอัตโนมัติเท่านั้น
protected item name	ชื่อไอเทมที่ป้องกันไว้
Puts every setting and rule back to what it was at that moment.	คืนค่าทุกการตั้งค่าและกฎกลับไปเป็นแบบที่เคยเป็นในตอนนั้น
puzzle or protected mechanism	กลไกปริศนาหรือกลไกที่ป้องกันไว้
Quest items	ไอเทมเควสต์
quest or memory trigger	ตัวกระตุ้นเควสต์หรือความทรงจำ
Ranges (metres)	ระยะ (เมตร)
Rats, squirrels, birds, lizards, frogs and salamanders: anything else the game puts in the bag whole.	หนู, กระรอก, นก, กิ้งก่า, กบ และซาลาแมนเดอร์: สิ่งอื่นที่เกมใส่ลงกระเป๋าทั้งตัว
Reaching nodes	การเอื้อมถึงจุดเก็บของ
Read from the file beside the plugin, not the copy inside it.	อ่านจากไฟล์ข้างปลั๊กอิน ไม่ใช่สำเนาที่อยู่ในตัวมัน
Rebind	ผูกปุ่มใหม่
Recent loot	ของที่ลูทล่าสุด
Refresh	รีเฟรช
Reload now	โหลดซ้ำตอนนี้
Replaces every setting and every class, tag and item rule with what the preset holds, and writes it to MasterLooter.ini. Nothing of the current settings is kept, so back them up first if you want them.	แทนที่การตั้งค่าและกฎของทุกประเภท, แท็ก และไอเทมด้วยข้อมูลในพรีเซ็ต แล้วเขียนลงใน MasterLooter.ini การตั้งค่าปัจจุบันจะไม่ถูกเก็บไว้เลย จึงควรสำรองไว้ก่อนหากต้องการ
Reset all tags	รีเซ็ตแท็กทั้งหมด
resolved	พบแล้ว
Retry the same object after (ms)	ลองวัตถุเดิมซ้ำหลังจาก (มิลลิวินาที)
Route id	รหัสเส้นทาง
Rule	กฎ
Save now	บันทึกตอนนี้
Saved as \"%s\": a preset name keeps letters, digits, spaces, dashes and underscores.	บันทึกเป็น \"%s\": ชื่อพรีเซ็ตเก็บได้เฉพาะตัวอักษร, ตัวเลข, ช่องว่าง, ขีดกลาง และขีดล่าง
Say so on screen when the bag stops taking things	แสดงข้อความสั้น ๆ เมื่อกระเป๋าเก็บของไม่ได้อีกแล้ว
scan %.1f ms	สแกน %.1f มิลลิวินาที
Scan radius	รัศมีสแกน
Scans %ld, events sent %ld, pump ticks %ld, guarded faults %ld, node kinds learned %d	สแกน %ld ครั้ง, ส่งเหตุการณ์ %ld ครั้ง, pump tick %ld ครั้ง, ข้อผิดพลาดที่ป้องกันไว้ %ld ครั้ง, เรียนรู้ประเภทจุดเก็บของ %d ประเภท
Scans per second	จำนวนสแกนต่อวินาที
search item name or key (3+ letters)	ค้นหาชื่อหรือคีย์ไอเทม (3 ตัวอักษรขึ้นไป)
Sending events	การส่งเหตุการณ์
Set	ตั้งค่า
Settings: %ls	การตั้งค่า: %ls
