# Master Looterメニューのテキスト、日本語。
# この翻訳は機械翻訳で、まだネイティブスピーカーによる
# 確認を受けていません。修正はGitHub（github.com/shin2344234/master-looter）または
# Nexusのページで歓迎します。
#
# 1行につき1つの文字列：英語原文、タブ、翻訳の順に並んでいます。#で始まる行は無視されます。
# \nは改行を表し、タブの後に何もない行はそのまま英語で表示されるため、翻訳が途中の
# ファイルでも問題なく使えます。
# %d、%s、%.1fなどのプレースホルダーはすべて元の順序のまま、そのまま残してください。
# 実行時に数値や名前に置き換えられるため、これらが変わった行は読み込み時に無視され、
# 誤った表示を防ぎます。
# このファイルの内容はプラグインに内蔵されています。再ビルドせずに変更するには、
# MasterLooter.asiの隣に同じ名前のファイルを置いてください。そちらが優先して読み込まれます。

  bag full	  バッグが満杯
Butterflies, beetles, dragonflies, bees, spiders, scorpions, snails and the other small things the game files as insects. Species come from the creature table; a creature the table cannot name is only caught when every category it could belong to is on (a flyer could be a fish, an insect or a bird).	蝶、甲虫、トンボ、蜂、蜘蛛、サソリ、カタツムリなど、ゲームが昆虫として分類する小さな生き物。種はクリーチャーテーブルから取得されます。テーブルが名前を判別できない生き物は、該当しうる全カテゴリがオンの場合にのみ捕獲されます（飛ぶものは魚、昆虫、鳥のいずれかの可能性があります）。
captured	取得済み
Carcasses	死骸
Carcasses and bodies	死骸と遺体
Bodies	遺体
carcasses off	死骸オフ
bodies off	遺体オフ
Catching	捕獲
Caught creatures, live or lying around; a creature the table can name follows its class rule. Crabs, shrimp and squid are seafood under Food and drink.	生きたまま、または死んで転がっている捕獲対象の生き物。テーブルが名前を判別できるクリーチャーはそのクラスのルールに従います。カニ、エビ、イカは「食料と飲料」の海産物に分類されます。
Class	クラス
class %s	クラス：%s
Classes	クラス
Clear	クリア
Clear overrides	上書き設定をクリア
Clears what this session worked out from your bag. Nodes named by the prefab table are unaffected.	このセッション中にバッグから推測した内容をクリアします。プレハブテーブルで名前が判明している採集ポイントには影響しません。
Close	閉じる
container (off)	入れ物（オフ）
Containers	入れ物
containers off	入れ物オフ
Controller	コントローラー
Copper	銅貨
Copy	コピー
Copy path	パスをコピー
Copy to the clipboard.	クリップボードにコピーします。
corpse	死体
corpse already searched	死体は捜索済み
corpse: loot drops separately	死体：ルートは別途ドロップ
creature	クリーチャー
Creatures	クリーチャー
Crops	農作物
crops off	農作物オフ
Damaged gear	破損した装備
Dead zone around you	自分周囲の不感帯
Decision	判定
default	既定
DirectX 12 hooks	DirectX 12フック
does not respond	反応しません
Draw water from wells	井戸から水を汲む
Engine	エンジン
English	英語
English. %d line(s) seen this session.	英語。このセッションで%d行が表示されました。
entity	エンティティ
entity %08X	エンティティ %08X
entity %08X, %d items across every store	エンティティ %08X、全格納先合計%d個
entity %08X, bag %d of %d slots, %d items across every store	エンティティ %08X、バッグ%d/%dスロット、全格納先合計%d個
Event descriptors	イベント記述子
Every rock: ore and stone chunks on the ground, veins, boulders, rubble piles and quarry stone. A vein is broken where it stands and its contents picked up off the floor, which is what your pickaxe does and what makes a better pickaxe worth carrying: the tool's Mining Yield Up applies to the drop, not to the node. Each vein is struck once and left alone until the game brings it back. Reaching for veins starts as far out as the scan can see, because they take seconds to answer where a bush takes a fraction of one.\n\nStone used to have a switch of its own and the split never held: the game files most quarry stone under mining, so turning Stone off left it arriving anyway. To keep the ore and leave the stone, refuse the class stone on the Classes tab. That covers Stone, Fine Stone, Flawless Stone and Stalactite, and every rock the game says holds nothing else is then left standing, the mine rocks and the stalactites included. A vein that also holds ore or a jewel is still broken, since refusing the stone is not refusing what sits beside it. Where the game describes a node not at all, it takes ore, jewels and stone all being refused before that one is passed over.	あらゆる岩。地面の鉱石や石のかけら、鉱脈、大岩、瓦礫の山、採石場の石です。鉱脈はその場で砕かれ、中身は地面から拾い上げられます。これはツルハシが行うことそのものであり、より良いツルハシを持つ価値がある理由でもあります。道具の採掘量ボーナスは落ちたものに適用され、採集ポイントには適用されません。各鉱脈は一度だけ叩かれ、ゲームが元に戻すまで放置されます。鉱脈への働きかけはスキャンが見渡せる限り遠くから始まります。茂みが一瞬で応じるのに対し、鉱脈は応じるまでに数秒かかるからです。\n\n石にはかつて独自のスイッチがありましたが、その区分は最後まで成り立ちませんでした。ゲームは採石場の石の大半を採掘に分類しているため、石をオフにしてもやはり入ってきたのです。鉱石を残して石を置いていくには、クラスタブで stone クラスを拒否してください。これは石、上質な石、完全な石、鍾乳石を対象とし、ゲームがほかに何も含まないと言う岩はすべてその場に残ります。鉱山の岩や鍾乳石も含まれます。鉱石や宝石も含む鉱脈は引き続き砕かれます。石を拒否することは、その隣にあるものを拒否することではないからです。ゲームが採集ポイントについて何も述べていない場合は、鉱石、宝石、石のすべてが拒否されて初めて、そのポイントが見送られます。
Extra ore per vein	鉱脈ごとの追加鉱石
failed	失敗
fast-travel artifact	ファストトラベルの遺物
filter classes	クラスで絞り込み
filter tags	タグで絞り込み
Filters	フィルター
Fish	魚
fish off	魚オフ
Fish, and whatever else you catch in the water: crabs, shrimp, squid, starfish and seahorses.	魚、およびカニ、エビ、イカ、ヒトデ、タツノオトシゴなど水中で獲れるその他すべて。
Food and drink	食料と飲料
Forget	忘れる
found	検出済み
Furniture	家具
Furniture and decor	家具と装飾品
furniture node (off)	家具の採集ポイント（オフ）
furniture off	家具オフ
Game functions	ゲーム関数
Game functions did not resolve; see Status.	ゲーム関数を解決できませんでした。「ステータス」を参照してください。
Game-thread pump	ゲームスレッドポンプ
gather node	採集ポイント
Gathering	採集
General	一般
Ground items	地面のアイテム
Groups	グループ
Herb, flower and mushroom nodes, and the same lying on the ground, seeds included. Food crops have their own switch. To keep the herbs and leave the seeds, or the other way round, refuse the class on the Classes tab: herb and seed are separate there. That sorts what is lying on the ground item by item, and it reaches the node as well wherever the game says what the node holds: refuse herb and a herb patch is left alone. Plant nodes are a mixed lot, paying grain and crafting materials too, and for the ones the game does not describe this switch is the only control.	薬草、花、キノコの採集ポイントと、地面に落ちている同じもの。種も含みます。食用作物には独自のスイッチがあります。薬草を残して種を置いていく、あるいはその逆をしたい場合は、クラスタブでクラスを拒否してください。herb と seed はそこで別々になっています。これは地面に落ちているものを一つずつ仕分けし、さらにゲームが採集ポイントの中身を示している場合はポイントにも届きます。herb を拒否すれば薬草の茂みはそのまま残ります。植物の採集ポイントは雑多で、穀物や製作素材も産出します。ゲームが説明していないポイントについては、このスイッチが唯一の制御です。
hold two buttons (Escape cancels)	2つのボタンを同時押し（Escapeでキャンセル）
Household clutter and collectibles, most of it worthless.	生活雑貨や収集品。ほとんどは無価値です。
How full the bag is is read from the bag itself, so the notice appears the moment it fills, whether or not you are looting. If those numbers ever stop making sense the mod falls back to watching what happens after a pick-up: three in a row that reach nothing raise the notice, and one landing clears it.	バッグの空き状況はバッグ自体から直接読み取るため、ルート中かどうかに関わらず満杯になった瞬間に通知が表示されます。その数値がおかしくなった場合、MODは拾得後の結果を監視する方式に切り替わります。3回連続で何も入らなければ通知を出し、1回でも入れば通知を消します。
How often the scene is read. The scan runs on its own thread; only the final take costs the game a fraction of a millisecond.	シーンを読み取る頻度です。スキャンは専用スレッドで実行され、ゲーム本体にかかる負荷は最終的な取得処理のわずか数ミリ秒未満だけです。
incomplete	不完全
Insects	昆虫
insects off	昆虫オフ
installed	導入済み
Item	アイテム
Item database	アイテムデータベース
Item table	アイテムテーブル
Items	アイテム
Items lying in the world, including drops from enemies.	世界に落ちているアイテム。敵のドロップ品も含みます。
Items no shop will buy, across every class.	クラスを問わず、どの店でも買い取ってもらえないアイテム。
Items on the ground	地面のアイテム
Items tagged quest are left alone, so puzzles and story pickups are not auto-taken. It reads the item's own tags, so it covers anything you pick up and every node whose contents the mod can name. Two things fall outside it. A node it cannot name is decided by the switch for its kind, because there is no item there to read a tag from. And skinning a carcass pays out without the mod ever seeing what arrived.	クエストのタグが付いたアイテムはそのまま残されるので、パズルや物語のアイテムが自動で取られることはありません。アイテム自身のタグを読むため、あなたが拾うものすべてと、中身をこのMODが名指しできる採集ポイントすべてを対象とします。二つだけ対象外があります。名指しできない採集ポイントは、その種類のスイッチで決まります。そこにはタグを読み取るアイテムが存在しないからです。もう一つ、死骸の皮剥ぎは、MODが何が届いたかを一度も見ないまま報酬を出します。
Items with an unknown value are never filtered by it.	価値が不明なアイテムはこれによる絞り込みの対象になりません。
Keep the menu on screen while you play. %s brings it back, %s closes it.	プレイ中もメニューを画面に表示したままにします。%sで呼び戻し、%sで閉じます。
Keys	キー
Keys and tools	鍵と道具
Language	言語
Language \"%s\": %d line(s) translated, %d seen this session.	言語 \"%s\"：%d行を翻訳済み、このセッションで%d行を表示。
learned from the game	ゲームから学習済み
Load	読み込み
loaded	読み込み済み
locked	ロック済み
Log	ログ
Log: %ls	ログ：%ls
Loot	ルート
Loot all	全てルート
Loot engine	ルートエンジン
Loot engine not started.	ルートエンジンは開始していません。
Loot everything in range now	範囲内を今すぐ全てルート
Loot everything in range once	範囲内を1回だけ全てルート
loot: %s	ルート：%s
Looting	ルート
MASTER LOOTER	MASTER LOOTER
Master Looter v%s for game build %s	Master Looter v%s（対応ゲームビルド %s）
Materials	素材
mechanism part	機関の部品
Memory chips and puzzle parts	記憶チップとパズルの部品
Mine ore veins for you	鉱脈を代わりに採掘する
Minimum value (copper)	最低価値（銅貨）
missing	見つかりません
missing MasterLooter.items.tsv	MasterLooter.items.tsvが見つかりません
mission object	ミッションオブジェクト
Mounts and vehicles	騎乗動物と乗り物
name a new preset	新しいプリセットの名前
Nearby	周辺
never	決して
no	いいえ
no interaction node	対話ノードなし
Nodes the prefab table does not name and that have not yielded anything yet this session. Off (the default) leaves them alone. On makes the mod gather them to find out, which means a plant can be taken while Plants is off.	プレハブテーブルに名前がなく、このセッションでまだ何も産出していない採集ポイントです。オフ（既定）では手を付けません。オンにするとMODが試しに採集して確認するため、「植物」がオフでも植物が取得されることがあります。
none	なし
not found yet	まだ見つかっていません
not in item database	アイテムデータベースにありません
not ready (node empty)	未準備（採集ポイントが空）
not resolved yet	まだ解決していません
not started	未開始
not yet	まだ
Nothing else is drawn while the menu is closed.	メニューが閉じている間、他には何も描画されません。
nothing taken yet this session	このセッションではまだ何も取得していません
Object	オブジェクト
object	オブジェクト
Objects are listed nearest first, with the rule that decided each one. Empty nodes read as not ready until the game or arming fills them. What you are wearing and carrying is left out.	オブジェクトは近い順に並び、それぞれの判定理由も表示されます。空の採集ポイントは、ゲームまたは起動によってデータが埋まるまで「未準備」と表示されます。自分が装備・所持しているものは含まれません。
Objects closer than this are treated as your own equipment. A safety net; your gear is also recognised by other means.	この距離より近いオブジェクトは自分の装備として扱われます。これは保険であり、自分の装備は他の方法でも識別されます。
Objects per burst press	1回の一斉取得あたりのオブジェクト数
Objects per scan	1回のスキャンあたりのオブジェクト数
on the player	本人に近すぎる
On, a vein is harvested where it stands and you never swing a pickaxe. Off, veins are left alone and only the chunks you knock loose are picked up. Needs arming, since asking the vein to open is the whole trick.	オンにすると鉱脈はその場で採掘され、つるはしを振ることは一切ありません。オフでは鉱脈には手を付けず、自分で崩した鉱石片だけが拾われます。鉱脈を開かせること自体が仕組みの核心のため、起動が必要です。
On, the overlay draws under DLSS frame generation, which needs this mod to hand the game a wrapped swapchain.\n\nOff, the overlay draws through the present hook instead. Everything looks the same unless frame generation is on, and the mod stays off a path other overlay mods patch as well. Try this if the game will not start alongside another overlay mod; it can be set as WrapSwapChain in MasterLooter.ini without launching the game.	オンにするとオーバーレイはDLSSフレーム生成の下で描画されます。これにはMODがゲームへラップ済みのスワップチェーンを渡す必要があります。\n\nオフではオーバーレイはPresentフックを介して描画されます。フレーム生成がオンでない限り見た目は変わらず、他のオーバーレイMODも介入する経路をMODが避けるようになります。他のオーバーレイMODと同時に起動できない場合はこれを試してください。ゲームを起動せずにMasterLooter.iniのWrapSwapChainとして設定することもできます。
One click per family. The table below still sets single classes; a group shows a dash when only some of it is on.	グループ単位で1クリックです。下の表では個別のクラスも設定でき、グループは一部だけオンの場合にダッシュ記号で表示されます。
Open and close this menu	このメニューを開閉
Open folder	フォルダを開く
Opens the folder in Explorer. The log is rewritten every launch and is what to attach to a report.	エクスプローラーでフォルダを開きます。ログは起動のたびに書き直され、報告の際に添付するものです。
Ore and stone	鉱石と石
ore off	鉱石オフ
Ore, gems, stone, timber, hides, herbs, trade goods and other crafting input.	鉱石、宝石、石材、木材、毛皮、薬草、交易品など、その他の製作素材。
out of range	範囲外
Overlay	オーバーレイ
Override	上書き
owned by someone (theft)	所有者あり（窃盗）
Ownership	所有権
Ownership oracle	所有権オラクル
Pace	ペース
part of a creature or a mechanism	クリーチャーまたは機関の一部
paused: %s	一時停止中：%s
pick up off	拾得オフ
Plants	植物
plants off	植物オフ
Player	プレイヤー
Player equipment.	プレイヤーの装備。
Player not found in the scene yet.	プレイヤーがまだシーンで見つかっていません。
Presets	プリセット
press a key (Escape cancels)	キーを押してください（Escapeでキャンセル）
Protected by default: a memory chip starts a memory scene when taken, and a puzzle part breaks its puzzle. Turn on only if you want them auto-taken.	既定では保護されています。記憶チップは取得すると記憶シーンが始まり、パズルの部品は取得するとパズルが崩れます。自動取得したい場合のみオンにしてください。
protected item name	保護対象アイテム名
Puts every setting and rule back to what it was at that moment.	すべての設定とルールをその時点の状態に戻します。
puzzle or protected mechanism	パズルまたは保護された機関
Quest items	クエストアイテム
quest or memory trigger	クエストまたは記憶のトリガー
Ranges (metres)	範囲（メートル）
Rats, squirrels, birds, lizards, frogs and salamanders: anything else the game puts in the bag whole.	ネズミ、リス、鳥、トカゲ、カエル、サンショウウオなど、ゲームが丸ごとバッグに入れるその他の生き物。
Reaching nodes	採集ポイントへの到達
Read from the file beside the plugin, not the copy inside it.	プラグイン内蔵の版ではなく、プラグイン横のファイルから読み込みます。
Rebind	再割り当て
Recent loot	最近のルート
Refresh	更新
Reload now	今すぐ再読み込み
Replaces every setting and every class, tag and item rule with what the preset holds, and writes it to MasterLooter.ini. Nothing of the current settings is kept, so back them up first if you want them.	すべての設定、および全クラス・タグ・アイテムのルールをプリセットの内容で置き換え、MasterLooter.iniに書き込みます。現在の設定は一切保持されないため、残したい場合は先にバックアップしてください。
Reset all tags	全タグをリセット
resolved	解決済み
Retry the same object after (ms)	同じオブジェクトの再試行間隔（ミリ秒）
Route id	経路ID
Rule	ルール
Save now	今すぐ保存
Saved as \"%s\": a preset name keeps letters, digits, spaces, dashes and underscores.	\"%s\"として保存しました。プリセット名には英数字、空白、ハイフン、アンダースコアのみ使用できます。
Say so on screen when the bag stops taking things	バッグが受け付けなくなったら画面に表示する
scan %.1f ms	スキャン %.1f ミリ秒
Scan radius	スキャン半径
Scans %ld, events sent %ld, pump ticks %ld, guarded faults %ld, node kinds learned %d	スキャン回数%ld、送信イベント%ld、ポンプTick数%ld、保護された例外%ld、学習済み採集ポイント種類%d
Scans per second	毎秒スキャン回数
search item name or key (3+ letters)	アイテム名またはキーで検索（3文字以上）
Sending events	イベント送信中
Set	設定
Settings: %ls	設定：%ls
Show a brief notice when auto-loot is toggled	自動ルートを切り替えた際に短い通知を表示する
Showing current overrides. Type to search all %d items.	現在の上書き設定を表示中です。入力すると全%d件のアイテムから検索できます。
Showing the nearest %d of %d. The rest are further away.	最も近い%d件（全%d件中）を表示中です。残りはさらに遠くにあります。
Skip all	全てスキップ
Skip quest equipment	クエスト装備を拾わない
Quest equipment	クエスト装備
Gear marked important that no shop will buy, across every class. Off leaves quest tools where they lie.	ゲームが重要と印を付け、どの店も買い取らない装備を、すべての分類で対象にします。オフにすると、クエスト用の道具はその場に残ります。
Tools and gear the game marks important that no shop will buy: the fertilizer and lubricant sprayers, the Kuku spears, the scout rings and necklaces. 180 items, nearly all worth a single copper, and taking one off the floor early can put a quest step out of order.\n\nIt reads the two marks together, so an item carrying only one of them is not covered. The Field Sprayer is unsellable and not marked important, and still comes in.	ゲームが重要と印を付け、どの店も買い取らない道具と装備です。肥料散布器と潤滑剤散布器、ククの槍、斥候の指輪と首飾りなど180点で、ほぼすべてが銅貨1枚の価値しかありません。地面から早く拾ってしまうと、クエストの手順が前後することがあります。\n\n二つの印を合わせて見るため、片方しか持たない品は対象外です。フィールド散布器は売却できませんが重要の印がないので、これまでどおり拾います。
Skip items shops refuse to buy	店が買い取らないアイテムをスキップ
Skip quest items	クエストアイテムをスキップ
skip: %s	スキップ：%s
Small animals	小動物
small animals off	小動物オフ
Some world objects carry no readable item name. On: take them anyway. Off: leave them alone.\n\nThis covers loose items only. A pick-up the node table vouches for, such as a coin pile or a stack of gold bars, is taken whichever way this is set: the table naming the prefab is what identifies it, and the item inside it having no name is a separate question. Its own category switch still applies.	一部のワールドオブジェクトには読み取れるアイテム名がありません。オン：それでも取得します。オフ：未識別のものには手を付けません。\n\nこれは地面に落ちているアイテムのみが対象です。ノードテーブルが裏付けている拾得物、たとえば硬貨の山や金塊の山は、この設定にかかわらず拾います。テーブルがプレハブ名を持っていること自体が識別であり、中身のアイテムに名前がないかどうかは別の問題です。そのカテゴリのスイッチは引き続き適用されます。
someone is wearing this; taking it would copy it	これは誰かが装備しています。取ると複製になります
stack at one point (storage contents)	1か所に集積（格納物）
Status	状態
Stop pets looting	ペットの収集を止める
Tables, chairs, beds, carpets, lamps, candles, paintings, pots and the rest of a furnished room, whether you pick one up off the floor or take it from its own interaction node. Most of it is worth a copper or two, but the carpets and the luxury beds run to thousands, so turn this on before furnishing a house. Chests and the other things that hold something answer to Containers instead. Off by default.	テーブル、椅子、ベッド、カーペット、ランプ、キャンドル、絵画、壺など、床から拾う場合も専用の採集ポイントから取得する場合も含む、家具一式。ほとんどは銅貨数枚程度の価値ですが、カーペットや高級ベッドは数千に達するため、家を家具で整える前にオンにしてください。何かを収納する宝箱などは代わりに「入れ物」が対象です。初期値はオフです。
Tag	タグ
Tags	タグ
tags, any of which can be set to never in the Tags tab:	タグ。「タグ」タブでそれぞれを「決して」に設定できます。
Take goods that belong to someone	他人の所有物を取得する
Take goods that belong to someone, on / off	他人の所有物を取得 オン/オフ
Take items the database cannot name	データベースに名前がないアイテムを取得する
Pets and companions follow the filters	ペットと仲間はフィルターに従う
Take owned goods on / off	所有物の取得 オン/オフ
take this one by hand, looting it can lock the quest	これは手で取ってください。自動で取るとクエストが進まなくなることがあります
takes effect next launch	次回起動時に反映されます
The engine scans around you and takes what the rules allow. Off means nothing is taken automatically; the burst key still works.	エンジンは周囲をスキャンし、ルールが許可するものを取得します。オフにすると自動取得は行われませんが、一斉取得キーは引き続き使えます。
The game fills a node's data only when it thinks you can reach it. Arming asks it to do that from a distance, which is also what lets an ore vein be harvested where it stands. Veins take several seconds to answer where a bush takes a fraction of one.	ゲームは、プレイヤーが到達できると判断したときにのみ採集ポイントのデータを埋めます。起動はこれを離れた場所から要求するもので、鉱脈をその場で採掘できるのもこの仕組みによります。鉱脈が反応するまで数秒かかる一方、茂みは一瞬で反応します。
The game removes taken objects with a delay. This stops the same object being sent twice while it fades.	ゲームは取得済みオブジェクトを遅延させて消去します。これにより、消える途中の同じオブジェクトが二重に送信されるのを防ぎます。
The game treats this as stealing and will put a bounty on you.	ゲームはこれを窃盗とみなし、賞金をかけます。
The mod never swings a pickaxe. It drives the vein's own break sequence, and the game walks one drop row for that where a real swing walks two, so your mining tool's bonus pays nothing when the mod does the mining. This adds the missing ore back through the same drop path the game uses, so it is real ore spilled on the ground, not an item copied into your bag. Set it to what your tool pays by hand minus one: a drill that gives three by hand wants 2 here. It only applies to a vein this mod broke, so mining by hand is untouched and the two cannot stack.	MODはつるはしを振ることはありません。鉱脈自身の破壊シーケンスを実行しますが、そのとき使われるドロップ行は実際の一撃の半分しかなく、MODが採掘するとき採掘道具のボーナスは反映されません。この設定はゲームと同じドロップ経路で不足分の鉱石を追加するため、バッグに複製されたアイテムではなく、地面に実際に散らばる鉱石になります。手動採掘での道具のボーナスから1引いた値に設定してください。手動で3個産出するドリルなら、ここは2です。これはMODが打ち割った鉱脈にのみ適用されるため、手動採掘には影響せず、二つが重複することもありません。
This session: %ld picked up, %ld gathered, %ld caught, %ld carcasses	このセッション：拾得%ld、採集%ld、捕獲%ld、死骸%ld
Timber and branches on the ground, and the nodes that yield them. What most of these hold is read out of the game data itself, so refusing the class wood on the Classes tab leaves the trees standing as well as the timber under them. Where the game says nothing about a node, this switch is the only control it has.	地面にある木材や枝と、それらを産出する採集ポイント。その多くが何を含むかはゲームのデータそのものから読み取られるため、クラスタブで wood クラスを拒否すれば木は立ったまま残り、その下の木材も残ります。ゲームが採集ポイントについて何も述べていない場合は、このスイッチが唯一の制御です。
To leave one species alone, set what it becomes to never on the Items tab: Item_Tench, Item_Ricefish, Item_Iguana. The mod reads the creature's own row in the game's character table, so it knows which species it is looking at before it catches anything. A few unusual creatures still fall back to guessing from their model name and are caught by category only.	特定の種だけ手を付けないようにするには、「アイテム」タブでその変換先を「決して」に設定してください：Item_Tench、Item_Ricefish、Item_Iguana。MODはゲームのキャラクターテーブルにあるクリーチャー自身の行を読み取るため、何かを捕獲する前にその種を把握しています。ただし一部の特殊なクリーチャーはモデル名からの推測に頼るしかなく、カテゴリのみで捕獲されます。
Treasure and keepsakes	財宝と形見の品
Two buttons at once, never one: every single button already does something in this game. The mod only reads the pad, so the game still sees both buttons. Pick a pair that does nothing together, like the two shoulder buttons, or Back and a face button.	単独では不可、必ず2つのボタンを同時に使ってください。このゲームでは単一のボタンにはすでに何らかの機能が割り当てられています。MODはパッドの入力を読み取るだけなので、ゲーム側にも両方のボタンが届きます。同時押しでは何も起きない組み合わせ、例えば両肩ボタン、あるいはBackとフェイスボタンの組み合わせを選んでください。
Two things that hold things. The chests, crates and drop-set nodes you open, which rarely answer the loot event. And anything on the ground whose job is to hold something: bottles, jars, clay pots, waterskins, vases and the storage boxes you place. Off by default, and off means a shelf of pottery is left where it stands. Reward boxes are not covered, since those are loot in their own right and belong to Treasure and keepsakes on the Classes tab.\n\nWhat comes out of a chest is not checked against your filters. The game hands the contents over in one go and the mod never sees them as objects, so for those this switch is all or nothing.	物を入れる二種類のもの。一つはあなたが開ける宝箱、木箱、ドロップセットの採集ポイントで、これらはルート処理に応じることがめったにありません。もう一つは地面にあって何かを入れるのが役目のもの、つまり瓶、壺、素焼きの鉢、水袋、花瓶、そしてあなたが設置する保管箱です。既定ではオフで、オフであれば陶器の並んだ棚はそのまま残ります。報酬箱は対象外です。あれ自体が戦利品であり、クラスタブの「財宝と形見の品」に属します。\n\n宝箱から出てきたものはフィルターと照合されません。ゲームは中身をまとめて渡し、MODはそれを個々のオブジェクトとして見ることがないため、それらについてこのスイッチは全部か無しかになります。
Unbound until you set it. The game calls taking owned goods stealing and puts a bounty on you for it, so this is the switch you want on for a moment and off again, which is a poor fit for a menu.	設定するまでは未割り当てです。ゲームは所有物の取得を窃盗とみなし賞金をかけるため、このスイッチは一瞬だけオンにしてすぐオフに戻したいものであり、メニュー操作には向きません。
Unidentified nodes	未識別の採集ポイント
unidentified nodes off	未識別の採集ポイントオフ
unidentified: could be a fish, a flying insect or a bird	未識別：魚、飛ぶ昆虫、鳥のいずれかの可能性
unidentified: could be an insect or a small animal	未識別：昆虫または小動物の可能性
unnamed item	無名のアイテム
Unsellable items	売却不可のアイテム
Use this language	この言語を使用
Uses the game's own Take or Steal check; owned goods are skipped until it has been observed once.	ゲーム自体の「取得か窃盗か」の判定を利用します。所有物は一度観測されるまでスキップされます。
