# Text menu Master Looter v češtině. Toto je strojový překlad a zatím ho
# nezkontroloval žádný rodilý mluvčí. Opravy jsou vítány na GitHubu
# (github.com/shin2344234/master-looter) nebo na stránce modu na Nexusu.
#
# Jeden řádek na text: anglický originál, tabulátor a pak překlad.
# Řádky začínající # se ignorují. \n znamená zalomení řádku, a řádek bez
# překladu za tabulátorem zůstává zobrazen anglicky.
# Každé %d, %s, %.1f a podobné zástupné symboly musí zůstat na stejném
# místě a ve stejném pořadí jako v angličtině, protože se za běhu
# nahrazují hodnotami; řádek, který je změní, se při načítání ignoruje.
#
# Soubor s tímto názvem umístěný vedle MasterLooter.asi přepíše vestavěnou
# kopii.

  bag full	  batoh plný
Every rock: ore and stone chunks on the ground, veins, boulders, rubble piles and quarry stone. A vein is broken where it stands and its contents picked up off the floor, which is what your pickaxe does and what makes a better pickaxe worth carrying: the tool's Mining Yield Up applies to the drop, not to the node. Each vein is struck once and left alone until the game brings it back. Reaching for veins starts as far out as the scan can see, because they take seconds to answer where a bush takes a fraction of one.\n\nStone used to have a switch of its own and the split never held: the game files most quarry stone under mining, so turning Stone off left it arriving anyway. To keep the ore and leave the stone, refuse the class stone on the Classes tab. That covers Stone, Fine Stone, Flawless Stone and Stalactite, and every rock the game says holds nothing else is then left standing, the mine rocks and the stalactites included. A vein that also holds ore or a jewel is still broken, since refusing the stone is not refusing what sits beside it. Where the game describes a node not at all, it takes ore, jewels and stone all being refused before that one is passed over.	Každý kámen: kusy rudy a kamene na zemi, žíly, balvany, hromady sutě a lomový kámen. Žíla se rozbije tam, kde stojí, a její obsah se sebere ze země, což je přesně to, co dělá tvůj krumpáč, a proč se vyplatí nosit lepší: bonus k výtěžnosti těžby z nástroje platí pro to, co vypadne, ne pro uzel. Každá žíla se udeří jednou a pak se nechá být, dokud ji hra nevrátí. Sahání po žílách začíná tak daleko, kam sken dohlédne, protože odpovídají v sekundách tam, kde keř odpoví ve zlomku.\n\nKámen míval vlastní přepínač a to rozdělení nikdy nedrželo: hra vede většinu lomového kamene pod hornictvím, takže vypnutí Kamene ho stejně nechávalo přicházet. Chceš-li si nechat rudu a kámen nechat ležet, odmítni třídu stone v záložce Třídy. To pokrývá Kámen, Jemný kámen, Bezchybný kámen a Krápník, a každá skála, o které hra říká, že neobsahuje nic jiného, pak zůstane stát, důlní skály a krápníky včetně. Žíla, která obsahuje i rudu nebo drahokam, se stále rozbíjí, protože odmítnout kámen neznamená odmítnout to, co leží vedle. Tam, kde hra uzel vůbec nepopisuje, je potřeba, aby ruda, drahokamy i kámen byly odmítnuty všechny, než se ten uzel přeskočí.
Extra ore per vein	Extra ruda na žílu
failed	selhalo
fast-travel artifact	artefakt rychlého cestování
filter classes	filtrovat třídy
filter tags	filtrovat štítky
Filters	Filtry
Fish	Ryby
fish off	ryby vypnuty
Fish, and whatever else you catch in the water: crabs, shrimp, squid, starfish and seahorses.	Ryby a cokoli dalšího, co ulovíš ve vodě: krabi, krevety, olihně, hvězdice a mořští koníci.
Food and drink	Jídlo a pití
Forget	Zapomenout
found	nalezeno
Furniture	Nábytek
Furniture and decor	Nábytek a dekorace
furniture node (off)	uzel nábytku (vypnuto)
furniture off	nábytek vypnut
Game functions	Herní funkce
Game functions did not resolve; see Status.	Herní funkce se nepodařilo najít; viz Status.
Game-thread pump	Pumpa herního vlákna
gather node	sběrný uzel
Gathering	Sbírání
General	Obecné
Ground items	Předměty na zemi
Groups	Skupiny
Herb, flower and mushroom nodes, and the same lying on the ground, seeds included. Food crops have their own switch. To keep the herbs and leave the seeds, or the other way round, refuse the class on the Classes tab: herb and seed are separate there. That sorts what is lying on the ground item by item, and it reaches the node as well wherever the game says what the node holds: refuse herb and a herb patch is left alone. Plant nodes are a mixed lot, paying grain and crafting materials too, and for the ones the game does not describe this switch is the only control.	Uzly bylin, květin a hub a totéž ležící na zemi, semena včetně. Potravinové plodiny mají vlastní přepínač. Chceš-li si nechat byliny a semena nechat ležet, nebo naopak, odmítni třídu v záložce Třídy: herb a seed jsou tam zvlášť. To třídí kus po kuse to, co leží na zemi, a dosáhne to i na uzel všude tam, kde hra řekne, co uzel obsahuje: odmítni herb a záhon bylin zůstane nedotčený. Rostlinné uzly jsou různorodá směs a dávají i obilí a řemeslný materiál, a pro ty, které hra nepopisuje, je tento přepínač jediným ovládáním.
hold two buttons (Escape cancels)	podrž dvě tlačítka (Escape zruší)
Household clutter and collectibles, most of it worthless.	Domácí harampádí a sběratelské předměty, většinou bezcenné.
How full the bag is is read from the bag itself, so the notice appears the moment it fills, whether or not you are looting. If those numbers ever stop making sense the mod falls back to watching what happens after a pick-up: three in a row that reach nothing raise the notice, and one landing clears it.	Naplněnost batohu se čte přímo z něj, takže se upozornění objeví ve chvíli, kdy se zaplní, ať už zrovna lootuješ nebo ne. Pokud tahle čísla někdy přestanou dávat smysl, mod se přepne na sledování toho, co se stane po sebrání: tři po sobě jdoucí pokusy, které nikam nedorazí, upozornění vyvolají, a jeden úspěšný ho zase zruší.
How often the scene is read. The scan runs on its own thread; only the final take costs the game a fraction of a millisecond.	Jak často se čte scéna. Sken běží na vlastním vlákně; hru stojí jen závěrečné zpracování, a to zlomek milisekundy.
incomplete	neúplné
Insects	Hmyz
insects off	hmyz vypnut
installed	nainstalováno
Item	Předmět
Item database	Databáze předmětů
Item table	Tabulka předmětů
Items	Předměty
Items lying in the world, including drops from enemies.	Předměty ležící ve světě, včetně dropů od nepřátel.
Items no shop will buy, in every class but currency.	Předměty, které nekoupí žádný obchod, ve všech třídách kromě měny.
Items on the ground	Předměty ležící na zemi
Items tagged quest are left alone, so puzzles and story pickups are not auto-taken. It reads the item's own tags, so it covers anything you pick up and every node whose contents the mod can name. Two things fall outside it. A node it cannot name is decided by the switch for its kind, because there is no item there to read a tag from. And skinning a carcass pays out without the mod ever seeing what arrived.	Předměty označené jako questovní se nechávají být, aby se předměty z hádanek a z příběhu nebraly automaticky. Čte vlastní štítky předmětu, takže pokrývá vše, co sebereš, a každý uzel, jehož obsah umí mod pojmenovat. Dvě věci zůstávají mimo. O uzlu, který pojmenovat neumí, rozhoduje přepínač jeho druhu, protože tam není žádný předmět, ze kterého by se štítek dal přečíst. A stažení zdechliny vyplatí, aniž by mod kdy viděl, co přišlo.
Items with an unknown value are never filtered by it.	Předměty s neznámou hodnotou tímto nikdy nejsou filtrovány.
Keep the menu on screen while you play. %s brings it back, %s closes it.	Nech menu na obrazovce, zatímco hraješ. %s ho vrátí zpět, %s ho zavře.
Keys	Klávesy
Keys and tools	Klíče a nástroje
Language	Jazyk
Language \"%s\": %d line(s) translated, %d seen this session.	Jazyk \"%s\": %d řádků přeloženo, %d viděno v této relaci.
learned from the game	zjištěno ze hry
Load	Načíst
loaded	načteno
locked	zamčeno
Log	Log
Log: %ls	Log: %ls
Loot	Loot
Loot all	Lootovat vše
Loot engine	Loot engine
Loot engine not started.	Loot engine nebyl spuštěn.
Loot everything in range now	Lootovat vše v dosahu hned
Loot everything in range once	Lootovat vše v dosahu jednou
loot: %s	loot: %s
Looting	Loot
MASTER LOOTER	MASTER LOOTER
Master Looter v%s for game build %s	Master Looter v%s pro herní build %s
Materials	Materiály
mechanism part	část mechanismu
Memory chips and puzzle parts	Paměťové čipy a části hádanek
Mine ore veins for you	Těžit rudné žíly za tebe
Minimum value (copper)	Minimální hodnota (měďáky)
missing	chybí
missing MasterLooter.items.tsv	chybí MasterLooter.items.tsv
mission object	misijní objekt
Mounts and vehicles	Jízdní zvířata a vozidla
name a new preset	pojmenuj nový preset
Nearby	Okolí
never	nikdy
no	ne
no interaction node	uzel bez interakce
Nodes the prefab table does not name and that have not yielded anything yet this session. Off (the default) leaves them alone. On makes the mod gather them to find out, which means a plant can be taken while Plants is off.	Uzly, které tabulka prefabů nepojmenovává a které v této relaci ještě nic nevydaly. Vypnuto (výchozí) je ponechá být. Zapnuto donutí mod je nasbírat, aby zjistil, co jsou zač, což znamená, že rostlinu lze vzít i s vypnutými Rostlinami.
none	žádné
not found yet	zatím nenalezeno
not in item database	není v databázi předmětů
not ready (node empty)	není připraveno (uzel prázdný)
not resolved yet	zatím nenalezeno
not started	nespuštěno
not yet	ještě ne
Nothing else is drawn while the menu is closed.	Když je menu zavřené, nic dalšího se nevykresluje.
nothing taken yet this session	v této relaci zatím nic vzato
Object	Objekt
object	objekt
Objects are listed nearest first, with the rule that decided each one. Empty nodes read as not ready until the game or arming fills them. What you are wearing and carrying is left out.	Objekty jsou seřazené od nejbližšího, s pravidlem, které o každém rozhodlo. Prázdné uzly se zobrazují jako nepřipravené, dokud je hra nebo aktivace nenaplní. To, co máš na sobě a co neseš, je vynecháno.
Objects closer than this are treated as your own equipment. A safety net; your gear is also recognised by other means.	Objekty blíž než tohle jsou považovány za tvé vlastní vybavení. Je to pojistka; tvé vybavení mod pozná i jinými způsoby.
Objects per burst press	Objektů na jedno stisknutí
Objects per scan	Objektů na sken
on the player	na hráči
On, a vein is harvested where it stands and you never swing a pickaxe. Off, veins are left alone and only the chunks you knock loose are picked up. Needs arming, since asking the vein to open is the whole trick.	Zapnuto: žíla se vytěží tam, kde stojí, a ty nikdy nezvedneš krumpáč. Vypnuto: žíly zůstávají netknuté a sbírají se jen kusy, které sám vyrazíš. Vyžaduje aktivaci, protože přimět žílu, aby se otevřela, je celý trik.
On, the overlay draws under DLSS frame generation, which needs this mod to hand the game a wrapped swapchain.\n\nOff, the overlay draws through the present hook instead. Everything looks the same unless frame generation is on, and the mod stays off a path other overlay mods patch as well. Try this if the game will not start alongside another overlay mod; it can be set as WrapSwapChain in MasterLooter.ini without launching the game.	Zapnuto: překryvná vrstva se vykresluje pod generováním snímků DLSS, což vyžaduje, aby mod hře předal zabalený swapchain.\n\nVypnuto: překryvná vrstva se místo toho vykresluje přes present hook. Pokud není zapnuté generování snímků, vypadá vše stejně, a mod tak zůstává mimo cestu, kterou si patchují i jiné překryvné mody. Zkus to, pokud se hra nespustí spolu s jiným překryvným modem; dá se to nastavit jako WrapSwapChain v MasterLooter.ini i bez spuštění hry.
One click per family. The table below still sets single classes; a group shows a dash when only some of it is on.	Jedno kliknutí na celou rodinu. Tabulka níže pořád nastavuje jednotlivé třídy; skupina zobrazuje pomlčku, když je zapnutá jen její část.
Open and close this menu	Otevřít a zavřít toto menu
Open folder	Otevřít složku
Opens the folder in Explorer. The log is rewritten every launch and is what to attach to a report.	Otevře složku v Průzkumníkovi. Log se přepisuje při každém spuštění a je to to, co přiložit k hlášení.
Ore and stone	Ruda a kámen
ore off	ruda vypnuta
Ore, gems, stone, timber, hides, herbs, trade goods and other crafting input.	Ruda, drahokamy, kámen, dřevo, kůže, byliny, obchodní zboží a další suroviny pro řemeslo.
out of range	mimo dosah
Overlay	Overlay
Override	Výjimka
owned by someone (theft)	patří někomu (krádež)
Ownership	Vlastnictví
Ownership oracle	Orákulum vlastnictví
Pace	Tempo
part of a creature or a mechanism	část tvora nebo mechanismu
paused: %s	pozastaveno: %s
pick up off	sebrání vypnuto
Plants	Rostliny
plants off	rostliny vypnuty
Player	Hráč
Player equipment.	Vybavení hráče.
Player not found in the scene yet.	Hráč ve scéně zatím nenalezen.
Presets	Presety
press a key (Escape cancels)	stiskni klávesu (Escape zruší)
Protected by default: a memory chip starts a memory scene when taken, and a puzzle part breaks its puzzle. Turn on only if you want them auto-taken.	Ve výchozím stavu chráněno: paměťový čip po sebrání spustí vzpomínkovou scénu a část hádanky rozbije svou hádanku. Zapni jen tehdy, pokud je chceš brát automaticky.
protected item name	název chráněného předmětu
Puts every setting and rule back to what it was at that moment.	Vrátí každé nastavení a pravidlo do stavu, v jakém bylo v ten moment.
puzzle or protected mechanism	hádanka nebo chráněný mechanismus
Quest items	Questovní předměty
quest or memory trigger	questovní nebo vzpomínkový spouštěč
Ranges (metres)	Dosahy (metry)
Rats, squirrels, birds, lizards, frogs and salamanders: anything else the game puts in the bag whole.	Krysy, veverky, ptáci, ještěrky, žáby a mloci: cokoli dalšího, co hra dá do batohu celé.
Reaching nodes	Dosah k uzlům
Read from the file beside the plugin, not the copy inside it.	Čte se ze souboru vedle pluginu, ne z kopie uvnitř něj.
Rebind	Přenastavit
Recent loot	Nedávný loot
Refresh	Obnovit
Reload now	Načíst znovu
Replaces every setting and every class, tag and item rule with what the preset holds, and writes it to MasterLooter.ini. Nothing of the current settings is kept, so back them up first if you want them.	Nahradí každé nastavení a každé pravidlo třídy, štítku i předmětu tím, co obsahuje preset, a zapíše to do MasterLooter.ini. Ze současného nastavení se nic neuchová, takže si ho nejdřív zazálohuj, pokud ho chceš.
Reset all tags	Resetovat všechny štítky
resolved	nalezeno
Retry the same object after (ms)	Zkusit stejný objekt znovu po (ms)
Route id	ID trasy
Rule	Pravidlo
Save now	Uložit teď
Saved as \"%s\": a preset name keeps letters, digits, spaces, dashes and underscores.	Uloženo jako \"%s\": název presetu si ponechává písmena, číslice, mezery, pomlčky a podtržítka.
Say so on screen when the bag stops taking things	Ukázat na obrazovce, když batoh přestane brát věci
scan %.1f ms	sken %.1f ms
Scan radius	Poloměr skenování
Scans %ld, events sent %ld, pump ticks %ld, guarded faults %ld, node kinds learned %d	Skenů %ld, odeslaných událostí %ld, tiků pumpy %ld, ošetřených chyb %ld, zjištěných druhů uzlů %d
Scans per second	Skenů za sekundu
search item name or key (3+ letters)	hledej název předmětu nebo klíč (3+ písmena)
Sending events	Odesílání událostí
Set	Nastavit
Settings: %ls	Nastavení: %ls
Show a brief notice when auto-loot is toggled	Zobrazit krátké upozornění při přepnutí auto-lootu
Showing current overrides. Type to search all %d items.	Zobrazují se aktuální výjimky. Piš pro hledání ve všech %d předmětech.
Showing the nearest %d of %d. The rest are further away.	Zobrazeno %d nejbližších z %d. Zbytek je dál.
Skip all	Přeskočit vše
Skip quest equipment	Přeskakovat questové vybavení
Quest equipment	Questové vybavení
Gear marked important that no shop will buy, across every class. Off leaves quest tools where they lie.	Vybavení označené jako důležité, které žádný obchod nekoupí, napříč všemi třídami. Vypnuto: questové nástroje zůstanou ležet.
Tools and gear the game marks important that no shop will buy: the fertilizer and lubricant sprayers, the Kuku spears, the scout rings and necklaces. 180 items, nearly all worth a single copper, and taking one off the floor early can put a quest step out of order.\n\nIt reads the two marks together, so an item carrying only one of them is not covered. The Field Sprayer is unsellable and not marked important, and still comes in.	Nástroje a vybavení, které hra označuje jako důležité a žádný obchod je nekoupí: rozprašovače hnojiva a maziva, kuku oštěpy, zvědské prsteny a náhrdelníky. 180 předmětů, téměř všechny za jediný měďák, a sebrat jeden ze země příliš brzy může rozhodit krok questu.\n\nČte se obojí označení dohromady, takže předmět jen s jedním z nich pokrytý není. Polní rozprašovač je neprodejný a není označen jako důležitý, a stále se sbírá.
Skip items shops refuse to buy	Přeskočit předměty, které obchody odmítají koupit
Skip quest items	Přeskočit questovní předměty
skip: %s	přeskočit: %s
Small animals	Malá zvířata
small animals off	malá zvířata vypnuta
Some world objects carry no readable item name. On: take them anyway. Off: leave them alone.\n\nThis covers loose items only. A pick-up the node table vouches for, such as a coin pile or a stack of gold bars, is taken whichever way this is set: the table naming the prefab is what identifies it, and the item inside it having no name is a separate question. Its own category switch still applies.	Některé objekty ve světě nenesou čitelný název předmětu. Zapnuto: vzít je i tak. Vypnuto: nechat vše neidentifikované být.\n\nTýká se to pouze volně ležících předmětů. Sebratelný předmět, za který ručí tabulka bodů, například hromádka mincí nebo stoh zlatých cihel, se sebere bez ohledu na toto nastavení: identifikuje ho to, že tabulka pojmenovává prefab, a zda má předmět uvnitř jméno, je samostatná otázka. Jeho vlastní přepínač kategorie stále platí.
someone is wearing this; taking it would copy it	někdo to má na sobě; vzít to by to zkopírovalo
stack at one point (storage contents)	hromada na jednom místě (obsah úložiště)
Status	Stav
Stop pets looting	Zabránit mazlíčkům ve sbírání
Tables, chairs, beds, carpets, lamps, candles, paintings, pots and the rest of a furnished room, whether you pick one up off the floor or take it from its own interaction node. Most of it is worth a copper or two, but the carpets and the luxury beds run to thousands, so turn this on before furnishing a house. Chests and the other things that hold something answer to Containers instead. Off by default.	Stoly, židle, postele, koberce, lampy, svíčky, obrazy, hrnce a zbytek zařízené místnosti, ať už to seberes z podlahy nebo to vezmeš z vlastního interakčního uzlu. Většina toho má hodnotu měďák nebo dva, ale koberce a luxusní postele se šplhají do tisíců, takže tohle zapni, než si zařídíš dům. Truhly a další věci, které něco obsahují, spadají místo toho pod Kontejnery. Ve výchozím stavu vypnuto.
Tag	Štítek
Tags	Štítky
tags, any of which can be set to never in the Tags tab:	štítky, z nichž kterýkoli lze v záložce Štítky nastavit na nikdy:
Take goods that belong to someone	Brát věci, které někomu patří
Take goods that belong to someone, on / off	Brát věci, které někomu patří, zapnuto / vypnuto
Take items the database cannot name	Brát předměty, které databáze nedokáže pojmenovat
Pets and companions follow the filters	Mazlíčci a společníci se řídí filtry
Take owned goods on / off	Brát vlastněné věci zapnuto / vypnuto
take this one by hand, looting it can lock the quest	vezmi tenhle rukou, sebrání může zablokovat quest
takes effect next launch	projeví se až při dalším spuštění
The engine scans around you and takes what the rules allow. Off means nothing is taken automatically; the burst key still works.	Engine skenuje okolí a bere, co pravidla dovolí. Vypnuto znamená, že se nic nebere automaticky; klávesa pro jednorázové sebrání pořád funguje.
The game fills a node's data only when it thinks you can reach it. Arming asks it to do that from a distance, which is also what lets an ore vein be harvested where it stands. Veins take several seconds to answer where a bush takes a fraction of one.	Hra naplní data uzlu jen tehdy, když si myslí, že na něj dosáhneš. Aktivace ji požádá, aby to udělala na dálku, a totéž umožňuje vytěžit rudnou žílu tam, kde stojí. Žílám trvá odpověď několik sekund, zatímco keři zlomek vteřiny.
The game removes taken objects with a delay. This stops the same object being sent twice while it fades.	Hra odstraňuje vzaté objekty se zpožděním. Tohle brání tomu, aby byl stejný objekt odeslán dvakrát, zatímco mizí.
The game treats this as stealing and will put a bounty on you.	Hra tohle považuje za krádež a dá na tebe odměnu.
The mod never swings a pickaxe. It drives the vein's own break sequence, and the game walks one drop row for that where a real swing walks two, so your mining tool's bonus pays nothing when the mod does the mining. This adds the missing ore back through the same drop path the game uses, so it is real ore spilled on the ground, not an item copied into your bag. Set it to what your tool pays by hand minus one: a drill that gives three by hand wants 2 here. It only applies to a vein this mod broke, so mining by hand is untouched and the two cannot stack.	Mod nikdy nezvedne krumpáč. Spouští vlastní sekvenci rozbití žíly, a hra si u toho projde jeden řádek výsypu, zatímco u skutečného úderu projde dva, takže bonus tvého těžebního nástroje nevyplatí nic, když těží mod. Tohle chybějící rudu doplní zpátky přes tu samou cestu výsypu, kterou používá hra, takže jde o skutečnou rudu vysypanou na zem, ne o předmět zkopírovaný do batohu. Nastav to na to, co ti nástroj vyplácí ručně, minus jedna: vrtačka, která ručně dává tři, tu chce 2. Platí to jen pro žílu, kterou rozbil mod, takže ruční těžba zůstává nedotčená a obě se nemohou sčítat.
This session: %ld picked up, %ld gathered, %ld caught, %ld carcasses	Tato relace: %ld sebráno, %ld nasbíráno, %ld uloveno, %ld zdechlin
Timber and branches on the ground, and the nodes that yield them. What most of these hold is read out of the game data itself, so refusing the class wood on the Classes tab leaves the trees standing as well as the timber under them. Where the game says nothing about a node, this switch is the only control it has.	Dřevo a větve na zemi a uzly, které je dávají. To, co většina z nich obsahuje, se čte přímo z herních dat, takže odmítnutí třídy wood v záložce Třídy nechá stromy stát a stejně tak dřevo pod nimi. Tam, kde hra o uzlu neříká nic, je tento přepínač jediné ovládání, které má.
To leave one species alone, set what it becomes to never on the Items tab: Item_Tench, Item_Ricefish, Item_Iguana. The mod reads the creature's own row in the game's character table, so it knows which species it is looking at before it catches anything. A few unusual creatures still fall back to guessing from their model name and are caught by category only.	Aby jeden druh zůstal netknutý, nastav, čím se stává, na nikdy v záložce Předměty: Item_Tench, Item_Ricefish, Item_Iguana. Mod čte vlastní řádek tvora v herní tabulce postav, takže ví, na jaký druh se dívá, ještě než něco uloví. Několik neobvyklých tvorů se stále spoléhá na odhad podle názvu modelu a loví se jen podle kategorie.
Treasure and keepsakes	Poklady a suvenýry
Two buttons at once, never one: every single button already does something in this game. The mod only reads the pad, so the game still sees both buttons. Pick a pair that does nothing together, like the two shoulder buttons, or Back and a face button.	Dvě tlačítka najednou, nikdy jedno: každé jednotlivé tlačítko už v této hře něco dělá. Mod jen čte ovladač, takže hra pořád vidí obě tlačítka. Vyber dvojici, která dohromady nic nedělá, například obě ramenní tlačítka, nebo Back a jedno z čelních tlačítek.
