# Testo del menu di Master Looter in italiano.
#
# Questa è una traduzione automatica: nessun madrelingua l'ha ancora
# rivista. Le correzioni sono
# benvenute su GitHub (github.com/shin2344234/master-looter) o sulla
# pagina Nexus del mod.
#
# Una riga per ogni testo: l'originale in inglese, una tabulazione, poi
# la traduzione. \n rappresenta un a capo. Le righe che iniziano con #
# vengono ignorate. Una riga senza traduzione dopo la tabulazione resta
# visualizzata in inglese, quindi un file a metà è comunque utilizzabile.
# Ogni %d, %s, %.1f e gli altri segnaposto devono restare esattamente
# come sono e nello stesso ordine dell'originale inglese: vengono
# sostituiti con numeri e nomi a runtime, e una riga che li altera viene
# ignorata invece di rischiare valori sbagliati.
#
# Salva come MasterLooter.<lingua>.txt accanto al plugin, per esempio
# MasterLooter.it.txt, poi imposta Language=it in MasterLooter.ini oppure
# digita la lingua in Generale, Lingua. Un file con questo nome accanto a
# MasterLooter.asi sostituisce la copia incorporata nel plugin.

  bag full	  borsa piena
Butterflies, beetles, dragonflies, bees, spiders, scorpions, snails and the other small things the game files as insects. Species come from the creature table; a creature the table cannot name is only caught when every category it could belong to is on (a flyer could be a fish, an insect or a bird).	Farfalle, coleotteri, libellule, api, ragni, scorpioni, lumache e le altre piccole creature che il gioco classifica come insetti. Le specie provengono dalla tabella delle creature; una creatura che la tabella non riesce a nominare viene catturata solo quando ogni categoria a cui potrebbe appartenere è attiva (un volatile potrebbe essere un pesce, un insetto o un uccello).
captured	catturato
Carcasses	Carcasse
Carcasses and bodies	Carcasse e corpi
Bodies	Corpi
carcasses off	carcasse disattivate
bodies off	corpi disattivati
Catching	Cattura
Caught creatures, live or lying around; a creature the table can name follows its class rule. Crabs, shrimp and squid are seafood under Food and drink.	Creature catturabili, vive o a terra; una creatura che la tabella sa nominare segue la regola della sua classe. Granchi, gamberi e calamari sono frutti di mare sotto Cibo e bevande.
Class	Classe
class %s	classe %s
Classes	Classi
Clear	Cancella
Clear overrides	Cancella eccezioni
Clears what this session worked out from your bag. Nodes named by the prefab table are unaffected.	Cancella quanto questa sessione ha dedotto dalla tua borsa. I punti nominati dalla tabella dei prefab non ne risentono.
Close	Chiudi
container (off)	contenitore (disattivato)
Containers	Contenitori
containers off	contenitori disattivati
Controller	Controller
Copper	Rame
Copy	Copia
Copy path	Copia percorso
Copy to the clipboard.	Copia negli appunti.
corpse	cadavere
corpse already searched	cadavere già rovistato
corpse: loot drops separately	cadavere: il bottino cade separatamente
creature	creatura
Creatures	Creature
Crops	Colture
crops off	colture disattivate
Damaged gear	Equipaggiamento danneggiato
Dead zone around you	Zona morta attorno a te
Decision	Decisione
default	predefinito
DirectX 12 hooks	Hook DirectX 12
does not respond	non risponde
Draw water from wells	Attingi acqua dai pozzi
Engine	Motore
English	Inglese
English. %d line(s) seen this session.	Inglese. %d riga/e vista/e in questa sessione.
entity	entità
entity %08X	entità %08X
entity %08X, %d items across every store	entità %08X, %d oggetti in tutti i contenitori
entity %08X, bag %d of %d slots, %d items across every store	entità %08X, borsa %d di %d slot, %d oggetti in tutti i contenitori
Event descriptors	Descrittori di evento
Every rock: ore and stone chunks on the ground, veins, boulders, rubble piles and quarry stone. A vein is broken where it stands and its contents picked up off the floor, which is what your pickaxe does and what makes a better pickaxe worth carrying: the tool's Mining Yield Up applies to the drop, not to the node. Each vein is struck once and left alone until the game brings it back. Reaching for veins starts as far out as the scan can see, because they take seconds to answer where a bush takes a fraction of one.\n\nStone used to have a switch of its own and the split never held: the game files most quarry stone under mining, so turning Stone off left it arriving anyway. To keep the ore and leave the stone, refuse the class stone on the Classes tab. That covers Stone, Fine Stone, Flawless Stone and Stalactite, and every rock the game says holds nothing else is then left standing, the mine rocks and the stalactites included. A vein that also holds ore or a jewel is still broken, since refusing the stone is not refusing what sits beside it. Where the game describes a node not at all, it takes ore, jewels and stone all being refused before that one is passed over.	Ogni roccia: pezzi di minerale e di pietra a terra, vene, massi, cumuli di detriti e pietra di cava. Una vena viene spezzata dove si trova e il suo contenuto raccolto da terra, che è quello che fa il tuo piccone e ciò che rende utile portarne uno migliore: il bonus di resa mineraria dell'attrezzo si applica a ciò che cade, non al punto. Ogni vena viene colpita una volta e poi lasciata stare finché il gioco non la riporta. La richiesta alle vene comincia da lontano quanto la scansione riesce a vedere, perché impiegano secondi a rispondere dove un cespuglio impiega una frazione di secondo.\n\nLa pietra aveva un tempo un interruttore tutto suo e la divisione non ha mai retto: il gioco archivia gran parte della pietra di cava sotto estrazione mineraria, quindi disattivare Pietra la lasciava arrivare comunque. Per tenere il minerale e lasciare la pietra, rifiuta la classe stone nella scheda Classi. Questo copre Pietra, Pietra fine, Pietra perfetta e Stalattite, e ogni roccia di cui il gioco dice che non contiene altro resta allora in piedi, comprese le rocce di miniera e le stalattiti. Una vena che contiene anche minerale o una gemma viene comunque spezzata, perché rifiutare la pietra non è rifiutare ciò che le sta accanto. Dove il gioco non descrive affatto un punto, serve che minerale, gemme e pietra siano tutti rifiutati prima che quello venga ignorato.
Extra ore per vein	Minerale extra per vena
failed	fallito
fast-travel artifact	artefatto di viaggio rapido
filter classes	filtra classi
filter tags	filtra etichette
Filters	Filtri
Fish	Pesci
fish off	pesci disattivati
Fish, and whatever else you catch in the water: crabs, shrimp, squid, starfish and seahorses.	Pesci, e qualsiasi altra cosa tu peschi in acqua: granchi, gamberi, calamari, stelle marine e cavallucci marini.
Food and drink	Cibo e bevande
Forget	Dimentica
found	trovato
Furniture	Mobili
Furniture and decor	Mobili e arredamento
furniture node (off)	punto di arredamento (disattivato)
furniture off	mobili disattivati
Game functions	Funzioni di gioco
Game functions did not resolve; see Status.	Le funzioni di gioco non sono state risolte; vedi Stato.
Game-thread pump	Pompaggio sul thread di gioco
gather node	punto di raccolta
Gathering	Raccolta
General	Generale
Ground items	Oggetti a terra
Groups	Gruppi
Herb, flower and mushroom nodes, and the same lying on the ground, seeds included. Food crops have their own switch. To keep the herbs and leave the seeds, or the other way round, refuse the class on the Classes tab: herb and seed are separate there. That sorts what is lying on the ground item by item, and it reaches the node as well wherever the game says what the node holds: refuse herb and a herb patch is left alone. Plant nodes are a mixed lot, paying grain and crafting materials too, and for the ones the game does not describe this switch is the only control.	Punti di erbe, fiori e funghi, e gli stessi che giacciono a terra, semi compresi. Le colture alimentari hanno un interruttore tutto loro. Per tenere le erbe e lasciare i semi, o il contrario, rifiuta la classe nella scheda Classi: herb e seed lì sono separate. Questo smista oggetto per oggetto ciò che è a terra, e raggiunge anche il punto ovunque il gioco dica che cosa contiene: rifiuta herb e un'aiuola di erbe resta intatta. I punti di pianta sono un insieme misto e danno anche cereali e materiali da artigianato, e per quelli che il gioco non descrive questo interruttore è l'unico controllo.
hold two buttons (Escape cancels)	tieni premuti due pulsanti (Esc annulla)
Household clutter and collectibles, most of it worthless.	Oggetti domestici e da collezione, per lo più senza valore.
How full the bag is is read from the bag itself, so the notice appears the moment it fills, whether or not you are looting. If those numbers ever stop making sense the mod falls back to watching what happens after a pick-up: three in a row that reach nothing raise the notice, and one landing clears it.	Quanto è piena la borsa viene letto dalla borsa stessa, quindi l'avviso compare nel momento in cui si riempie, che tu stia prelevando o meno. Se questi numeri smettessero di avere senso, il mod passa a osservare cosa succede dopo ogni prelievo: tre di fila che non portano a nulla fanno comparire l'avviso, e uno andato a segno lo cancella.
How often the scene is read. The scan runs on its own thread; only the final take costs the game a fraction of a millisecond.	Con che frequenza viene letta la scena. La scansione gira sul proprio thread; solo il prelievo finale costa al gioco una frazione di millisecondo.
incomplete	incompleto
Insects	Insetti
insects off	insetti disattivati
installed	installato
Item	Oggetto
Item database	Database oggetti
Item table	Tabella oggetti
Items	Oggetti
Items lying in the world, including drops from enemies.	Oggetti sparsi nel mondo, compresi quelli lasciati cadere dai nemici.
Items no shop will buy, across every class.	Oggetti che nessun negozio compra, in ogni classe.
Items on the ground	Oggetti a terra
Items tagged quest are left alone, so puzzles and story pickups are not auto-taken. It reads the item's own tags, so it covers anything you pick up and every node whose contents the mod can name. Two things fall outside it. A node it cannot name is decided by the switch for its kind, because there is no item there to read a tag from. And skinning a carcass pays out without the mod ever seeing what arrived.	Gli oggetti etichettati come missione vengono lasciati stare, così gli oggetti di enigmi e di storia non vengono presi automaticamente. Legge le etichette proprie dell'oggetto, quindi copre tutto ciò che raccogli e ogni punto il cui contenuto la mod sa nominare. Due cose restano fuori. Un punto che non sa nominare è deciso dall'interruttore del suo tipo, perché lì non c'è alcun oggetto da cui leggere un'etichetta. E scuoiare una carcassa paga senza che la mod veda mai che cosa è arrivato.
Items with an unknown value are never filtered by it.	Gli oggetti dal valore sconosciuto non vengono mai filtrati da questa opzione.
Keep the menu on screen while you play. %s brings it back, %s closes it.	Tiene il menu a schermo mentre giochi. %s lo richiama, %s lo chiude.
Keys	Tasti
Keys and tools	Chiavi e attrezzi
Language	Lingua
Language \"%s\": %d line(s) translated, %d seen this session.	Lingua \"%s\": %d riga/e tradotta/e, %d vista/e in questa sessione.
learned from the game	appreso dal gioco
Load	Carica
loaded	caricato
locked	bloccato
Log	Log
Log: %ls	Log: %ls
Loot	Bottino
Loot all	Preleva tutto
Loot engine	Motore di loot
Loot engine not started.	Il motore di loot non è stato avviato.
Loot everything in range now	Preleva subito tutto ciò che è nel raggio
Loot everything in range once	Preleva una volta tutto ciò che è nel raggio
loot: %s	preleva: %s
Looting	Bottino
MASTER LOOTER	MASTER LOOTER
Master Looter v%s for game build %s	Master Looter v%s per la build di gioco %s
Materials	Materiali
mechanism part	parte di meccanismo
Memory chips and puzzle parts	Chip di memoria e pezzi di enigmi
Mine ore veins for you	Estrae le vene di minerale al posto tuo
Minimum value (copper)	Valore minimo (rame)
missing	mancante
missing MasterLooter.items.tsv	MasterLooter.items.tsv mancante
mission object	oggetto di missione
Mounts and vehicles	Cavalcature e veicoli
name a new preset	assegna un nome al nuovo preset
Nearby	Vicinanze
never	mai
no	no
no interaction node	nessun punto di interazione
Nodes the prefab table does not name and that have not yielded anything yet this session. Off (the default) leaves them alone. On makes the mod gather them to find out, which means a plant can be taken while Plants is off.	Punti che la tabella dei prefab non nomina e che non hanno ancora prodotto nulla in questa sessione. Disattivato (il predefinito) li lascia stare. Attivato fa sì che il mod li raccolga per scoprirlo, il che significa che una pianta può essere presa anche con Piante disattivato.
none	nessuno
not found yet	non ancora trovato
not in item database	non nel database oggetti
not ready (node empty)	non pronto (punto vuoto)
not resolved yet	non ancora risolto
not started	non avviato
not yet	non ancora
Nothing else is drawn while the menu is closed.	Non viene disegnato altro mentre il menu è chiuso.
nothing taken yet this session	nulla preso finora in questa sessione
Object	Oggetto
object	oggetto
Objects are listed nearest first, with the rule that decided each one. Empty nodes read as not ready until the game or arming fills them. What you are wearing and carrying is left out.	Gli oggetti sono elencati dal più vicino, con la regola che ha deciso ciascuno. I punti vuoti risultano non pronti finché il gioco o l'attivazione non li riempie. Ciò che indossi e porti con te è escluso.
Objects closer than this are treated as your own equipment. A safety net; your gear is also recognised by other means.	Gli oggetti più vicini di questa distanza sono trattati come tuo equipaggiamento. Una rete di sicurezza; il tuo equipaggiamento viene riconosciuto anche in altri modi.
Objects per burst press	Oggetti per pressione rapida
Objects per scan	Oggetti per scansione
on the player	sul giocatore
On, a vein is harvested where it stands and you never swing a pickaxe. Off, veins are left alone and only the chunks you knock loose are picked up. Needs arming, since asking the vein to open is the whole trick.	Attivato, una vena viene estratta dove si trova e non impugni mai un piccone. Disattivato, le vene vengono lasciate stare e vengono raccolti solo i frammenti che stacchi tu. Richiede l'attivazione, perché chiedere alla vena di aprirsi è tutto il trucco.
On, the overlay draws under DLSS frame generation, which needs this mod to hand the game a wrapped swapchain.\n\nOff, the overlay draws through the present hook instead. Everything looks the same unless frame generation is on, and the mod stays off a path other overlay mods patch as well. Try this if the game will not start alongside another overlay mod; it can be set as WrapSwapChain in MasterLooter.ini without launching the game.	Attivato, l'overlay viene disegnato sotto la generazione dei fotogrammi DLSS, il che richiede che questo mod passi al gioco uno swapchain incapsulato.\n\nDisattivato, l'overlay viene invece disegnato tramite l'hook di present. Tutto appare uguale a meno che la generazione dei fotogrammi non sia attiva, e il mod resta fuori da un percorso che anche altri mod overlay modificano. Prova questa opzione se il gioco non si avvia insieme a un altro mod overlay; può essere impostata come WrapSwapChain in MasterLooter.ini senza avviare il gioco.
One click per family. The table below still sets single classes; a group shows a dash when only some of it is on.	Un clic per famiglia. La tabella sottostante imposta comunque le singole classi; un gruppo mostra un trattino quando solo parte di esso è attiva.
Open and close this menu	Apre e chiude questo menu
Open folder	Apri cartella
Opens the folder in Explorer. The log is rewritten every launch and is what to attach to a report.	Apre la cartella in Esplora risorse. Il log viene riscritto a ogni avvio ed è ciò da allegare a una segnalazione.
Ore and stone	Minerale e pietra
ore off	minerale disattivato
Ore, gems, stone, timber, hides, herbs, trade goods and other crafting input.	Minerale, gemme, pietra, legname, pelli, erbe, merci e altri materiali da crafting.
out of range	fuori portata
Overlay	Overlay
Override	Eccezione
owned by someone (theft)	di proprietà di qualcuno (furto)
Ownership	Proprietà
Ownership oracle	Oracolo di proprietà
Pace	Ritmo
part of a creature or a mechanism	parte di una creatura o di un meccanismo
paused: %s	in pausa: %s
pick up off	raccolta disattivata
Plants	Piante
plants off	piante disattivate
Player	Giocatore
Player equipment.	Equipaggiamento del giocatore.
Player not found in the scene yet.	Giocatore non ancora trovato nella scena.
Presets	Preset
press a key (Escape cancels)	premi un tasto (Esc annulla)
Protected by default: a memory chip starts a memory scene when taken, and a puzzle part breaks its puzzle. Turn on only if you want them auto-taken.	Protetto per impostazione predefinita: un chip di memoria avvia una scena di ricordo quando viene preso, e un pezzo di enigma rompe il suo enigma. Attiva solo se li vuoi presi automaticamente.
protected item name	nome dell'oggetto protetto
Puts every setting and rule back to what it was at that moment.	Riporta ogni impostazione e regola a com'era in quel momento.
puzzle or protected mechanism	enigma o meccanismo protetto
Quest items	Oggetti di missione
quest or memory trigger	trigger di missione o di ricordo
Ranges (metres)	Raggi (metri)
Rats, squirrels, birds, lizards, frogs and salamanders: anything else the game puts in the bag whole.	Ratti, scoiattoli, uccelli, lucertole, rane e salamandre: tutto il resto che il gioco mette intero in borsa.
Reaching nodes	Raggiungere i punti
Read from the file beside the plugin, not the copy inside it.	Letto dal file accanto al plugin, non dalla copia al suo interno.
Rebind	Riassocia
Recent loot	Bottino recente
Refresh	Aggiorna
Reload now	Ricarica ora
Replaces every setting and every class, tag and item rule with what the preset holds, and writes it to MasterLooter.ini. Nothing of the current settings is kept, so back them up first if you want them.	Sostituisce ogni impostazione e ogni regola di classe, etichetta e oggetto con quanto contenuto nel preset, e lo scrive in MasterLooter.ini. Nulla delle impostazioni attuali viene conservato, quindi fanne un backup prima se vuoi mantenerle.
Reset all tags	Reimposta tutte le etichette
resolved	risolto
Retry the same object after (ms)	Riprova lo stesso oggetto dopo (ms)
Route id	ID rotta
Rule	Regola
Save now	Salva ora
Saved as \"%s\": a preset name keeps letters, digits, spaces, dashes and underscores.	Salvato come \"%s\": il nome di un preset mantiene lettere, cifre, spazi, trattini e trattini bassi.
Say so on screen when the bag stops taking things	Segnalalo a schermo quando la borsa smette di accettare oggetti
scan %.1f ms	scansione %.1f ms
Scan radius	Raggio di scansione
Scans %ld, events sent %ld, pump ticks %ld, guarded faults %ld, node kinds learned %d	Scansioni %ld, eventi inviati %ld, tick di pompaggio %ld, errori protetti %ld, tipi di punto appresi %d
Scans per second	Scansioni al secondo
search item name or key (3+ letters)	cerca nome o chiave oggetto (3+ lettere)
Sending events	Invio eventi
Set	Imposta
Settings: %ls	Impostazioni: %ls
Show a brief notice when auto-loot is toggled	Mostra un breve avviso quando il loot automatico viene attivato o disattivato
Showing current overrides. Type to search all %d items.	Mostra le eccezioni attuali. Digita per cercare tra tutti i %d oggetti.
Showing the nearest %d of %d. The rest are further away.	Mostra i %d più vicini su %d. Gli altri sono più lontani.
Skip all	Salta tutto
Skip quest equipment	Salta l'equipaggiamento di missione
Quest equipment	Equipaggiamento di missione
Gear marked important that no shop will buy, across every class. Off leaves quest tools where they lie.	Equipaggiamento che il gioco segna come importante e che nessun negozio compra, in ogni classe. Spento: gli attrezzi di missione restano dove sono.
Tools and gear the game marks important that no shop will buy: the fertilizer and lubricant sprayers, the Kuku spears, the scout rings and necklaces. 180 items, nearly all worth a single copper, and taking one off the floor early can put a quest step out of order.\n\nIt reads the two marks together, so an item carrying only one of them is not covered. The Field Sprayer is unsellable and not marked important, and still comes in.	Attrezzi ed equipaggiamento che il gioco segna come importanti e che nessun negozio compra: gli spruzzatori di fertilizzante e lubrificante, le lance Kuku, gli anelli e le collane da esploratore. 180 oggetti, quasi tutti da un singolo rame, e raccoglierne uno da terra troppo presto può mandare fuori ordine un passaggio di missione.\n\nLegge i due contrassegni insieme, quindi un oggetto che ne porta uno solo non è coperto. Lo spruzzatore da campo è invendibile e non è segnato come importante, e continua a entrare.
Skip items shops refuse to buy	Salta gli oggetti che i negozi rifiutano di comprare
Skip quest items	Salta gli oggetti di missione
skip: %s	salta: %s
Small animals	Piccoli animali
small animals off	piccoli animali disattivati
Some world objects carry no readable item name. On: take them anyway. Off: leave them alone.\n\nThis covers loose items only. A pick-up the node table vouches for, such as a coin pile or a stack of gold bars, is taken whichever way this is set: the table naming the prefab is what identifies it, and the item inside it having no name is a separate question. Its own category switch still applies.	Alcuni oggetti del mondo non hanno un nome leggibile. Attivato: prendili comunque. Disattivato: lascia stare tutto ciò che non è identificato.\n\nQuesto riguarda solo gli oggetti sciolti. Una raccolta garantita dalla tabella dei punti, come un mucchio di monete o una pila di lingotti d'oro, viene presa comunque sia impostata questa opzione: è il fatto che la tabella nomini il prefab a identificarla, e che l'oggetto contenuto non abbia un nome è una questione a parte. Il suo interruttore di categoria si applica ancora.
someone is wearing this; taking it would copy it	qualcuno lo indossa; prenderlo ne creerebbe una copia
stack at one point (storage contents)	accatastati in un punto (contenuto di un deposito)
Status	Stato
Stop pets looting	Impedire agli animali di saccheggiare
Tables, chairs, beds, carpets, lamps, candles, paintings, pots and the rest of a furnished room, whether you pick one up off the floor or take it from its own interaction node. Most of it is worth a copper or two, but the carpets and the luxury beds run to thousands, so turn this on before furnishing a house. Chests and the other things that hold something answer to Containers instead. Off by default.	Tavoli, sedie, letti, tappeti, lampade, candele, quadri, vasi e il resto di una stanza arredata, che tu lo raccolga da terra o lo prenda dal suo punto di interazione. La maggior parte vale una moneta di rame o due, ma i tappeti e i letti di lusso arrivano a migliaia, quindi attiva questa opzione prima di arredare una casa. I forzieri e le altre cose che contengono qualcosa rispondono invece a Contenitori. Disattivato per impostazione predefinita.
Tag	Etichetta
Tags	Etichette
tags, any of which can be set to never in the Tags tab:	etichette, ognuna delle quali può essere impostata su \"mai\" nella scheda Etichette:
Take goods that belong to someone	Prendi beni che appartengono a qualcuno
Take goods that belong to someone, on / off	Prendi beni che appartengono a qualcuno, on/off
Take items the database cannot name	Prendi oggetti che il database non sa nominare
Pets and companions follow the filters	Animali e compagni seguono i filtri
Take owned goods on / off	Prendi beni altrui on/off
take this one by hand, looting it can lock the quest	prendi questo a mano, saccheggiarlo può bloccare la missione
takes effect next launch	ha effetto al prossimo avvio
The engine scans around you and takes what the rules allow. Off means nothing is taken automatically; the burst key still works.	Il motore esegue una scansione intorno a te e prende ciò che le regole permettono. Disattivato significa che nulla viene preso automaticamente; il tasto di prelievo rapido continua a funzionare.
The game fills a node's data only when it thinks you can reach it. Arming asks it to do that from a distance, which is also what lets an ore vein be harvested where it stands. Veins take several seconds to answer where a bush takes a fraction of one.	Il gioco riempie i dati di un punto solo quando ritiene che tu possa raggiungerlo. L'attivazione glielo chiede a distanza, ed è anche ciò che permette a una vena di minerale di essere estratta dove si trova. Le vene impiegano diversi secondi a rispondere, mentre un cespuglio ne impiega una frazione.
The game removes taken objects with a delay. This stops the same object being sent twice while it fades.	Il gioco rimuove gli oggetti presi con un ritardo. Questo evita che lo stesso oggetto venga inviato due volte mentre svanisce.
The game treats this as stealing and will put a bounty on you.	Il gioco considera questo un furto e ti metterà una taglia addosso.
The mod never swings a pickaxe. It drives the vein's own break sequence, and the game walks one drop row for that where a real swing walks two, so your mining tool's bonus pays nothing when the mod does the mining. This adds the missing ore back through the same drop path the game uses, so it is real ore spilled on the ground, not an item copied into your bag. Set it to what your tool pays by hand minus one: a drill that gives three by hand wants 2 here. It only applies to a vein this mod broke, so mining by hand is untouched and the two cannot stack.	Il mod non impugna mai un piccone. Aziona la sequenza di rottura propria della vena, e per questo il gioco percorre una sola riga di drop, mentre un colpo vero ne percorre due, quindi il bonus del tuo attrezzo da miniera non paga nulla quando è il mod a minare. Questa opzione aggiunge indietro il minerale mancante attraverso lo stesso percorso di drop che usa il gioco, quindi è minerale vero versato a terra, non un oggetto copiato nella tua borsa. Impostala su quanto il tuo attrezzo rende a mano meno uno: un trapano che dà tre a mano vuole 2 qui. Si applica solo a una vena spaccata da questo mod, quindi minare a mano resta intatto e i due non si possono sommare.
This session: %ld picked up, %ld gathered, %ld caught, %ld carcasses	In questa sessione: %ld raccolti, %ld ottenuti, %ld catturati, %ld carcasse
Timber and branches on the ground, and the nodes that yield them. What most of these hold is read out of the game data itself, so refusing the class wood on the Classes tab leaves the trees standing as well as the timber under them. Where the game says nothing about a node, this switch is the only control it has.	Legname e rami a terra, e i punti che li danno. Quello che la maggior parte di essi contiene viene letto dai dati del gioco stessi, quindi rifiutare la classe wood nella scheda Classi lascia in piedi gli alberi e anche il legname sotto di loro. Dove il gioco non dice nulla di un punto, questo interruttore è l'unico controllo che ha.
To leave one species alone, set what it becomes to never on the Items tab: Item_Tench, Item_Ricefish, Item_Iguana. The mod reads the creature's own row in the game's character table, so it knows which species it is looking at before it catches anything. A few unusual creatures still fall back to guessing from their model name and are caught by category only.	Per lasciare in pace una specie, imposta su \"mai\" ciò in cui si trasforma nella scheda Oggetti: Item_Tench, Item_Ricefish, Item_Iguana. Il mod legge la riga propria della creatura nella tabella dei personaggi del gioco, quindi sa quale specie sta osservando prima di catturare qualcosa. Alcune creature insolite ricadono ancora sull'indovinare dal nome del modello e vengono catturate solo per categoria.
Treasure and keepsakes	Tesori e ricordi
Two buttons at once, never one: every single button already does something in this game. The mod only reads the pad, so the game still sees both buttons. Pick a pair that does nothing together, like the two shoulder buttons, or Back and a face button.	Due pulsanti insieme, mai uno solo: ogni singolo pulsante fa già qualcosa in questo gioco. Il mod si limita a leggere il pad, quindi il gioco vede comunque entrambi i pulsanti. Scegli una coppia che insieme non fa nulla, come i due dorsali, oppure Back e un pulsante frontale.
