# Texto do menu do Master Looter em Português do Brasil (pt-BR). Tradução e
# revisão por Kyo-70.
#
# As linhas acrescentadas depois da tradução inicial também foram revisadas
# e harmonizadas com a terminologia brasileira do jogo.
# Correções são bem-vindas no GitHub
# (github.com/shin2344234/master-looter) ou na página do mod no Nexus.
#
# Uma linha por texto: o original em inglês, uma tabulação e a tradução.
# Linhas iniciadas por # são ignoradas, \n representa uma quebra de linha e
# uma linha sem tradução após a tabulação continua sendo exibida em inglês.
# Todo %d, %s, %.1f e demais marcadores deve permanecer na mesma ordem, pois
# seus valores são inseridos durante a execução. Linhas que alteram esses
# marcadores são ignoradas ao carregar para evitar valores incorretos.
#
# Esta cópia é incorporada ao plugin. Para alterá-la sem recompilar, coloque
# um arquivo com este nome ao lado de MasterLooter.asi.

  bag full	  bolsa cheia
A pet loots whatever it likes and the game has no switch for it. On: anything a pet, a mercenary or a companion picks up that your item rules, tags, classes or value floor would have refused is deleted from the inventory as it lands, and a notice says what went. Quest and protected items are never deleted, and nothing already in your bag is touched.\n\nWorth knowing before you turn this on: the game raises a companion's pick-up of a loose item as if you had picked it up yourself, and there is no way to tell the two apart. So while one is out and active, something you pick up by hand that your own rules refuse is deleted along with theirs. With nobody out, nothing you pick up is ever touched. If you would rather keep everything and sort it yourself, leave this off.	Um mascote saqueia o que quiser, e o jogo não oferece uma opção para impedir isso. Quando ativada, esta opção remove do inventário, assim que são recebidos, todos os itens coletados por um mascote, mercenário ou companheiro que seriam recusados pelas suas regras de item, etiquetas, classes ou valor mínimo; um aviso informa o que foi removido. Itens de missão e itens protegidos nunca são removidos, e nada que já estava na sua bolsa é afetado.\n\nAntes de ativar, saiba que o jogo registra a coleta de um item solto por um companheiro como se você mesmo o tivesse coletado, sem permitir distinguir os dois casos. Portanto, enquanto um companheiro estiver ativo, um item que você coletar manualmente e que seria recusado pelas suas próprias regras também será removido junto com os itens dele. Sem nenhum companheiro ativo, suas coletas nunca são afetadas. Se preferir guardar tudo e organizar depois, deixe esta opção desativada.
A well bucket and the like are never looted, but arming one makes the game offer its interaction so you can use it by hand.	Baldes de poço e objetos semelhantes nunca são saqueados, mas ativá-los faz o jogo oferecer a interação para que você possa usá-los manualmente.
Abyss and Kuku	Abismo e Kuku
Abyss gear, Kuku pots and their parts.	Equipamentos do Abismo, potes Kuku e suas peças.
Accessories	Acessórios
allowed	permitido
already in your bag	já está na sua bolsa
always	sempre
always beats the class rule; never beats always	“sempre” supera a regra da classe; “nunca” supera “sempre”
Ammunition	Munição
Anything tagged quest, across every class. Off keeps story pickups and puzzle pieces for your own hands.	Qualquer item marcado como missão, em todas as classes. Desativar mantém itens da história e peças de quebra-cabeça para você pegar manualmente.
Arm mechanism containers too	Ativar também recipientes de mecanismos
Arm nodes ourselves	Ativar os pontos automaticamente
Arming ignores walls. Keep it short or you will gather through the wall of the next room. Ore is the exception and is always reached for at up to 25 m, because a vein takes seconds to answer and asking only once you are on top of it means it opens too late to be any use.	A ativação ignora paredes. Use um alcance curto ou você coletará através da parede do cômodo vizinho. Minério é a exceção e sempre é alcançado a até 25 m, pois um veio leva alguns segundos para responder e só tentar quando você já está sobre ele faz com que se abra tarde demais para ser útil.
Arming range	Alcance de ativação
Auto-loot enabled	Saque automático ativado
Auto-loot on / off	Ativar/desativar saque automático
Backups	Cópias de segurança
blank for English	deixe em branco para inglês
Bodies	Corpos
bodies off	corpos desativados
Books and papers	Livros e papéis
Boss rewards, artifacts, memory items, coin pouches and reward chests.	Recompensas de chefes, artefatos, itens de memória, bolsas de moedas e baús de recompensa.
Break veins open rather than emptying them	Quebrar os veios em vez de esvaziá-los
Breaking drives the game's own state machine at the vein, the swing landing and then the break, so the node spills its contents on the ground and disappears exactly as it does under a pickaxe. Emptying instead lifts the ore straight out and skips the drop entirely. Neither route pays your tool's Mining Yield Up, which the game only grants to a swing it counts as yours, so set the extra below to make up the difference. Each vein is struck once and then left alone until the game respawns it.	A quebra aciona a máquina de estados do próprio jogo no veio: primeiro o golpe acerta e depois ocorre a ruptura, fazendo o ponto derramar seu conteúdo no chão e desaparecer exatamente como sob uma picareta. Esvaziá-lo, por outro lado, retira o minério diretamente e ignora completamente o item derrubado. Nenhuma das opções aplica o efeito Aumento do Rendimento da Produção de Mineração da sua ferramenta, que o jogo só concede a um golpe reconhecido como seu; portanto, defina o adicional abaixo para compensar a diferença. Cada veio é atingido uma vez e então deixado em paz até reaparecer.
Butterflies, beetles, dragonflies, bees, spiders, scorpions, snails and the other small things the game files as insects. Species come from the creature table; a creature the table cannot name is only caught when every category it could belong to is on (a flyer could be a fish, an insect or a bird).	Borboletas, besouros, libélulas, abelhas, aranhas, escorpiões, caracóis e outros seres pequenos que o jogo classifica como insetos. As espécies vêm da tabela de criaturas; uma criatura que a tabela não consegue nomear só é capturada quando todas as categorias às quais ela poderia pertencer estão ativadas (algo voador pode ser peixe, inseto ou ave).
captured	capturado
Carcasses	Carcaças
Carcasses and bodies	Carcaças e corpos
carcasses off	carcaças desativadas
Catching	Captura
Caught creatures, live or lying around; a creature the table can name follows its class rule. Crabs, shrimp and squid are seafood under Food and drink.	Criaturas capturáveis, vivas ou caídas pelo cenário; uma criatura que a tabela consegue nomear segue a regra de sua classe. Caranguejos, camarões e lulas são frutos do mar em Alimentos e bebidas.
Class	Classe
class %s	classe %s
Classes	Classes
Clear	Limpar
Clear overrides	Limpar substituições
Clears what this session worked out from your bag. Nodes named by the prefab table are unaffected.	Limpa o que esta sessão identificou a partir da sua bolsa. Pontos nomeados pela tabela de prefabs não são afetados.
Close	Fechar
container (off)	recipiente (desativado)
Containers	Recipientes
containers off	recipientes desativados
Controller	Controle
Copper	Cobre
Copy	Copiar
Copy path	Copiar caminho
Copy to the clipboard.	Copiar para a área de transferência.
corpse	cadáver
corpse already searched	cadáver já revistado
corpse: loot drops separately	cadáver: o saque cai separadamente
creature	criatura
Creatures	Criaturas
Crops	Cultivos
crops off	cultivos desativados
Damaged gear	Equipamentos danificados
Dead zone around you	Zona morta ao seu redor
Decision	Decisão
default	padrão
DirectX 12 hooks	Hooks do DirectX 12
does not respond	não responde
Draw water from wells	Tirar água de poços
Engine	Mecanismo
English	Inglês
English. %d line(s) seen this session.	Inglês. %d linha(s) vista(s) nesta sessão.
entity	entidade
entity %08X	entidade %08X
entity %08X, %d items across every store	entidade %08X, %d itens em todos os armazenamentos
entity %08X, bag %d of %d slots, %d items across every store	entidade %08X, bolsa com %d de %d espaços, %d itens em todos os armazenamentos
Event descriptors	Descritores de eventos
Every rock: ore and stone chunks on the ground, veins, boulders, rubble piles and quarry stone. A vein is broken where it stands and its contents picked up off the floor, which is what your pickaxe does and what makes a better pickaxe worth carrying: the tool's Mining Yield Up applies to the drop, not to the node. Each vein is struck once and left alone until the game brings it back. Reaching for veins starts as far out as the scan can see, because they take seconds to answer where a bush takes a fraction of one.\n\nStone used to have a switch of its own and the split never held: the game files most quarry stone under mining, so turning Stone off left it arriving anyway. To keep the ore and leave the stone, refuse the class stone on the Classes tab. That covers Stone, Fine Stone, Flawless Stone and Stalactite, and every rock the game says holds nothing else is then left standing, the mine rocks and the stalactites included. A vein that also holds ore or a jewel is still broken, since refusing the stone is not refusing what sits beside it. Where the game describes a node not at all, it takes ore, jewels and stone all being refused before that one is passed over.	Todas as rochas: fragmentos de minério e pedra no chão, veios, pedregulhos, montes de entulho e pedras de pedreira. Um veio é quebrado onde está, e seu conteúdo é coletado do chão, exatamente como acontece com a picareta. É isso que faz valer a pena carregar uma ferramenta melhor: o efeito Aumento do Rendimento da Produção de Mineração se aplica aos itens derrubados, não ao ponto de coleta. Cada veio é atingido uma única vez e ignorado até reaparecer. A tentativa de alcançar veios começa no limite da varredura, porque eles levam segundos para responder, enquanto um arbusto responde em uma fração desse tempo.\n\nA categoria Pedra já teve uma opção própria, mas essa separação não funcionava: o jogo classifica a maior parte das pedras de pedreira como mineração, então elas continuavam sendo coletadas mesmo com Pedra desativada. Para coletar minério e deixar as pedras, recuse a classe stone na aba Classes. Isso abrange Pedra, Pedra Fina, Pedra Perfeita e Estalactite; qualquer rocha que, segundo o jogo, não contenha mais nada será deixada intacta, incluindo rochas de minas e estalactites. Um veio que também contenha minério ou uma gema ainda será quebrado, pois recusar a pedra não significa recusar os demais itens. Quando o jogo não descreve o conteúdo de um ponto, ele só será ignorado se minério, gemas e pedra estiverem todos recusados.
Extra ore per vein	Minério extra por veio
failed	falhou
fast-travel artifact	artefato de viagem rápida
filter classes	filtrar classes
filter tags	filtrar etiquetas
Filters	Filtros
Fish	Peixes
fish off	peixes desativados
Fish, and whatever else you catch in the water: crabs, shrimp, squid, starfish and seahorses.	Peixes e tudo mais que você captura na água: caranguejos, camarões, lulas, estrelas-do-mar e cavalos-marinhos.
Food and drink	Alimentos e bebidas
Forget	Esquecer
found	encontrado
Furniture	Mobília
Furniture and decor	Mobília e decoração
furniture node (off)	ponto de mobília (desativado)
furniture off	mobília desativada
Game functions	Funções do jogo
Game functions did not resolve; see Status.	As funções do jogo não foram resolvidas; consulte Status.
Game-thread pump	Processamento na thread do jogo
gather node	ponto de coleta
Gathering	Coleta
Gear marked important that no shop will buy, across every class. Off leaves quest tools where they lie.	Equipamentos marcados como importantes que nenhuma loja compra, em todas as classes. Desativado: as ferramentas de missão permanecem onde estão.
General	Geral
Ground items	Itens no chão
Groups	Grupos
Herb, flower and mushroom nodes, and the same lying on the ground, seeds included. Food crops have their own switch. To keep the herbs and leave the seeds, or the other way round, refuse the class on the Classes tab: herb and seed are separate there. That sorts what is lying on the ground item by item, and it reaches the node as well wherever the game says what the node holds: refuse herb and a herb patch is left alone. Plant nodes are a mixed lot, paying grain and crafting materials too, and for the ones the game does not describe this switch is the only control.	Pontos de ervas, flores e cogumelos, além desses mesmos itens soltos no chão, incluindo sementes. Cultivos alimentícios têm uma opção própria. Para coletar ervas e deixar sementes, ou o contrário, recuse a classe correspondente na aba Classes: herb e seed aparecem separadamente. Isso filtra individualmente os itens no chão e também afeta os pontos sempre que o jogo informa o conteúdo deles: ao recusar herb, por exemplo, um canteiro de ervas é deixado intacto. Pontos de plantas podem fornecer uma mistura de cereais e materiais de fabricação; quando o jogo não descreve o conteúdo de um ponto, esta opção é o único controle disponível.
hold two buttons (Escape cancels)	segure dois botões (Escape cancela)
Household clutter and collectibles, most of it worthless.	Tralhas domésticas e itens colecionáveis, quase todos sem valor.
How full the bag is is read from the bag itself, so the notice appears the moment it fills, whether or not you are looting. If those numbers ever stop making sense the mod falls back to watching what happens after a pick-up: three in a row that reach nothing raise the notice, and one landing clears it.	O nível de ocupação é lido diretamente da bolsa, então o aviso aparece no instante em que ela enche, esteja você saqueando ou não. Se esses números deixarem de fazer sentido, o mod passa a observar o que acontece após cada coleta: três tentativas seguidas que não entregam nada exibem o aviso, e um item recebido o remove.
How often the scene is read. The scan runs on its own thread; only the final take costs the game a fraction of a millisecond.	Define com que frequência a cena é lida. A varredura é executada em sua própria thread; somente a coleta final custa ao jogo uma fração de milissegundo.
incomplete	incompleto
Insects	Insetos
insects off	insetos desativados
installed	instalado
Item	Item
Item database	Banco de dados de itens
Item table	Tabela de itens
Items	Itens
Items lying in the world, including drops from enemies.	Itens espalhados pelo mundo, incluindo os derrubados por inimigos.
Items no shop will buy, across every class.	Itens que nenhuma loja compra, em todas as classes.
Items on the ground	Itens no chão
Items tagged quest are left alone, so puzzles and story pickups are not auto-taken. It reads the item's own tags, so it covers anything you pick up and every node whose contents the mod can name. Two things fall outside it. A node it cannot name is decided by the switch for its kind, because there is no item there to read a tag from. And skinning a carcass pays out without the mod ever seeing what arrived.	Itens com a etiqueta de missão são deixados intactos, impedindo que objetos de quebra-cabeça e da história sejam coletados automaticamente. A opção lê as etiquetas do próprio item, portanto abrange tudo o que você coleta e todos os pontos cujo conteúdo o mod consegue identificar. Há duas exceções: um ponto que o mod não consegue identificar é controlado pela opção da sua categoria, pois não há um item do qual ler a etiqueta; e, ao esfolar uma carcaça, os itens são entregues sem que o mod consiga ver o que foi recebido.
Items with an unknown value are never filtered by it.	Itens com valor desconhecido nunca são filtrados por valor.
Keep the menu on screen while you play. %s brings it back, %s closes it.	Mantenha o menu na tela enquanto joga. %s o traz de volta, %s o fecha.
Keys	Teclas
Keys and tools	Chaves e ferramentas
Language	Idioma
Language \"%s\": %d line(s) translated, %d seen this session.	Idioma \"%s\": %d linha(s) traduzida(s), %d vista(s) nesta sessão.
learned from the game	aprendido com o jogo
Load	Carregar
loaded	carregado
locked	bloqueado
Log	Registro
Log: %ls	Registro: %ls
Loot	Saque
Loot all	Saquear tudo
Loot engine	Mecanismo de saque
Loot engine not started.	O mecanismo de saque não foi iniciado.
Loot everything in range now	Saquear tudo ao alcance agora
Loot everything in range once	Saquear tudo ao alcance uma vez
loot: %s	saquear: %s
Looting	Saque
MASTER LOOTER	MASTER LOOTER
Master Looter v%s for game build %s	Master Looter v%s para a versão %s do jogo
Materials	Materiais
mechanism part	peça de mecanismo
Memory chips and puzzle parts	Chips de memória e peças de quebra-cabeça
Mine ore veins for you	Minerar veios para você
Minimum value (copper)	Valor mínimo (cobre)
missing	ausente
missing MasterLooter.items.tsv	MasterLooter.items.tsv ausente
mission object	objeto de missão
Mounts and vehicles	Montarias e veículos
name a new preset	nomeie uma nova predefinição
Nearby	Por perto
never	nunca
no	não
no interaction node	sem ponto de interação
Nodes the prefab table does not name and that have not yielded anything yet this session. Off (the default) leaves them alone. On makes the mod gather them to find out, which means a plant can be taken while Plants is off.	Pontos que a tabela de prefabs não nomeia e que ainda não produziram nada nesta sessão. Quando desativada (o padrão), a opção os deixa em paz. Quando ativada, faz o mod coletá-los para descobrir o que são, o que significa que uma planta pode ser coletada mesmo com a opção Plantas desativada.
none	nenhum
not found yet	ainda não encontrado
not in item database	não está no banco de dados de itens
not ready (node empty)	ainda não está pronto (ponto vazio)
not resolved yet	ainda não resolvido
not started	não iniciado
not yet	ainda não
Nothing else is drawn while the menu is closed.	Nada mais é desenhado enquanto o menu está fechado.
nothing taken yet this session	nenhum item coletado nesta sessão
Object	Objeto
object	objeto
Objects are listed nearest first, with the rule that decided each one. Empty nodes read as not ready until the game or arming fills them. What you are wearing and carrying is left out.	Os objetos são listados do mais próximo ao mais distante, com a regra que decidiu cada caso. Pontos vazios aparecem como não prontos até que o jogo ou a ativação os preencha. O que você veste e carrega fica de fora.
Objects closer than this are treated as your own equipment. A safety net; your gear is also recognised by other means.	Objetos mais próximos que isso são tratados como seu próprio equipamento. É uma proteção adicional; seu equipamento também é reconhecido de outras formas.
Objects per burst press	Objetos por acionamento rápido
Objects per scan	Objetos por varredura
on the player	no jogador
On, a vein is harvested where it stands and you never swing a pickaxe. Off, veins are left alone and only the chunks you knock loose are picked up. Needs arming, since asking the vein to open is the whole trick.	Ativado, um veio é extraído onde está e você nunca balança uma picareta. Desativado, os veios são deixados em paz e somente os fragmentos que você desprender serão recolhidos. Requer ativação, pois pedir ao veio que se abra é o que torna isso possível.
On, the overlay draws under DLSS frame generation, which needs this mod to hand the game a wrapped swapchain.\n\nOff, the overlay draws through the present hook instead. Everything looks the same unless frame generation is on, and the mod stays off a path other overlay mods patch as well. Try this if the game will not start alongside another overlay mod; it can be set as WrapSwapChain in MasterLooter.ini without launching the game.	Ativado, a sobreposição é desenhada sob a geração de quadros do DLSS, o que exige que este mod entregue ao jogo um swapchain encapsulado.\n\nDesativado, a sobreposição é desenhada pelo hook de apresentação. Tudo fica igual, exceto quando a geração de quadros está ativa, e o mod evita um caminho que outros mods de sobreposição também modificam. Tente isso se o jogo não iniciar junto com outro mod de sobreposição; a opção pode ser definida como WrapSwapChain no MasterLooter.ini sem abrir o jogo.
One backup is written each time the game starts and the last twelve are kept, in MasterLooter.backups next to the plugin. Presets sit in MasterLooter.presets. Copy either folder to keep it across a reinstall.	Uma cópia de segurança é criada sempre que o jogo inicia, e as doze mais recentes são mantidas em MasterLooter.backups, ao lado do plugin. As predefinições ficam em MasterLooter.presets. Copie qualquer uma das pastas para preservá-la durante uma reinstalação.
One click per family. The table below still sets single classes; a group shows a dash when only some of it is on.	Um clique por família. A tabela abaixo ainda configura classes individuais; um grupo exibe um traço quando apenas parte dele está ativada.
Open and close this menu	Abrir e fechar este menu
Open folder	Abrir pasta
Opens the folder in Explorer. The log is rewritten every launch and is what to attach to a report.	Abre a pasta no Explorador de Arquivos. O registro é regravado a cada inicialização e deve ser anexado a um relatório de problema.
Ore and stone	Minério e pedra
ore off	minério desativado
Ore, gems, stone, timber, hides, herbs, trade goods and other crafting input.	Minérios, gemas, pedras, madeira, couros, ervas, itens de troca e outros materiais de fabricação.
out of range	fora do alcance
Overlay	Sobreposição
Override	Substituição
owned by someone (theft)	pertence a alguém (roubo)
Ownership	Propriedade
Ownership oracle	Verificador de propriedade
Pace	Ritmo
part of a creature or a mechanism	parte de uma criatura ou de um mecanismo
part of a mechanism, not loose loot	parte de um mecanismo, não é um item solto para saque
paused: %s	pausado: %s
Pets and companions follow the filters	Mascotes e companheiros seguem os filtros
pick up off	recolhimento desativado
Plants	Plantas
plants off	plantas desativadas
Player	Jogador
Player equipment.	Equipamento do jogador.
Player not found in the scene yet.	O jogador ainda não foi encontrado na cena.
Presets	Predefinições
press a key (Escape cancels)	pressione uma tecla (Escape cancela)
Protected by default: a memory chip starts a memory scene when taken, and a puzzle part breaks its puzzle. Turn on only if you want them auto-taken.	Protegidos por padrão: pegar um chip de memória inicia uma cena de memória, e retirar uma peça de quebra-cabeça danifica o quebra-cabeça. Ative somente se quiser coletá-los automaticamente.
protected item name	nome de item protegido
Puts every setting and rule back to what it was at that moment.	Restaura todas as configurações e regras para o estado em que estavam naquele momento.
puzzle or protected mechanism	quebra-cabeça ou mecanismo protegido
Quest equipment	Equipamentos de missão
Quest items	Itens de missão
quest or memory trigger	gatilho de missão ou memória
Ranges (metres)	Alcances (metros)
Rats, squirrels, birds, lizards, frogs and salamanders: anything else the game puts in the bag whole.	Ratos, esquilos, aves, lagartos, sapos e salamandras: tudo o mais que o jogo coloca inteiro na bolsa.
Reaching nodes	Alcance dos pontos
Read from the file beside the plugin, not the copy inside it.	Lido do arquivo ao lado do plugin, não da cópia incorporada.
Rebind	Reatribuir
Recent loot	Saques recentes
Refresh	Atualizar
Reload now	Recarregar agora
Replaces every setting and every class, tag and item rule with what the preset holds, and writes it to MasterLooter.ini. Nothing of the current settings is kept, so back them up first if you want them.	Substitui todas as configurações e todas as regras de classe, etiqueta e item pelo conteúdo da predefinição, gravando tudo em MasterLooter.ini. Nada das configurações atuais é mantido; portanto, faça uma cópia de segurança antes se quiser preservá-las.
Reset all tags	Redefinir todas as etiquetas
resolved	resolvido
Retry the same object after (ms)	Repetir o mesmo objeto após (ms)
Route id	ID da rota
Rule	Regra
Save now	Salvar agora
Saved as \"%s\": a preset name keeps letters, digits, spaces, dashes and underscores.	Salvo como \"%s\": o nome de uma predefinição mantém letras, números, espaços, hífens e sublinhados.
Say so on screen when the bag stops taking things	Avisar na tela quando a bolsa parar de aceitar itens
scan %.1f ms	varredura de %.1f ms
Scan radius	Raio de varredura
Scans %ld, events sent %ld, pump ticks %ld, guarded faults %ld, node kinds learned %d	Varreduras: %ld; eventos enviados: %ld; ciclos de processamento: %ld; falhas protegidas: %ld; tipos de ponto identificados: %d
Scans per second	Varreduras por segundo
search item name or key (3+ letters)	pesquisar nome ou chave do item (3+ letras)
Searching the people you kill, once per body. Animals go under Carcasses. What a search pays out is not checked against your filters, so this switch is all or nothing too.	Revista cada pessoa abatida uma única vez. Animais ficam na categoria Carcaças. Os itens obtidos ao revistar não são verificados pelos filtros, portanto esta opção também é tudo ou nada.
Sending events	Enviando eventos
Set	Definir
Settings: %ls	Configurações: %ls
Show a brief notice when auto-loot is toggled	Mostrar um aviso breve ao alternar o saque automático
Showing current overrides. Type to search all %d items.	Exibindo as substituições atuais. Digite para pesquisar todos os %d itens.
Showing the nearest %d of %d. The rest are further away.	Exibindo os %d mais próximos de %d. Os demais estão mais distantes.
Skinning the animals you kill, once per carcass. People go under Bodies. What skinning pays out is not checked against your filters. The mod never sees it before it lands, so this switch is all or nothing.	Esfola cada animal abatido uma única vez. Pessoas ficam na categoria Corpos. Os itens obtidos pelo esfolamento não são verificados pelos filtros. O mod não consegue vê-los antes que sejam recebidos, portanto esta opção é tudo ou nada.
Skip all	Ignorar tudo
Skip items shops refuse to buy	Ignorar itens que as lojas se recusam a comprar
Skip quest equipment	Ignorar equipamentos de missão
Skip quest items	Ignorar itens de missão
skip: %s	ignorar: %s
Small animals	Animais pequenos
small animals off	animais pequenos desativados
Some world objects carry no readable item name. On: take them anyway. Off: leave them alone.\n\nThis covers loose items only. A pick-up the node table vouches for, such as a coin pile or a stack of gold bars, is taken whichever way this is set: the table naming the prefab is what identifies it, and the item inside it having no name is a separate question. Its own category switch still applies.	Alguns objetos do mundo não possuem um nome de item legível. Ativado: colete-os mesmo assim. Desativado: deixe-os onde estão.\n\nIsto se aplica apenas a itens soltos. Um objeto coletável confirmado pela tabela de pontos, como um monte de moedas ou uma pilha de barras de ouro, será recolhido independentemente desta opção: ele é identificado pelo prefab registrado na tabela; o fato de o item contido não ter nome é uma questão separada. A opção da categoria correspondente continua sendo respeitada.
someone is wearing this; taking it would copy it	alguém está usando este item; pegá-lo criaria uma cópia
stack at one point (storage contents)	pilha em um ponto (conteúdo armazenado)
Status	Status
Stop pets looting	Impedir que mascotes saqueiem
Stop pets looting at all	Impedir completamente que mascotes saqueiem
Tables, chairs, beds, carpets, lamps, candles, paintings, pots and the rest of a furnished room, whether you pick one up off the floor or take it from its own interaction node. Most of it is worth a copper or two, but the carpets and the luxury beds run to thousands, so turn this on before furnishing a house. Chests and the other things that hold something answer to Containers instead. Off by default.	Mesas, cadeiras, camas, tapetes, luminárias, velas, quadros, vasos e tudo mais em um cômodo mobiliado, seja recolhido do chão ou retirado de seu próprio ponto de interação. A maioria vale uma ou duas moedas de cobre, mas tapetes e camas luxuosas chegam aos milhares; portanto, ative isto antes de mobiliar uma casa. Baús e outros objetos que guardam algo são controlados por Recipientes. Desativado por padrão.
Tag	Etiqueta
Tags	Etiquetas
tags, any of which can be set to never in the Tags tab:	etiquetas, cada uma podendo ser definida como “nunca” na aba Etiquetas:
Take goods that belong to someone	Pegar bens que pertencem a alguém
Take goods that belong to someone, on / off	Ativar/desativar coleta de bens que pertencem a alguém
Take items the database cannot name	Pegar itens que o banco de dados não consegue nomear
Take owned goods on / off	Ativar/desativar coleta de bens alheios
take this one by hand, looting it can lock the quest	pegue este item manualmente; saqueá-lo pode travar a missão
takes effect next launch	entra em vigor na próxima inicialização
The engine scans around you and takes what the rules allow. Off means nothing is taken automatically; the burst key still works.	O mecanismo examina a área ao seu redor e pega o que as regras permitem. Desativado significa que nada é coletado automaticamente; a tecla de saque imediato continua funcionando.
The game asks two questions before a pet loots, one for a loose item on the ground and one for a body, and this answers both with no. A pet reaches for nothing, so nothing of yours is ever deleted afterwards and your own pick-ups are never in question. The cleaner of the two answers if you simply do not want a pet looting. Whether it reaches a mercenary has not been tested. The game carries one looting rule of this kind and both of its questions are answered no, so it may; Pets and companions follow the filters is the switch that certainly does.	Antes de um mascote saquear, o jogo faz duas verificações: uma para itens soltos no chão e outra para corpos. Esta opção responde “não” a ambas. Assim, o mascote não tenta saquear nada, nenhum item seu precisa ser removido depois e suas coletas manuais nunca são afetadas. É a opção mais direta se você simplesmente não quiser que o mascote saqueie.\n\nAinda não foi testado se ela também afeta mercenários. O jogo utiliza uma única regra de saque desse tipo e ambas as verificações recebem “não”, então isso é possível. Já a opção Mascotes e companheiros seguem os filtros certamente afeta mercenários.
The game fills a node's data only when it thinks you can reach it. Arming asks it to do that from a distance, which is also what lets an ore vein be harvested where it stands. Veins take several seconds to answer where a bush takes a fraction of one.	O jogo preenche os dados de um ponto somente quando considera que você pode alcançá-lo. A ativação pede que isso seja feito à distância, o que também permite extrair um veio de minério onde ele está. Veios levam vários segundos para responder, enquanto um arbusto leva apenas uma fração disso.
The game removes taken objects with a delay. This stops the same object being sent twice while it fades.	O jogo remove objetos coletados com um pequeno atraso. Isso impede que o mesmo objeto seja enviado duas vezes enquanto desaparece.
The game treats this as stealing and will put a bounty on you.	O jogo considera isso roubo e colocará uma recompensa pela sua captura.
The mod never swings a pickaxe. It drives the vein's own break sequence, and the game walks one drop row for that where a real swing walks two, so your mining tool's bonus pays nothing when the mod does the mining. This adds the missing ore back through the same drop path the game uses, so it is real ore spilled on the ground, not an item copied into your bag. Set it to what your tool pays by hand minus one: a drill that gives three by hand wants 2 here. It only applies to a vein this mod broke, so mining by hand is untouched and the two cannot stack.	O mod nunca golpeia com a picareta. Ele aciona a sequência de quebra do próprio veio, e o jogo percorre uma linha de itens derrubados nesse caso, enquanto um golpe real percorre duas. Por isso, o efeito Aumento do Rendimento da Produção de Mineração da sua ferramenta não concede nada quando o mod minera. Esta opção repõe o minério ausente pelo mesmo caminho de itens derrubados usado pelo jogo, portanto é minério real espalhado no chão, não um item copiado para a sua bolsa. Defina-a como o rendimento manual da ferramenta menos um: se uma broca rende três ao minerar manualmente, use 2 aqui. Ela só se aplica aos veios quebrados por este mod, portanto não afeta a mineração manual nem permite acumular os dois efeitos.
This session: %ld picked up, %ld gathered, %ld caught, %ld carcasses	Nesta sessão: %ld recolhidos, %ld coletados, %ld capturados, %ld carcaças
