# Master Looter-menuteksten på dansk (da). Maskinoversat. Ingen indfødt
# dansktalende har gennemgået oversættelsen endnu. Rettelser modtages gerne på
# GitHub (github.com/shin2344234/master-looter) eller på moddets Nexus-side.
#
# Én linje pr. tekst: den engelske original, et tabulatortegn og
# oversættelsen. Linjer, der starter med #, ignoreres. \n betyder et
# linjeskift. En linje uden oversættelse efter tabulatoren vises fortsat
# på engelsk, så en delvist færdig fil sagtens kan bruges.
# Hold hvert %d, %s, %.1f og lignende pladsholder præcis som det står og
# i samme rækkefølge: de udfyldes med tal og navne, når spillet kører, og
# en linje, der ændrer dem, ignoreres i stedet for at blive brugt forkert.
#
# Gem filen som MasterLooter.da.txt ved siden af MasterLooter.asi; den
# tilsidesætter den indbyggede kopi i pluginet.

  bag full	  tasken er fuld
Every rock: ore and stone chunks on the ground, veins, boulders, rubble piles and quarry stone. A vein is broken where it stands and its contents picked up off the floor, which is what your pickaxe does and what makes a better pickaxe worth carrying: the tool's Mining Yield Up applies to the drop, not to the node. Each vein is struck once and left alone until the game brings it back. Reaching for veins starts as far out as the scan can see, because they take seconds to answer where a bush takes a fraction of one.\n\nStone used to have a switch of its own and the split never held: the game files most quarry stone under mining, so turning Stone off left it arriving anyway. To keep the ore and leave the stone, refuse the class stone on the Classes tab. That covers Stone, Fine Stone, Flawless Stone and Stalactite, and every rock the game says holds nothing else is then left standing, the mine rocks and the stalactites included. A vein that also holds ore or a jewel is still broken, since refusing the stone is not refusing what sits beside it. Where the game describes a node not at all, it takes ore, jewels and stone all being refused before that one is passed over.	Enhver sten: malm- og stenstykker på jorden, årer, klippeblokke, grusbunker og brudsten. En åre brydes, hvor den står, og indholdet samles op fra gulvet, hvilket er præcis, hvad din hakke gør, og hvad der gør en bedre hakke værd at bære: værktøjets bonus til mineudbytte gælder det, der falder, ikke punktet. Hver åre rammes én gang og lades derefter i fred, indtil spillet bringer den tilbage. Rækken efter årer begynder så langt ude, som scanningen kan se, for de er sekunder om at svare, hvor en busk er et brøkdel af et sekund om det.\n\nSten havde engang sin egen kontakt, og opdelingen holdt aldrig: spillet fører det meste brudsten under minedrift, så at slå Sten fra lod den komme ind alligevel. For at beholde malmen og lade stenen ligge skal du afvise klassen stone under fanen Klasser. Det dækker Sten, Fin sten, Fejlfri sten og Drypsten, og enhver klippe, som spillet siger ikke indeholder andet, bliver da stående, minestenene og drypstenene medregnet. En åre, der også indeholder malm eller en ædelsten, brydes stadig, for at afvise stenen er ikke at afvise det, der ligger ved siden af. Hvor spillet slet ikke beskriver et punkt, kræver det, at malm, ædelsten og sten alle er afvist, før netop det springes over.
Extra ore per vein	Ekstra malm pr. åre
failed	mislykkedes
fast-travel artifact	hurtigrejseartefakt
filter classes	filtrér klasser
filter tags	filtrér mærker
Filters	Filtre
Fish	Fisk
fish off	fisk fra
Fish, and whatever else you catch in the water: crabs, shrimp, squid, starfish and seahorses.	Fisk, og hvad du ellers fanger i vandet: krabber, rejer, blæksprutter, søstjerner og søheste.
Food and drink	Mad og drikke
Forget	Glem
found	fundet
Furniture	Møbler
Furniture and decor	Møbler og pynt
furniture node (off)	møbelpunkt (fra)
furniture off	møbler fra
Game functions	Spilfunktioner
Game functions did not resolve; see Status.	Spilfunktioner blev ikke løst; se Status.
Game-thread pump	Spiltrådpumpe
gather node	indsamlingspunkt
Gathering	Indsamling
General	Generelt
Ground items	Genstande på jorden
Groups	Grupper
Herb, flower and mushroom nodes, and the same lying on the ground, seeds included. Food crops have their own switch. To keep the herbs and leave the seeds, or the other way round, refuse the class on the Classes tab: herb and seed are separate there. That sorts what is lying on the ground item by item, and it reaches the node as well wherever the game says what the node holds: refuse herb and a herb patch is left alone. Plant nodes are a mixed lot, paying grain and crafting materials too, and for the ones the game does not describe this switch is the only control.	Urte-, blomster- og svampepunkter, og de samme liggende på jorden, frø medregnet. Madafgrøder har deres egen kontakt. For at beholde urterne og lade frøene ligge, eller omvendt, skal du afvise klassen under fanen Klasser: herb og seed står adskilt der. Det sorterer genstand for genstand, hvad der ligger på jorden, og det når også punktet overalt, hvor spillet siger, hvad punktet indeholder: afvis herb, og en urteplet lades i fred. Plantepunkter er en blandet flok og giver også korn og håndværksmaterialer, og for dem, spillet ikke beskriver, er denne kontakt den eneste styring.
hold two buttons (Escape cancels)	hold to knapper nede (Escape annullerer)
Household clutter and collectibles, most of it worthless.	Husholdningsrod og samlerobjekter, det meste værdiløst.
How full the bag is is read from the bag itself, so the notice appears the moment it fills, whether or not you are looting. If those numbers ever stop making sense the mod falls back to watching what happens after a pick-up: three in a row that reach nothing raise the notice, and one landing clears it.	Hvor fuld tasken er, læses fra tasken selv, så beskeden dukker op i det øjeblik, den fyldes op, uanset om du er ved at loote eller ej. Hvis de tal nogensinde holder op med at give mening, falder moddet tilbage på at holde øje med, hvad der sker efter en opsamling: tre i træk, der ikke rammer noget, udløser beskeden, og en, der lander, rydder den.
How often the scene is read. The scan runs on its own thread; only the final take costs the game a fraction of a millisecond.	Hvor ofte scenen læses. Scanningen kører i sin egen tråd; kun selve resultatet koster spillet en brøkdel af et millisekund.
incomplete	ufuldstændig
Insects	Insekter
insects off	insekter fra
installed	installeret
Item	Genstand
Item database	Genstandsdatabase
Item table	Genstandstabel
Items	Genstande
Items lying in the world, including drops from enemies.	Genstande, der ligger i verdenen, inklusive drops fra fjender.
Items no shop will buy, across every class.	Genstande, ingen butik vil købe, på tværs af alle klasser.
Items on the ground	Genstande på jorden
Items tagged quest are left alone, so puzzles and story pickups are not auto-taken. It reads the item's own tags, so it covers anything you pick up and every node whose contents the mod can name. Two things fall outside it. A node it cannot name is decided by the switch for its kind, because there is no item there to read a tag from. And skinning a carcass pays out without the mod ever seeing what arrived.	Genstande mærket quest lades i fred, så gåde- og historiegenstande ikke tages automatisk. Den læser genstandens egne mærkater, så den dækker alt, hvad du samler op, og hvert punkt, hvis indhold modet kan navngive. To ting falder udenfor. Et punkt, den ikke kan navngive, afgøres af kontakten for dets slags, for der er ingen genstand at læse et mærkat af. Og at flå et kadaver betaler ud, uden at modet nogensinde ser, hvad der kom ind.
Items with an unknown value are never filtered by it.	Genstande med ukendt værdi filtreres aldrig efter den.
Keep the menu on screen while you play. %s brings it back, %s closes it.	Hold menuen på skærmen, mens du spiller. %s bringer den tilbage, %s lukker den.
Keys	Taster
Keys and tools	Nøgler og værktøj
Language	Sprog
Language \"%s\": %d line(s) translated, %d seen this session.	Sprog \"%s\": %d linje(r) oversat, %d set i denne session.
learned from the game	lært fra spillet
Load	Indlæs
loaded	indlæst
locked	låst
Log	Log
Log: %ls	Log: %ls
Loot	Loot
Loot all	Loot alt
Loot engine	Loot-motor
Loot engine not started.	Loot-motoren er ikke startet.
Loot everything in range now	Loot alt inden for rækkevidde nu
Loot everything in range once	Loot alt inden for rækkevidde én gang
loot: %s	loot: %s
Looting	Loot
MASTER LOOTER	MASTER LOOTER
Master Looter v%s for game build %s	Master Looter v%s til spilbuild %s
Materials	Materialer
mechanism part	mekanismedel
Memory chips and puzzle parts	Hukommelseschips og gådedele
Mine ore veins for you	Miner malmårer for dig
Minimum value (copper)	Minimumsværdi (kobber)
missing	mangler
missing MasterLooter.items.tsv	MasterLooter.items.tsv mangler
mission object	missionsgenstand
Mounts and vehicles	Ridedyr og køretøjer
name a new preset	navngiv en ny forudindstilling
Nearby	I nærheden
never	aldrig
no	nej
no interaction node	intet interaktionspunkt
Nodes the prefab table does not name and that have not yielded anything yet this session. Off (the default) leaves them alone. On makes the mod gather them to find out, which means a plant can be taken while Plants is off.	Punkter, prefab-tabellen ikke navngiver, og som ikke har givet noget endnu i denne session. Fra (standard) lader dem være i fred. Til får moddet til at indsamle dem for at finde ud af det, hvilket betyder, at en plante kan blive taget, selv om Planter er fra.
none	ingen
not found yet	endnu ikke fundet
not in item database	ikke i genstandsdatabasen
not ready (node empty)	ikke klar (punkt tomt)
not resolved yet	endnu ikke løst
not started	ikke startet
not yet	endnu ikke
Nothing else is drawn while the menu is closed.	Intet andet tegnes, mens menuen er lukket.
nothing taken yet this session	intet taget endnu i denne session
Object	Objekt
object	objekt
Objects are listed nearest first, with the rule that decided each one. Empty nodes read as not ready until the game or arming fills them. What you are wearing and carrying is left out.	Objekter listes nærmest først, med reglen, der afgjorde hver enkelt. Tomme punkter vises som ikke klar, indtil spillet eller aktivering fylder dem. Det, du har på og bærer, er udeladt.
Objects closer than this are treated as your own equipment. A safety net; your gear is also recognised by other means.	Objekter tættere på end dette behandles som dit eget udstyr. Et sikkerhedsnet; dit udstyr genkendes også på andre måder.
Objects per burst press	Objekter pr. hurtigtryk
Objects per scan	Objekter pr. scanning
on the player	på spilleren
On, a vein is harvested where it stands and you never swing a pickaxe. Off, veins are left alone and only the chunks you knock loose are picked up. Needs arming, since asking the vein to open is the whole trick.	Til høstes en åre, hvor den står, og du svinger aldrig en hakke. Fra lades årer i fred, og kun de stykker, du slår løs, samles op. Kræver aktivering, da det er selve tricket at bede åren om at åbne sig.
On, the overlay draws under DLSS frame generation, which needs this mod to hand the game a wrapped swapchain.\n\nOff, the overlay draws through the present hook instead. Everything looks the same unless frame generation is on, and the mod stays off a path other overlay mods patch as well. Try this if the game will not start alongside another overlay mod; it can be set as WrapSwapChain in MasterLooter.ini without launching the game.	Til tegnes overlayet under DLSS-framegenerering, hvilket kræver, at dette mod giver spillet et indpakket swapchain.\n\nFra tegnes overlayet i stedet gennem present-hooket. Alt ser ens ud, medmindre framegenerering er til, og moddet holder sig væk fra en sti, andre overlay-mods også ændrer. Prøv dette, hvis spillet ikke vil starte sammen med et andet overlay-mod; det kan sættes som WrapSwapChain i MasterLooter.ini uden at starte spillet.
One click per family. The table below still sets single classes; a group shows a dash when only some of it is on.	Ét klik pr. familie. Tabellen nedenfor sætter stadig enkelte klasser; en gruppe viser en streg, når kun en del af den er til.
Open and close this menu	Åbn og luk denne menu
Open folder	Åbn mappe
Opens the folder in Explorer. The log is rewritten every launch and is what to attach to a report.	Åbner mappen i Stifinder. Loggen skrives forfra ved hver opstart og er det, du skal vedhæfte til en rapport.
Ore and stone	Malm og sten
ore off	malm fra
Ore, gems, stone, timber, hides, herbs, trade goods and other crafting input.	Malm, ædelsten, sten, tømmer, skind, urter, handelsvarer og andet håndværksmateriale.
out of range	uden for rækkevidde
Overlay	Overlay
Override	Tilsidesættelse
owned by someone (theft)	ejet af nogen (tyveri)
Ownership	Ejerskab
Ownership oracle	Ejerskabsorakel
Pace	Tempo
part of a creature or a mechanism	del af en skabning eller en mekanisme
paused: %s	sat på pause: %s
pick up off	opsamling fra
Plants	Planter
plants off	planter fra
Player	Spiller
Player equipment.	Spillerens udstyr.
Player not found in the scene yet.	Spilleren er endnu ikke fundet i scenen.
Presets	Forudindstillinger
press a key (Escape cancels)	tryk på en tast (Escape annullerer)
Protected by default: a memory chip starts a memory scene when taken, and a puzzle part breaks its puzzle. Turn on only if you want them auto-taken.	Beskyttet som standard: en hukommelseschip starter en hukommelsesscene, når den tages, og en gådedel ødelægger sin gåde. Slå kun til, hvis du vil have dem taget automatisk.
protected item name	beskyttet genstandsnavn
Puts every setting and rule back to what it was at that moment.	Sætter alle indstillinger og regler tilbage til, hvad de var på det tidspunkt.
puzzle or protected mechanism	gåde eller beskyttet mekanisme
Quest items	Questgenstande
quest or memory trigger	quest- eller hukommelsesudløser
Ranges (metres)	Afstande (meter)
Rats, squirrels, birds, lizards, frogs and salamanders: anything else the game puts in the bag whole.	Rotter, egern, fugle, firben, frøer og salamandre: alt andet, spillet lægger helt i tasken.
Reaching nodes	Rækkevidde til punkter
Read from the file beside the plugin, not the copy inside it.	Læses fra filen ved siden af plugin'et, ikke kopien indeni det.
Rebind	Omtildel
Recent loot	Seneste loot
Refresh	Opdatér
Reload now	Genindlæs nu
Replaces every setting and every class, tag and item rule with what the preset holds, and writes it to MasterLooter.ini. Nothing of the current settings is kept, so back them up first if you want them.	Erstatter alle indstillinger og alle klasse-, mærke- og genstandsregler med det, forudindstillingen indeholder, og skriver det til MasterLooter.ini. Intet af de nuværende indstillinger beholdes, så sikkerhedskopiér dem først, hvis du vil have dem.
Reset all tags	Nulstil alle mærker
resolved	løst
Retry the same object after (ms)	Prøv samme objekt igen efter (ms)
Route id	Rute-id
Rule	Regel
Save now	Gem nu
Saved as \"%s\": a preset name keeps letters, digits, spaces, dashes and underscores.	Gemt som \"%s\": et forudindstillingsnavn beholder bogstaver, tal, mellemrum, bindestreger og understregninger.
Say so on screen when the bag stops taking things	Vis det på skærmen, når tasken holder op med at tage imod ting
scan %.1f ms	scanning %.1f ms
Scan radius	Scanningsradius
Scans %ld, events sent %ld, pump ticks %ld, guarded faults %ld, node kinds learned %d	Scanninger %ld, hændelser sendt %ld, pumpetick %ld, afværgede fejl %ld, punkttyper lært %d
Scans per second	Scanninger pr. sekund
search item name or key (3+ letters)	søg genstandsnavn eller nøgle (3+ bogstaver)
Sending events	Sender hændelser
Set	Sæt
Settings: %ls	Indstillinger: %ls
Show a brief notice when auto-loot is toggled	Vis en kort besked, når automatisk loot slås til eller fra
Showing current overrides. Type to search all %d items.	Viser nuværende tilsidesættelser. Skriv for at søge blandt alle %d genstande.
Showing the nearest %d of %d. The rest are further away.	Viser de nærmeste %d af %d. Resten er længere væk.
Skip all	Spring alt over
Skip quest equipment	Spring questudstyr over
Quest equipment	Questudstyr
Gear marked important that no shop will buy, across every class. Off leaves quest tools where they lie.	Udstyr markeret som vigtigt, som ingen butik vil købe, på tværs af alle klasser. Fra: questværktøj bliver liggende.
Tools and gear the game marks important that no shop will buy: the fertilizer and lubricant sprayers, the Kuku spears, the scout rings and necklaces. 180 items, nearly all worth a single copper, and taking one off the floor early can put a quest step out of order.\n\nIt reads the two marks together, so an item carrying only one of them is not covered. The Field Sprayer is unsellable and not marked important, and still comes in.	Værktøj og udstyr, spillet markerer som vigtigt, og som ingen butik vil købe: gødnings- og smøresprøjterne, Kuku-spydene, spejderringene og -halskæderne. 180 genstande, næsten alle en enkelt kobber værd, og at samle en op fra gulvet for tidligt kan bringe et questtrin ud af rækkefølge.\n\nDen læser de to mærker sammen, så en genstand med kun det ene er ikke dækket. Markspøjten kan ikke sælges og er ikke markeret som vigtig, og kommer stadig ind.
Skip items shops refuse to buy	Spring genstande over, som butikker nægter at købe
Skip quest items	Spring questgenstande over
skip: %s	spring over: %s
Small animals	Smådyr
small animals off	smådyr fra
Some world objects carry no readable item name. On: take them anyway. Off: leave them alone.\n\nThis covers loose items only. A pick-up the node table vouches for, such as a coin pile or a stack of gold bars, is taken whichever way this is set: the table naming the prefab is what identifies it, and the item inside it having no name is a separate question. Its own category switch still applies.	Nogle verdensobjekter har intet læsbart genstandsnavn. Til: tag dem alligevel. Fra: lad alt uidentificeret være.\n\nDette gælder kun løse genstande. En opsamling, som punkttabellen indestår for, såsom en bunke mønter eller en stak guldbarrer, bliver taget uanset denne indstilling: det, at tabellen navngiver prefabben, er det, der identificerer den, og om genstanden indeni har et navn er et separat spørgsmål. Dens egen kategorikontakt gælder stadig.
someone is wearing this; taking it would copy it	nogen har dette på; at tage det ville kopiere det
stack at one point (storage contents)	stak på ét sted (lagerindhold)
Status	Status
Stop pets looting	Forhindr kæledyr i at plyndre
Tables, chairs, beds, carpets, lamps, candles, paintings, pots and the rest of a furnished room, whether you pick one up off the floor or take it from its own interaction node. Most of it is worth a copper or two, but the carpets and the luxury beds run to thousands, so turn this on before furnishing a house. Chests and the other things that hold something answer to Containers instead. Off by default.	Borde, stole, senge, tæpper, lamper, lys, malerier, krukker og resten af et møbleret rum, uanset om du samler dem op fra gulvet eller tager dem fra deres eget interaktionspunkt. Det meste er en kobbermønt eller to værd, men tæpperne og luksussengene løber op i tusinder, så slå dette til, før du møblerer et hus. Kister og andre ting, der rummer noget, hører i stedet under Beholdere. Fra som standard.
Tag	Mærke
Tags	Mærker
tags, any of which can be set to never in the Tags tab:	mærker, som hver især kan sættes til aldrig under fanen Mærker:
Take goods that belong to someone	Tag varer, der tilhører nogen
Take goods that belong to someone, on / off	Tag varer, der tilhører nogen, til/fra
Take items the database cannot name	Tag genstande, databasen ikke kan navngive
Pets and companions follow the filters	Kæledyr og ledsagere følger filtrene
Take owned goods on / off	Tag ejede varer til/fra
take this one by hand, looting it can lock the quest	tag denne med hånden, at plyndre den kan låse questen
takes effect next launch	træder i kraft ved næste opstart
The engine scans around you and takes what the rules allow. Off means nothing is taken automatically; the burst key still works.	Motoren scanner omkring dig og tager, hvad reglerne tillader. Fra betyder, at intet tages automatisk; genvejstasten virker stadig.
The game fills a node's data only when it thinks you can reach it. Arming asks it to do that from a distance, which is also what lets an ore vein be harvested where it stands. Veins take several seconds to answer where a bush takes a fraction of one.	Spillet fylder et punkts data ud, kun når det tror, du kan nå det. Aktivering beder det gøre det på afstand, hvilket også er det, der gør det muligt at høste en malmåre, hvor den står. Årer tager adskillige sekunder om at svare, hvor en busk tager en brøkdel af ét.
The game removes taken objects with a delay. This stops the same object being sent twice while it fades.	Spillet fjerner tagne objekter med en forsinkelse. Dette forhindrer, at det samme objekt sendes to gange, mens det falmer.
The game treats this as stealing and will put a bounty on you.	Spillet betragter dette som tyveri og sætter en dusør på dig.
The mod never swings a pickaxe. It drives the vein's own break sequence, and the game walks one drop row for that where a real swing walks two, so your mining tool's bonus pays nothing when the mod does the mining. This adds the missing ore back through the same drop path the game uses, so it is real ore spilled on the ground, not an item copied into your bag. Set it to what your tool pays by hand minus one: a drill that gives three by hand wants 2 here. It only applies to a vein this mod broke, so mining by hand is untouched and the two cannot stack.	Moddet svinger aldrig en hakke. Det driver årens egen bruds-sekvens, og spillet gennemgår én droprække for det, hvor et rigtigt slag gennemgår to, så din mineværktøjs bonus giver ingenting, når moddet står for mineringen. Dette lægger den manglende malm tilbage gennem samme droprute, spillet selv bruger, så det er rigtig malm spildt på jorden, ikke en genstand kopieret ind i din taske. Sæt den til det, dit værktøj giver i hånden minus én: en bor, der giver tre i hånden, skal have 2 her. Det gælder kun en åre, dette mod har brudt, så minering i hånden er upåvirket, og de to kan ikke lægges sammen.
This session: %ld picked up, %ld gathered, %ld caught, %ld carcasses	Denne session: %ld samlet op, %ld indsamlet, %ld fanget, %ld kadavere
Timber and branches on the ground, and the nodes that yield them. What most of these hold is read out of the game data itself, so refusing the class wood on the Classes tab leaves the trees standing as well as the timber under them. Where the game says nothing about a node, this switch is the only control it has.	Tømmer og grene på jorden, og de punkter, der giver dem. Hvad de fleste af dem indeholder, læses ud af spillets egne data, så at afvise klassen wood under fanen Klasser lader træerne stå og ligeledes tømmeret under dem. Hvor spillet intet siger om et punkt, er denne kontakt den eneste styring, det har.
To leave one species alone, set what it becomes to never on the Items tab: Item_Tench, Item_Ricefish, Item_Iguana. The mod reads the creature's own row in the game's character table, so it knows which species it is looking at before it catches anything. A few unusual creatures still fall back to guessing from their model name and are caught by category only.	For at lade én art være i fred, sæt det, den bliver til, til aldrig under fanen Genstande: Item_Tench, Item_Ricefish, Item_Iguana. Moddet læser skabningens egen række i spillets karaktertabel, så det ved, hvilken art det kigger på, før det fanger noget. Nogle få usædvanlige skabninger falder stadig tilbage på at gætte ud fra deres modelnavn og fanges kun efter kategori.
Treasure and keepsakes	Skatte og minder
Two buttons at once, never one: every single button already does something in this game. The mod only reads the pad, so the game still sees both buttons. Pick a pair that does nothing together, like the two shoulder buttons, or Back and a face button.	To knapper på én gang, aldrig én: hver eneste knap gør allerede noget i dette spil. Moddet læser kun controlleren, så spillet ser stadig begge knapper. Vælg et par, der ikke gør noget sammen, som de to skulderknapper, eller Back og en frontknap.
Two things that hold things. The chests, crates and drop-set nodes you open, which rarely answer the loot event. And anything on the ground whose job is to hold something: bottles, jars, clay pots, waterskins, vases and the storage boxes you place. Off by default, and off means a shelf of pottery is left where it stands. Reward boxes are not covered, since those are loot in their own right and belong to Treasure and keepsakes on the Classes tab.\n\nWhat comes out of a chest is not checked against your filters. The game hands the contents over in one go and the mod never sees them as objects, so for those this switch is all or nothing.	To ting, der indeholder ting. De kister, kasser og byttepunkter, du åbner, og som sjældent svarer på plyndringsbegivenheden. Og alt på jorden, hvis opgave det er at indeholde noget: flasker, krukker, lerpotter, vandsække, vaser og de opbevaringskasser, du stiller. Slået fra som standard, og fra betyder, at en hylde med lertøj bliver stående, hvor den står. Belønningskister er ikke omfattet, for de er bytte i sig selv og hører til Skatte og minder under fanen Klasser.\n\nDet, der kommer ud af en kiste, holdes ikke op mod dine filtre. Spillet afleverer indholdet i ét stykke, og modet ser det aldrig som genstande, så for dem er denne kontakt alt eller intet.
Unbound until you set it. The game calls taking owned goods stealing and puts a bounty on you for it, so this is the switch you want on for a moment and off again, which is a poor fit for a menu.	Ubundet, indtil du sætter den. Spillet kalder det tyveri at tage ejede varer og sætter en dusør på dig for det, så dette er en kontakt, du vil have til et øjeblik og fra igen, hvilket passer dårligt til en menu.
Unidentified nodes	Uidentificerede punkter
unidentified nodes off	uidentificerede punkter fra
unidentified: could be a fish, a flying insect or a bird	uidentificeret: kunne være en fisk, et flyvende insekt eller en fugl
unidentified: could be an insect or a small animal	uidentificeret: kunne være et insekt eller et smådyr
unnamed item	unavngiven genstand
Unsellable items	Usælgelige genstande
