# Menütext von Master Looter auf Deutsch (de). Maschinelle Übersetzung. Noch
# kein Muttersprachler hat sie geprüft. Korrekturen sind willkommen, auf
# GitHub (github.com/shin2344234/master-looter) oder auf der Nexus-Seite des
# Mods.
#
# Eine Zeile pro Text: das englische Original, ein Tabulator, dann die
# Übersetzung. \n steht für einen Zeilenumbruch. Zeilen, die mit # beginnen,
# werden ignoriert. Bleibt eine Zeile nach dem Tabulator leer, wird
# weiterhin der englische Text angezeigt.
# Jedes %d, %s, %.1f und die anderen Platzhalter muss genau in derselben
# Reihenfolge erhalten bleiben: sie werden zur Laufzeit durch Zahlen und
# Namen ersetzt, und eine Zeile, die sie verändert, wird beim Laden
# ignoriert, um keine falschen Werte zu riskieren.
#
# Eine Datei mit diesem Namen neben MasterLooter.asi überschreibt die im
# Plugin eingebaute Kopie.

  bag full	  Tasche voll
Every rock: ore and stone chunks on the ground, veins, boulders, rubble piles and quarry stone. A vein is broken where it stands and its contents picked up off the floor, which is what your pickaxe does and what makes a better pickaxe worth carrying: the tool's Mining Yield Up applies to the drop, not to the node. Each vein is struck once and left alone until the game brings it back. Reaching for veins starts as far out as the scan can see, because they take seconds to answer where a bush takes a fraction of one.\n\nStone used to have a switch of its own and the split never held: the game files most quarry stone under mining, so turning Stone off left it arriving anyway. To keep the ore and leave the stone, refuse the class stone on the Classes tab. That covers Stone, Fine Stone, Flawless Stone and Stalactite, and every rock the game says holds nothing else is then left standing, the mine rocks and the stalactites included. A vein that also holds ore or a jewel is still broken, since refusing the stone is not refusing what sits beside it. Where the game describes a node not at all, it takes ore, jewels and stone all being refused before that one is passed over.	Jeder Fels: Erz- und Steinbrocken am Boden, Adern, Felsblöcke, Geröllhaufen und Bruchstein. Eine Ader wird dort aufgebrochen, wo sie steht, und ihr Inhalt wird vom Boden aufgesammelt, genau das, was deine Spitzhacke tut, und weshalb sich eine bessere Spitzhacke lohnt: der Abbauertrag-Bonus des Werkzeugs gilt für den Abwurf, nicht für den Punkt. Jede Ader wird einmal getroffen und dann in Ruhe gelassen, bis das Spiel sie zurückbringt. Das Anfragen von Adern beginnt so weit draußen, wie der Scan sehen kann, denn sie brauchen Sekunden zum Antworten, wo ein Busch nur einen Bruchteil davon braucht.\n\nStein hatte früher einen eigenen Schalter, und die Trennung hat nie gehalten: Das Spiel führt den meisten Bruchstein unter Bergbau, also kam er weiterhin an, wenn man Stein ausschaltete. Um das Erz zu behalten und den Stein liegen zu lassen, lehne die Klasse stone im Reiter Klassen ab. Das erfasst Stein, Feinen Stein, Makellosen Stein und Stalaktit, und jeder Fels, von dem das Spiel sagt, dass er sonst nichts enthält, bleibt dann stehen, die Minenfelsen und die Stalaktiten eingeschlossen. Eine Ader, die auch Erz oder einen Edelstein enthält, wird weiterhin aufgebrochen, denn den Stein abzulehnen heißt nicht, das abzulehnen, was daneben liegt. Wo das Spiel einen Punkt überhaupt nicht beschreibt, müssen Erz, Edelsteine und Stein alle abgelehnt sein, bevor dieser übergangen wird.
Extra ore per vein	Extra-Erz pro Ader
failed	fehlgeschlagen
fast-travel artifact	Schnellreise-Artefakt
filter classes	Klassen filtern
filter tags	Markierungen filtern
Filters	Filter
Fish	Fisch
fish off	Fisch aus
Fish, and whatever else you catch in the water: crabs, shrimp, squid, starfish and seahorses.	Fisch und alles andere, was du im Wasser fängst: Krabben, Garnelen, Tintenfische, Seesterne und Seepferdchen.
Food and drink	Essen und Trinken
Forget	Vergessen
found	gefunden
Furniture	Möbel
Furniture and decor	Möbel und Dekoration
furniture node (off)	Möbelpunkt (aus)
furniture off	Möbel aus
Game functions	Spielfunktionen
Game functions did not resolve; see Status.	Spielfunktionen wurden nicht aufgelöst; siehe Status.
Game-thread pump	Game-Thread-Pumpe
gather node	Sammelpunkt
Gathering	Sammeln
General	Allgemein
Ground items	Gegenstände am Boden
Groups	Gruppen
Herb, flower and mushroom nodes, and the same lying on the ground, seeds included. Food crops have their own switch. To keep the herbs and leave the seeds, or the other way round, refuse the class on the Classes tab: herb and seed are separate there. That sorts what is lying on the ground item by item, and it reaches the node as well wherever the game says what the node holds: refuse herb and a herb patch is left alone. Plant nodes are a mixed lot, paying grain and crafting materials too, and for the ones the game does not describe this switch is the only control.	Kräuter-, Blumen- und Pilzpunkte sowie dieselben, die am Boden liegen, Samen eingeschlossen. Feldfrüchte haben ihren eigenen Schalter. Um die Kräuter zu behalten und die Samen liegen zu lassen, oder umgekehrt, lehne die Klasse im Reiter Klassen ab: herb und seed stehen dort getrennt. Das sortiert Stück für Stück, was am Boden liegt, und es erreicht auch den Punkt, wo immer das Spiel sagt, was der Punkt enthält: lehne herb ab, und ein Kräuterfleck bleibt unberührt. Pflanzenpunkte sind eine gemischte Gesellschaft und werfen auch Getreide und Handwerksmaterial ab, und für die, die das Spiel nicht beschreibt, ist dieser Schalter die einzige Kontrolle.
hold two buttons (Escape cancels)	zwei Tasten halten (Escape bricht ab)
Household clutter and collectibles, most of it worthless.	Hausrat und Sammelobjekte, das meiste davon wertlos.
How full the bag is is read from the bag itself, so the notice appears the moment it fills, whether or not you are looting. If those numbers ever stop making sense the mod falls back to watching what happens after a pick-up: three in a row that reach nothing raise the notice, and one landing clears it.	Wie voll die Tasche ist, wird direkt aus der Tasche selbst gelesen, sodass der Hinweis in dem Moment erscheint, in dem sie sich füllt, egal ob du gerade lootest oder nicht. Wenn diese Zahlen einmal keinen Sinn mehr ergeben, beobachtet der Mod stattdessen, was nach einem Aufheben passiert: drei in Folge, die nichts erreichen, lösen den Hinweis aus, und einer, der ankommt, löscht ihn wieder.
How often the scene is read. The scan runs on its own thread; only the final take costs the game a fraction of a millisecond.	Wie oft die Szene gelesen wird. Der Scan läuft in einem eigenen Thread; nur die abschließende Übernahme kostet das Spiel einen Bruchteil einer Millisekunde.
incomplete	unvollständig
Insects	Insekten
insects off	Insekten aus
installed	installiert
Item	Gegenstand
Item database	Gegenstandsdatenbank
Item table	Gegenstandstabelle
Items	Gegenstände
Items lying in the world, including drops from enemies.	Gegenstände, die in der Welt liegen, einschließlich Beute von Gegnern.
Items no shop will buy, in every class but currency.	Gegenstände, die kein Laden kauft, in allen Klassen außer Währung.
Items on the ground	Gegenstände am Boden
Items tagged quest are left alone, so puzzles and story pickups are not auto-taken. It reads the item's own tags, so it covers anything you pick up and every node whose contents the mod can name. Two things fall outside it. A node it cannot name is decided by the switch for its kind, because there is no item there to read a tag from. And skinning a carcass pays out without the mod ever seeing what arrived.	Als Quest markierte Gegenstände werden in Ruhe gelassen, damit Rätsel- und Story-Gegenstände nicht automatisch mitgenommen werden. Es liest die eigenen Markierungen des Gegenstands aus und erfasst damit alles, was du aufhebst, und jeden Punkt, dessen Inhalt der Mod benennen kann. Zwei Dinge fallen nicht darunter. Über einen Punkt, den er nicht benennen kann, entscheidet der Schalter für seine Art, denn dort gibt es keinen Gegenstand, an dem sich eine Markierung ablesen ließe. Und das Häuten eines Kadavers zahlt aus, ohne dass der Mod je sieht, was angekommen ist.
Items with an unknown value are never filtered by it.	Gegenstände mit unbekanntem Wert werden dadurch nie gefiltert.
Keep the menu on screen while you play. %s brings it back, %s closes it.	Behält das Menü beim Spielen auf dem Bildschirm. %s holt es zurück, %s schließt es.
Keys	Tasten
Keys and tools	Schlüssel und Werkzeuge
Language	Sprache
Language \"%s\": %d line(s) translated, %d seen this session.	Sprache \"%s\": %d Zeile(n) übersetzt, %d in dieser Sitzung gesehen.
learned from the game	vom Spiel gelernt
Load	Laden
loaded	geladen
locked	gesperrt
Log	Log
Log: %ls	Log: %ls
Loot	Loot
Loot all	Alles looten
Loot engine	Loot-Engine
Loot engine not started.	Loot-Engine nicht gestartet.
Loot everything in range now	Jetzt alles in Reichweite looten
Loot everything in range once	Einmal alles in Reichweite looten
loot: %s	looten: %s
Looting	Loot
MASTER LOOTER	MASTER LOOTER
Master Looter v%s for game build %s	Master Looter v%s für Spielversion %s
Materials	Materialien
mechanism part	Mechanismusteil
Memory chips and puzzle parts	Erinnerungschips und Rätselteile
Mine ore veins for you	Erzadern für dich abbauen
Minimum value (copper)	Mindestwert (Kupfer)
missing	fehlt
missing MasterLooter.items.tsv	MasterLooter.items.tsv fehlt
mission object	Missionsobjekt
Mounts and vehicles	Reittiere und Fahrzeuge
name a new preset	neues Preset benennen
Nearby	Umgebung
never	nie
no	nein
no interaction node	kein Interaktionspunkt
Nodes the prefab table does not name and that have not yielded anything yet this session. Off (the default) leaves them alone. On makes the mod gather them to find out, which means a plant can be taken while Plants is off.	Punkte, die die Prefab-Tabelle nicht benennt und die in dieser Sitzung noch nichts abgeworfen haben. Aus (Standard) lässt sie in Ruhe. An lässt den Mod sie sammeln, um es herauszufinden, was bedeutet, dass eine Pflanze mitgenommen werden kann, während Pflanzen aus ist.
none	keine
not found yet	noch nicht gefunden
not in item database	nicht in der Gegenstandsdatenbank
not ready (node empty)	nicht bereit (Punkt leer)
not resolved yet	noch nicht aufgelöst
not started	nicht gestartet
not yet	noch nicht
Nothing else is drawn while the menu is closed.	Bei geschlossenem Menü wird nichts anderes gezeichnet.
nothing taken yet this session	in dieser Sitzung noch nichts mitgenommen
Object	Objekt
object	Objekt
Objects are listed nearest first, with the rule that decided each one. Empty nodes read as not ready until the game or arming fills them. What you are wearing and carrying is left out.	Objekte werden nach Entfernung sortiert aufgelistet, mit der Regel, die für jedes den Ausschlag gab. Leere Punkte gelten als nicht bereit, bis das Spiel oder die Aktivierung sie füllt. Was du trägst und bei dir hast, bleibt außen vor.
Objects closer than this are treated as your own equipment. A safety net; your gear is also recognised by other means.	Objekte, die näher als das sind, gelten als deine eigene Ausrüstung. Ein Sicherheitsnetz; deine Ausrüstung wird auch auf andere Weise erkannt.
Objects per burst press	Objekte pro Sofort-Tastendruck
Objects per scan	Objekte pro Scan
on the player	am Spieler
On, a vein is harvested where it stands and you never swing a pickaxe. Off, veins are left alone and only the chunks you knock loose are picked up. Needs arming, since asking the vein to open is the whole trick.	An wird eine Ader dort abgebaut, wo sie steht, und du schwingst nie eine Spitzhacke. Aus werden Adern in Ruhe gelassen, und nur die Brocken, die du herausschlägst, werden aufgesammelt. Erfordert Aktivierung, denn die Ader zum Öffnen zu bewegen ist der ganze Trick.
On, the overlay draws under DLSS frame generation, which needs this mod to hand the game a wrapped swapchain.\n\nOff, the overlay draws through the present hook instead. Everything looks the same unless frame generation is on, and the mod stays off a path other overlay mods patch as well. Try this if the game will not start alongside another overlay mod; it can be set as WrapSwapChain in MasterLooter.ini without launching the game.	An zeichnet das Overlay unter der DLSS-Frame-Generierung, wofür dieser Mod dem Spiel eine umschlossene Swapchain übergeben muss.\n\nAus zeichnet das Overlay stattdessen über den Present-Hook. Alles sieht gleich aus, solange die Frame-Generierung nicht an ist, und der Mod bleibt von einem Pfad fern, den auch andere Overlay-Mods patchen. Probiere das, wenn das Spiel neben einem anderen Overlay-Mod nicht startet; es lässt sich als WrapSwapChain in MasterLooter.ini setzen, ohne das Spiel zu starten.
One click per family. The table below still sets single classes; a group shows a dash when only some of it is on.	Ein Klick pro Familie. Die Tabelle unten stellt weiterhin einzelne Klassen ein; eine Gruppe zeigt einen Strich, wenn nur ein Teil davon an ist.
Open and close this menu	Dieses Menü öffnen und schließen
Open folder	Ordner öffnen
Opens the folder in Explorer. The log is rewritten every launch and is what to attach to a report.	Öffnet den Ordner im Explorer. Das Log wird bei jedem Start neu geschrieben und ist das, was du einem Bericht beifügen solltest.
Ore and stone	Erz und Stein
ore off	Erz aus
Ore, gems, stone, timber, hides, herbs, trade goods and other crafting input.	Erz, Edelsteine, Stein, Holz, Häute, Kräuter, Handelswaren und anderes Handwerksmaterial.
out of range	außer Reichweite
Overlay	Overlay
Override	Überschreibung
owned by someone (theft)	gehört jemandem (Diebstahl)
Ownership	Eigentum
Ownership oracle	Eigentums-Orakel
Pace	Tempo
part of a creature or a mechanism	Teil einer Kreatur oder eines Mechanismus
paused: %s	pausiert: %s
pick up off	Aufheben aus
Plants	Pflanzen
plants off	Pflanzen aus
Player	Spieler
Player equipment.	Spielerausrüstung.
Player not found in the scene yet.	Spieler noch nicht in der Szene gefunden.
Presets	Presets
press a key (Escape cancels)	eine Taste drücken (Escape bricht ab)
Protected by default: a memory chip starts a memory scene when taken, and a puzzle part breaks its puzzle. Turn on only if you want them auto-taken.	Standardmäßig geschützt: Ein Erinnerungschip startet beim Mitnehmen eine Erinnerungsszene, und ein Rätselteil zerstört sein Rätsel. Nur einschalten, wenn du willst, dass sie automatisch mitgenommen werden.
protected item name	geschützter Gegenstandsname
Puts every setting and rule back to what it was at that moment.	Setzt jede Einstellung und Regel auf den Stand zu diesem Zeitpunkt zurück.
puzzle or protected mechanism	Rätsel oder geschützter Mechanismus
Quest items	Quest-Gegenstände
quest or memory trigger	Quest- oder Erinnerungsauslöser
Ranges (metres)	Reichweiten (Meter)
Rats, squirrels, birds, lizards, frogs and salamanders: anything else the game puts in the bag whole.	Ratten, Eichhörnchen, Vögel, Echsen, Frösche und Salamander: alles andere, was das Spiel unversehrt in die Tasche legt.
Reaching nodes	Punkte anfragen
Read from the file beside the plugin, not the copy inside it.	Wird aus der Datei neben dem Plugin gelesen, nicht aus der Kopie darin.
Rebind	Neu zuweisen
Recent loot	Letzter Loot
Refresh	Aktualisieren
Reload now	Jetzt neu laden
Replaces every setting and every class, tag and item rule with what the preset holds, and writes it to MasterLooter.ini. Nothing of the current settings is kept, so back them up first if you want them.	Ersetzt jede Einstellung und jede Klassen-, Markierungs- und Gegenstandsregel durch das, was das Preset enthält, und schreibt es in MasterLooter.ini. Nichts von den aktuellen Einstellungen bleibt erhalten, also sichere sie vorher, wenn du sie behalten willst.
Reset all tags	Alle Markierungen zurücksetzen
resolved	aufgelöst
Retry the same object after (ms)	Dasselbe Objekt erneut versuchen nach (ms)
Route id	Routen-ID
Rule	Regel
Save now	Jetzt speichern
Saved as \"%s\": a preset name keeps letters, digits, spaces, dashes and underscores.	Gespeichert als \"%s\": ein Preset-Name behält Buchstaben, Ziffern, Leerzeichen, Bindestriche und Unterstriche.
Say so on screen when the bag stops taking things	Auf dem Bildschirm anzeigen, wenn die Tasche nichts mehr aufnimmt
scan %.1f ms	Scan %.1f ms
Scan radius	Scanradius
Scans %ld, events sent %ld, pump ticks %ld, guarded faults %ld, node kinds learned %d	Scans %ld, Ereignisse gesendet %ld, Pumpen-Ticks %ld, abgefangene Fehler %ld, Punkttypen erkannt %d
Scans per second	Scans pro Sekunde
search item name or key (3+ letters)	Gegenstandsname oder Schlüssel suchen (3+ Buchstaben)
Sending events	Ereignisse werden gesendet
Set	Setzen
Settings: %ls	Einstellungen: %ls
Show a brief notice when auto-loot is toggled	Kurzen Hinweis anzeigen, wenn Auto-Loot umgeschaltet wird
Showing current overrides. Type to search all %d items.	Zeigt aktuelle Überschreibungen. Tippen, um alle %d Gegenstände zu durchsuchen.
Showing the nearest %d of %d. The rest are further away.	Zeigt die nächsten %d von %d. Der Rest ist weiter entfernt.
Skip all	Alles überspringen
Skip quest equipment	Questausrüstung überspringen
Quest equipment	Questausrüstung
Gear marked important that no shop will buy, across every class. Off leaves quest tools where they lie.	Ausrüstung, die das Spiel als wichtig markiert und die kein Händler kauft, über alle Klassen hinweg. Aus: Questwerkzeug bleibt liegen.
Tools and gear the game marks important that no shop will buy: the fertilizer and lubricant sprayers, the Kuku spears, the scout rings and necklaces. 180 items, nearly all worth a single copper, and taking one off the floor early can put a quest step out of order.\n\nIt reads the two marks together, so an item carrying only one of them is not covered. The Field Sprayer is unsellable and not marked important, and still comes in.	Werkzeug und Ausrüstung, die das Spiel als wichtig markiert und die kein Händler kauft: die Dünger- und Schmiermittelsprüher, die Kuku-Speere, die Späherringe und -ketten. 180 Gegenstände, fast alle einen einzigen Kupfer wert, und einen davon zu früh vom Boden aufzuheben kann einen Questschritt aus der Reihe bringen.\n\nEs werden beide Marken zusammen gelesen, ein Gegenstand mit nur einer davon ist also nicht erfasst. Der Feldsprüher ist unverkäuflich und nicht als wichtig markiert und kommt weiterhin herein.
Skip items shops refuse to buy	Gegenstände überspringen, die Läden nicht kaufen
Skip quest items	Quest-Gegenstände überspringen
skip: %s	überspringen: %s
Small animals	Kleintiere
small animals off	Kleintiere aus
Some world objects carry no readable item name. On: take them anyway. Off: leave them alone.\n\nThis covers loose items only. A pick-up the node table vouches for, such as a coin pile or a stack of gold bars, is taken whichever way this is set: the table naming the prefab is what identifies it, and the item inside it having no name is a separate question. Its own category switch still applies.	Manche Weltobjekte tragen keinen lesbaren Gegenstandsnamen. An: trotzdem mitnehmen. Aus: alles Unidentifizierte in Ruhe lassen.\n\nDies betrifft nur lose Gegenstände. Ein Aufsammelobjekt, für das die Punkttabelle bürgt, etwa ein Münzhaufen oder ein Stapel Goldbarren, wird unabhängig von dieser Einstellung genommen: dass die Tabelle das Prefab benennt, ist es, was es identifiziert, und ob der Gegenstand darin einen Namen hat, ist eine andere Frage. Sein eigener Kategorieschalter gilt weiterhin.
someone is wearing this; taking it would copy it	das trägt jemand; es mitzunehmen würde es verdoppeln
stack at one point (storage contents)	an einem Punkt gestapelt (Lagerinhalt)
Status	Status
Stop pets looting	Haustiere am Looten hindern
Tables, chairs, beds, carpets, lamps, candles, paintings, pots and the rest of a furnished room, whether you pick one up off the floor or take it from its own interaction node. Most of it is worth a copper or two, but the carpets and the luxury beds run to thousands, so turn this on before furnishing a house. Chests and the other things that hold something answer to Containers instead. Off by default.	Tische, Stühle, Betten, Teppiche, Lampen, Kerzen, Gemälde, Töpfe und der Rest eines eingerichteten Raums, egal ob du sie vom Boden aufhebst oder von ihrem eigenen Interaktionspunkt nimmst. Das meiste ist ein, zwei Kupfer wert, aber Teppiche und Luxusbetten gehen in die Tausende, also schalte das ein, bevor du ein Haus einrichtest. Truhen und andere Dinge, die etwas enthalten, unterstehen stattdessen Behälter. Standardmäßig aus.
Tag	Markierung
Tags	Markierungen
tags, any of which can be set to never in the Tags tab:	Markierungen, von denen jede im Tab Markierungen auf nie gesetzt werden kann:
Take goods that belong to someone	Gegenstände mitnehmen, die jemandem gehören
Take goods that belong to someone, on / off	Gegenstände mitnehmen, die jemandem gehören, an/aus
Take items the database cannot name	Gegenstände mitnehmen, die die Datenbank nicht benennen kann
Pets and companions follow the filters	Haustiere und Begleiter halten sich an die Filter
Take owned goods on / off	Fremdes Eigentum mitnehmen an/aus
take this one by hand, looting it can lock the quest	dieses von Hand nehmen, automatisches Looten kann die Quest blockieren
takes effect next launch	wirkt sich erst beim nächsten Start aus
The engine scans around you and takes what the rules allow. Off means nothing is taken automatically; the burst key still works.	Die Engine scannt deine Umgebung und nimmt, was die Regeln erlauben. Aus bedeutet, dass nichts automatisch mitgenommen wird; die Sofort-Taste funktioniert weiterhin.
The game fills a node's data only when it thinks you can reach it. Arming asks it to do that from a distance, which is also what lets an ore vein be harvested where it stands. Veins take several seconds to answer where a bush takes a fraction of one.	Das Spiel füllt die Daten eines Punktes nur, wenn es meint, dass du ihn erreichen kannst. Aktivierung fragt das aus der Ferne an, was auch das ist, was den Abbau einer Erzader dort erlaubt, wo sie steht. Adern brauchen mehrere Sekunden zum Antworten, wo ein Busch nur einen Bruchteil davon braucht.
The game removes taken objects with a delay. This stops the same object being sent twice while it fades.	Das Spiel entfernt mitgenommene Objekte mit Verzögerung. Das verhindert, dass dasselbe Objekt zweimal gesendet wird, während es ausblendet.
The game treats this as stealing and will put a bounty on you.	Das Spiel wertet das als Diebstahl und setzt ein Kopfgeld auf dich aus.
